Saved path: hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store : 43571
Saved path: party_store, gelateria, music_store, florist, craft_shop, gym, hardware_store, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, pet_store, bakery, salon : 47120
Saved path: pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, jewelry_store, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, grocery_store, bookstore : 44807
Saved path: clothing_store, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, pharmacy, music_store, bank, pizzeria, bookstore, dentist, grocery_store : 41669
Saved path: burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, bakery, jewelry_store, hardware_store : 33220
Saved path: grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, florist, music_store, party_store, bike_shop, pet_store, bakery, gym, toy_store, clothing_store : 48551
Saved path: hardware_store, toy_store, clothing_store, cafe, burger_joint, pizzeria, craft_shop, bank, music_store, party_store, barber_shop, jewelry_store, salon, bakery, pet_store : 46123
Saved path: gym, hardware_store, pharmacy, bike_shop, pet_store, bakery, burger_joint, tech_shop, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop : 47753
Saved path: grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, bakery, bike_shop, salon, party_store, pharmacy, music_store, craft_shop, dentist : 37106
Saved path: hardware_store, gym, pizzeria, bank, florist, music_store, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, cafe, burger_joint : 47435
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, burger_joint, cafe, dentist, craft_shop, florist, music_store, pharmacy, party_store, bakery : 39342
Saved path: noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, party_store, gelateria, music_store, bank, pizzeria, bookstore, dentist, tech_shop : 47540
Saved path: gelateria, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria, craft_shop : 42728
Saved path: salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, dentist, cafe, bookstore, pizzeria, music_store, pharmacy, party_store : 44433
Saved path: toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, pharmacy, salon, bike_shop, pet_store, bakery, gym : 40576
Saved path: bank, bookstore, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store : 33731
Saved path: jewelry_store, toy_store, noodle_house, grocery_store, burger_joint, gym, pizzeria, bank, florist, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop : 44036
Saved path: bookstore, burger_joint, hardware_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, bank, dentist, grocery_store, toy_store, noodle_house, tech_shop : 37953
Saved path: tech_shop, burger_joint, gym, bakery, bike_shop, salon, pharmacy, gelateria, bank, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store : 38007
Saved path: salon, party_store, pharmacy, gelateria, bank, gym, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, barber_shop, bakery, bike_shop : 42221
Saved path: dentist, cafe, bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, salon, party_store, music_store, florist, bank : 46558
Saved path: bank, music_store, pharmacy, party_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore : 37567
Saved path: hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe, dentist, pizzeria, florist, gelateria, pharmacy, party_store, salon, bike_shop : 37933
Saved path: clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, music_store, florist, bank, bookstore, cafe, dentist : 49723
Saved path: dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bakery, bike_shop, party_store, gelateria, music_store, bank, bookstore : 41330
Saved path: pizzeria, bank, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, grocery_store, cafe, dentist : 42267
Saved path: cafe, dentist, clothing_store, toy_store, jewelry_store, pet_store, bakery, salon, pharmacy, gelateria, florist, bank, pizzeria, bookstore, burger_joint : 45389
Saved path: party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, gym, bank, music_store : 43944
Saved path: noodle_house, grocery_store, dentist, cafe, bookstore, bank, florist, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym : 51338
Saved path: florist, craft_shop, dentist, cafe, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria : 35486
Saved path: dentist, burger_joint, bookstore, pizzeria, craft_shop, pharmacy, party_store, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 47432
Saved path: barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, pizzeria, craft_shop, gym, hardware_store, pharmacy, party_store, salon, bike_shop, bakery : 36028
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, music_store, florist, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store : 40083
Saved path: gelateria, florist, bank, gym, hardware_store, burger_joint, bookstore, tech_shop, clothing_store, toy_store, barber_shop, bakery, pet_store, salon, music_store : 48274
Saved path: bakery, bike_shop, party_store, pharmacy, music_store, florist, gym, burger_joint, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop : 42594
Saved path: dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, florist, bookstore : 43638
Saved path: cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, music_store, gelateria, florist, craft_shop, pizzeria, gym : 39246
Saved path: gym, bank, pharmacy, party_store, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore : 49578
Saved path: bookstore, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, bank, craft_shop, pizzeria : 42301
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, gelateria, pharmacy : 49530
Saved path: burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, bank, music_store, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, tech_shop : 47306
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, barber_shop, pet_store, bakery, salon, pharmacy, gelateria, bank, bookstore, dentist, grocery_store : 51546
Saved path: toy_store, clothing_store, tech_shop, bookstore, pizzeria, craft_shop, gym, hardware_store, party_store, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop : 35472
Saved path: craft_shop, bank, florist, music_store, party_store, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist : 40651
Saved path: hardware_store, gym, burger_joint, clothing_store, grocery_store, dentist, craft_shop, bank, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, bike_shop : 49877
Saved path: party_store, music_store, gym, burger_joint, cafe, dentist, bookstore, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 52503
Saved path: toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, salon, bakery, hardware_store : 35530
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, music_store, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint : 41387
Saved path: toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, pharmacy, florist, craft_shop, bookstore, cafe, burger_joint, tech_shop, clothing_store : 44031
Saved path: hardware_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, florist, bank, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, gym : 38252
Saved path: tech_shop, burger_joint, dentist, craft_shop, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 41019
Saved path: salon, bakery, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, bank, florist, music_store, gelateria, pharmacy, party_store, jewelry_store : 32262
Saved path: pet_store, bike_shop, hardware_store, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, bank, florist, gelateria, pharmacy, barber_shop, bakery : 49488
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, noodle_house, gym, craft_shop, bank, music_store, gelateria, pharmacy, party_store : 35293
Saved path: party_store, florist, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 49510
Saved path: florist, pharmacy, salon, bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, bookstore, pizzeria, bank : 37997
Saved path: salon, jewelry_store, barber_shop, party_store, gelateria, florist, bank, dentist, cafe, clothing_store, toy_store, burger_joint, hardware_store, pet_store, bakery : 47773
Saved path: burger_joint, hardware_store, gym, pizzeria, craft_shop, bank, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, noodle_house : 37627
Saved path: party_store, pharmacy, gelateria, bank, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon : 37631
Saved path: toy_store, gym, bakery, jewelry_store, pharmacy, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, bookstore, tech_shop, noodle_house : 37535
Saved path: tech_shop, burger_joint, cafe, bookstore, pizzeria, bank, florist, gelateria, party_store, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store : 32572
Saved path: barber_shop, bakery, salon, party_store, pharmacy, music_store, bank, pizzeria, gym, hardware_store, cafe, grocery_store, tech_shop, noodle_house, toy_store : 36701
Saved path: pizzeria, craft_shop, florist, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop : 35646
Saved path: gelateria, pharmacy, pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, bank, florist : 47262
Saved path: music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop : 39265
Saved path: grocery_store, bookstore, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, party_store, gelateria, music_store, florist, bank, craft_shop, dentist : 40205
Saved path: toy_store, grocery_store, cafe, bookstore, pizzeria, bank, music_store, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, gym : 45318
Saved path: bookstore, cafe, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, gelateria, florist, bank, craft_shop, gym, burger_joint : 33176
Saved path: gelateria, music_store, pizzeria, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, party_store : 45644
Saved path: music_store, gelateria, pharmacy, party_store, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, craft_shop, florist : 45308
Saved path: hardware_store, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, gym, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store : 37565
Saved path: craft_shop, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, florist : 30305
Saved path: bakery, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, craft_shop, florist, music_store, gelateria, party_store, salon, bike_shop : 35968
Saved path: florist, party_store, salon, bike_shop, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, pizzeria : 39804
Saved path: pizzeria, craft_shop, bank, florist, music_store, gelateria, party_store, bakery, jewelry_store, hardware_store, burger_joint, grocery_store, noodle_house, toy_store, gym : 35386
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, bike_shop, bakery, gelateria, music_store, florist, bank, craft_shop, pizzeria, cafe : 35045
Saved path: gelateria, bank, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint, gym, hardware_store, bike_shop, bakery, barber_shop : 44256
Saved path: bank, florist, music_store, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, dentist, bookstore, pizzeria : 44668
Saved path: grocery_store, dentist, craft_shop, bank, music_store, pharmacy, party_store, jewelry_store, pet_store, bakery, gym, burger_joint, bookstore, toy_store, clothing_store : 49675
Saved path: party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, clothing_store, toy_store, noodle_house, bookstore, burger_joint, gym, pet_store, salon : 48406
Saved path: toy_store, noodle_house, clothing_store, dentist, cafe, burger_joint, gym, pizzeria, craft_shop, bank, pharmacy, salon, bakery, pet_store, barber_shop : 49379
Saved path: craft_shop, florist, music_store, party_store, barber_shop, bakery, pet_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria : 51620
Saved path: bike_shop, bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, florist, party_store, jewelry_store : 32572
Saved path: cafe, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, music_store, bank, craft_shop, pizzeria, gym, hardware_store : 38668
Saved path: party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, bookstore, dentist, bank, music_store, gelateria : 53903
Saved path: barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, florist, bank, craft_shop, dentist, cafe, tech_shop, toy_store, gym, hardware_store : 40256
Saved path: party_store, salon, bike_shop, bakery, jewelry_store, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, gym, pizzeria, bank, gelateria, music_store : 37379
Saved path: grocery_store, dentist, cafe, bookstore, bank, florist, music_store, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop : 49475
Saved path: pizzeria, bookstore, cafe, burger_joint, tech_shop, toy_store, gym, hardware_store, bakery, barber_shop, party_store, pharmacy, music_store, florist, craft_shop : 36245
Saved path: bakery, bike_shop, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, bookstore, burger_joint, tech_shop, clothing_store, toy_store, barber_shop : 42708
Saved path: bookstore, cafe, grocery_store, dentist, bank, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, tech_shop, burger_joint : 45416
Saved path: bookstore, cafe, tech_shop, toy_store, gym, hardware_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist : 46986
Saved path: craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, gym, bakery, pet_store, bike_shop, party_store, pharmacy, florist : 40745
Saved path: toy_store, tech_shop, burger_joint, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, music_store, florist, pizzeria, cafe, grocery_store, clothing_store : 41849
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, florist, gym, dentist, cafe, grocery_store, clothing_store : 51868
Saved path: bookstore, bank, florist, gelateria, music_store, salon, bike_shop, bakery, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, cafe : 40481
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, pizzeria, music_store, barber_shop, bakery, bike_shop, salon, hardware_store, gym : 45339
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, pizzeria, craft_shop, music_store, pharmacy, party_store, bakery : 35782
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, pizzeria, florist, hardware_store, bakery, pet_store, bike_shop, salon, jewelry_store : 42083
Saved path: bank, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, jewelry_store, bike_shop, pet_store, bakery, pharmacy, music_store : 49665
Saved path: burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, pizzeria, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, pet_store, hardware_store : 48797
Saved path: music_store, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, hardware_store, jewelry_store, pet_store, salon, party_store : 48462
Saved path: pharmacy, gelateria, florist, dentist, bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon : 42519
Saved path: burger_joint, bookstore, craft_shop, bank, gelateria, pharmacy, pet_store, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store, tech_shop, noodle_house : 43906
Saved path: cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, salon, party_store, gelateria, music_store, dentist : 49860
Saved path: gelateria, pharmacy, party_store, pet_store, bakery, gym, toy_store, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank : 45130
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, burger_joint, cafe, dentist, craft_shop, bank, music_store, gelateria, pharmacy, bakery, pet_store : 49508
Saved path: music_store, bike_shop, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria : 37488
Saved path: craft_shop, pizzeria, bank, florist, music_store, gelateria, party_store, bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, cafe, dentist : 36785
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, salon, party_store, florist, craft_shop, dentist, cafe : 38880
Saved path: grocery_store, dentist, cafe, bookstore, pizzeria, florist, music_store, gelateria, party_store, salon, bike_shop, pet_store, hardware_store, toy_store, noodle_house : 47184
Saved path: bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria, florist, pharmacy, bakery : 40253
Saved path: music_store, pharmacy, bakery, pet_store, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, hardware_store, gym, craft_shop, florist : 46293
Saved path: grocery_store, dentist, cafe, bookstore, pizzeria, florist, gym, bike_shop, salon, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store : 36922
Saved path: bike_shop, bakery, barber_shop, party_store, pharmacy, gelateria, craft_shop, pizzeria, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store : 36369
Saved path: florist, dentist, cafe, bookstore, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store : 48046
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, bookstore, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery : 42511
Saved path: cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, gym, toy_store, tech_shop, grocery_store, dentist : 49326
Saved path: cafe, bookstore, gym, florist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, dentist : 43837
