Saved path: toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store : 46759
Saved path: craft_shop, bank, gelateria, pharmacy, party_store, bakery, hardware_store, gym, burger_joint, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist : 34588
Saved path: salon, party_store, pharmacy, music_store, gym, pizzeria, bookstore, dentist, grocery_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop : 53356
Saved path: burger_joint, cafe, dentist, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, music_store, party_store, hardware_store, gym : 53469
Saved path: clothing_store, toy_store, hardware_store, bike_shop, pet_store, bakery, pharmacy, gelateria, florist, bank, craft_shop, bookstore, cafe, burger_joint, tech_shop : 40421
Saved path: pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, salon, bakery, pet_store, music_store, florist : 50601
Saved path: pet_store, bakery, salon, hardware_store, toy_store, tech_shop, burger_joint, bookstore, craft_shop, bank, gelateria, music_store, pharmacy, party_store, barber_shop : 44990
Saved path: florist, bank, pizzeria, bookstore, dentist, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, salon, pharmacy, gelateria : 39919
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, gelateria, party_store, salon, bakery, pet_store : 45633
Saved path: jewelry_store, party_store, pharmacy, music_store, florist, bank, craft_shop, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, bakery, salon : 32061
Saved path: barber_shop, salon, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, pizzeria, florist, gelateria : 50552
Saved path: noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, gelateria, music_store, party_store, salon, bike_shop, bakery, hardware_store, gym, burger_joint : 35774
Saved path: toy_store, clothing_store, dentist, bookstore, pizzeria, bank, music_store, bakery, pet_store, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house : 51440
Saved path: barber_shop, bakery, bike_shop, pharmacy, gelateria, florist, bank, craft_shop, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, hardware_store : 39323
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, hardware_store, gym, florist, bank, craft_shop, dentist, cafe : 35740
Saved path: barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery : 49846
Saved path: craft_shop, bank, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist : 41505
Saved path: tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, party_store, pharmacy, gelateria, florist, bank, craft_shop, cafe, grocery_store, clothing_store : 41234
Saved path: florist, gelateria, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, craft_shop : 33305
Saved path: pharmacy, party_store, salon, bakery, pet_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria, bank, music_store : 41945
Saved path: florist, music_store, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore : 37139
Saved path: grocery_store, tech_shop, noodle_house, toy_store, gym, craft_shop, florist, music_store, gelateria, bakery, pet_store, bike_shop, hardware_store, burger_joint, bookstore : 45900
Saved path: burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, florist, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store : 50089
Saved path: hardware_store, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, bank, music_store, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store : 46326
Saved path: gelateria, music_store, party_store, bakery, pet_store, salon, jewelry_store, hardware_store, gym, toy_store, burger_joint, cafe, dentist, pizzeria, bank : 49117
Saved path: tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, florist, bank, cafe, clothing_store : 43908
Saved path: music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank : 39035
Saved path: cafe, dentist, clothing_store, tech_shop, toy_store, hardware_store, salon, pet_store, bakery, barber_shop, gelateria, florist, craft_shop, pizzeria, bookstore : 49627
Saved path: party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, bookstore, grocery_store, noodle_house, burger_joint, jewelry_store, bakery, pet_store, bike_shop : 43705
Saved path: pizzeria, gym, hardware_store, noodle_house, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store, bank, craft_shop : 49238
Saved path: bank, craft_shop, dentist, grocery_store, toy_store, burger_joint, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, florist : 48250
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, gym, florist, bank, dentist, cafe, burger_joint : 46981
Saved path: craft_shop, bank, florist, music_store, pharmacy, party_store, bike_shop, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore : 33968
Saved path: pet_store, bike_shop, salon, hardware_store, toy_store, clothing_store, burger_joint, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, barber_shop, bakery : 48078
Saved path: florist, music_store, gelateria, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, burger_joint, cafe, pizzeria, craft_shop, bank : 34520
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria, music_store : 48506
Saved path: cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy, gelateria, craft_shop, bookstore : 46381
Saved path: gym, pizzeria, bookstore, burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, hardware_store : 41601
Saved path: jewelry_store, bakery, bike_shop, gelateria, music_store, florist, bank, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store : 35457
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, burger_joint, bookstore, bank, gym, party_store : 36547
Saved path: craft_shop, bank, florist, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, gym : 42025
Saved path: pharmacy, gelateria, florist, bank, dentist, cafe, burger_joint, tech_shop, toy_store, hardware_store, pet_store, bakery, salon, barber_shop, party_store : 46284
Saved path: clothing_store, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, bank, gelateria, music_store, bike_shop, pet_store, bakery, barber_shop, toy_store : 52339
Saved path: cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, pharmacy, gym, burger_joint, bookstore : 47969
Saved path: salon, bike_shop, bakery, gelateria, music_store, florist, bank, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint : 37843
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, bank, music_store, pharmacy, party_store, bakery, jewelry_store, hardware_store, gym : 38023
Saved path: salon, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, toy_store, gym, hardware_store, bakery, pet_store, bike_shop : 40531
Saved path: gym, toy_store, clothing_store, tech_shop, burger_joint, bookstore, pizzeria, florist, gelateria, bakery, bike_shop, salon, barber_shop, jewelry_store, hardware_store : 38294
Saved path: dentist, craft_shop, florist, bank, pizzeria, gym, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, bookstore : 44869
Saved path: bank, florist, gelateria, pharmacy, party_store, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, dentist, craft_shop : 44950
Saved path: cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, bakery, salon, party_store, pharmacy, gelateria, florist, bank, pizzeria, bookstore : 26956
Saved path: burger_joint, tech_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, bakery, pet_store, bike_shop, hardware_store, gym : 50595
Saved path: bank, gym, burger_joint, dentist, cafe, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria : 49111
Saved path: clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, bank, gelateria, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house : 45694
Saved path: clothing_store, grocery_store, pizzeria, bank, gelateria, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store : 33390
Saved path: bike_shop, salon, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, gelateria, party_store, pet_store : 50909
Saved path: bakery, barber_shop, pharmacy, music_store, florist, craft_shop, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bike_shop : 40706
Saved path: party_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, pharmacy : 40129
Saved path: craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, hardware_store, pet_store, jewelry_store, party_store, pharmacy, gelateria, music_store : 48684
Saved path: bookstore, pizzeria, craft_shop, florist, music_store, salon, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, dentist : 51146
Saved path: pharmacy, music_store, craft_shop, pizzeria, gym, burger_joint, noodle_house, clothing_store, toy_store, hardware_store, jewelry_store, salon, pet_store, bakery, party_store : 45315
Saved path: hardware_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, bank, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store : 41908
Saved path: bakery, pet_store, bike_shop, music_store, gelateria, bank, craft_shop, pizzeria, bookstore, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop : 47939
Saved path: bike_shop, salon, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, gym, pizzeria, craft_shop, florist, pharmacy, party_store : 34885
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, gym, bank, florist, music_store, gelateria, pharmacy, bakery, bike_shop : 42894
Saved path: tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, florist, pizzeria, gym, hardware_store, noodle_house : 36941
Saved path: toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, party_store, bike_shop, bakery, barber_shop : 35707
Saved path: gym, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, bookstore, noodle_house, toy_store : 48223
Saved path: grocery_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, bakery, pet_store, bike_shop, salon, party_store, gelateria, craft_shop, bookstore, cafe : 42624
Saved path: bakery, barber_shop, hardware_store, gym, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, gelateria, pharmacy, salon, bike_shop : 41967
Saved path: music_store, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery, salon, party_store : 41387
Saved path: hardware_store, toy_store, grocery_store, burger_joint, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store : 43344
Saved path: bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, hardware_store, gym, burger_joint : 37840
Saved path: bakery, party_store, pharmacy, gelateria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, pet_store : 41671
Saved path: bakery, pet_store, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, bookstore, craft_shop, bank, gelateria, party_store : 42220
Saved path: pharmacy, gelateria, music_store, craft_shop, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon : 35685
Saved path: toy_store, clothing_store, dentist, cafe, burger_joint, bookstore, pizzeria, bank, music_store, pharmacy, party_store, barber_shop, bakery, salon, hardware_store : 40359
Saved path: craft_shop, pizzeria, music_store, pharmacy, party_store, salon, bike_shop, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist : 38465
Saved path: hardware_store, gym, craft_shop, florist, music_store, gelateria, party_store, salon, bakery, pet_store, barber_shop, toy_store, clothing_store, tech_shop, cafe : 47971
Saved path: toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, hardware_store, gym, bank, florist, party_store, bakery, salon, jewelry_store, barber_shop : 33419
Saved path: gelateria, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, pizzeria, florist : 33760
Saved path: bank, gelateria, music_store, pharmacy, party_store, bakery, bike_shop, salon, jewelry_store, toy_store, grocery_store, tech_shop, burger_joint, pizzeria, craft_shop : 35560
Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, burger_joint, gym, craft_shop, music_store, gelateria, party_store, salon, bakery : 42915
Saved path: salon, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, gelateria, music_store, party_store : 40573
Saved path: florist, craft_shop, pizzeria, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, gelateria, music_store : 36422
Saved path: pet_store, bakery, salon, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint : 40917
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, bank, gelateria, party_store, salon : 36851
Saved path: clothing_store, dentist, bookstore, pizzeria, gelateria, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store : 50914
Saved path: toy_store, barber_shop, jewelry_store, bakery, salon, hardware_store, burger_joint, bookstore, pizzeria, florist, craft_shop, dentist, clothing_store, tech_shop, noodle_house : 34002
Saved path: cafe, burger_joint, gym, hardware_store, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, dentist : 44031
Saved path: toy_store, barber_shop, party_store, gelateria, music_store, pharmacy, bakery, pet_store, hardware_store, gym, burger_joint, bookstore, cafe, dentist, grocery_store : 52777
Saved path: pharmacy, salon, bakery, pet_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, florist, music_store, gelateria : 41557
Saved path: music_store, gelateria, pharmacy, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank : 49062
Saved path: music_store, gelateria, party_store, jewelry_store, bakery, pet_store, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, pizzeria, florist : 48815
Saved path: noodle_house, tech_shop, grocery_store, cafe, burger_joint, gym, bank, florist, gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store, toy_store : 41188
Saved path: toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, bank, craft_shop, dentist, burger_joint, tech_shop : 47675
Saved path: bank, craft_shop, dentist, cafe, bookstore, tech_shop, clothing_store, toy_store, hardware_store, bakery, pet_store, bike_shop, party_store, gelateria, florist : 44432
Saved path: salon, party_store, pharmacy, music_store, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, pet_store, bakery : 47847
Saved path: toy_store, clothing_store, dentist, bank, florist, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, burger_joint, noodle_house : 45059
Saved path: jewelry_store, barber_shop, party_store, gelateria, bank, craft_shop, dentist, bookstore, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery : 48996
Saved path: dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, bakery, bike_shop, salon, pharmacy, gelateria, bank, pizzeria, bookstore, cafe : 37080
Saved path: salon, bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy : 38624
Saved path: toy_store, noodle_house, grocery_store, cafe, dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop : 39398
Saved path: noodle_house, tech_shop, clothing_store, cafe, pizzeria, bank, music_store, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 34845
