Saved path: pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bike_shop, bakery, gelateria, florist, craft_shop : 38880
Saved path: dentist, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, florist, bank : 46531
Saved path: florist, bank, dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, gelateria, music_store : 50698
Saved path: clothing_store, grocery_store, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, bike_shop, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store : 33288
Saved path: florist, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, bakery, bike_shop, jewelry_store, party_store, pharmacy, gelateria : 32403
Saved path: florist, music_store, gelateria, pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, craft_shop, bank : 43916
Saved path: burger_joint, cafe, clothing_store, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, music_store, florist, craft_shop, pizzeria, gym : 43706
Saved path: gym, toy_store, clothing_store, grocery_store, cafe, bookstore, bank, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store : 43522
Saved path: toy_store, clothing_store, tech_shop, cafe, bookstore, craft_shop, florist, music_store, gelateria, party_store, pet_store, bakery, salon, jewelry_store, barber_shop : 44160
Saved path: burger_joint, cafe, dentist, craft_shop, bank, pizzeria, gym, hardware_store, salon, pet_store, bakery, barber_shop, toy_store, clothing_store, tech_shop : 42453
Saved path: craft_shop, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, salon, music_store, gelateria, bank, pizzeria : 48288
Saved path: pharmacy, music_store, florist, bank, craft_shop, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 44184
Saved path: toy_store, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, craft_shop, pizzeria, bookstore, cafe, burger_joint, tech_shop, clothing_store : 35564
Saved path: pet_store, bike_shop, pharmacy, music_store, craft_shop, dentist, grocery_store, clothing_store, tech_shop, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 49689
Saved path: bakery, salon, party_store, music_store, florist, craft_shop, gym, pizzeria, bookstore, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store : 47164
Saved path: hardware_store, gym, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, pizzeria, craft_shop, florist, music_store, party_store, jewelry_store, pet_store : 45796
Saved path: jewelry_store, party_store, gelateria, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, gym, bakery, pet_store, bike_shop, salon : 47418
Saved path: noodle_house, toy_store, gym, hardware_store, salon, bike_shop, bakery, barber_shop, gelateria, music_store, florist, bank, pizzeria, dentist, grocery_store : 44917
Saved path: toy_store, cafe, burger_joint, hardware_store, gym, pizzeria, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop : 38687
Saved path: bakery, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, toy_store, hardware_store, salon, bike_shop : 38766
Saved path: bookstore, pizzeria, florist, music_store, pharmacy, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, gym, toy_store, burger_joint, dentist : 52728
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, bank, music_store, gelateria, pharmacy : 39156
Saved path: jewelry_store, gym, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, florist, music_store, gelateria, pharmacy, party_store, salon, bakery : 39371
Saved path: toy_store, tech_shop, burger_joint, cafe, pizzeria, craft_shop, bank, florist, music_store, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store : 33998
Saved path: music_store, florist, bank, pizzeria, craft_shop, dentist, bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, jewelry_store, salon, bakery : 39472
Saved path: bakery, pet_store, bike_shop, pharmacy, gelateria, pizzeria, dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop : 51618
Saved path: party_store, barber_shop, bakery, bike_shop, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, florist, gelateria : 44443
Saved path: bakery, toy_store, clothing_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, bank, florist, music_store, jewelry_store, bike_shop, pet_store : 49351
Saved path: cafe, burger_joint, bakery, pet_store, bike_shop, salon, jewelry_store, pharmacy, music_store, bank, pizzeria, gym, toy_store, noodle_house, tech_shop : 44478
Saved path: noodle_house, burger_joint, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, music_store, craft_shop, pizzeria, bookstore, grocery_store, toy_store : 41330
Saved path: noodle_house, clothing_store, grocery_store, dentist, burger_joint, gym, pizzeria, bank, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store : 40920
Saved path: barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, pizzeria, bank, pharmacy, party_store, salon, bakery : 38659
Saved path: cafe, grocery_store, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, pharmacy, gelateria, florist, craft_shop, bookstore : 44087
Saved path: bike_shop, pharmacy, music_store, florist, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, bakery, pet_store : 48510
Saved path: bookstore, cafe, dentist, bank, florist, music_store, party_store, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, clothing_store, tech_shop : 52791
Saved path: gym, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, music_store, florist, craft_shop : 37368
Saved path: pet_store, bakery, party_store, pharmacy, florist, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, toy_store, hardware_store, salon, bike_shop : 44663
Saved path: bike_shop, salon, party_store, florist, bank, pizzeria, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, bakery, pet_store : 45625
Saved path: party_store, bakery, bike_shop, salon, jewelry_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, craft_shop, music_store, gelateria, pharmacy : 40950
Saved path: pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bike_shop, gelateria, music_store : 43255
Saved path: bakery, party_store, pharmacy, music_store, craft_shop, bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bike_shop, pet_store : 44396
Saved path: cafe, gym, hardware_store, pharmacy, gelateria, music_store, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop : 39302
Saved path: bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, craft_shop, florist, gelateria : 36005
Saved path: grocery_store, clothing_store, toy_store, gym, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, florist, bank, craft_shop, pizzeria : 40472
Saved path: pet_store, bakery, salon, pharmacy, gelateria, music_store, florist, bank, craft_shop, bookstore, burger_joint, cafe, clothing_store, toy_store, hardware_store : 41119
Saved path: bakery, gelateria, music_store, florist, bank, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop : 40443
Saved path: barber_shop, jewelry_store, party_store, music_store, florist, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, pet_store, bakery : 47040
Saved path: toy_store, noodle_house, bookstore, burger_joint, gym, bakery, bike_shop, party_store, pharmacy, florist, bank, craft_shop, dentist, grocery_store, clothing_store : 37102
Saved path: bakery, salon, party_store, gelateria, music_store, florist, bank, bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym : 32438
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery : 40970
Saved path: bike_shop, salon, party_store, pharmacy, bank, gym, burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, bakery, pet_store : 40615
Saved path: pharmacy, gelateria, florist, bank, craft_shop, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, gym, jewelry_store, bakery, party_store : 32164
Saved path: pharmacy, gelateria, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, salon, bakery : 33910
Saved path: clothing_store, toy_store, hardware_store, bike_shop, bakery, gelateria, music_store, florist, bank, pizzeria, gym, burger_joint, cafe, dentist, grocery_store : 40164
Saved path: party_store, salon, bike_shop, pet_store, jewelry_store, hardware_store, gym, burger_joint, toy_store, grocery_store, cafe, dentist, craft_shop, florist, pharmacy : 48048
Saved path: burger_joint, noodle_house, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, florist, pharmacy, party_store, jewelry_store, bakery : 34363
Saved path: bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, party_store, gelateria, bank, gym, pizzeria : 39679
Saved path: dentist, cafe, burger_joint, gym, pizzeria, bank, florist, music_store, party_store, jewelry_store, bakery, pet_store, hardware_store, toy_store, grocery_store : 49541
Saved path: hardware_store, jewelry_store, bike_shop, bakery, party_store, pharmacy, music_store, florist, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store : 38600
Saved path: music_store, pharmacy, barber_shop, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop : 45632
Saved path: barber_shop, jewelry_store, bakery, gelateria, bank, pizzeria, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store : 39900
Saved path: music_store, gelateria, bakery, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, bank, florist : 35456
Saved path: gym, craft_shop, music_store, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, hardware_store : 47896
Saved path: barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria, florist, bank, pizzeria, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store : 33329
Saved path: bakery, gelateria, music_store, florist, craft_shop, dentist, burger_joint, bookstore, clothing_store, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store : 50519
Saved path: toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, pharmacy, gelateria, florist, bank, pizzeria, craft_shop, dentist, cafe, clothing_store : 44728
Saved path: bakery, party_store, pharmacy, gelateria, music_store, florist, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, pet_store : 42540
Saved path: pharmacy, party_store, salon, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, dentist, pizzeria, bank, music_store, gelateria : 51731
Saved path: barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, gelateria, party_store, salon, bike_shop, pet_store, bakery : 47145
Saved path: toy_store, clothing_store, grocery_store, cafe, burger_joint, craft_shop, bank, florist, music_store, gelateria, party_store, jewelry_store, bakery, pet_store, hardware_store : 43343
Saved path: noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, music_store, gelateria, pharmacy, party_store, bakery, pet_store, barber_shop : 51588
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store : 43472
Saved path: bakery, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, craft_shop, gelateria, pharmacy, party_store, salon, bike_shop, pet_store : 39063
Saved path: hardware_store, gym, pizzeria, craft_shop, bank, gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe : 47319
Saved path: jewelry_store, bakery, bike_shop, party_store, music_store, florist, bank, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 34932
Saved path: craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint, bakery, pet_store, bike_shop, salon, pharmacy, music_store : 46754
Saved path: bike_shop, music_store, gelateria, pizzeria, gym, hardware_store, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store : 49341
Saved path: clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, pizzeria, craft_shop, dentist, cafe : 46270
Saved path: burger_joint, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store, bank, craft_shop, dentist : 42736
Saved path: toy_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, bank, craft_shop, gym, burger_joint, grocery_store, clothing_store, noodle_house : 42206
Saved path: dentist, cafe, burger_joint, gym, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, bank, craft_shop : 50562
Saved path: bookstore, burger_joint, gym, craft_shop, music_store, gelateria, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist : 42713
Saved path: grocery_store, burger_joint, gym, pizzeria, bank, florist, gelateria, party_store, salon, bakery, pet_store, jewelry_store, toy_store, noodle_house, tech_shop : 42644
Saved path: bakery, pet_store, bike_shop, salon, party_store, gelateria, craft_shop, dentist, bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, barber_shop : 51818
Saved path: bakery, barber_shop, pharmacy, gelateria, florist, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, salon, bike_shop, pet_store : 49438
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, music_store, gym, pizzeria, bookstore, dentist, grocery_store : 44154
Saved path: pizzeria, bookstore, burger_joint, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, pharmacy, music_store, bank, craft_shop : 44475
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, bookstore, burger_joint, gym, craft_shop, bank, music_store, pharmacy, bike_shop, bakery, barber_shop, toy_store : 39467
Saved path: barber_shop, jewelry_store, bakery, pet_store, party_store, pharmacy, music_store, bank, craft_shop, gym, burger_joint, cafe, grocery_store, noodle_house, toy_store : 44969
Saved path: craft_shop, bank, florist, gelateria, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, burger_joint, gym : 44952
Saved path: clothing_store, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, salon, party_store, gelateria, bank, craft_shop, dentist, bookstore, tech_shop : 51436
Saved path: jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, music_store, pizzeria, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store : 42700
Saved path: gelateria, florist, bank, pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon : 46704
Saved path: florist, gelateria, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, dentist, bookstore, pizzeria, bank : 47483
Saved path: grocery_store, clothing_store, toy_store, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, florist, craft_shop, dentist, cafe, bookstore : 46123
Saved path: music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, florist : 41415
Saved path: florist, craft_shop, pizzeria, gym, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, pet_store, bike_shop, salon, party_store, gelateria : 42094
Saved path: burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, craft_shop, music_store, gelateria, pharmacy, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 46819
Saved path: bookstore, pizzeria, gym, bank, gelateria, party_store, bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint : 35459
Saved path: burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, florist, pizzeria, gym, hardware_store : 44683
Saved path: music_store, gelateria, party_store, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, florist : 45893
Saved path: toy_store, barber_shop, jewelry_store, bakery, party_store, pharmacy, gelateria, bank, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store : 34945
Saved path: bank, craft_shop, pizzeria, bookstore, cafe, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, party_store, pharmacy : 40764
Saved path: gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, tech_shop, toy_store, hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy : 43696
Saved path: pet_store, bike_shop, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, pizzeria, florist, gelateria, party_store, bakery : 44353
Saved path: gym, toy_store, clothing_store, tech_shop, bookstore, dentist, craft_shop, bank, gelateria, music_store, pharmacy, party_store, bike_shop, pet_store, bakery : 48867
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, bookstore, bank, craft_shop, gym, party_store, salon, bike_shop, pet_store, bakery : 42715
Saved path: hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store : 50158
Saved path: bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, toy_store, gym, hardware_store, bakery, bike_shop, salon, party_store, music_store : 40275
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, florist, gelateria, pharmacy, bakery, pet_store : 46034
Saved path: burger_joint, bookstore, dentist, bank, florist, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, gym, toy_store : 50242
Saved path: cafe, dentist, craft_shop, pizzeria, music_store, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store : 41218
Saved path: clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, pharmacy, bank, pizzeria, bookstore, cafe, dentist : 46796
Saved path: bookstore, craft_shop, bank, florist, music_store, gelateria, pharmacy, bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe : 29820
Saved path: cafe, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, bike_shop, pet_store, pharmacy, music_store, craft_shop, pizzeria, bookstore, burger_joint : 47153
Saved path: tech_shop, burger_joint, gym, bakery, salon, party_store, music_store, florist, bank, pizzeria, bookstore, cafe, grocery_store, toy_store, noodle_house : 31685
Saved path: salon, party_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, grocery_store, dentist, craft_shop, florist, gym, bakery, pet_store, bike_shop : 50090
Saved path: gym, toy_store, clothing_store, tech_shop, bookstore, pizzeria, craft_shop, music_store, gelateria, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store : 48636
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, craft_shop, bank, florist, gym, bakery : 40560
Saved path: bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, pizzeria, gym, hardware_store, burger_joint, cafe, noodle_house, toy_store, barber_shop : 45545
Saved path: gelateria, music_store, florist, craft_shop, gym, cafe, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, jewelry_store, party_store : 45576
Saved path: hardware_store, gym, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, tech_shop, burger_joint, bakery, pet_store, bike_shop, party_store : 43231
Saved path: noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, salon, party_store, gelateria, florist, craft_shop, pizzeria, bookstore, grocery_store, clothing_store : 35822
Saved path: tech_shop, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, jewelry_store, pharmacy, florist, craft_shop, pizzeria, bookstore, burger_joint : 45467
Saved path: pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bakery, salon, party_store, pharmacy, music_store, bank : 36905
Saved path: toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, bank, gelateria, pharmacy, party_store, salon, bakery, barber_shop, hardware_store, burger_joint : 37931
Saved path: pharmacy, gelateria, florist, bank, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon : 42380
Saved path: craft_shop, music_store, gelateria, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, cafe, bookstore, pizzeria : 35578
Saved path: pharmacy, party_store, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, bank, florist, music_store : 43332
Saved path: pizzeria, bookstore, burger_joint, tech_shop, toy_store, gym, pet_store, bakery, salon, party_store, pharmacy, gelateria, florist, bank, craft_shop : 38382
Saved path: grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, bakery, bike_shop, salon, music_store, florist, bank, craft_shop, dentist : 37838
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, burger_joint, bookstore, cafe, dentist, craft_shop, bank, gelateria, music_store, party_store, salon : 39292
Saved path: cafe, bookstore, burger_joint, hardware_store, gym, bank, florist, gelateria, pet_store, bakery, salon, barber_shop, toy_store, clothing_store, grocery_store : 45322
Saved path: pizzeria, craft_shop, florist, gelateria, party_store, barber_shop, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore : 42686
Saved path: pet_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, florist, party_store, jewelry_store, salon, bike_shop : 49309
Saved path: bank, craft_shop, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, gym, bakery, bike_shop, salon, jewelry_store, party_store, gelateria : 40087
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, bank, gelateria, pharmacy, bike_shop, bakery : 38686
Saved path: clothing_store, grocery_store, bookstore, burger_joint, hardware_store, salon, bike_shop, bakery, pharmacy, music_store, florist, bank, craft_shop, gym, toy_store : 34989
Saved path: gelateria, bank, craft_shop, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 46470
Saved path: pizzeria, florist, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, dentist : 40237
Saved path: bakery, gym, burger_joint, toy_store, clothing_store, cafe, dentist, craft_shop, bank, gelateria, music_store, pharmacy, salon, bike_shop, pet_store : 47842
Saved path: hardware_store, gym, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop : 35854
Saved path: bookstore, dentist, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, music_store, florist, bank, craft_shop, gym, pizzeria : 43953
Saved path: gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, music_store, florist, craft_shop, dentist, bookstore, tech_shop, toy_store : 49945
Saved path: craft_shop, gym, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, music_store, florist : 47026
Saved path: salon, bike_shop, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, pizzeria, florist, music_store, pharmacy, party_store : 38464
Saved path: florist, gelateria, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, bakery, toy_store, clothing_store, tech_shop, bookstore, dentist, craft_shop : 46341
Saved path: bakery, party_store, pharmacy, music_store, gelateria, pizzeria, dentist, cafe, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, jewelry_store, salon : 38705
Saved path: craft_shop, florist, gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, bookstore, grocery_store, dentist : 45886
Saved path: bank, florist, music_store, jewelry_store, salon, pet_store, bakery, gym, toy_store, clothing_store, cafe, burger_joint, bookstore, pizzeria, craft_shop : 44914
