Saved path: bookstore, pizzeria, florist, pharmacy, party_store, bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe : 36015
Saved path: dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, party_store, gelateria, music_store, florist, gym, pizzeria : 40977
Saved path: bakery, party_store, pharmacy, music_store, bank, craft_shop, dentist, cafe, bookstore, tech_shop, clothing_store, toy_store, gym, hardware_store, pet_store : 47036
Saved path: gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, burger_joint, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, party_store : 51584
Saved path: bank, pizzeria, bookstore, dentist, burger_joint, noodle_house, toy_store, gym, jewelry_store, salon, pet_store, bakery, party_store, gelateria, music_store : 49838
Saved path: gelateria, music_store, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, gym, pizzeria : 45821
Saved path: burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, bike_shop, pet_store, bakery, party_store, pharmacy, florist, bank, gym : 40448
Saved path: bakery, gym, craft_shop, pizzeria, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pet_store : 39587
Saved path: party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, toy_store, barber_shop, bakery, pet_store : 49012
Saved path: cafe, bookstore, florist, music_store, gelateria, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, dentist : 39922
Saved path: cafe, bookstore, craft_shop, florist, music_store, salon, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint : 43380
Saved path: bookstore, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, music_store, bank, pizzeria, craft_shop, dentist, cafe : 48232
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, music_store, pizzeria, cafe, grocery_store : 44878
Saved path: salon, bike_shop, bakery, barber_shop, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, hardware_store : 38648
Saved path: grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy, pet_store, gym, burger_joint, tech_shop, toy_store, clothing_store : 45936
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, craft_shop, bank, florist, music_store, bakery, pet_store, bike_shop, salon : 44675
Saved path: toy_store, tech_shop, burger_joint, hardware_store, salon, bike_shop, bakery, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, grocery_store : 38859
Saved path: barber_shop, jewelry_store, hardware_store, gym, burger_joint, bookstore, clothing_store, grocery_store, dentist, craft_shop, bank, music_store, gelateria, pharmacy, bakery : 41333
Saved path: hardware_store, jewelry_store, pet_store, bakery, salon, music_store, florist, bank, craft_shop, gym, toy_store, noodle_house, clothing_store, cafe, burger_joint : 45053
Saved path: cafe, bookstore, pizzeria, craft_shop, bank, florist, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house : 40588
Saved path: jewelry_store, hardware_store, gym, burger_joint, bookstore, dentist, craft_shop, bank, music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop : 48292
Saved path: cafe, dentist, craft_shop, pizzeria, bank, music_store, pharmacy, party_store, bakery, salon, hardware_store, toy_store, clothing_store, tech_shop, burger_joint : 34344
Saved path: toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, grocery_store, dentist, bank, music_store, party_store, bike_shop, bakery, barber_shop, hardware_store : 43967
Saved path: pizzeria, craft_shop, dentist, cafe, grocery_store, tech_shop, toy_store, hardware_store, bakery, salon, pharmacy, gelateria, music_store, florist, bank : 34013
Saved path: dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, bakery, gelateria, florist, bank, gym, hardware_store, burger_joint, cafe : 42121
Saved path: party_store, pharmacy, music_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, dentist, cafe, burger_joint, gym, hardware_store : 53348
Saved path: barber_shop, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria : 38256
Saved path: gym, craft_shop, bank, florist, music_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, hardware_store : 36082
Saved path: pet_store, bakery, salon, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, florist, music_store, barber_shop : 50789
Saved path: gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, bank, florist, gelateria, party_store, bike_shop, bakery, barber_shop, hardware_store : 43685
Saved path: barber_shop, bakery, bike_shop, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, bank, florist, music_store, party_store : 38139
Saved path: salon, jewelry_store, party_store, pharmacy, gelateria, craft_shop, pizzeria, bookstore, tech_shop, grocery_store, clothing_store, toy_store, gym, hardware_store, pet_store : 43551
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, pet_store, pharmacy, bank, craft_shop, dentist, cafe : 43787
Saved path: gelateria, pharmacy, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, bookstore, dentist, craft_shop, pizzeria, bank, florist : 47953
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy, bank, pizzeria, cafe, clothing_store : 39408
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, gelateria, music_store, florist, craft_shop, gym, cafe, clothing_store : 46068
Saved path: florist, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, salon, pharmacy, gelateria, music_store : 47500
Saved path: florist, bank, craft_shop, pizzeria, cafe, burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, music_store : 35242
Saved path: gelateria, music_store, party_store, pet_store, bakery, salon, jewelry_store, hardware_store, burger_joint, bookstore, tech_shop, toy_store, grocery_store, dentist, bank : 49167
Saved path: dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store : 41965
Saved path: hardware_store, jewelry_store, bakery, pet_store, bike_shop, pharmacy, florist, bank, pizzeria, dentist, burger_joint, tech_shop, noodle_house, toy_store, gym : 47685
Saved path: pharmacy, gelateria, bank, craft_shop, gym, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, party_store : 34919
Saved path: hardware_store, toy_store, tech_shop, clothing_store, dentist, craft_shop, pizzeria, florist, music_store, gelateria, party_store, salon, bike_shop, pet_store, bakery : 45988
Saved path: noodle_house, tech_shop, grocery_store, dentist, bookstore, burger_joint, gym, pizzeria, gelateria, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store : 39741
Saved path: salon, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, bank, florist, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store : 43361
Saved path: craft_shop, florist, music_store, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, burger_joint, gym : 39800
Saved path: party_store, pharmacy, gelateria, music_store, bank, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, bakery, jewelry_store : 39210
Saved path: florist, gelateria, party_store, salon, bike_shop, bakery, toy_store, clothing_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, bank : 35407
Saved path: pet_store, bike_shop, salon, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, dentist, bank, florist, pharmacy, barber_shop, bakery : 50867
Saved path: music_store, gelateria, party_store, bakery, pet_store, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist : 47137
Saved path: gelateria, music_store, craft_shop, dentist, grocery_store, cafe, bookstore, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy : 50750
Saved path: noodle_house, clothing_store, grocery_store, dentist, burger_joint, gym, craft_shop, pizzeria, gelateria, party_store, salon, bakery, pet_store, barber_shop, toy_store : 50135
Saved path: dentist, craft_shop, music_store, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, hardware_store, gym, toy_store, tech_shop, burger_joint : 52956
Saved path: bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, salon, music_store, gelateria, party_store, hardware_store, burger_joint : 40809
Saved path: bakery, pet_store, bike_shop, gelateria, music_store, florist, gym, pizzeria, bookstore, cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop : 48070
Saved path: noodle_house, burger_joint, bakery, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, bank, pizzeria, bookstore, dentist, grocery_store, toy_store : 40601
Saved path: toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, dentist, clothing_store, tech_shop : 47171
Saved path: pet_store, bike_shop, party_store, pharmacy, music_store, craft_shop, pizzeria, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store : 45361
Saved path: toy_store, clothing_store, grocery_store, bookstore, pizzeria, bank, florist, music_store, gelateria, party_store, salon, bakery, pet_store, burger_joint, noodle_house : 40196
Saved path: clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bakery, pharmacy, music_store, gelateria, bank, craft_shop, dentist, cafe, bookstore, grocery_store : 35738
Saved path: salon, bakery, party_store, pharmacy, bank, craft_shop, pizzeria, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store : 31327
Saved path: bookstore, pizzeria, bank, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, hardware_store, toy_store, clothing_store, grocery_store, cafe : 43884
Saved path: hardware_store, gym, pizzeria, florist, gelateria, salon, pet_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, dentist, cafe, burger_joint : 51155
Saved path: grocery_store, clothing_store, toy_store, jewelry_store, bakery, bike_shop, salon, party_store, music_store, gelateria, bank, gym, burger_joint, noodle_house, tech_shop : 36719
Saved path: party_store, pharmacy, gelateria, music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery : 35598
Saved path: toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, party_store, florist, bank, craft_shop, dentist, grocery_store, bookstore, tech_shop, noodle_house : 38053
Saved path: hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy, salon, bakery, barber_shop, jewelry_store : 35938
Saved path: gelateria, pharmacy, jewelry_store, bike_shop, bakery, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist, music_store : 38802
Saved path: music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop : 34962
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, burger_joint, cafe, dentist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery : 43657
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, gelateria, music_store, bank, bookstore, burger_joint, cafe, dentist, grocery_store : 48838
Saved path: salon, party_store, gelateria, bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop : 34722
Saved path: pet_store, party_store, pharmacy, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery : 47812
Saved path: jewelry_store, pet_store, bakery, salon, party_store, gelateria, music_store, bank, pizzeria, gym, burger_joint, cafe, dentist, grocery_store, toy_store : 49981
Saved path: hardware_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, florist, bank, pizzeria : 36111
Saved path: tech_shop, noodle_house, toy_store, pet_store, bakery, salon, party_store, gelateria, florist, bank, craft_shop, bookstore, cafe, grocery_store, clothing_store : 37672
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, bank, gelateria, pharmacy, salon, bakery, pet_store, jewelry_store : 44608
Saved path: grocery_store, clothing_store, tech_shop, toy_store, hardware_store, barber_shop, bakery, salon, party_store, pharmacy, music_store, florist, bookstore, cafe, dentist : 40197
Saved path: bakery, bike_shop, jewelry_store, hardware_store, toy_store, tech_shop, bookstore, cafe, grocery_store, dentist, craft_shop, bank, florist, gelateria, pharmacy : 38114
Saved path: grocery_store, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, party_store, pharmacy, gelateria, music_store, florist, bank, bookstore : 45135
Saved path: toy_store, barber_shop, pet_store, bakery, party_store, gelateria, florist, bank, craft_shop, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store : 50896
Saved path: bank, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, gym : 44965
Saved path: hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, gelateria, pizzeria, dentist, cafe, noodle_house, toy_store : 50685
Saved path: cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria, party_store, jewelry_store, salon, bike_shop, gym, burger_joint, toy_store, clothing_store : 42205
Saved path: dentist, grocery_store, clothing_store, toy_store, hardware_store, pet_store, bike_shop, salon, party_store, music_store, florist, gym, burger_joint, bookstore, cafe : 49289
Saved path: bakery, jewelry_store, toy_store, noodle_house, tech_shop, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, salon, bike_shop : 38431
Saved path: salon, party_store, music_store, florist, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 47497
Saved path: gym, craft_shop, florist, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, noodle_house, bookstore, cafe, burger_joint, hardware_store : 34520
Saved path: bike_shop, salon, music_store, florist, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery : 43692
Saved path: craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, salon, bakery, gelateria, bank, pizzeria : 37770
Saved path: gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, grocery_store, dentist, cafe, burger_joint, bookstore, bank : 48117
Saved path: gym, hardware_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy, bank, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store : 44736
Saved path: grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, music_store, florist, bank, bookstore, cafe, dentist : 52187
Saved path: florist, bank, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, hardware_store, bakery, pharmacy, gelateria, music_store : 35092
Saved path: cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, florist, bank, pizzeria : 30245
Saved path: clothing_store, tech_shop, noodle_house, burger_joint, dentist, pizzeria, bank, gelateria, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store : 36387
Saved path: noodle_house, clothing_store, toy_store, barber_shop, pet_store, bakery, pharmacy, gelateria, music_store, florist, bank, craft_shop, dentist, cafe, burger_joint : 48015
Saved path: bakery, party_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist, bookstore, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, salon : 37910
Saved path: bike_shop, salon, hardware_store, gym, toy_store, tech_shop, burger_joint, dentist, pizzeria, music_store, gelateria, pharmacy, party_store, bakery, pet_store : 48124
Saved path: pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, salon, bike_shop, gelateria, florist, craft_shop : 36420
Saved path: dentist, craft_shop, bank, florist, bookstore, burger_joint, bakery, pet_store, salon, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, cafe : 43136
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, music_store, florist, pizzeria, gym, dentist : 52054
Saved path: pet_store, bike_shop, salon, party_store, gelateria, florist, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, bakery : 41376
Saved path: gelateria, pharmacy, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, gym, pizzeria, craft_shop, bank, florist : 41618
Saved path: pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, music_store, florist, bank : 35907
Saved path: pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, gym, bank, music_store, gelateria, pharmacy, party_store : 46564
Saved path: bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, pet_store, bike_shop, salon, pharmacy, party_store, jewelry_store, hardware_store, gym, burger_joint : 48869
Saved path: bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, cafe, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store : 34686
Saved path: grocery_store, clothing_store, toy_store, hardware_store, pet_store, jewelry_store, party_store, pharmacy, gelateria, florist, pizzeria, bookstore, burger_joint, cafe, dentist : 45704
Saved path: gym, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, gelateria, bank, dentist, cafe, grocery_store, clothing_store, toy_store : 49138
Saved path: bakery, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, florist, music_store, pharmacy, party_store : 29160
Saved path: gym, hardware_store, salon, bakery, barber_shop, pharmacy, gelateria, music_store, bank, pizzeria, craft_shop, dentist, tech_shop, noodle_house, toy_store : 41166
Saved path: party_store, pharmacy, music_store, craft_shop, dentist, cafe, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon : 42932
Saved path: tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, gelateria, florist, gym, pizzeria, bookstore, burger_joint : 44934
Saved path: party_store, pharmacy, florist, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, salon : 34698
Saved path: grocery_store, dentist, bookstore, burger_joint, gym, pizzeria, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house : 45024
Saved path: jewelry_store, barber_shop, bakery, salon, party_store, gelateria, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store : 33942
Saved path: pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, clothing_store, grocery_store, dentist, burger_joint, bookstore, florist, music_store, gelateria : 50076
Saved path: gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, cafe, dentist, pizzeria, bank, florist, music_store : 41184
Saved path: bakery, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bank, florist, craft_shop, gym, jewelry_store, salon, bike_shop, pet_store : 39585
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bakery, pet_store, party_store, music_store, gelateria, pizzeria, cafe, grocery_store : 44170
Saved path: florist, pizzeria, bookstore, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, party_store, music_store : 47074
Saved path: noodle_house, toy_store, hardware_store, pet_store, bakery, barber_shop, party_store, gelateria, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop : 48927
Saved path: bank, florist, gelateria, party_store, bakery, salon, jewelry_store, hardware_store, toy_store, clothing_store, cafe, burger_joint, bookstore, pizzeria, craft_shop : 30466
Saved path: salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, craft_shop, music_store, gelateria, pharmacy, pet_store : 46556
Saved path: jewelry_store, barber_shop, bakery, party_store, pharmacy, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, noodle_house, toy_store, hardware_store : 37241
Saved path: pizzeria, bank, florist, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, cafe, bookstore : 40787
Saved path: toy_store, tech_shop, burger_joint, hardware_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, florist, bank, pizzeria, dentist, clothing_store : 42760
Saved path: music_store, party_store, salon, bike_shop, bakery, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop : 38658
Saved path: bakery, salon, party_store, pharmacy, music_store, florist, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, pet_store : 39612
Saved path: pet_store, jewelry_store, party_store, gelateria, music_store, florist, pizzeria, bookstore, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, gym : 49676
Saved path: bike_shop, salon, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym : 32014
Saved path: party_store, pharmacy, gelateria, bank, craft_shop, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, pet_store, bakery : 40344
Saved path: toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, florist, music_store, party_store, bakery, bike_shop, salon, hardware_store, gym : 38100
Saved path: dentist, cafe, bookstore, burger_joint, toy_store, gym, hardware_store, jewelry_store, bakery, party_store, pharmacy, music_store, gelateria, pizzeria, craft_shop : 39322
Saved path: jewelry_store, bakery, bike_shop, party_store, gelateria, music_store, florist, bank, pizzeria, bookstore, clothing_store, tech_shop, noodle_house, toy_store, hardware_store : 35269
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store, pharmacy, music_store, pizzeria, craft_shop, dentist, burger_joint : 51035
Saved path: craft_shop, pizzeria, gelateria, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist : 37580
Saved path: cafe, burger_joint, bookstore, craft_shop, florist, music_store, gelateria, party_store, salon, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store : 35949
Saved path: florist, gelateria, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria : 52077
Saved path: bakery, salon, jewelry_store, pharmacy, gelateria, music_store, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, gym, pet_store : 50509
Saved path: bank, craft_shop, pizzeria, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, salon, pet_store, bakery, party_store, music_store : 43561
Saved path: craft_shop, bank, florist, music_store, gelateria, party_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, gym : 41314
Saved path: cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, music_store, craft_shop, bookstore : 49870
Saved path: clothing_store, grocery_store, bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy, salon, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house : 32821
Saved path: clothing_store, grocery_store, dentist, bookstore, pizzeria, gelateria, music_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house : 52625
Saved path: florist, bank, craft_shop, pizzeria, bookstore, tech_shop, toy_store, gym, hardware_store, salon, bike_shop, bakery, barber_shop, pharmacy, music_store : 38206
