Saved path: bank, florist, music_store, party_store, salon, bakery, pet_store, gym, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop : 47278
Saved path: pet_store, bike_shop, salon, pharmacy, gelateria, music_store, craft_shop, bookstore, cafe, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery : 46290
Saved path: cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, party_store, bakery, jewelry_store, toy_store, clothing_store, grocery_store, dentist : 36531
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, bank, florist, bookstore, burger_joint, hardware_store, party_store : 40755
Saved path: pharmacy, gelateria, florist, pizzeria, bookstore, burger_joint, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store : 34125
Saved path: bike_shop, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, florist, gelateria, pharmacy, bakery, pet_store : 46821
Saved path: tech_shop, burger_joint, bookstore, cafe, dentist, bank, florist, gelateria, pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 36488
Saved path: florist, music_store, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, clothing_store, tech_shop, bookstore, craft_shop, bank : 47350
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, gym, pizzeria, music_store, gelateria, pharmacy, party_store : 38296
Saved path: toy_store, tech_shop, clothing_store, grocery_store, dentist, craft_shop, music_store, pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym : 43407
Saved path: pharmacy, gelateria, music_store, bank, pizzeria, craft_shop, dentist, clothing_store, toy_store, noodle_house, burger_joint, gym, bakery, pet_store, party_store : 46494
Saved path: music_store, florist, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bike_shop, pet_store, bakery, party_store, gelateria : 45072
Saved path: barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, gym, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, gelateria : 50341
Saved path: bank, florist, gelateria, party_store, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, pizzeria : 49516
Saved path: burger_joint, tech_shop, toy_store, grocery_store, cafe, dentist, craft_shop, florist, party_store, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store : 48781
Saved path: clothing_store, toy_store, jewelry_store, salon, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, grocery_store : 32072
Saved path: pet_store, bike_shop, music_store, florist, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bakery : 48880
Saved path: burger_joint, cafe, bookstore, pizzeria, florist, music_store, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house : 43066
Saved path: gelateria, pharmacy, barber_shop, bakery, bike_shop, salon, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, dentist, craft_shop, florist, music_store : 41522
Saved path: dentist, bank, florist, pharmacy, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe : 41316
Saved path: toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, gym : 42890
Saved path: gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, florist, music_store, pharmacy, bakery, jewelry_store, hardware_store : 38574
Saved path: music_store, gelateria, party_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop : 49108
Saved path: florist, pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, craft_shop, pizzeria : 39854
Saved path: burger_joint, cafe, dentist, craft_shop, music_store, gelateria, party_store, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house : 38105
Saved path: grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, music_store, craft_shop, pizzeria, bookstore, burger_joint, dentist : 42121
Saved path: jewelry_store, salon, bakery, party_store, pharmacy, music_store, florist, bank, craft_shop, gym, burger_joint, bookstore, cafe, clothing_store, toy_store : 34039
Saved path: bike_shop, bakery, barber_shop, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, toy_store, hardware_store : 43992
Saved path: pet_store, bakery, pharmacy, florist, bank, gym, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop : 44004
Saved path: toy_store, noodle_house, burger_joint, bookstore, cafe, grocery_store, dentist, florist, music_store, gelateria, pharmacy, salon, bike_shop, pet_store, hardware_store : 47890
Saved path: bookstore, burger_joint, gym, craft_shop, bank, florist, music_store, pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, clothing_store, cafe : 44927
Saved path: bakery, bike_shop, salon, pharmacy, gelateria, bank, craft_shop, dentist, grocery_store, toy_store, tech_shop, bookstore, burger_joint, hardware_store, barber_shop : 41617
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, bakery, salon, party_store : 36986
Saved path: clothing_store, grocery_store, dentist, bookstore, pizzeria, florist, pharmacy, bakery, pet_store, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop : 50427
Saved path: dentist, craft_shop, pizzeria, bank, florist, music_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint : 47810
Saved path: bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, bank, dentist, cafe, bookstore, pizzeria, gym, toy_store, barber_shop : 52979
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, bookstore, pizzeria, craft_shop, music_store, pharmacy, salon, bike_shop : 47504
Saved path: burger_joint, hardware_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, grocery_store, toy_store, noodle_house : 41596
Saved path: toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, gym, craft_shop, florist, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop : 32895
Saved path: gelateria, music_store, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, hardware_store, gym, bank : 47830
Saved path: gelateria, craft_shop, pizzeria, gym, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store : 35842
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, grocery_store, dentist, bank, gelateria, bike_shop, bakery, jewelry_store : 41714
Saved path: toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, music_store, florist, pizzeria, dentist, grocery_store, burger_joint, tech_shop, noodle_house : 48785
Saved path: music_store, gelateria, pharmacy, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, florist : 46831
Saved path: cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, bank, craft_shop, pizzeria, gym : 45193
Saved path: party_store, pharmacy, gelateria, music_store, bank, craft_shop, cafe, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, salon, bakery, pet_store : 43669
Saved path: barber_shop, bakery, pet_store, salon, pharmacy, gelateria, florist, gym, pizzeria, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store : 49525
Saved path: bike_shop, bakery, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, bank, music_store, pharmacy, party_store, jewelry_store, salon : 41849
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, craft_shop, bookstore, cafe : 44587
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, bookstore, dentist, craft_shop, pizzeria, florist, music_store, pharmacy, bakery : 39135
Saved path: bank, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, grocery_store, clothing_store, toy_store, gym, pizzeria : 35180
Saved path: dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, pet_store, salon, jewelry_store, party_store, florist, craft_shop, pizzeria, bookstore : 48471
Saved path: pizzeria, florist, gelateria, pharmacy, jewelry_store, salon, bike_shop, pet_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, cafe, dentist : 45800
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint : 39589
Saved path: bookstore, burger_joint, hardware_store, jewelry_store, salon, pharmacy, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop : 37220
Saved path: craft_shop, bank, florist, music_store, party_store, jewelry_store, salon, bakery, pet_store, burger_joint, bookstore, tech_shop, toy_store, grocery_store, dentist : 47567
Saved path: bank, florist, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, gym : 40541
