Saved path: clothing_store, grocery_store, tech_shop, burger_joint, gym, pizzeria, craft_shop, music_store, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store : 46002
Saved path: burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, music_store, florist, bank, dentist, cafe : 47433
Saved path: bike_shop, party_store, music_store, bank, pizzeria, craft_shop, dentist, cafe, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 49932
Saved path: burger_joint, cafe, dentist, craft_shop, music_store, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store, toy_store, clothing_store, grocery_store, bookstore : 49862
Saved path: craft_shop, gym, burger_joint, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store, bank : 52491
Saved path: salon, bike_shop, bakery, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist, craft_shop, pizzeria, bank, gelateria, music_store : 37445
Saved path: dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, party_store, gelateria, florist, bank, bookstore, cafe : 45424
Saved path: bank, craft_shop, dentist, grocery_store, bookstore, burger_joint, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria : 47800
Saved path: cafe, bookstore, pizzeria, bank, pharmacy, party_store, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, gym, toy_store, grocery_store : 44377
Saved path: tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, music_store, florist, bank, bookstore, grocery_store, clothing_store : 38458
Saved path: party_store, gelateria, florist, bank, craft_shop, dentist, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bike_shop, bakery, barber_shop : 39082
Saved path: bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, craft_shop, florist, pharmacy, party_store, bike_shop, pet_store : 49762
Saved path: music_store, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, hardware_store, gym, toy_store, grocery_store, dentist, cafe, bookstore, florist : 45420
Saved path: craft_shop, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, party_store, pharmacy, music_store, bank : 43521
Saved path: music_store, gelateria, pizzeria, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, bakery, pet_store, bike_shop, salon : 49462
Saved path: noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, music_store, party_store, salon, bike_shop, pet_store, hardware_store, toy_store : 47028
Saved path: pharmacy, music_store, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery : 42841
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, music_store, florist, pizzeria, craft_shop, dentist, burger_joint : 40638
Saved path: cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, bank, gym, hardware_store, burger_joint : 35909
Saved path: gelateria, pharmacy, party_store, pet_store, bakery, jewelry_store, barber_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, gym, bank, music_store : 49110
Saved path: bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, craft_shop, gelateria, pharmacy, party_store, salon, bike_shop, pet_store : 46100
Saved path: barber_shop, jewelry_store, salon, pet_store, bakery, pharmacy, gelateria, music_store, florist, pizzeria, gym, hardware_store, burger_joint, noodle_house, toy_store : 45326
Saved path: noodle_house, toy_store, gym, hardware_store, pet_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, grocery_store : 47578
Saved path: party_store, salon, bakery, pet_store, jewelry_store, barber_shop, toy_store, grocery_store, burger_joint, hardware_store, gym, craft_shop, bank, music_store, gelateria : 47013
Saved path: jewelry_store, salon, bakery, pet_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, florist, gelateria, pharmacy, party_store : 45053
Saved path: toy_store, grocery_store, noodle_house, hardware_store, gym, craft_shop, florist, music_store, gelateria, party_store, pet_store, bakery, salon, jewelry_store, barber_shop : 47677
Saved path: hardware_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store : 48158
Saved path: burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, pharmacy, music_store, florist, bank, gym, pizzeria, craft_shop, dentist : 49767
Saved path: bank, pizzeria, bookstore, cafe, burger_joint, tech_shop, toy_store, gym, bakery, bike_shop, salon, jewelry_store, pharmacy, gelateria, music_store : 35991
Saved path: grocery_store, cafe, bookstore, craft_shop, florist, music_store, gelateria, party_store, salon, pet_store, gym, burger_joint, noodle_house, toy_store, clothing_store : 43387
Saved path: craft_shop, pizzeria, gym, burger_joint, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, gelateria, bank : 49926
Saved path: gym, hardware_store, jewelry_store, pet_store, bakery, pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, grocery_store, noodle_house, toy_store : 45654
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, gelateria, music_store, florist, craft_shop, pizzeria, burger_joint, grocery_store, tech_shop : 46618
Saved path: bakery, jewelry_store, barber_shop, toy_store, grocery_store, bookstore, pizzeria, gym, craft_shop, bank, florist, gelateria, pharmacy, salon, bike_shop : 36508
Saved path: gym, burger_joint, dentist, clothing_store, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, party_store, pharmacy, gelateria, craft_shop, pizzeria : 49230
Saved path: florist, craft_shop, hardware_store, jewelry_store, salon, bike_shop, pet_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria : 41237
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, florist, bank, gym, bookstore, cafe, noodle_house, toy_store, barber_shop, jewelry_store : 44354
Saved path: tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, gelateria, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store : 36062
Saved path: pizzeria, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint, gym, pet_store, bike_shop, salon, jewelry_store, pharmacy, music_store, florist : 46397
Saved path: party_store, pharmacy, gelateria, florist, pizzeria, dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, pet_store, bakery, barber_shop : 48444
Saved path: party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, bookstore, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, barber_shop : 46334
Saved path: gym, burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, pharmacy, music_store, bank, craft_shop, pizzeria : 36026
Saved path: salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, burger_joint, bookstore, bank, florist, party_store : 39295
Saved path: dentist, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, bakery, pharmacy, music_store, gym, burger_joint, bookstore, cafe : 52046
Saved path: florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store : 48322
Saved path: cafe, bookstore, bank, florist, party_store, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, grocery_store, dentist : 49544
Saved path: burger_joint, clothing_store, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, bank, pizzeria, gym : 43720
Saved path: pizzeria, florist, gelateria, pharmacy, jewelry_store, salon, bike_shop, pet_store, bakery, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, gym : 43839
Saved path: bike_shop, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, pizzeria, florist, music_store, pharmacy, party_store, bakery, pet_store : 48679
Saved path: party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, tech_shop, burger_joint, gym, bakery : 37258
Saved path: dentist, grocery_store, tech_shop, noodle_house, toy_store, jewelry_store, bakery, salon, pharmacy, gelateria, music_store, florist, bank, bookstore, cafe : 36935
Saved path: bank, florist, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria : 32712
Saved path: toy_store, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, florist, party_store, bakery, pet_store, barber_shop, jewelry_store, hardware_store : 48066
Saved path: clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, salon, bike_shop, bakery, barber_shop, pharmacy, florist, pizzeria, bookstore, dentist : 43857
Saved path: bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, pet_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe : 43171
Saved path: gym, craft_shop, florist, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, noodle_house, tech_shop, clothing_store, toy_store : 43758
Saved path: bike_shop, bakery, party_store, gelateria, florist, bank, craft_shop, dentist, bookstore, tech_shop, clothing_store, toy_store, gym, hardware_store, salon : 37772
Saved path: noodle_house, grocery_store, dentist, cafe, bookstore, pizzeria, bank, florist, gelateria, pharmacy, salon, bike_shop, bakery, hardware_store, toy_store : 35244
Saved path: dentist, cafe, bookstore, bank, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, gym, toy_store, noodle_house, clothing_store : 42480
Saved path: pizzeria, bank, florist, pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, burger_joint, gym : 33802
Saved path: pet_store, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, pizzeria, craft_shop, bank, music_store, gelateria, jewelry_store : 45177
Saved path: hardware_store, jewelry_store, bakery, party_store, gelateria, music_store, florist, bank, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store : 37295
Saved path: clothing_store, grocery_store, bookstore, pizzeria, bank, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop : 45074
Saved path: grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, pharmacy, party_store, barber_shop, bakery, hardware_store, burger_joint, noodle_house, toy_store, clothing_store : 32656
Saved path: clothing_store, toy_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, cafe, tech_shop : 36253
Saved path: gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, burger_joint, gym, jewelry_store, bakery, pet_store : 49047
Saved path: dentist, cafe, bookstore, burger_joint, hardware_store, bakery, pet_store, bike_shop, salon, music_store, gelateria, jewelry_store, barber_shop, toy_store, clothing_store : 52062
Saved path: pizzeria, florist, gelateria, pharmacy, bike_shop, pet_store, bakery, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe, dentist, craft_shop : 46403
Saved path: party_store, pharmacy, gelateria, music_store, bank, gym, dentist, cafe, grocery_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 51718
Saved path: pet_store, bakery, salon, party_store, pharmacy, music_store, florist, bank, pizzeria, craft_shop, dentist, tech_shop, toy_store, gym, hardware_store : 45220
Saved path: party_store, pharmacy, gelateria, music_store, bank, pizzeria, craft_shop, dentist, grocery_store, toy_store, gym, jewelry_store, salon, bakery, pet_store : 48119
Saved path: hardware_store, bakery, barber_shop, party_store, gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, clothing_store, toy_store : 35459
Saved path: toy_store, clothing_store, tech_shop, cafe, bookstore, craft_shop, bank, music_store, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store : 44307
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, burger_joint, gym, pizzeria, craft_shop, florist, pharmacy, pet_store, bakery, salon : 42334
Saved path: craft_shop, pizzeria, bank, florist, gelateria, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, tech_shop, grocery_store, cafe, dentist : 46167
Saved path: cafe, dentist, bank, florist, gym, hardware_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store : 45038
Saved path: barber_shop, toy_store, tech_shop, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, bank, gelateria, pharmacy, bakery, pet_store, jewelry_store : 45446
Saved path: hardware_store, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, bookstore, burger_joint, gym : 47408
Saved path: burger_joint, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, pharmacy, florist, bank, dentist, cafe, grocery_store, clothing_store, toy_store : 47019
Saved path: music_store, gelateria, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, gym, pizzeria, florist : 48038
Saved path: florist, bank, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, hardware_store, gym : 37475
Saved path: burger_joint, tech_shop, noodle_house, toy_store, gym, bakery, salon, pharmacy, gelateria, florist, bank, craft_shop, dentist, cafe, bookstore : 33258
Saved path: craft_shop, dentist, cafe, bookstore, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, florist, bank, pizzeria : 36430
Saved path: barber_shop, toy_store, clothing_store, noodle_house, burger_joint, hardware_store, gym, craft_shop, bank, music_store, pharmacy, party_store, pet_store, bakery, jewelry_store : 45970
Saved path: cafe, dentist, craft_shop, florist, pizzeria, gym, bakery, pet_store, bike_shop, salon, party_store, barber_shop, toy_store, noodle_house, tech_shop : 47516
Saved path: toy_store, clothing_store, noodle_house, burger_joint, bookstore, pizzeria, gym, bank, florist, gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop : 46686
Saved path: burger_joint, hardware_store, gym, pizzeria, florist, music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, clothing_store, cafe, bookstore : 40226
Saved path: clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy, gelateria, florist, bank, pizzeria, gym, dentist, grocery_store : 38315
Saved path: florist, music_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, pizzeria : 41911
Saved path: bike_shop, party_store, gelateria, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bakery : 38687
Saved path: pizzeria, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, bookstore : 48844
Saved path: gym, hardware_store, noodle_house, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, florist, bank, pizzeria : 39387
Saved path: bakery, party_store, music_store, florist, bank, pizzeria, craft_shop, dentist, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop : 40812
Saved path: jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria, bank, florist, gelateria, pharmacy, bakery, pet_store, bike_shop : 40298
Saved path: burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, gelateria, music_store, florist, gym : 37793
Saved path: barber_shop, toy_store, clothing_store, grocery_store, dentist, pizzeria, bank, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 45566
Saved path: toy_store, noodle_house, burger_joint, gym, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store : 45160
Saved path: gym, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, bookstore, pizzeria, craft_shop, florist : 41125
Saved path: toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, salon, bike_shop, pet_store, gelateria, music_store, florist, craft_shop, pizzeria, gym : 44843
Saved path: barber_shop, jewelry_store, pet_store, bakery, music_store, florist, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, cafe, tech_shop, toy_store : 45861
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, bakery, gelateria, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, grocery_store, tech_shop, noodle_house : 38245
Saved path: pizzeria, bank, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, bookstore : 42716
Saved path: music_store, florist, bank, pizzeria, gym, burger_joint, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, bike_shop, party_store : 43686
Saved path: pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store, jewelry_store, bike_shop, pet_store, bakery, party_store, music_store, florist, bank : 47145
Saved path: gelateria, bank, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, party_store : 38273
Saved path: clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, bank, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop : 48609
Saved path: dentist, tech_shop, noodle_house, toy_store, gym, jewelry_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, florist, bank, pizzeria : 45443
Saved path: pizzeria, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, gelateria, florist, craft_shop : 35316
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery : 44420
Saved path: music_store, gelateria, pharmacy, party_store, pet_store, salon, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, burger_joint, bookstore, craft_shop, florist : 43877
Saved path: music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, cafe, bookstore, bank, florist : 35133
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, dentist, bookstore, pizzeria, bank, gelateria, party_store, salon, bike_shop : 49203
Saved path: bakery, salon, jewelry_store, hardware_store, gym, toy_store, clothing_store, dentist, cafe, burger_joint, bookstore, pizzeria, florist, gelateria, pharmacy : 38106
Saved path: bakery, barber_shop, toy_store, tech_shop, grocery_store, dentist, bookstore, burger_joint, gym, florist, music_store, gelateria, pharmacy, salon, bike_shop : 44649
Saved path: noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, party_store, gelateria, music_store, florist, pizzeria, cafe, grocery_store, toy_store : 36262
Saved path: gelateria, party_store, bakery, bike_shop, jewelry_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria : 39953
Saved path: bakery, pharmacy, gelateria, florist, bank, gym, toy_store, tech_shop, grocery_store, cafe, burger_joint, hardware_store, salon, bike_shop, pet_store : 40999
Saved path: pharmacy, party_store, salon, bike_shop, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, bookstore, pizzeria, bank, florist : 31573
Saved path: music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, toy_store, noodle_house, tech_shop, grocery_store, pizzeria, bank, florist : 34241
Saved path: gelateria, music_store, craft_shop, pizzeria, bookstore, burger_joint, grocery_store, clothing_store, toy_store, hardware_store, barber_shop, bakery, bike_shop, salon, party_store : 38970
Saved path: bakery, party_store, gelateria, music_store, florist, bank, bookstore, burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store : 43318
Saved path: jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, music_store, gelateria, pizzeria, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 48905
Saved path: florist, music_store, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore : 46800
Saved path: bakery, party_store, gelateria, music_store, florist, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, clothing_store, toy_store, barber_shop, jewelry_store : 41266
Saved path: pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 48182
Saved path: florist, music_store, gelateria, party_store, jewelry_store, salon, bakery, pet_store, gym, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria : 48670
Saved path: salon, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, party_store : 48028
Saved path: pharmacy, music_store, florist, craft_shop, dentist, bookstore, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 48067
Saved path: salon, party_store, pharmacy, bank, pizzeria, gym, hardware_store, burger_joint, bookstore, dentist, clothing_store, toy_store, barber_shop, bakery, bike_shop : 43137
Saved path: burger_joint, bookstore, dentist, craft_shop, pizzeria, gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 45382
Saved path: bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint, bakery, salon, jewelry_store, party_store, pharmacy, music_store : 32154
Saved path: bakery, bike_shop, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, music_store, gelateria, pharmacy : 42168
Saved path: dentist, clothing_store, cafe, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, florist, bank : 49315
Saved path: gym, pizzeria, bookstore, cafe, burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria : 45226
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy : 35391
Saved path: music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, grocery_store, cafe, burger_joint, craft_shop, bank, florist : 48267
Saved path: pet_store, bike_shop, salon, party_store, gelateria, music_store, craft_shop, bookstore, tech_shop, clothing_store, toy_store, gym, hardware_store, barber_shop, bakery : 50027
Saved path: party_store, gelateria, music_store, florist, bank, dentist, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon : 46010
Saved path: bookstore, gym, bank, gelateria, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, cafe : 49759
