Saved path: clothing_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store : 64484
Saved path: barber_shop, jewelry_store, party_store, gelateria, music_store, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, grocery_store, noodle_house, toy_store, salon : 63888
Saved path: bookstore, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, florist, pharmacy, bakery, jewelry_store, party_store, gym : 55594
Saved path: pizzeria, craft_shop, music_store, pharmacy, bakery, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym : 56956
Saved path: gelateria, bank, music_store, florist, pet_store, pizzeria, dentist, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, hardware_store, bike_shop, jewelry_store : 65838
Saved path: gelateria, music_store, pharmacy, bakery, bike_shop, party_store, hardware_store, salon, noodle_house, clothing_store, bookstore, burger_joint, tech_shop, pizzeria, craft_shop : 54901
Saved path: salon, barber_shop, bike_shop, jewelry_store, gelateria, music_store, florist, pet_store, craft_shop, gym, burger_joint, dentist, tech_shop, grocery_store, clothing_store : 62794
Saved path: gelateria, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop : 54099
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, gym, toy_store, barber_shop, bakery, pharmacy, bank, music_store, florist, pet_store : 59158
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, gym, hardware_store, salon : 68163
Saved path: grocery_store, clothing_store, toy_store, salon, jewelry_store, bike_shop, bakery, pharmacy, florist, pet_store, pizzeria, dentist, burger_joint, bookstore, tech_shop : 58752
Saved path: cafe, pizzeria, craft_shop, gym, florist, bank, music_store, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, bookstore : 67780
Saved path: pet_store, pizzeria, dentist, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, florist : 68251
Saved path: pizzeria, pet_store, florist, music_store, gelateria, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, dentist : 62858
Saved path: barber_shop, hardware_store, burger_joint, cafe, bookstore, noodle_house, grocery_store, tech_shop, pizzeria, pet_store, pharmacy, bakery, party_store, jewelry_store, bike_shop : 62316
Saved path: music_store, florist, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, salon, toy_store, gym, bike_shop, party_store, pharmacy : 56858
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, bank : 63196
Saved path: bank, gelateria, florist, pizzeria, burger_joint, clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, hardware_store, gym, pet_store : 71220
Saved path: cafe, hardware_store, gym, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, grocery_store, tech_shop, pizzeria, dentist : 69682
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, burger_joint, toy_store, salon, hardware_store : 66216
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria, pet_store, florist, pharmacy : 57623
Saved path: bank, pet_store, pizzeria, tech_shop, cafe, grocery_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, gym, florist : 70391
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, cafe, dentist, pizzeria, pet_store, florist, hardware_store, party_store, bike_shop : 60051
Saved path: barber_shop, salon, toy_store, clothing_store, bookstore, burger_joint, gym, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop : 60595
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, bike_shop, bakery, pharmacy, bank, pet_store, craft_shop, pizzeria : 53906
Saved path: cafe, bookstore, gym, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, pizzeria, grocery_store, clothing_store, noodle_house : 55517
Saved path: cafe, grocery_store, bookstore, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint : 67286
Saved path: burger_joint, hardware_store, bike_shop, party_store, bakery, barber_shop, noodle_house, clothing_store, cafe, dentist, florist, music_store, bank, pet_store, bookstore : 66384
Saved path: burger_joint, hardware_store, pet_store, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe : 62868
Saved path: pizzeria, dentist, cafe, bookstore, gym, pet_store, gelateria, bank, music_store, bakery, bike_shop, barber_shop, toy_store, clothing_store, tech_shop : 63203
Saved path: bakery, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, grocery_store, cafe, dentist, craft_shop, music_store, bank, gelateria, pharmacy : 53067
Saved path: pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, jewelry_store, party_store, hardware_store, salon, toy_store, burger_joint, cafe, tech_shop : 66155
Saved path: bike_shop, jewelry_store, party_store, bank, florist, pet_store, craft_shop, dentist, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop : 71928
Saved path: pharmacy, bakery, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, bank : 56882
Saved path: grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop : 59405
Saved path: pet_store, craft_shop, hardware_store, cafe, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, music_store, florist : 66560
Saved path: cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, gelateria, jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, grocery_store : 65715
Saved path: cafe, bookstore, craft_shop, pet_store, gelateria, music_store, barber_shop, bike_shop, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 55812
Saved path: bike_shop, party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, cafe, clothing_store, toy_store, salon, hardware_store, gym : 63984
Saved path: gelateria, pet_store, craft_shop, pizzeria, dentist, clothing_store, noodle_house, toy_store, burger_joint, gym, bakery, bike_shop, jewelry_store, music_store, bank : 64802
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, bank, gelateria : 63100
Saved path: noodle_house, toy_store, gym, hardware_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, dentist, grocery_store, clothing_store : 58877
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, pet_store, craft_shop, gym, burger_joint, dentist : 56783
