Saved path: barber_shop, toy_store, burger_joint, cafe, grocery_store, dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store : 63975
Saved path: bank, gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, burger_joint, cafe, tech_shop, noodle_house, toy_store, gym, craft_shop, florist : 55958
Saved path: bookstore, hardware_store, party_store, bakery, barber_shop, salon, noodle_house, tech_shop, dentist, craft_shop, pet_store, gelateria, bank, music_store, florist : 67110
Saved path: toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, hardware_store : 63415
Saved path: barber_shop, salon, noodle_house, toy_store, hardware_store, gym, bookstore, cafe, tech_shop, pizzeria, florist, music_store, bank, bakery, bike_shop : 62576
Saved path: cafe, bookstore, burger_joint, clothing_store, toy_store, salon, hardware_store, gym, jewelry_store, pharmacy, gelateria, bank, florist, pet_store, pizzeria : 70804
Saved path: toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, jewelry_store, gym : 53904
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, bank : 69303
Saved path: salon, hardware_store, party_store, bakery, pharmacy, music_store, bank, florist, pet_store, dentist, burger_joint, bookstore, grocery_store, clothing_store, toy_store : 63269
Saved path: bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, cafe, burger_joint, bookstore, florist, bank, pet_store, gym, hardware_store, party_store : 64872
Saved path: barber_shop, bakery, party_store, bike_shop, gelateria, bank, florist, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, grocery_store, noodle_house : 64970
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, burger_joint, gym, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy : 69609
Saved path: noodle_house, clothing_store, grocery_store, cafe, burger_joint, craft_shop, pet_store, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 62713
Saved path: bakery, barber_shop, salon, hardware_store, burger_joint, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, party_store : 62092
Saved path: pizzeria, dentist, cafe, tech_shop, grocery_store, toy_store, gym, hardware_store, bike_shop, jewelry_store, bakery, gelateria, bank, pet_store, craft_shop : 63541
Saved path: jewelry_store, party_store, barber_shop, noodle_house, clothing_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, florist, gym, bike_shop : 71106
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, dentist, tech_shop, grocery_store, clothing_store, cafe, bookstore, gym, hardware_store : 54577
Saved path: florist, pet_store, pizzeria, tech_shop, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, pharmacy, music_store, bank : 60559
Saved path: gym, craft_shop, pizzeria, dentist, cafe, burger_joint, noodle_house, salon, barber_shop, bakery, bike_shop, music_store, bank, gelateria, pet_store : 61645
Saved path: cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, bank, gelateria, pharmacy, jewelry_store, barber_shop, noodle_house, clothing_store, dentist : 64466
Saved path: dentist, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 55784
Saved path: pharmacy, bakery, party_store, barber_shop, salon, clothing_store, grocery_store, pizzeria, dentist, cafe, bookstore, hardware_store, gym, florist, bank : 66142
Saved path: bank, music_store, craft_shop, pizzeria, dentist, cafe, burger_joint, grocery_store, clothing_store, salon, hardware_store, bike_shop, bakery, pharmacy, gelateria : 55429
Saved path: florist, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, gym, craft_shop, pet_store : 55237
Saved path: clothing_store, grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, music_store, bank, party_store, jewelry_store, barber_shop, salon : 70058
Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, pet_store, craft_shop, gym, bookstore : 53378
Saved path: gelateria, bank, music_store, florist, craft_shop, dentist, bookstore, grocery_store, noodle_house, salon, hardware_store, gym, bike_shop, bakery, pharmacy : 56288
Saved path: toy_store, noodle_house, clothing_store, tech_shop, burger_joint, pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon : 58391
Saved path: clothing_store, noodle_house, salon, jewelry_store, bike_shop, bakery, gelateria, florist, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria, grocery_store : 58268
Saved path: pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, pet_store : 62736
