Saved path: gelateria, florist, pizzeria, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 47563
Saved path: bakery, pet_store, bike_shop, hardware_store, toy_store, clothing_store, tech_shop, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, party_store, barber_shop : 51328
Saved path: toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, gym, bakery, pet_store, bike_shop, jewelry_store, barber_shop : 38693
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore, dentist, craft_shop, pizzeria, bank, florist, party_store, bakery, jewelry_store : 36499
Saved path: pharmacy, gelateria, music_store, craft_shop, gym, bookstore, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store : 49175
Saved path: bank, craft_shop, gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria : 34170
Saved path: cafe, bookstore, pizzeria, florist, music_store, pet_store, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist : 51077
Saved path: florist, gelateria, pharmacy, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop : 41172
Saved path: pizzeria, music_store, gelateria, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, cafe, bookstore : 49690
Saved path: bakery, pet_store, bike_shop, gelateria, florist, gym, pizzeria, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop : 51227
Saved path: florist, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, pharmacy, gelateria, music_store : 36980
Saved path: florist, bank, craft_shop, dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, jewelry_store, barber_shop, pharmacy, music_store : 50615
Saved path: cafe, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, party_store, salon, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, dentist : 37199
Saved path: salon, jewelry_store, barber_shop, party_store, pharmacy, gelateria, music_store, florist, bookstore, grocery_store, noodle_house, toy_store, hardware_store, pet_store, bakery : 45995
Saved path: cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, gelateria, florist, craft_shop, dentist : 48647
Saved path: pet_store, party_store, hardware_store, bookstore, pizzeria, bank, florist, craft_shop, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery : 48300
Saved path: clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, florist, music_store, gelateria, barber_shop, jewelry_store, bakery, pet_store, hardware_store, toy_store : 45155
Saved path: pet_store, bike_shop, salon, jewelry_store, hardware_store, noodle_house, tech_shop, clothing_store, toy_store, gym, craft_shop, florist, pharmacy, party_store, bakery : 43004
Saved path: gelateria, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bike_shop : 38142
Saved path: gym, bank, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store : 43371
Saved path: barber_shop, jewelry_store, party_store, salon, bakery, pet_store, hardware_store, burger_joint, cafe, dentist, bank, bookstore, tech_shop, clothing_store, toy_store : 46661
Saved path: bike_shop, salon, jewelry_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, bank, florist, gelateria, pharmacy, bakery, pet_store : 44883
Saved path: tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store, bank, pizzeria, bookstore, burger_joint : 35979
Saved path: music_store, florist, bank, gym, craft_shop, dentist, bookstore, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, gelateria : 52279
Saved path: gelateria, bank, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, salon, pharmacy : 49371
Saved path: grocery_store, cafe, dentist, pizzeria, bank, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, bakery, toy_store, noodle_house, tech_shop : 36342
Saved path: noodle_house, toy_store, grocery_store, dentist, bank, florist, gelateria, pharmacy, party_store, salon, bakery, hardware_store, gym, burger_joint, tech_shop : 33910
Saved path: florist, bank, pizzeria, bookstore, grocery_store, tech_shop, toy_store, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store : 34038
Saved path: jewelry_store, gym, toy_store, burger_joint, cafe, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 42827
Saved path: bakery, hardware_store, toy_store, noodle_house, cafe, dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop : 34706
Saved path: dentist, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe : 41856
Saved path: gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, pizzeria, florist, music_store : 35457
Saved path: cafe, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist : 49475
Saved path: gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, clothing_store, grocery_store, dentist, bank, florist : 47151
Saved path: bank, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, burger_joint, noodle_house, clothing_store, bookstore : 43856
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy, music_store, bank, craft_shop, gym, pizzeria, bookstore, dentist, grocery_store : 41751
Saved path: pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, bookstore, pizzeria, craft_shop, bank, florist, pharmacy, party_store, bakery : 38643
Saved path: bike_shop, salon, pharmacy, gelateria, music_store, florist, gym, craft_shop, dentist, grocery_store, tech_shop, toy_store, barber_shop, bakery, pet_store : 51821
Saved path: bakery, jewelry_store, barber_shop, toy_store, grocery_store, cafe, burger_joint, gym, hardware_store, party_store, pharmacy, gelateria, music_store, salon, bike_shop : 38343
Saved path: clothing_store, toy_store, noodle_house, tech_shop, burger_joint, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, craft_shop, bookstore, cafe : 40635
Saved path: salon, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, craft_shop, bank, florist, music_store, gelateria, party_store : 33583
Saved path: florist, bank, pizzeria, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, bike_shop, pet_store, bakery, jewelry_store, gelateria, music_store : 51172
Saved path: bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, bakery, bike_shop, salon, pharmacy, music_store, florist : 36278
Saved path: craft_shop, bank, music_store, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, bookstore : 46548
Saved path: salon, barber_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, bank, gelateria, bakery, pet_store : 51429
Saved path: clothing_store, bookstore, burger_joint, hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy, gelateria, music_store, bank, craft_shop, dentist, grocery_store : 49462
Saved path: barber_shop, toy_store, noodle_house, burger_joint, bookstore, cafe, grocery_store, clothing_store, dentist, craft_shop, bank, florist, music_store, party_store, bakery : 38620
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, bookstore, cafe, dentist, craft_shop, pizzeria, music_store, pharmacy, party_store, bakery, pet_store, salon : 47536
Saved path: salon, hardware_store, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, music_store, gelateria, barber_shop, pet_store, bakery : 52370
Saved path: barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, party_store, hardware_store, bookstore, pizzeria, craft_shop, dentist, grocery_store, noodle_house, toy_store : 49555
Saved path: clothing_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery, party_store, pharmacy, music_store, florist, bank, dentist, cafe, grocery_store : 37058
Saved path: cafe, burger_joint, bookstore, pizzeria, bank, florist, gelateria, pharmacy, party_store, bakery, hardware_store, toy_store, clothing_store, grocery_store, dentist : 32181
Saved path: gym, craft_shop, bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 43614
Saved path: grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, gelateria, craft_shop, gym, burger_joint, bookstore, cafe, dentist : 42762
Saved path: bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, barber_shop, party_store, gelateria, music_store, craft_shop, dentist : 52036
Saved path: grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, florist, pizzeria, dentist : 49102
Saved path: burger_joint, bookstore, pizzeria, bank, florist, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe : 41446
Saved path: florist, music_store, gelateria, party_store, salon, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, gym, bank : 40586
Saved path: florist, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, gelateria : 34971
Saved path: tech_shop, toy_store, gym, hardware_store, bakery, bike_shop, salon, pharmacy, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe : 37312
Saved path: hardware_store, burger_joint, cafe, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, party_store, gelateria, bank, gym : 44419
Saved path: clothing_store, dentist, pizzeria, florist, music_store, gelateria, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store : 52380
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, florist, gelateria, party_store, bike_shop, jewelry_store : 40619
Saved path: bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, party_store, gelateria, music_store, florist, gym : 52442
Saved path: barber_shop, hardware_store, gym, toy_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store : 52630
Saved path: jewelry_store, bakery, pet_store, bike_shop, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, clothing_store, noodle_house, toy_store : 41495
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, pet_store, bakery, party_store, gelateria : 43171
Saved path: jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, cafe, gym, bank, florist, music_store, gelateria, party_store, salon, bakery, pet_store : 45187
Saved path: music_store, gelateria, pharmacy, party_store, barber_shop, bakery, bike_shop, hardware_store, toy_store, clothing_store, tech_shop, bookstore, dentist, craft_shop, florist : 43533
Saved path: toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, cafe, grocery_store : 36201
Saved path: clothing_store, grocery_store, pizzeria, bank, florist, music_store, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store : 45411
Saved path: grocery_store, cafe, bookstore, craft_shop, bank, pharmacy, party_store, salon, bakery, pet_store, barber_shop, hardware_store, toy_store, noodle_house, tech_shop : 43151
Saved path: bank, florist, gelateria, party_store, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, cafe, dentist, pizzeria : 42285
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, pharmacy, gelateria, bank, craft_shop, bookstore, cafe, clothing_store : 36005
Saved path: pharmacy, gelateria, music_store, bank, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, burger_joint, gym, bakery, bike_shop : 39776
Saved path: grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, bank, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop : 43073
Saved path: clothing_store, dentist, cafe, bookstore, pizzeria, bank, florist, music_store, gelateria, bakery, bike_shop, salon, jewelry_store, toy_store, tech_shop : 39962
Saved path: toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, bakery, salon, pharmacy, music_store, craft_shop, pizzeria, bookstore, dentist, grocery_store : 38640
Saved path: bike_shop, jewelry_store, hardware_store, gym, burger_joint, bookstore, tech_shop, toy_store, grocery_store, dentist, music_store, gelateria, pharmacy, bakery, pet_store : 53196
Saved path: pet_store, bakery, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy : 42791
Saved path: bank, florist, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint : 45682
Saved path: gym, hardware_store, jewelry_store, bike_shop, bakery, gelateria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 40078
Saved path: bookstore, craft_shop, bank, florist, music_store, pharmacy, party_store, salon, bakery, pet_store, barber_shop, hardware_store, toy_store, noodle_house, grocery_store : 45795
Saved path: bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, florist, pharmacy, salon : 34383
Saved path: clothing_store, dentist, craft_shop, pizzeria, music_store, party_store, salon, bike_shop, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store : 42320
Saved path: gelateria, bank, gym, hardware_store, burger_joint, bookstore, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, pharmacy, music_store : 47776
Saved path: gym, bank, craft_shop, dentist, grocery_store, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, hardware_store : 46386
Saved path: hardware_store, gym, craft_shop, bank, music_store, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, cafe : 46406
Saved path: toy_store, noodle_house, dentist, craft_shop, pizzeria, bank, florist, music_store, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, hardware_store : 46293
Saved path: burger_joint, hardware_store, gym, pizzeria, florist, gelateria, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store : 45601
Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, pizzeria, gym, craft_shop, bank, music_store, pharmacy, bakery, pet_store : 47003
Saved path: dentist, bookstore, gym, florist, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store : 53356
Saved path: salon, party_store, gelateria, florist, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store, bakery, pet_store, bike_shop : 42499
Saved path: bakery, gym, toy_store, tech_shop, cafe, dentist, craft_shop, pizzeria, bank, florist, gelateria, party_store, jewelry_store, salon, bike_shop : 37332
Saved path: hardware_store, gym, toy_store, clothing_store, tech_shop, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store : 46818
Saved path: hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, gelateria, music_store, bakery, salon : 37827
Saved path: gym, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, florist : 44549
Saved path: music_store, pharmacy, bakery, pet_store, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, bookstore, burger_joint, gym, pizzeria, gelateria : 52949
Saved path: pharmacy, music_store, florist, bank, craft_shop, pizzeria, gym, toy_store, burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 44203
Saved path: party_store, music_store, florist, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery : 36665
Saved path: toy_store, clothing_store, grocery_store, cafe, pizzeria, music_store, pharmacy, party_store, bakery, bike_shop, salon, jewelry_store, burger_joint, tech_shop, noodle_house : 34663
Saved path: toy_store, gym, jewelry_store, bakery, pet_store, salon, party_store, pharmacy, florist, bank, craft_shop, dentist, cafe, bookstore, tech_shop : 45065
Saved path: dentist, grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint, gym, hardware_store, bike_shop, bakery, barber_shop, gelateria, bank, craft_shop : 44256
Saved path: florist, pizzeria, bookstore, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, salon, bike_shop, bakery, barber_shop, pharmacy : 38133
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, bank, dentist, grocery_store, clothing_store : 47762
Saved path: gelateria, music_store, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, jewelry_store, bakery, salon, party_store : 37884
Saved path: bakery, party_store, pharmacy, gelateria, florist, bank, pizzeria, bookstore, dentist, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store : 33598
Saved path: gym, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, music_store, gelateria, pharmacy, jewelry_store, pet_store, hardware_store : 51476
Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, gym, pizzeria, bank, florist, gelateria, bakery, pet_store : 43904
Saved path: gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, grocery_store, cafe, burger_joint, craft_shop, florist, music_store : 45265
Saved path: clothing_store, grocery_store, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, party_store, salon, pet_store, hardware_store, burger_joint, noodle_house, toy_store : 41595
Saved path: party_store, pharmacy, music_store, florist, pizzeria, bookstore, dentist, cafe, tech_shop, toy_store, gym, bakery, pet_store, salon, jewelry_store : 48493
Saved path: cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, pet_store, salon, jewelry_store, pharmacy, florist, craft_shop, dentist, grocery_store : 48497
Saved path: gelateria, florist, bank, dentist, clothing_store, grocery_store, cafe, burger_joint, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store : 47917
Saved path: gelateria, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, gym, craft_shop, bank, florist, music_store : 41530
Saved path: pharmacy, florist, bank, craft_shop, gym, burger_joint, dentist, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store : 48942
Saved path: barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, music_store, gelateria, gym, pizzeria, craft_shop, dentist, cafe, noodle_house, toy_store : 52056
Saved path: pizzeria, florist, bank, gym, hardware_store, jewelry_store, salon, bakery, pet_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore : 39015
Saved path: bookstore, gym, bank, florist, music_store, gelateria, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe : 53135
Saved path: salon, pharmacy, gelateria, florist, pizzeria, bookstore, cafe, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 43398
Saved path: party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, cafe, bookstore, pizzeria, music_store, gelateria, pharmacy : 35350
Saved path: party_store, pharmacy, gelateria, florist, bank, craft_shop, dentist, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 36071
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, toy_store, barber_shop, bakery, pet_store, salon, party_store, pharmacy, gelateria, pizzeria, craft_shop : 45179
Saved path: grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, party_store, gelateria, florist, bank, dentist : 41706
Saved path: grocery_store, toy_store, noodle_house, burger_joint, gym, bakery, bike_shop, salon, party_store, gelateria, music_store, pizzeria, bookstore, cafe, dentist : 40481
Saved path: florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, music_store : 41429
Saved path: gym, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, music_store, gelateria, party_store, hardware_store : 48079
Saved path: gelateria, craft_shop, gym, burger_joint, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, party_store, pharmacy : 38398
Saved path: barber_shop, pet_store, bakery, party_store, gelateria, music_store, florist, bank, craft_shop, pizzeria, burger_joint, cafe, grocery_store, tech_shop, toy_store : 44492
Saved path: pizzeria, craft_shop, bank, gelateria, party_store, barber_shop, bakery, salon, hardware_store, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore : 38490
Saved path: hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, florist, bank, craft_shop, dentist, burger_joint, noodle_house, gym : 49300
Saved path: party_store, pharmacy, gelateria, craft_shop, pizzeria, bookstore, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, barber_shop, bakery, salon : 36581
Saved path: dentist, grocery_store, clothing_store, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, music_store, gelateria, bank, gym, burger_joint, bookstore : 50044
Saved path: burger_joint, tech_shop, clothing_store, toy_store, gym, hardware_store, salon, bike_shop, bakery, pharmacy, music_store, craft_shop, pizzeria, bookstore, cafe : 35650
Saved path: gym, hardware_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, florist : 44925
Saved path: toy_store, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, florist, pizzeria, bookstore, dentist, burger_joint, noodle_house : 49432
Saved path: jewelry_store, hardware_store, gym, toy_store, burger_joint, bookstore, cafe, dentist, bank, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop : 51088
Saved path: dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, bank : 47697
Saved path: noodle_house, clothing_store, grocery_store, dentist, craft_shop, bank, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym, burger_joint : 40652
Saved path: tech_shop, clothing_store, grocery_store, dentist, bookstore, florist, music_store, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store : 42694
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, craft_shop, bank, pharmacy, bakery, pet_store, barber_shop, jewelry_store : 45626
Saved path: craft_shop, florist, gelateria, jewelry_store, salon, bakery, pet_store, hardware_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store, dentist : 46524
Saved path: toy_store, noodle_house, burger_joint, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, party_store, salon, bike_shop, bakery, gym : 33617
Saved path: bike_shop, bakery, music_store, florist, bank, pizzeria, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon : 39568
