Saved path: craft_shop, bank, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria : 40588
Saved path: music_store, pharmacy, jewelry_store, bike_shop, bakery, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, florist : 42484
Saved path: toy_store, gym, hardware_store, pet_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop, dentist, cafe, bookstore, grocery_store : 52159
Saved path: party_store, pharmacy, bank, craft_shop, gym, burger_joint, bookstore, cafe, dentist, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 41148
Saved path: florist, gym, hardware_store, party_store, pet_store, bakery, barber_shop, toy_store, noodle_house, burger_joint, bookstore, grocery_store, dentist, craft_shop, bank : 49403
Saved path: tech_shop, toy_store, gym, jewelry_store, pet_store, bakery, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint : 46971
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, dentist, cafe, bookstore, pizzeria, gelateria, pharmacy, party_store : 47482
Saved path: florist, bank, craft_shop, dentist, grocery_store, toy_store, burger_joint, hardware_store, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria : 45612
Saved path: barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, gelateria : 44436
Saved path: gym, hardware_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store : 49824
Saved path: bakery, barber_shop, gelateria, florist, bank, dentist, cafe, bookstore, burger_joint, toy_store, gym, hardware_store, salon, bike_shop, pet_store : 51445
Saved path: salon, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bank, florist, music_store, pharmacy, party_store, bakery, pet_store : 43046
Saved path: craft_shop, florist, music_store, gelateria, pharmacy, jewelry_store, salon, pet_store, hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, pizzeria : 44458
Saved path: party_store, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, grocery_store, clothing_store, toy_store, gym, hardware_store, pet_store, bike_shop : 44397
Saved path: clothing_store, cafe, burger_joint, gym, craft_shop, florist, music_store, gelateria, pharmacy, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop : 42842
Saved path: bike_shop, bakery, gelateria, florist, bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, barber_shop, jewelry_store, salon : 36620
Saved path: bank, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, hardware_store, jewelry_store, party_store, salon, pet_store, bakery, gym, pizzeria : 44510
Saved path: pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, pharmacy, gelateria : 49459
Saved path: pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, craft_shop, pizzeria, bookstore, cafe, grocery_store, tech_shop, toy_store, party_store, bakery : 39257
Saved path: toy_store, noodle_house, burger_joint, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, jewelry_store, hardware_store : 43210
Saved path: tech_shop, burger_joint, bookstore, pizzeria, bank, gelateria, music_store, party_store, salon, bike_shop, bakery, jewelry_store, toy_store, clothing_store, grocery_store : 35008
Saved path: clothing_store, toy_store, hardware_store, pet_store, bakery, barber_shop, party_store, gelateria, music_store, florist, bank, dentist, cafe, bookstore, tech_shop : 50906
Saved path: noodle_house, toy_store, gym, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, gelateria, pizzeria, dentist, cafe, burger_joint : 49864
Saved path: barber_shop, toy_store, tech_shop, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, bank, music_store, party_store, bike_shop, pet_store, bakery : 52243
Saved path: florist, music_store, jewelry_store, salon, bakery, pet_store, hardware_store, gym, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank : 48763
Saved path: pet_store, bike_shop, salon, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, pizzeria, bank, florist, gelateria, bakery : 43131
Saved path: clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, salon, bike_shop, bakery, pharmacy, music_store, bookstore, cafe, grocery_store : 35392
Saved path: noodle_house, toy_store, gym, hardware_store, salon, bakery, party_store, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, grocery_store, tech_shop : 32663
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, bike_shop, pharmacy, bank, craft_shop, pizzeria, gym, burger_joint, cafe : 35426
Saved path: toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, hardware_store, pet_store, bike_shop, jewelry_store, party_store, gelateria, music_store, craft_shop, gym : 47523
Saved path: toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, florist, music_store, party_store, bike_shop, pet_store, bakery, hardware_store, gym : 48867
Saved path: noodle_house, toy_store, clothing_store, dentist, craft_shop, florist, music_store, pharmacy, party_store, salon, bike_shop, pet_store, jewelry_store, burger_joint, bookstore : 49161
Saved path: bakery, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, bookstore, dentist, craft_shop, florist, music_store, gelateria, pet_store : 51484
Saved path: bank, pizzeria, craft_shop, dentist, cafe, burger_joint, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon, party_store, florist : 43710
Saved path: bank, pizzeria, bookstore, burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, salon, bakery, gym, florist : 33251
Saved path: pharmacy, gelateria, music_store, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, bakery, pet_store, salon, party_store : 45896
Saved path: dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, jewelry_store, bike_shop, bakery, party_store, bookstore, pizzeria, bank, craft_shop : 36664
Saved path: pharmacy, gelateria, bank, gym, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, party_store : 44245
Saved path: craft_shop, gym, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, pet_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist : 45978
Saved path: tech_shop, clothing_store, toy_store, hardware_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, florist, craft_shop, bookstore, cafe, burger_joint : 33011
Saved path: music_store, gelateria, pharmacy, party_store, bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, craft_shop, bank : 38574
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, music_store, florist, bank, craft_shop, cafe : 45475
Saved path: craft_shop, pizzeria, bookstore, cafe, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, music_store, florist : 42622
Saved path: dentist, craft_shop, pizzeria, bank, florist, music_store, gelateria, pharmacy, jewelry_store, bakery, pet_store, toy_store, tech_shop, clothing_store, grocery_store : 45975
Saved path: tech_shop, burger_joint, hardware_store, barber_shop, bakery, salon, party_store, pharmacy, florist, bank, pizzeria, craft_shop, dentist, clothing_store, toy_store : 36996
Saved path: hardware_store, pet_store, bakery, salon, jewelry_store, party_store, gelateria, pizzeria, bookstore, dentist, cafe, burger_joint, tech_shop, toy_store, gym : 48209
Saved path: salon, jewelry_store, barber_shop, toy_store, burger_joint, bookstore, grocery_store, dentist, craft_shop, bank, florist, pharmacy, party_store, bakery, pet_store : 46148
Saved path: hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, pizzeria, bank, music_store, gelateria, party_store, barber_shop, jewelry_store, bakery, pet_store : 46374
Saved path: gym, craft_shop, florist, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, burger_joint : 44363
Saved path: pizzeria, craft_shop, dentist, bookstore, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, bank : 48981
Saved path: bookstore, pizzeria, bank, music_store, gelateria, pharmacy, bakery, bike_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, dentist, cafe : 37932
Saved path: tech_shop, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, party_store, pharmacy, music_store, pizzeria, dentist, cafe, grocery_store, clothing_store : 48544
Saved path: clothing_store, dentist, cafe, burger_joint, gym, pizzeria, craft_shop, bank, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store : 41320
Saved path: dentist, craft_shop, gym, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, burger_joint : 39950
Saved path: cafe, burger_joint, gym, hardware_store, pet_store, bakery, jewelry_store, barber_shop, pharmacy, gelateria, music_store, florist, bank, craft_shop, dentist : 47863
Saved path: pharmacy, party_store, salon, bike_shop, pet_store, bakery, gym, toy_store, tech_shop, cafe, dentist, bookstore, pizzeria, florist, music_store : 47127
Saved path: pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, party_store, music_store : 41086
Saved path: grocery_store, dentist, bookstore, pizzeria, bank, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, burger_joint, tech_shop, toy_store : 50517
Saved path: toy_store, barber_shop, bakery, pet_store, salon, pharmacy, gelateria, craft_shop, pizzeria, gym, burger_joint, dentist, grocery_store, clothing_store, noodle_house : 50135
Saved path: noodle_house, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, florist, bank, pizzeria, dentist, tech_shop : 47288
Saved path: toy_store, gym, hardware_store, jewelry_store, bakery, salon, party_store, gelateria, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, tech_shop : 38128
Saved path: bike_shop, bakery, gelateria, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, jewelry_store, salon : 38979
Saved path: toy_store, clothing_store, dentist, pizzeria, florist, gelateria, pharmacy, party_store, bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house : 37057
Saved path: burger_joint, noodle_house, clothing_store, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, music_store, gelateria, bank, craft_shop, pizzeria, gym : 38160
Saved path: gelateria, bank, pizzeria, bookstore, burger_joint, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, bakery, bike_shop, salon, music_store : 40854
Saved path: bank, gym, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, florist : 36107
Saved path: jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, music_store, florist, bank, craft_shop, dentist, bookstore, burger_joint, toy_store, hardware_store : 50697
Saved path: toy_store, clothing_store, cafe, dentist, pizzeria, bank, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, gym : 41218
Saved path: florist, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, salon, bike_shop, bakery, gelateria, music_store : 40103
Saved path: toy_store, noodle_house, burger_joint, cafe, dentist, craft_shop, gym, florist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop : 42221
Saved path: jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint : 46612
Saved path: jewelry_store, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery : 41654
Saved path: pet_store, bike_shop, salon, party_store, pharmacy, music_store, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store : 48138
Saved path: cafe, burger_joint, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, music_store, florist, craft_shop, dentist : 46276
Saved path: tech_shop, toy_store, barber_shop, pet_store, bakery, salon, party_store, gelateria, gym, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store : 50445
Saved path: gelateria, pharmacy, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank : 42346
Saved path: gym, craft_shop, music_store, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, hardware_store : 39559
Saved path: toy_store, hardware_store, salon, bike_shop, bakery, barber_shop, party_store, music_store, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store : 43770
Saved path: dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, florist : 37068
Saved path: cafe, dentist, craft_shop, bank, pharmacy, party_store, jewelry_store, bakery, pet_store, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, bookstore : 45270
Saved path: bank, florist, music_store, pharmacy, bakery, pet_store, bike_shop, salon, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, pizzeria : 46040
Saved path: noodle_house, toy_store, hardware_store, barber_shop, bakery, salon, party_store, pharmacy, music_store, florist, bank, craft_shop, dentist, cafe, burger_joint : 37237
Saved path: clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, florist, bank, gym, pizzeria, craft_shop, dentist : 49446
Saved path: florist, bank, pizzeria, bookstore, cafe, grocery_store, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy, music_store : 46488
Saved path: bank, craft_shop, gym, bookstore, cafe, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, florist : 44704
Saved path: bakery, bike_shop, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, music_store, pharmacy, party_store : 40576
Saved path: barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, tech_shop, noodle_house, toy_store : 40242
Saved path: toy_store, grocery_store, dentist, bookstore, burger_joint, gym, music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store : 51953
Saved path: tech_shop, noodle_house, toy_store, gym, pet_store, bike_shop, jewelry_store, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, clothing_store : 44458
Saved path: grocery_store, dentist, craft_shop, florist, pizzeria, gym, bakery, bike_shop, salon, party_store, barber_shop, toy_store, tech_shop, burger_joint, cafe : 40769
Saved path: pizzeria, bank, florist, music_store, gelateria, party_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe : 42954
Saved path: gym, bookstore, dentist, grocery_store, noodle_house, toy_store, barber_shop, bakery, salon, party_store, pharmacy, music_store, gelateria, bank, craft_shop : 42391
Saved path: dentist, cafe, grocery_store, clothing_store, toy_store, hardware_store, salon, bike_shop, bakery, barber_shop, pharmacy, gelateria, bank, pizzeria, craft_shop : 39329
Saved path: barber_shop, jewelry_store, party_store, pet_store, bakery, gym, bank, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 45594
Saved path: clothing_store, toy_store, burger_joint, hardware_store, bakery, salon, party_store, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe : 34817
Saved path: burger_joint, gym, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, florist, bank, bookstore, dentist, clothing_store, toy_store, noodle_house : 37736
Saved path: bank, florist, music_store, jewelry_store, bike_shop, bakery, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop : 39862
Saved path: gelateria, pharmacy, party_store, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, cafe, pizzeria, florist : 44427
Saved path: party_store, pharmacy, music_store, gelateria, bank, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, pet_store, bakery, barber_shop : 46230
Saved path: burger_joint, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, music_store, craft_shop, gym, hardware_store : 40721
Saved path: jewelry_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, music_store, salon, bike_shop, pet_store, bakery : 49144
Saved path: burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, florist, gelateria, pharmacy, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop : 46943
Saved path: tech_shop, noodle_house, toy_store, bakery, bike_shop, salon, party_store, music_store, gelateria, bank, craft_shop, gym, burger_joint, cafe, grocery_store : 34251
Saved path: tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, pharmacy, gelateria, music_store, bank, dentist, cafe, grocery_store, clothing_store : 49450
Saved path: toy_store, clothing_store, cafe, burger_joint, bookstore, bank, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store : 44713
Saved path: bakery, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, gym, burger_joint, cafe, clothing_store, toy_store, pet_store : 43894
Saved path: pizzeria, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, jewelry_store, salon, party_store, pharmacy, music_store, florist, craft_shop : 33560
Saved path: music_store, gelateria, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, pizzeria, bank : 37833
Saved path: bike_shop, bakery, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, burger_joint, noodle_house, toy_store, gym, jewelry_store, salon : 33731
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, grocery_store, cafe, pizzeria, bank, florist, music_store, pharmacy, party_store, bakery : 43264
Saved path: cafe, bookstore, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, florist, craft_shop, gym, burger_joint : 45059
Saved path: bank, florist, party_store, bike_shop, bakery, barber_shop, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, craft_shop : 36048
Saved path: hardware_store, burger_joint, bookstore, florist, dentist, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 46140
Saved path: pharmacy, gelateria, florist, bank, craft_shop, gym, hardware_store, cafe, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store : 44952
Saved path: music_store, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, pet_store, bakery, party_store, pharmacy, gelateria : 46128
Saved path: toy_store, grocery_store, cafe, dentist, pizzeria, florist, gelateria, jewelry_store, barber_shop, bakery, pet_store, hardware_store, burger_joint, tech_shop, noodle_house : 48738
Saved path: pharmacy, party_store, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, gelateria : 41870
Saved path: tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, gelateria, florist, craft_shop, pizzeria, bookstore, grocery_store : 38433
Saved path: pizzeria, craft_shop, bank, party_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, bookstore : 41563
Saved path: gelateria, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, gym, craft_shop, bank, florist, music_store : 34932
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, gym : 36495
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, dentist, bookstore, pizzeria, florist, music_store, pharmacy, bike_shop, pet_store, bakery : 49546
Saved path: bakery, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, florist, gelateria, party_store, salon, bike_shop : 34558
Saved path: gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, tech_shop, burger_joint, gym, bakery, salon : 35701
Saved path: bookstore, pizzeria, gym, florist, music_store, gelateria, pharmacy, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe : 41666
Saved path: bookstore, dentist, grocery_store, tech_shop, toy_store, hardware_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, bank : 45591
Saved path: dentist, pizzeria, florist, gelateria, party_store, bike_shop, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe : 38228
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, dentist, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 49756
Saved path: gelateria, pharmacy, jewelry_store, pet_store, bakery, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist : 44690
Saved path: gelateria, music_store, florist, craft_shop, dentist, grocery_store, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy : 51165
Saved path: cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, bike_shop, bakery, party_store, pharmacy, gelateria, florist, bank, pizzeria, bookstore : 31851
Saved path: hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, florist, gelateria, party_store, salon, bike_shop, pet_store, bakery : 41318
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, clothing_store, bookstore, burger_joint, dentist, craft_shop, florist, gelateria, party_store, bakery, pet_store : 47877
Saved path: pet_store, salon, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, florist, music_store, gelateria, pharmacy, party_store : 47067
Saved path: bike_shop, bakery, toy_store, noodle_house, tech_shop, bookstore, grocery_store, dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, salon : 37355
Saved path: dentist, craft_shop, bank, music_store, party_store, jewelry_store, bakery, pet_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe : 46704
Saved path: clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 42582
Saved path: jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, florist, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, hardware_store : 33831
Saved path: dentist, florist, gelateria, pharmacy, party_store, salon, bakery, pet_store, jewelry_store, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe : 44144
Saved path: pizzeria, bank, gelateria, salon, bike_shop, pet_store, bakery, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop : 46326
Saved path: pizzeria, bank, florist, music_store, gelateria, pharmacy, salon, bakery, pet_store, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint : 41134
Saved path: craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, pizzeria : 38877
Saved path: barber_shop, bakery, pet_store, pharmacy, gelateria, music_store, bank, craft_shop, gym, burger_joint, bookstore, cafe, dentist, grocery_store, toy_store : 51920
Saved path: pharmacy, music_store, florist, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, gym, bakery, pet_store, bike_shop, salon : 45999
Saved path: bookstore, craft_shop, bank, music_store, pharmacy, bike_shop, pet_store, bakery, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint : 45081
