Saved path: bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store : 55776
Saved path: bakery, bike_shop, party_store, jewelry_store, salon, toy_store, gym, burger_joint, bookstore, dentist, craft_shop, pet_store, gelateria, music_store, pharmacy : 60889
Saved path: pizzeria, dentist, tech_shop, burger_joint, hardware_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, florist, pet_store, craft_shop : 71859
Saved path: grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, gelateria, bank, music_store, bakery, barber_shop, toy_store, noodle_house, clothing_store : 57268
Saved path: cafe, bookstore, hardware_store, gym, craft_shop, pet_store, bank, gelateria, bakery, party_store, jewelry_store, barber_shop, salon, clothing_store, grocery_store : 63121
Saved path: jewelry_store, bike_shop, gym, toy_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, pharmacy, bakery : 65409
Saved path: gelateria, florist, pet_store, pizzeria, cafe, clothing_store, toy_store, gym, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank : 73617
Saved path: dentist, cafe, burger_joint, gym, hardware_store, toy_store, barber_shop, party_store, pharmacy, gelateria, bank, florist, pet_store, craft_shop, pizzeria : 67105
Saved path: party_store, bakery, barber_shop, salon, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, music_store, gym, hardware_store : 61118
Saved path: bakery, pharmacy, music_store, gelateria, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store : 58567
Saved path: burger_joint, bookstore, cafe, dentist, clothing_store, toy_store, salon, bike_shop, pharmacy, gelateria, bank, florist, pet_store, craft_shop, gym : 61187
Saved path: toy_store, barber_shop, bakery, gelateria, bank, music_store, florist, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house : 56071
Saved path: music_store, florist, pizzeria, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, bank : 68904
Saved path: jewelry_store, party_store, gelateria, florist, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, salon, barber_shop, bike_shop : 62756
Saved path: toy_store, salon, barber_shop, party_store, bakery, pharmacy, music_store, bank, florist, gym, hardware_store, bookstore, dentist, tech_shop, noodle_house : 65363
Saved path: dentist, cafe, bookstore, gym, florist, music_store, gelateria, jewelry_store, party_store, bakery, hardware_store, salon, noodle_house, grocery_store, tech_shop : 58144
Saved path: bakery, gelateria, music_store, florist, craft_shop, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, party_store : 56630
Saved path: gym, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, pharmacy, gelateria, bank, music_store, florist, pet_store : 56315
Saved path: bookstore, cafe, tech_shop, grocery_store, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, gelateria, pet_store, craft_shop, gym : 55944
Saved path: gym, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, pizzeria, tech_shop, cafe, clothing_store, toy_store, salon, hardware_store : 70335
Saved path: florist, gelateria, bank, music_store, party_store, jewelry_store, salon, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, pet_store : 71848
Saved path: bank, party_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, dentist, cafe, bookstore, hardware_store, gym, craft_shop, gelateria : 68844
Saved path: cafe, bookstore, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, craft_shop, pizzeria, tech_shop : 57554
Saved path: party_store, bike_shop, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, gym, pet_store, bank, gelateria, pharmacy, bakery : 59658
Saved path: bike_shop, hardware_store, toy_store, noodle_house, burger_joint, cafe, tech_shop, pizzeria, pet_store, bank, gelateria, florist, gym, bakery, party_store : 63163
Saved path: noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, bakery, hardware_store, gym, bank, music_store, pizzeria, dentist, cafe, bookstore, grocery_store : 71713
Saved path: barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, dentist, pizzeria, pet_store, bank, florist, gym, bike_shop, party_store, bakery : 69491
Saved path: salon, hardware_store, jewelry_store, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store : 62133
Saved path: pet_store, florist, gelateria, music_store, bike_shop, party_store, bakery, barber_shop, noodle_house, clothing_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop : 57330
Saved path: cafe, tech_shop, noodle_house, toy_store, hardware_store, party_store, barber_shop, pharmacy, bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist : 67738
Saved path: burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, florist, music_store, pharmacy, party_store, hardware_store, gym, toy_store, salon, noodle_house : 58718
Saved path: party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 64404
Saved path: burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, florist, music_store, bank, gelateria, pet_store, pizzeria, dentist : 56426
Saved path: noodle_house, tech_shop, bookstore, hardware_store, gym, craft_shop, music_store, bank, gelateria, bakery, party_store, jewelry_store, barber_shop, salon, toy_store : 64819
Saved path: dentist, pizzeria, craft_shop, pet_store, bank, music_store, gym, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe : 55090
Saved path: noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria, music_store, pharmacy, jewelry_store, hardware_store, gym, toy_store, salon : 59544
Saved path: craft_shop, pizzeria, dentist, tech_shop, bookstore, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store : 62864
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, gym, bookstore, cafe, dentist, grocery_store, noodle_house : 59803
Saved path: cafe, burger_joint, hardware_store, gym, florist, music_store, gelateria, pharmacy, bakery, barber_shop, toy_store, clothing_store, grocery_store, pizzeria, dentist : 49884
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, florist, music_store, bank, gelateria, barber_shop, jewelry_store, party_store, bakery, hardware_store, toy_store : 61683
Saved path: salon, barber_shop, bike_shop, party_store, pharmacy, florist, pet_store, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store : 57679
Saved path: hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, bank, gelateria, jewelry_store, bike_shop, gym : 65926
Saved path: music_store, florist, pizzeria, tech_shop, grocery_store, clothing_store, burger_joint, hardware_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank : 64774
Saved path: craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bank, gelateria : 65059
Saved path: florist, music_store, pharmacy, party_store, bike_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, pet_store : 53096
Saved path: bike_shop, party_store, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, salon : 62561
Saved path: pharmacy, bakery, party_store, bike_shop, gym, burger_joint, toy_store, salon, noodle_house, grocery_store, tech_shop, pizzeria, florist, gelateria, bank : 62306
Saved path: salon, toy_store, clothing_store, grocery_store, dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, bike_shop, gym, hardware_store : 54084
Saved path: bank, music_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, salon, barber_shop, party_store, jewelry_store, gelateria : 69025
Saved path: bank, florist, pet_store, pizzeria, dentist, tech_shop, clothing_store, salon, toy_store, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery : 71710
Saved path: craft_shop, pizzeria, dentist, clothing_store, toy_store, burger_joint, hardware_store, party_store, bike_shop, barber_shop, gelateria, bank, music_store, florist, pet_store : 68854
Saved path: cafe, dentist, pizzeria, gym, pet_store, florist, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, grocery_store, tech_shop : 70668
Saved path: grocery_store, clothing_store, bookstore, gym, hardware_store, party_store, barber_shop, pharmacy, bank, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop : 68280
Saved path: craft_shop, dentist, tech_shop, clothing_store, cafe, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, bank, florist, pet_store : 68463
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, cafe, grocery_store, dentist, craft_shop, gelateria, bank, pharmacy, bakery : 62365
Saved path: pharmacy, music_store, florist, craft_shop, pizzeria, dentist, grocery_store, clothing_store, cafe, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery : 51366
Saved path: grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, party_store, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop : 58619
Saved path: pizzeria, dentist, tech_shop, grocery_store, bookstore, burger_joint, toy_store, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, music_store, craft_shop : 54890
Saved path: burger_joint, gym, bakery, pharmacy, music_store, gelateria, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store : 48735
Saved path: bank, music_store, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, florist, gelateria : 66206
Saved path: cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store, pizzeria : 71675
