Saved path: barber_shop, bakery, pet_store, bike_shop, salon, music_store, gelateria, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store : 49621
Saved path: jewelry_store, hardware_store, gym, toy_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery : 45148
Saved path: bike_shop, bakery, party_store, gelateria, music_store, florist, craft_shop, pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store, hardware_store, salon : 33212
Saved path: bookstore, burger_joint, dentist, grocery_store, clothing_store, toy_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, gym, craft_shop, pizzeria : 39721
Saved path: pharmacy, gelateria, florist, bank, craft_shop, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store, gym, bakery, bike_shop, salon : 37614
Saved path: pharmacy, gelateria, music_store, florist, bank, craft_shop, gym, pizzeria, bookstore, grocery_store, tech_shop, toy_store, barber_shop, bakery, party_store : 36416
Saved path: music_store, pharmacy, hardware_store, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, gelateria : 41533
Saved path: bakery, pharmacy, florist, bank, gym, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store : 50225
Saved path: hardware_store, gym, craft_shop, bank, florist, pizzeria, bookstore, grocery_store, clothing_store, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store : 39202
Saved path: music_store, gelateria, bike_shop, pet_store, bakery, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, cafe, bookstore, pizzeria, craft_shop, florist : 45059
Saved path: florist, gelateria, pharmacy, salon, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore : 35569
Saved path: noodle_house, toy_store, clothing_store, dentist, craft_shop, bank, florist, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store, burger_joint : 36516
Saved path: craft_shop, pizzeria, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, barber_shop, party_store, gelateria, music_store, florist : 46548
Saved path: burger_joint, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, pizzeria, bookstore, dentist, clothing_store, toy_store, tech_shop : 52798
Saved path: bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, salon, bakery, pet_store, barber_shop, pharmacy, music_store, florist, craft_shop, dentist : 52147
Saved path: gelateria, music_store, bank, pizzeria, bookstore, dentist, clothing_store, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, pharmacy : 50873
Saved path: toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, pizzeria, gym, craft_shop, bank, pharmacy, party_store, salon, bakery, barber_shop : 39679
Saved path: bookstore, craft_shop, bank, florist, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint : 41228
Saved path: bakery, salon, jewelry_store, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, craft_shop, bank, gelateria : 35776
Saved path: jewelry_store, party_store, pharmacy, gelateria, florist, bank, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store : 43968
Saved path: cafe, bookstore, gym, craft_shop, florist, music_store, gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist : 44389
Saved path: pharmacy, gelateria, music_store, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, salon, party_store : 37415
Saved path: cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, florist, craft_shop, pizzeria, gym : 45042
Saved path: toy_store, tech_shop, burger_joint, dentist, cafe, bookstore, pizzeria, bank, music_store, gelateria, party_store, bike_shop, pet_store, bakery, hardware_store : 46850
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria, florist, bank, gym, cafe, grocery_store, clothing_store : 35498
Saved path: clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, pharmacy, music_store, florist, bank, craft_shop, dentist, bookstore : 48844
Saved path: gym, toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop, pizzeria, florist, gelateria, pharmacy, bakery, bike_shop, salon, hardware_store : 37116
Saved path: salon, bakery, party_store, gelateria, bank, pizzeria, bookstore, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store : 35006
Saved path: pharmacy, party_store, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, florist : 34217
Saved path: florist, bank, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store : 36060
Saved path: clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, music_store, florist, bank, gym, dentist : 51438
Saved path: salon, party_store, pharmacy, gelateria, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, pet_store : 46300
Saved path: florist, pizzeria, cafe, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, salon, pharmacy, gelateria, music_store : 45995
Saved path: craft_shop, dentist, clothing_store, toy_store, burger_joint, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store, florist : 53139
Saved path: burger_joint, pet_store, bakery, party_store, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house : 40217
Saved path: pet_store, bakery, salon, party_store, gelateria, gym, pizzeria, craft_shop, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop : 49524
Saved path: pet_store, bike_shop, salon, hardware_store, toy_store, tech_shop, burger_joint, dentist, cafe, bookstore, pizzeria, bank, music_store, gelateria, bakery : 46849
Saved path: bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, bakery, pet_store, bike_shop, jewelry_store, pharmacy, gelateria, florist, gym, burger_joint : 49310
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, pizzeria, craft_shop, music_store, gelateria, party_store, bakery : 45430
Saved path: gym, toy_store, tech_shop, bookstore, dentist, craft_shop, pizzeria, bank, florist, music_store, gelateria, salon, bakery, pet_store, hardware_store : 47477
Saved path: burger_joint, gym, craft_shop, bank, florist, pharmacy, party_store, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore : 36454
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, craft_shop, bank, gelateria, music_store : 43871
Saved path: hardware_store, gym, toy_store, tech_shop, clothing_store, dentist, bookstore, pizzeria, music_store, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store : 54994
Saved path: craft_shop, pizzeria, bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, jewelry_store, bakery, salon, party_store, pharmacy, music_store, bank : 33107
Saved path: bike_shop, bakery, toy_store, noodle_house, clothing_store, cafe, burger_joint, gym, craft_shop, bank, florist, music_store, gelateria, pharmacy, salon : 34296
Saved path: salon, party_store, toy_store, noodle_house, tech_shop, burger_joint, bookstore, pizzeria, bank, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 39743
Saved path: pharmacy, florist, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop, toy_store, bakery, pet_store, bike_shop, jewelry_store, party_store : 44211
Saved path: toy_store, noodle_house, tech_shop, bookstore, pizzeria, bank, music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, hardware_store, gym : 42153
Saved path: pizzeria, gym, hardware_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, craft_shop, bank : 41039
Saved path: clothing_store, grocery_store, bookstore, dentist, craft_shop, bank, music_store, gelateria, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 43223
Saved path: toy_store, tech_shop, burger_joint, hardware_store, gym, pizzeria, craft_shop, bank, florist, music_store, party_store, salon, bakery, jewelry_store, barber_shop : 34527
Saved path: gym, burger_joint, cafe, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, bakery, gelateria, music_store, bank, pizzeria : 44439
Saved path: pet_store, bike_shop, jewelry_store, hardware_store, toy_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, florist, craft_shop, gym, bakery : 45945
Saved path: toy_store, barber_shop, jewelry_store, pet_store, bakery, salon, music_store, florist, bank, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store : 43500
Saved path: clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, gelateria, florist, gym, burger_joint, bookstore, dentist, grocery_store : 50285
Saved path: cafe, bookstore, tech_shop, toy_store, hardware_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, bank, craft_shop, dentist, grocery_store : 38001
Saved path: cafe, tech_shop, noodle_house, toy_store, gym, pet_store, bakery, salon, pharmacy, music_store, florist, bank, pizzeria, craft_shop, dentist : 44575
Saved path: pharmacy, music_store, florist, bank, craft_shop, pizzeria, bookstore, noodle_house, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store : 42069
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store : 30531
Saved path: barber_shop, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, gym, bank, florist, gelateria, bike_shop, pet_store, bakery, jewelry_store : 50809
Saved path: gelateria, pharmacy, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, bank : 43398
Saved path: bank, music_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop : 49319
Saved path: bookstore, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, florist, craft_shop, dentist : 47504
Saved path: toy_store, clothing_store, tech_shop, burger_joint, cafe, dentist, pizzeria, bank, florist, music_store, gelateria, party_store, bakery, bike_shop, hardware_store : 37956
Saved path: florist, bank, pizzeria, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, bike_shop, salon, party_store, pharmacy, gelateria : 30017
Saved path: clothing_store, grocery_store, burger_joint, bookstore, bank, florist, gym, hardware_store, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house : 44378
Saved path: tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, bank, craft_shop, bookstore, grocery_store, clothing_store : 44554
Saved path: party_store, music_store, florist, bank, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, pet_store : 46507
Saved path: grocery_store, bookstore, pizzeria, craft_shop, gym, bakery, bike_shop, jewelry_store, party_store, pharmacy, burger_joint, tech_shop, noodle_house, toy_store, clothing_store : 35013
Saved path: craft_shop, bank, gelateria, jewelry_store, salon, bike_shop, bakery, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria : 40511
Saved path: pizzeria, florist, music_store, gelateria, party_store, salon, pet_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, cafe, bookstore : 46122
Saved path: pharmacy, gelateria, florist, bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, toy_store, hardware_store, bike_shop, bakery, barber_shop : 41504
Saved path: jewelry_store, salon, pharmacy, music_store, florist, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store : 38648
Saved path: bike_shop, pet_store, bakery, jewelry_store, toy_store, noodle_house, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, florist, music_store, salon : 49045
Saved path: craft_shop, florist, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, hardware_store, toy_store, clothing_store, grocery_store, cafe, gym : 43515
Saved path: salon, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store, dentist, craft_shop, music_store, party_store : 40647
Saved path: party_store, pharmacy, florist, bank, pizzeria, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bakery, barber_shop : 33938
Saved path: barber_shop, jewelry_store, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, gym, craft_shop, dentist, cafe, clothing_store : 41734
Saved path: music_store, gelateria, bank, craft_shop, gym, hardware_store, noodle_house, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store : 49068
Saved path: music_store, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, cafe, dentist, craft_shop, pizzeria : 41875
Saved path: dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, party_store, gelateria, gym, craft_shop : 40453
Saved path: bike_shop, party_store, gelateria, bank, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery : 36249
Saved path: pet_store, bakery, jewelry_store, party_store, gelateria, florist, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, bike_shop : 48158
Saved path: craft_shop, pizzeria, bookstore, dentist, clothing_store, toy_store, gym, bakery, bike_shop, salon, jewelry_store, pharmacy, gelateria, music_store, florist : 42126
Saved path: jewelry_store, salon, bike_shop, bakery, gelateria, music_store, florist, bank, pizzeria, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store : 35457
Saved path: party_store, pharmacy, gelateria, bank, gym, craft_shop, dentist, cafe, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 49295
Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, bookstore, grocery_store, dentist, bank, florist, party_store, bakery, pet_store : 47909
Saved path: burger_joint, cafe, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, hardware_store, gym, toy_store, noodle_house : 30521
Saved path: barber_shop, pharmacy, florist, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, pet_store, bakery : 48941
Saved path: hardware_store, burger_joint, noodle_house, grocery_store, dentist, cafe, bookstore, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store, jewelry_store : 47630
Saved path: craft_shop, gym, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore, pizzeria : 42464
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, craft_shop, pizzeria, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store : 46943
Saved path: noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, party_store, music_store, pizzeria, dentist, cafe, grocery_store, tech_shop : 49985
Saved path: toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, bike_shop, pet_store, hardware_store, gym, burger_joint, tech_shop : 50595
Saved path: salon, pharmacy, florist, craft_shop, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, bike_shop : 40670
Saved path: bakery, party_store, pharmacy, bank, gym, pizzeria, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop : 40805
Saved path: burger_joint, bookstore, pizzeria, music_store, gelateria, pharmacy, party_store, bakery, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, dentist, cafe : 37579
Saved path: tech_shop, toy_store, clothing_store, grocery_store, dentist, bank, florist, music_store, party_store, jewelry_store, bakery, pet_store, gym, burger_joint, bookstore : 49673
Saved path: party_store, music_store, florist, bank, craft_shop, dentist, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 49900
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, music_store, gelateria, jewelry_store, salon, bakery, gym : 35747
Saved path: florist, music_store, pharmacy, party_store, jewelry_store, bakery, gym, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop : 38886
Saved path: craft_shop, bank, gelateria, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, pizzeria : 42752
Saved path: hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, music_store, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, gym : 45696
Saved path: salon, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, gym, pizzeria, florist, pharmacy : 48758
Saved path: toy_store, noodle_house, tech_shop, cafe, pizzeria, bank, florist, music_store, gelateria, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store : 33782
Saved path: music_store, gelateria, pharmacy, salon, pet_store, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria : 51357
Saved path: grocery_store, cafe, burger_joint, gym, pizzeria, music_store, gelateria, party_store, salon, bike_shop, pet_store, hardware_store, toy_store, noodle_house, tech_shop : 44767
Saved path: music_store, party_store, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, pizzeria, florist : 43632
Saved path: jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, gelateria, bank, craft_shop, grocery_store, clothing_store, noodle_house, hardware_store : 47140
Saved path: grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, bank, pizzeria, gym, dentist : 40425
Saved path: dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, jewelry_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, craft_shop : 38209
Saved path: toy_store, barber_shop, bakery, bike_shop, salon, music_store, florist, pizzeria, gym, burger_joint, dentist, grocery_store, clothing_store, tech_shop, noodle_house : 43887
Saved path: pharmacy, gelateria, music_store, florist, bank, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, bike_shop, bakery, party_store : 33614
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, music_store, florist, bank, dentist, bookstore, burger_joint : 41610
Saved path: bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, pizzeria, burger_joint, cafe, clothing_store, noodle_house, toy_store, barber_shop, bakery : 36812
Saved path: bank, florist, music_store, pharmacy, bakery, pet_store, bike_shop, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, bookstore : 43843
Saved path: florist, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, party_store, pharmacy : 45463
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, bookstore, craft_shop, bank, florist, music_store, gelateria, bike_shop, pet_store, bakery : 47938
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, bakery, bike_shop, jewelry_store, party_store, music_store, bank, craft_shop, pizzeria, bookstore, dentist : 40400
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, pharmacy, gelateria, music_store, craft_shop, gym, bookstore, cafe : 47116
Saved path: bank, florist, music_store, party_store, bike_shop, pet_store, bakery, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, pizzeria : 42052
Saved path: bakery, salon, party_store, florist, bank, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, pet_store : 42906
Saved path: bike_shop, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, gym, burger_joint, cafe, clothing_store, toy_store, hardware_store, jewelry_store, salon : 37163
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, bakery, pet_store : 46662
Saved path: pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bike_shop, pharmacy, music_store, florist : 43312
Saved path: cafe, bookstore, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist : 40055
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, music_store, pharmacy, party_store : 36415
Saved path: dentist, craft_shop, pizzeria, florist, music_store, party_store, pet_store, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe : 47308
Saved path: craft_shop, pizzeria, bank, florist, music_store, gelateria, bakery, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist : 37445
Saved path: bank, bookstore, cafe, clothing_store, burger_joint, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, florist : 45498
Saved path: gym, bank, florist, music_store, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint : 44547
Saved path: pharmacy, music_store, florist, bank, pizzeria, cafe, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery : 43614
Saved path: cafe, dentist, craft_shop, pizzeria, bank, music_store, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, grocery_store : 48868
Saved path: gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, cafe, burger_joint, hardware_store, gym, craft_shop, bank, florist : 35877
Saved path: burger_joint, cafe, tech_shop, noodle_house, toy_store, gym, pizzeria, bank, florist, gelateria, pharmacy, party_store, jewelry_store, bakery, pet_store : 40666
Saved path: pizzeria, craft_shop, bank, gelateria, pet_store, bakery, salon, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, bookstore : 47146
Saved path: pet_store, bakery, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, bank, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store : 46026
Saved path: dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, gelateria, florist, gym, pizzeria, craft_shop : 49513
Saved path: burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, hardware_store, gym, craft_shop, pizzeria, bookstore : 28516
Saved path: clothing_store, grocery_store, dentist, florist, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, burger_joint, toy_store : 48251
Saved path: pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, hardware_store, gym, florist, gelateria, pharmacy, bakery : 44144
Saved path: pharmacy, music_store, craft_shop, pizzeria, gym, toy_store, clothing_store, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 46344
Saved path: barber_shop, bakery, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria, bank, florist, gelateria, party_store : 37978
Saved path: toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, pharmacy, party_store, bakery, pet_store, jewelry_store, hardware_store, burger_joint, tech_shop : 40592
Saved path: toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, pizzeria, music_store, gelateria, pharmacy, bakery, barber_shop : 42665
Saved path: pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, cafe, bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy, barber_shop, bakery : 46490
Saved path: bookstore, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, hardware_store, burger_joint, cafe, dentist, bank, pizzeria : 46129
Saved path: hardware_store, gym, craft_shop, bank, gelateria, music_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, grocery_store, cafe, burger_joint : 39104
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, pet_store, bakery, pharmacy, music_store, florist, pizzeria, dentist, cafe : 46822
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, salon, pharmacy, music_store, florist, pizzeria, bookstore : 37323
Saved path: pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, gym, hardware_store, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, craft_shop : 43961
Saved path: grocery_store, craft_shop, bank, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop : 47186
Saved path: bank, florist, gelateria, party_store, salon, bike_shop, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore : 46333
Saved path: clothing_store, bookstore, burger_joint, hardware_store, gym, craft_shop, bank, gelateria, music_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house : 48701
Saved path: pizzeria, craft_shop, bank, gelateria, music_store, pharmacy, bakery, jewelry_store, burger_joint, tech_shop, toy_store, grocery_store, dentist, cafe, bookstore : 37929
