Saved path: burger_joint, bank, florist, music_store, gelateria, party_store, salon, pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe : 44842
Saved path: grocery_store, dentist, cafe, bookstore, pizzeria, gym, florist, pharmacy, salon, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store : 50054
Saved path: dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, gelateria, music_store, bank, gym, pizzeria, bookstore, cafe : 41991
Saved path: barber_shop, jewelry_store, bakery, bike_shop, gelateria, music_store, florist, bank, craft_shop, dentist, cafe, bookstore, pizzeria, gym, toy_store : 43681
Saved path: gelateria, music_store, craft_shop, dentist, clothing_store, toy_store, noodle_house, bookstore, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy : 41462
Saved path: clothing_store, cafe, dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, salon, bakery, pet_store, burger_joint, noodle_house, toy_store : 44015
Saved path: salon, bike_shop, bakery, barber_shop, hardware_store, gym, toy_store, tech_shop, grocery_store, bookstore, pizzeria, bank, music_store, gelateria, party_store : 40524
Saved path: bakery, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, bank, florist, gelateria, pharmacy, party_store, barber_shop : 36243
Saved path: toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, gym, florist, music_store, gelateria, pharmacy, salon, bakery, pet_store, barber_shop : 47049
Saved path: craft_shop, florist, gelateria, pharmacy, salon, jewelry_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, grocery_store, dentist : 37380
Saved path: dentist, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, party_store, gelateria, florist, bank, gym, hardware_store, burger_joint, cafe : 38072
Saved path: florist, music_store, gelateria, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, burger_joint, gym : 50768
Saved path: grocery_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, pharmacy, music_store, craft_shop, pizzeria, bookstore, cafe, dentist : 50614
Saved path: craft_shop, pizzeria, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, barber_shop, bakery, pet_store, salon, pharmacy, gelateria, florist : 44672
Saved path: pharmacy, music_store, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store : 48033
Saved path: toy_store, noodle_house, clothing_store, cafe, bookstore, craft_shop, florist, gym, hardware_store, party_store, salon, bike_shop, pet_store, bakery, barber_shop : 45663
Saved path: craft_shop, pizzeria, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, party_store, pharmacy : 41542
Saved path: hardware_store, jewelry_store, bakery, salon, party_store, pharmacy, florist, bank, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, gym : 36334
Saved path: bank, florist, gym, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist : 43951
Saved path: gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, gelateria, music_store, pizzeria, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 38096
Saved path: bakery, bike_shop, party_store, pharmacy, gelateria, florist, bank, craft_shop, bookstore, cafe, tech_shop, toy_store, gym, hardware_store, barber_shop : 36989
Saved path: dentist, grocery_store, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, salon, bakery, pet_store, gelateria, music_store, florist, craft_shop : 49137
Saved path: bank, florist, music_store, gelateria, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, gym, toy_store, grocery_store, dentist, bookstore : 53328
Saved path: pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, bank, florist, pizzeria, gym, party_store : 47207
Saved path: pharmacy, gelateria, craft_shop, pizzeria, bookstore, cafe, burger_joint, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 43674
Saved path: bike_shop, salon, party_store, pharmacy, gelateria, craft_shop, dentist, grocery_store, cafe, bookstore, tech_shop, toy_store, gym, bakery, pet_store : 46448
Saved path: bakery, barber_shop, toy_store, grocery_store, dentist, bookstore, burger_joint, gym, bank, music_store, pharmacy, party_store, salon, bike_shop, pet_store : 52538
Saved path: burger_joint, gym, craft_shop, bank, music_store, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, grocery_store, dentist, cafe : 52243
Saved path: noodle_house, tech_shop, grocery_store, cafe, burger_joint, hardware_store, pet_store, party_store, pharmacy, gelateria, music_store, florist, craft_shop, gym, toy_store : 42473
Saved path: hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, music_store, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store : 51880
Saved path: bakery, barber_shop, pharmacy, gelateria, music_store, florist, bank, bookstore, cafe, tech_shop, clothing_store, toy_store, hardware_store, salon, bike_shop : 38209
Saved path: bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, florist, bank, craft_shop : 33042
Saved path: gelateria, florist, bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, bakery, pet_store, bike_shop, barber_shop, party_store, pharmacy : 47159
Saved path: noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, bookstore, grocery_store, tech_shop : 50024
Saved path: toy_store, gym, hardware_store, jewelry_store, bike_shop, pet_store, party_store, music_store, craft_shop, dentist, cafe, bookstore, clothing_store, tech_shop, noodle_house : 52447
Saved path: noodle_house, tech_shop, burger_joint, bakery, bike_shop, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop, dentist, clothing_store, toy_store : 38683
Saved path: gelateria, pharmacy, party_store, salon, bakery, jewelry_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, craft_shop, pizzeria, bank : 36372
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, pharmacy, music_store, florist, bank, pizzeria, grocery_store, clothing_store : 43104
Saved path: noodle_house, tech_shop, clothing_store, cafe, dentist, pizzeria, florist, gelateria, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 37698
Saved path: barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, bank, pizzeria, bookstore, burger_joint, cafe, grocery_store, toy_store : 35155
Saved path: toy_store, gym, hardware_store, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, craft_shop, bookstore, burger_joint, noodle_house, tech_shop, clothing_store : 43074
Saved path: bakery, pet_store, bike_shop, gym, toy_store, noodle_house, bookstore, cafe, grocery_store, dentist, craft_shop, bank, florist, pharmacy, party_store : 45897
Saved path: clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, salon, pharmacy, gelateria, florist, craft_shop, pizzeria, cafe, grocery_store : 28557
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, music_store, pharmacy : 46235
Saved path: cafe, dentist, craft_shop, florist, pizzeria, bookstore, burger_joint, bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store : 35705
Saved path: bike_shop, party_store, pharmacy, music_store, florist, bank, pizzeria, burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop, bakery, pet_store : 45313
Saved path: burger_joint, gym, florist, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore : 45999
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, gym, bank, music_store, gelateria, pharmacy, bakery : 47581
Saved path: gelateria, pharmacy, party_store, pet_store, bakery, jewelry_store, hardware_store, burger_joint, cafe, tech_shop, toy_store, gym, bank, florist, music_store : 43029
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, bookstore, dentist, burger_joint, tech_shop, toy_store, hardware_store, pet_store, bakery, barber_shop, party_store : 50682
Saved path: bank, craft_shop, pizzeria, bookstore, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, pet_store, bakery, salon, party_store, gelateria, music_store : 42998
Saved path: toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, pharmacy, gelateria, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store : 40330
Saved path: grocery_store, bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, gym, burger_joint, noodle_house, toy_store : 44778
Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, bookstore, bank, craft_shop, gym, hardware_store, bakery, pet_store : 39344
Saved path: clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, tech_shop : 39826
Saved path: grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria, music_store, florist, bookstore, cafe : 35669
Saved path: cafe, bookstore, pizzeria, craft_shop, bank, gelateria, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint : 40710
Saved path: tech_shop, burger_joint, bookstore, dentist, craft_shop, pizzeria, bank, pharmacy, barber_shop, bakery, pet_store, bike_shop, hardware_store, gym, toy_store : 51988
Saved path: pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, toy_store, noodle_house, burger_joint, bookstore, dentist, craft_shop, bank, florist : 42500
Saved path: toy_store, clothing_store, grocery_store, pizzeria, craft_shop, bank, florist, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, burger_joint, noodle_house : 42254
Saved path: jewelry_store, barber_shop, party_store, pharmacy, music_store, florist, craft_shop, dentist, cafe, tech_shop, toy_store, hardware_store, pet_store, bakery, salon : 47413
Saved path: cafe, bookstore, pizzeria, craft_shop, bank, pharmacy, party_store, salon, bike_shop, bakery, burger_joint, noodle_house, toy_store, grocery_store, dentist : 34998
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, florist, bank, gym, burger_joint, dentist, clothing_store, tech_shop : 41075
Saved path: jewelry_store, bakery, bike_shop, salon, music_store, florist, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store : 39327
Saved path: craft_shop, pizzeria, gym, burger_joint, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop, bakery, pharmacy, gelateria, florist : 40338
Saved path: cafe, dentist, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, bank, pizzeria, gym, hardware_store, burger_joint : 51685
Saved path: party_store, salon, bike_shop, bakery, hardware_store, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, pizzeria, florist, gelateria : 32872
Saved path: grocery_store, clothing_store, toy_store, noodle_house, bookstore, burger_joint, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist : 37860
Saved path: bank, craft_shop, gym, burger_joint, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria : 44142
Saved path: salon, bike_shop, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, cafe, dentist, bank, gelateria, music_store, party_store : 39710
Saved path: bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, bookstore, pizzeria, bank, florist, gelateria, party_store, salon, bike_shop, pet_store : 42234
Saved path: burger_joint, cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, toy_store, tech_shop : 38095
Saved path: noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store : 34562
Saved path: hardware_store, pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, gym : 33965
Saved path: pizzeria, craft_shop, florist, gelateria, music_store, salon, jewelry_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore : 34917
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, gym, pharmacy, party_store, bakery, pet_store : 48152
Saved path: gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store : 49822
Saved path: bike_shop, party_store, pharmacy, music_store, gelateria, bank, pizzeria, gym, hardware_store, burger_joint, grocery_store, clothing_store, toy_store, barber_shop, bakery : 39477
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, bank, dentist : 39295
Saved path: pet_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, florist, gelateria, pharmacy : 49982
Saved path: jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, florist, bank, craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store, gym : 46600
Saved path: burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, salon, party_store, pharmacy, music_store, bank : 43922
Saved path: jewelry_store, barber_shop, bakery, bike_shop, salon, music_store, gelateria, bank, craft_shop, bookstore, tech_shop, noodle_house, toy_store, gym, hardware_store : 39161
Saved path: grocery_store, clothing_store, toy_store, burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, craft_shop, dentist, cafe : 46164
Saved path: pharmacy, party_store, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, hardware_store, gym, pizzeria, florist, music_store : 47468
Saved path: party_store, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, gelateria : 37489
Saved path: gym, hardware_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store : 46415
Saved path: party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, burger_joint, bookstore, bank, florist, music_store, gelateria : 38417
Saved path: jewelry_store, barber_shop, bakery, party_store, pharmacy, gelateria, florist, bank, dentist, cafe, clothing_store, noodle_house, toy_store, gym, hardware_store : 38556
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, dentist, bookstore, burger_joint, hardware_store, gym, florist, music_store, pharmacy, party_store : 44858
Saved path: noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, bank, music_store, gelateria, pharmacy, salon, bakery, pet_store, gym, burger_joint : 48390
Saved path: salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, cafe, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy, bakery : 34711
Saved path: bike_shop, salon, party_store, pharmacy, music_store, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store : 45024
Saved path: music_store, gelateria, pharmacy, barber_shop, jewelry_store, bakery, pet_store, hardware_store, gym, toy_store, burger_joint, bookstore, dentist, craft_shop, bank : 52166
Saved path: dentist, pizzeria, bank, gelateria, music_store, jewelry_store, salon, bike_shop, pet_store, bakery, burger_joint, toy_store, clothing_store, grocery_store, cafe : 48884
Saved path: bakery, gelateria, music_store, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store : 49519
Saved path: noodle_house, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store : 33043
Saved path: burger_joint, cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, music_store, gelateria, hardware_store, gym : 39261
Saved path: tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, florist, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym, burger_joint, bookstore : 40704
Saved path: dentist, cafe, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store, pharmacy, music_store, bank, pizzeria : 50444
Saved path: pharmacy, gelateria, music_store, craft_shop, gym, burger_joint, cafe, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store : 45394
Saved path: tech_shop, burger_joint, bakery, pet_store, bike_shop, pharmacy, party_store, hardware_store, gym, craft_shop, pizzeria, bookstore, dentist, grocery_store, toy_store : 47754
Saved path: jewelry_store, barber_shop, bakery, pet_store, bike_shop, gelateria, music_store, florist, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store, hardware_store : 45940
Saved path: florist, music_store, gelateria, pharmacy, party_store, barber_shop, bakery, salon, hardware_store, toy_store, noodle_house, dentist, bookstore, pizzeria, bank : 39891
Saved path: craft_shop, bank, florist, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, toy_store, noodle_house, burger_joint, bookstore, grocery_store, dentist : 45766
Saved path: tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, music_store, pharmacy, salon, hardware_store, gym, burger_joint : 38012
Saved path: gym, toy_store, noodle_house, clothing_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 46733
Saved path: hardware_store, gym, craft_shop, gelateria, bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint : 37691
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, pharmacy, music_store, pizzeria, craft_shop, dentist, cafe : 42449
Saved path: noodle_house, tech_shop, bookstore, cafe, dentist, bank, music_store, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store : 40990
Saved path: salon, bike_shop, bakery, jewelry_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, bank, florist, music_store, pharmacy : 39488
Saved path: hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, gym : 50103
Saved path: barber_shop, pet_store, bakery, salon, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, bank, music_store : 48685
Saved path: bike_shop, salon, party_store, music_store, bank, pizzeria, craft_shop, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store : 48315
Saved path: craft_shop, pizzeria, bookstore, cafe, tech_shop, clothing_store, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, bank : 44664
Saved path: bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store : 32741
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, gym, pizzeria, craft_shop, bank, florist, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 41796
Saved path: gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, bookstore, pizzeria, craft_shop : 43360
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, pizzeria, craft_shop, bank, gelateria, pharmacy, bike_shop, bakery : 33859
Saved path: bike_shop, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, party_store, salon : 39846
Saved path: bookstore, pizzeria, music_store, pharmacy, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, cafe, burger_joint : 50868
Saved path: toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, gym, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop : 51722
Saved path: toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, gym, florist, gelateria, pharmacy, party_store, bike_shop, bakery, jewelry_store, barber_shop : 41083
Saved path: gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, pizzeria, bank, music_store : 45282
Saved path: cafe, bookstore, craft_shop, bank, gelateria, bakery, salon, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store : 31195
Saved path: gelateria, music_store, florist, bank, pizzeria, dentist, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 48621
Saved path: florist, gelateria, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, cafe, dentist : 40457
Saved path: pharmacy, party_store, pet_store, bakery, salon, jewelry_store, hardware_store, burger_joint, toy_store, clothing_store, dentist, craft_shop, florist, music_store, gelateria : 46863
Saved path: pizzeria, bank, gym, hardware_store, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, bookstore : 32937
Saved path: toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, gelateria, party_store, bakery, barber_shop, hardware_store, gym : 39435
Saved path: clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy, gelateria, florist, bank, pizzeria, cafe : 43190
Saved path: florist, bank, craft_shop, bookstore, cafe, burger_joint, toy_store, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, gelateria, music_store : 34520
Saved path: music_store, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, cafe, burger_joint, gym, pizzeria : 40659
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria, bank, gelateria, party_store, salon, bakery, pet_store : 48908
Saved path: bank, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, pet_store, bakery, salon, party_store, gelateria, music_store : 43799
Saved path: party_store, pharmacy, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, gym, bike_shop, salon, jewelry_store : 38375
Saved path: pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist, bookstore, gym, craft_shop, music_store, party_store, salon, bike_shop : 53840
Saved path: jewelry_store, bakery, salon, party_store, pharmacy, music_store, florist, bank, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 37567
Saved path: pizzeria, gym, burger_joint, cafe, dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, florist : 41426
Saved path: clothing_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, craft_shop, gym, hardware_store, toy_store, grocery_store : 36210
Saved path: cafe, bookstore, burger_joint, gym, pizzeria, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store : 37623
Saved path: gelateria, music_store, florist, bank, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, salon, jewelry_store : 39943
Saved path: hardware_store, jewelry_store, pet_store, bakery, party_store, pharmacy, music_store, florist, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, gym : 49902
Saved path: bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint : 36649
Saved path: grocery_store, dentist, bookstore, pizzeria, craft_shop, florist, gelateria, party_store, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store : 37529
Saved path: salon, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, burger_joint, gym, hardware_store, pharmacy, gelateria, bakery, pet_store, bike_shop : 51210
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, bank, music_store, gelateria, pharmacy, party_store, bakery, pet_store, hardware_store, toy_store : 43896
Saved path: toy_store, noodle_house, cafe, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store : 40737
Saved path: music_store, party_store, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, gym, craft_shop : 40138
Saved path: bank, pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, pharmacy, music_store : 43063
Saved path: jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, burger_joint, bookstore, craft_shop, bank, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop : 44870
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, music_store, bank, dentist, bookstore, burger_joint, tech_shop, clothing_store : 51083
