Saved path: pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, craft_shop : 58827
Saved path: gym, florist, bank, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop : 69401
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, pharmacy, party_store, bike_shop : 60353
Saved path: toy_store, gym, hardware_store, party_store, jewelry_store, barber_shop, pharmacy, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house : 61905
Saved path: clothing_store, noodle_house, salon, toy_store, burger_joint, bike_shop, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe : 58524
Saved path: music_store, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, bank : 67814
Saved path: noodle_house, toy_store, hardware_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store : 49961
Saved path: barber_shop, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, florist, gelateria, bank, pharmacy, bakery, bike_shop : 58531
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, pizzeria, music_store, bank, gelateria, jewelry_store, bike_shop, bakery : 66946
Saved path: clothing_store, grocery_store, bookstore, cafe, pizzeria, pet_store, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house : 57365
Saved path: pet_store, bank, music_store, florist, gym, hardware_store, bakery, bookstore, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop : 55767
Saved path: noodle_house, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, florist, craft_shop, gym : 49156
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, gelateria, party_store, gym, burger_joint, toy_store, salon, clothing_store, grocery_store, tech_shop, cafe : 57868
Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, hardware_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store, bookstore : 50471
Saved path: barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, dentist, pizzeria, florist, gelateria, music_store, party_store, jewelry_store : 62722
Saved path: gym, craft_shop, pet_store, florist, music_store, gelateria, bike_shop, jewelry_store, salon, toy_store, grocery_store, tech_shop, cafe, bookstore, burger_joint : 57595
Saved path: salon, toy_store, noodle_house, grocery_store, cafe, tech_shop, pizzeria, pet_store, gelateria, bank, music_store, bakery, party_store, jewelry_store, barber_shop : 66966
Saved path: jewelry_store, bakery, music_store, bank, gelateria, pet_store, gym, dentist, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop : 68086
Saved path: gym, pet_store, gelateria, bank, music_store, florist, craft_shop, dentist, cafe, tech_shop, noodle_house, salon, barber_shop, jewelry_store, hardware_store : 67937
Saved path: cafe, bookstore, burger_joint, gym, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, dentist : 66451
Saved path: hardware_store, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint : 63383
Saved path: bakery, barber_shop, salon, noodle_house, tech_shop, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, music_store, bike_shop, jewelry_store : 59609
Saved path: barber_shop, salon, noodle_house, toy_store, hardware_store, bookstore, tech_shop, dentist, pizzeria, pet_store, bank, music_store, pharmacy, party_store, jewelry_store : 72453
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, bakery, party_store, barber_shop, toy_store, hardware_store, bookstore, cafe : 58684
Saved path: gelateria, bank, pharmacy, bakery, party_store, jewelry_store, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, pizzeria, pet_store, florist : 68293
Saved path: bakery, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, toy_store, hardware_store, party_store, jewelry_store : 54967
Saved path: burger_joint, bookstore, pet_store, florist, music_store, pharmacy, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe : 51726
Saved path: pharmacy, bakery, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, gym, craft_shop, pet_store, florist, gelateria, bank, music_store : 54723
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, gym, hardware_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist : 45125
Saved path: bike_shop, bakery, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, salon, hardware_store, jewelry_store : 58680
Saved path: pharmacy, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, bank : 65692
Saved path: pharmacy, barber_shop, salon, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, music_store : 51663
Saved path: party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, florist, music_store, gelateria, pharmacy : 49326
Saved path: tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, gym, burger_joint, bookstore, cafe : 60010
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, clothing_store, toy_store : 67371
Saved path: music_store, gelateria, gym, hardware_store, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, party_store, pharmacy : 56909
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, music_store, bike_shop, bakery, hardware_store, gym, bookstore : 46980
Saved path: party_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, dentist, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, bank, music_store : 63407
Saved path: jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store, burger_joint, cafe, grocery_store, pizzeria, craft_shop, pet_store, bank, bakery, party_store : 68465
Saved path: grocery_store, tech_shop, bookstore, burger_joint, gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop, hardware_store, salon, toy_store : 55269
Saved path: florist, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, toy_store, bookstore, burger_joint, gym : 58282
Saved path: pizzeria, dentist, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, bike_shop, party_store, pharmacy, gelateria, music_store, craft_shop : 53377
Saved path: tech_shop, grocery_store, clothing_store, toy_store, gym, hardware_store, party_store, jewelry_store, pharmacy, gelateria, pet_store, craft_shop, dentist, cafe, bookstore : 53762
Saved path: bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, jewelry_store, music_store, gelateria, florist, pet_store, craft_shop, pizzeria : 61384
Saved path: noodle_house, toy_store, barber_shop, party_store, jewelry_store, bike_shop, gelateria, florist, pet_store, gym, hardware_store, burger_joint, bookstore, tech_shop, grocery_store : 59377
Saved path: gym, burger_joint, bookstore, cafe, dentist, grocery_store, salon, barber_shop, jewelry_store, pharmacy, music_store, bank, florist, pet_store, craft_shop : 68707
Saved path: toy_store, clothing_store, tech_shop, cafe, dentist, pizzeria, florist, bank, gelateria, jewelry_store, party_store, bike_shop, gym, hardware_store, salon : 69047
Saved path: burger_joint, bookstore, florist, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, cafe : 52086
Saved path: bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, bike_shop : 53780
Saved path: bakery, bike_shop, jewelry_store, barber_shop, salon, clothing_store, grocery_store, bookstore, burger_joint, cafe, tech_shop, pizzeria, craft_shop, gelateria, pharmacy : 56079
