Saved path: jewelry_store, party_store, music_store, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon : 50978
Saved path: gelateria, pharmacy, salon, pet_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, florist, music_store : 43387
Saved path: barber_shop, bakery, salon, party_store, gelateria, music_store, florist, pizzeria, bookstore, cafe, noodle_house, toy_store, gym, hardware_store, jewelry_store : 36421
Saved path: bakery, music_store, bank, pizzeria, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store : 48998
Saved path: music_store, pizzeria, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, gelateria : 43281
Saved path: dentist, craft_shop, bank, music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, tech_shop, clothing_store, grocery_store : 50822
Saved path: jewelry_store, gym, toy_store, tech_shop, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, pet_store, bakery : 50160
Saved path: cafe, burger_joint, gym, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 45153
Saved path: toy_store, noodle_house, tech_shop, cafe, burger_joint, hardware_store, pet_store, bike_shop, salon, party_store, pharmacy, florist, craft_shop, pizzeria, gym : 40477
Saved path: pet_store, bakery, barber_shop, toy_store, tech_shop, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, bank, pharmacy, bike_shop : 47538
Saved path: party_store, gelateria, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bakery, barber_shop : 37329
Saved path: dentist, burger_joint, noodle_house, toy_store, gym, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, craft_shop : 34950
Saved path: cafe, burger_joint, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, florist, bank, craft_shop : 41527
Saved path: clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, gelateria, florist, bank, gym, burger_joint, dentist, grocery_store : 48451
Saved path: dentist, bookstore, pizzeria, florist, music_store, pharmacy, party_store, bakery, salon, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store : 37885
Saved path: bakery, salon, jewelry_store, barber_shop, party_store, pharmacy, gelateria, florist, bank, dentist, burger_joint, toy_store, gym, hardware_store, pet_store : 48551
Saved path: clothing_store, dentist, bank, florist, gelateria, pharmacy, party_store, bakery, pet_store, barber_shop, jewelry_store, hardware_store, gym, burger_joint, cafe : 48141
Saved path: pharmacy, florist, craft_shop, gym, bookstore, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store : 44736
Saved path: bakery, gym, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, florist, gelateria, pharmacy, salon, bike_shop, pet_store : 41107
Saved path: pizzeria, craft_shop, florist, music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, bookstore : 37684
Saved path: salon, party_store, pharmacy, music_store, bank, pizzeria, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, gym, bakery, bike_shop : 38172
Saved path: bookstore, dentist, clothing_store, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, pharmacy, music_store, florist, craft_shop, gym, burger_joint : 51699
Saved path: pet_store, bike_shop, pharmacy, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, burger_joint, jewelry_store, bakery : 48131
Saved path: pet_store, bakery, salon, party_store, pharmacy, music_store, florist, bank, dentist, clothing_store, toy_store, tech_shop, bookstore, burger_joint, gym : 47449
Saved path: barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, pizzeria, bank, florist, gelateria, party_store, bike_shop, pet_store, bakery : 45548
Saved path: florist, gelateria, pharmacy, party_store, salon, bike_shop, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop : 36254
Saved path: pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, bookstore, cafe, grocery_store, dentist, florist : 46520
Saved path: pharmacy, music_store, florist, bank, craft_shop, pizzeria, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, salon : 44052
Saved path: bank, florist, music_store, gelateria, party_store, bakery, pet_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria : 39874
Saved path: florist, bank, craft_shop, pizzeria, gym, noodle_house, grocery_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, salon, pharmacy, music_store : 46229
Saved path: noodle_house, toy_store, gym, hardware_store, pet_store, bike_shop, party_store, gelateria, music_store, florist, pizzeria, bookstore, dentist, grocery_store, tech_shop : 49823
Saved path: cafe, burger_joint, jewelry_store, pet_store, bakery, party_store, pharmacy, music_store, florist, bank, craft_shop, pizzeria, gym, toy_store, tech_shop : 42905
Saved path: grocery_store, cafe, bookstore, craft_shop, bank, florist, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, toy_store, noodle_house, tech_shop : 41448
Saved path: dentist, cafe, grocery_store, clothing_store, toy_store, gym, jewelry_store, bakery, salon, party_store, pharmacy, music_store, florist, bank, craft_shop : 36226
Saved path: pet_store, salon, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint : 46675
Saved path: gelateria, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, burger_joint, gym, pizzeria, craft_shop, bank : 51430
Saved path: florist, bank, pizzeria, bookstore, burger_joint, tech_shop, clothing_store, toy_store, gym, hardware_store, bakery, bike_shop, salon, pharmacy, gelateria : 32538
Saved path: dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bakery, salon, music_store, gelateria, bank, pizzeria : 40232
Saved path: bank, craft_shop, gym, bookstore, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, party_store, pharmacy, music_store : 36083
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, pharmacy, florist, bookstore, burger_joint, cafe, grocery_store, clothing_store : 33740
Saved path: craft_shop, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, bike_shop, pet_store, bakery, party_store, gelateria, bank : 42135
Saved path: florist, bank, bookstore, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, music_store : 44695
Saved path: grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, bank, pizzeria, gym, craft_shop, dentist, cafe : 49243
Saved path: party_store, music_store, bank, pizzeria, dentist, cafe, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop : 50434
Saved path: gym, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, pharmacy, gelateria, music_store, florist : 51528
Saved path: bank, florist, music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist : 43107
Saved path: dentist, cafe, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, pizzeria, craft_shop : 50477
Saved path: bank, florist, music_store, pharmacy, party_store, bakery, salon, hardware_store, toy_store, tech_shop, bookstore, cafe, dentist, craft_shop, pizzeria : 33318
Saved path: tech_shop, burger_joint, cafe, dentist, craft_shop, pizzeria, bank, florist, party_store, bakery, bike_shop, salon, hardware_store, toy_store, clothing_store : 34559
Saved path: bookstore, cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, salon, party_store, gelateria, music_store, florist, pizzeria : 33436
Saved path: jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria, florist, bank, bookstore, cafe, noodle_house, toy_store, gym, hardware_store : 36638
Saved path: barber_shop, pharmacy, gelateria, bank, craft_shop, pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store, hardware_store, bike_shop, pet_store, bakery : 45625
Saved path: bakery, pet_store, bike_shop, party_store, gelateria, music_store, bank, pizzeria, bookstore, burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop : 46067
Saved path: bank, craft_shop, dentist, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, music_store : 46150
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, cafe, dentist, bank, gelateria, music_store, salon, bike_shop, pet_store, bakery : 51205
Saved path: bank, florist, music_store, gelateria, pharmacy, barber_shop, bakery, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop : 35827
Saved path: burger_joint, bookstore, dentist, grocery_store, toy_store, barber_shop, pet_store, bakery, pharmacy, music_store, florist, bank, pizzeria, gym, hardware_store : 53156
Saved path: burger_joint, dentist, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, party_store, pharmacy, music_store, florist, bank, gym, hardware_store : 39962
Saved path: bakery, bike_shop, jewelry_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, dentist, cafe, grocery_store, noodle_house, toy_store, gym : 41623
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, pharmacy, gelateria, music_store, party_store, hardware_store, gym, bookstore, grocery_store, tech_shop : 40552
Saved path: pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, jewelry_store, salon, bike_shop, pet_store : 43708
Saved path: party_store, salon, bakery, jewelry_store, gym, toy_store, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, gelateria : 40294
Saved path: florist, bank, pizzeria, dentist, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, music_store : 39126
Saved path: clothing_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, pharmacy, gelateria, music_store, bank, craft_shop, gym, pizzeria, bookstore : 47568
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, florist, pizzeria, bookstore, grocery_store, clothing_store : 42604
Saved path: music_store, pharmacy, party_store, salon, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria, craft_shop : 33220
Saved path: craft_shop, bank, gym, hardware_store, party_store, bike_shop, pet_store, bakery, toy_store, tech_shop, burger_joint, bookstore, cafe, grocery_store, dentist : 44773
Saved path: gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, pharmacy, music_store, bank, pizzeria, craft_shop, dentist, grocery_store, tech_shop, toy_store : 43962
Saved path: noodle_house, barber_shop, bakery, pet_store, party_store, pharmacy, music_store, florist, bank, craft_shop, gym, burger_joint, cafe, dentist, clothing_store : 49882
Saved path: bakery, pet_store, bike_shop, pharmacy, florist, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, jewelry_store : 45390
Saved path: music_store, pharmacy, bike_shop, pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, florist : 48138
Saved path: grocery_store, cafe, dentist, craft_shop, bank, pizzeria, bookstore, burger_joint, hardware_store, party_store, pet_store, bakery, barber_shop, toy_store, noodle_house : 46009
Saved path: pizzeria, gym, hardware_store, cafe, clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, salon, party_store, pharmacy, music_store, craft_shop : 47161
Saved path: salon, bike_shop, bakery, gelateria, florist, craft_shop, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store : 33249
Saved path: toy_store, clothing_store, grocery_store, cafe, pizzeria, florist, music_store, gelateria, pharmacy, bakery, bike_shop, salon, jewelry_store, burger_joint, noodle_house : 35044
Saved path: gym, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, party_store, gelateria, music_store, craft_shop : 45620
Saved path: toy_store, tech_shop, clothing_store, dentist, cafe, bookstore, burger_joint, gym, bank, music_store, gelateria, pet_store, bakery, jewelry_store, barber_shop : 52395
Saved path: cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, pizzeria, gym : 48160
Saved path: burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, bank, florist, gelateria, jewelry_store, salon, bakery, pet_store, toy_store, tech_shop : 45935
Saved path: bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, gelateria, party_store, salon : 38555
Saved path: bookstore, burger_joint, gym, pizzeria, craft_shop, bank, florist, music_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist : 42228
Saved path: party_store, music_store, gelateria, bank, craft_shop, dentist, bookstore, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 50903
Saved path: florist, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria : 47802
Saved path: hardware_store, burger_joint, bookstore, dentist, grocery_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, florist, pizzeria, gym : 43137
Saved path: grocery_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, salon, bakery, gelateria, music_store, bank, pizzeria, craft_shop, dentist, cafe : 37300
Saved path: jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, bank, florist, music_store, party_store, salon, bakery, pet_store : 45032
Saved path: bakery, bike_shop, jewelry_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, florist, music_store, gelateria : 38864
Saved path: bookstore, bank, florist, music_store, barber_shop, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist : 54872
Saved path: music_store, gelateria, bakery, bike_shop, salon, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, dentist, craft_shop, pizzeria, florist : 40250
Saved path: jewelry_store, salon, bike_shop, party_store, pharmacy, gelateria, music_store, florist, pizzeria, gym, tech_shop, grocery_store, clothing_store, toy_store, hardware_store : 37326
Saved path: bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, tech_shop, cafe, dentist, pizzeria, music_store, pharmacy, party_store : 49366
Saved path: music_store, gelateria, pharmacy, party_store, salon, bike_shop, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, craft_shop, pizzeria, florist : 39268
Saved path: bike_shop, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, craft_shop, bank, music_store : 50194
Saved path: gym, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria : 35894
Saved path: party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, craft_shop, bank, pharmacy : 35067
Saved path: noodle_house, tech_shop, cafe, bookstore, pizzeria, bank, music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store : 33381
Saved path: toy_store, burger_joint, gym, hardware_store, pet_store, bakery, barber_shop, pharmacy, gelateria, music_store, florist, craft_shop, dentist, grocery_store, clothing_store : 51969
Saved path: bookstore, cafe, burger_joint, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, music_store, florist, bank, craft_shop, pizzeria : 33626
Saved path: gym, bank, gelateria, music_store, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, burger_joint : 40859
Saved path: pet_store, bike_shop, party_store, pharmacy, music_store, bank, craft_shop, dentist, cafe, bookstore, grocery_store, toy_store, hardware_store, jewelry_store, bakery : 48767
Saved path: florist, dentist, cafe, grocery_store, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, pharmacy, gelateria, music_store : 49815
Saved path: bank, florist, music_store, bakery, salon, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop : 38268
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria, bank, pharmacy, party_store, bakery : 33546
Saved path: tech_shop, burger_joint, grocery_store, dentist, craft_shop, florist, pizzeria, gym, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store : 50068
Saved path: grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house : 36628
Saved path: noodle_house, tech_shop, burger_joint, gym, bike_shop, bakery, party_store, pharmacy, music_store, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store : 40100
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, florist, music_store, gelateria, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop : 35066
Saved path: toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, music_store, gelateria, jewelry_store, salon, pet_store, gym, burger_joint, tech_shop, noodle_house : 49782
Saved path: toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, party_store, bike_shop, pet_store, bakery : 41381
Saved path: barber_shop, toy_store, noodle_house, grocery_store, dentist, bookstore, burger_joint, gym, craft_shop, bank, music_store, gelateria, pharmacy, party_store, bakery : 42014
Saved path: pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, hardware_store, gym, pizzeria, bank, music_store : 39560
Saved path: gelateria, music_store, party_store, salon, pet_store, bakery, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, bank : 44030
Saved path: clothing_store, grocery_store, cafe, burger_joint, gym, craft_shop, pizzeria, gelateria, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, tech_shop : 33935
Saved path: pharmacy, gelateria, bank, craft_shop, gym, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store : 44807
Saved path: dentist, cafe, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy, gelateria, florist : 36967
Saved path: party_store, gelateria, florist, craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, hardware_store, pet_store, bakery, salon : 43970
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, burger_joint, gym, craft_shop, music_store, pharmacy, party_store, bakery, pet_store, salon : 50196
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, music_store, gelateria, pharmacy, bakery, bike_shop, salon, hardware_store, gym : 39159
Saved path: pizzeria, craft_shop, florist, music_store, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, cafe : 43880
Saved path: hardware_store, gym, craft_shop, florist, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint : 36279
Saved path: music_store, gelateria, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, hardware_store, gym, bank, florist : 36019
Saved path: toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, bank, florist, gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store : 46249
Saved path: bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, salon, bike_shop, bakery, party_store, gelateria : 38854
Saved path: gelateria, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria : 39107
Saved path: bookstore, cafe, burger_joint, tech_shop, toy_store, hardware_store, bike_shop, pet_store, bakery, barber_shop, party_store, pharmacy, music_store, bank, craft_shop : 46298
Saved path: bookstore, dentist, florist, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint : 50909
Saved path: bike_shop, bakery, barber_shop, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, bookstore, bank, florist, music_store, gelateria, pharmacy, party_store : 38299
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, jewelry_store, barber_shop, music_store, bank, pizzeria, craft_shop, dentist, bookstore : 52150
Saved path: clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bakery, bike_shop, salon, pharmacy, florist, bank, pizzeria, craft_shop, dentist : 36568
Saved path: tech_shop, clothing_store, toy_store, gym, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, gelateria, florist, bank, dentist, cafe : 51322
Saved path: gym, bank, florist, pharmacy, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, dentist, cafe, bookstore, pizzeria : 38421
Saved path: cafe, bookstore, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, salon, music_store, bank, craft_shop, dentist, grocery_store : 42844
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, party_store, pharmacy, music_store, bank, craft_shop, gym, pizzeria, bookstore : 34282
Saved path: bookstore, dentist, bank, pharmacy, party_store, salon, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, burger_joint : 49672
Saved path: pizzeria, gym, toy_store, noodle_house, hardware_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop : 41946
Saved path: toy_store, grocery_store, cafe, burger_joint, pizzeria, craft_shop, bank, florist, music_store, party_store, salon, bike_shop, pet_store, bakery, barber_shop : 45004
Saved path: clothing_store, grocery_store, cafe, dentist, craft_shop, gym, bank, florist, music_store, pharmacy, party_store, bakery, pet_store, barber_shop, noodle_house : 49261
Saved path: dentist, bookstore, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, florist, gym, craft_shop : 51560
Saved path: tech_shop, noodle_house, toy_store, pet_store, bakery, jewelry_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, dentist, bookstore, burger_joint : 46254
Saved path: dentist, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, florist, craft_shop : 48173
Saved path: barber_shop, toy_store, noodle_house, tech_shop, bookstore, pizzeria, gym, bank, florist, music_store, pharmacy, party_store, bakery, pet_store, jewelry_store : 43964
Saved path: hardware_store, pharmacy, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, gym : 49462
Saved path: pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, grocery_store, dentist, craft_shop, bank, gelateria, music_store : 40594
Saved path: toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, gym, pharmacy, salon, bakery, jewelry_store, hardware_store, burger_joint, noodle_house : 32628
Saved path: salon, party_store, florist, bank, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop : 41470
Saved path: bakery, barber_shop, toy_store, grocery_store, bookstore, burger_joint, hardware_store, gym, pizzeria, bank, florist, music_store, party_store, salon, bike_shop : 40225
