Saved path: grocery_store, cafe, burger_joint, pizzeria, craft_shop, gym, hardware_store, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store : 32856
Saved path: hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, bank, florist, music_store, gelateria, party_store, bakery, pet_store : 43343
Saved path: party_store, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, bike_shop : 41854
Saved path: toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, bakery, salon, party_store, gelateria, music_store, bank, craft_shop, bookstore, cafe, clothing_store : 33109
Saved path: salon, party_store, gelateria, bank, craft_shop, gym, burger_joint, cafe, grocery_store, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 43649
Saved path: salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, dentist, pizzeria, florist, gelateria, party_store : 39502
Saved path: gelateria, music_store, florist, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, party_store : 41798
Saved path: bakery, pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, cafe, dentist, pizzeria, bank, music_store, pharmacy, party_store : 47139
Saved path: florist, pizzeria, bookstore, dentist, cafe, burger_joint, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, party_store, gelateria, music_store : 42757
Saved path: gelateria, pharmacy, jewelry_store, bike_shop, pet_store, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, bank, florist, music_store : 46223
Saved path: pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, florist : 37044
Saved path: dentist, grocery_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, florist, bookstore, cafe : 42777
Saved path: pizzeria, gym, hardware_store, noodle_house, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, music_store, bank, craft_shop : 37081
Saved path: gelateria, party_store, salon, bike_shop, bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop : 38874
Saved path: bookstore, craft_shop, music_store, gelateria, jewelry_store, bike_shop, pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe : 48381
Saved path: pizzeria, craft_shop, dentist, cafe, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, party_store, pharmacy, gelateria : 35854
Saved path: pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym : 36673
Saved path: jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, florist, music_store, party_store, bakery, pet_store, bike_shop : 52195
Saved path: craft_shop, bank, florist, music_store, gelateria, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint : 37320
Saved path: bike_shop, salon, jewelry_store, party_store, pharmacy, florist, bank, craft_shop, dentist, cafe, clothing_store, toy_store, burger_joint, bakery, pet_store : 44563
Saved path: dentist, craft_shop, pizzeria, bank, gelateria, music_store, pharmacy, bakery, bike_shop, gym, toy_store, noodle_house, burger_joint, bookstore, cafe : 39314
Saved path: dentist, cafe, bookstore, pizzeria, craft_shop, gelateria, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store : 39413
Saved path: toy_store, noodle_house, clothing_store, dentist, craft_shop, pizzeria, bookstore, burger_joint, hardware_store, pharmacy, bike_shop, pet_store, bakery, jewelry_store, barber_shop : 49755
Saved path: pharmacy, party_store, salon, bike_shop, bakery, barber_shop, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, bank : 43052
Saved path: gym, craft_shop, bank, florist, music_store, gelateria, party_store, salon, pet_store, bakery, burger_joint, cafe, grocery_store, clothing_store, toy_store : 41299
Saved path: pizzeria, craft_shop, florist, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store, gym, toy_store, clothing_store, grocery_store, burger_joint, bookstore : 44417
Saved path: dentist, craft_shop, gym, hardware_store, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, bookstore : 46451
Saved path: party_store, gelateria, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, cafe, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop : 46683
Saved path: dentist, craft_shop, florist, gelateria, pharmacy, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, bookstore, cafe : 39880
Saved path: bookstore, pizzeria, craft_shop, bank, pharmacy, jewelry_store, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint : 43900
Saved path: barber_shop, bakery, bike_shop, party_store, music_store, florist, bank, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, hardware_store, jewelry_store : 37027
Saved path: toy_store, tech_shop, grocery_store, cafe, dentist, pizzeria, bank, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store : 48080
Saved path: craft_shop, dentist, bookstore, tech_shop, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, gym : 54202
Saved path: pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, craft_shop, gym, bank, florist, gelateria : 47460
Saved path: cafe, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, music_store, florist, bank, gym, dentist : 50766
Saved path: bakery, jewelry_store, hardware_store, burger_joint, tech_shop, grocery_store, toy_store, gym, pizzeria, florist, music_store, gelateria, party_store, salon, bike_shop : 37802
Saved path: tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, craft_shop, bookstore, cafe, clothing_store : 45666
Saved path: clothing_store, dentist, burger_joint, gym, pizzeria, bank, gelateria, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop : 44440
Saved path: gelateria, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, bank : 48632
Saved path: grocery_store, cafe, gym, bank, florist, music_store, gelateria, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop : 37770
Saved path: pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, tech_shop, burger_joint, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store : 40015
Saved path: bookstore, pizzeria, craft_shop, bank, florist, gelateria, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, burger_joint : 34678
Saved path: party_store, salon, bike_shop, bakery, jewelry_store, gym, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, bank, gelateria, music_store : 41668
Saved path: bike_shop, jewelry_store, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, grocery_store, toy_store, tech_shop, burger_joint, gym, bakery, pet_store : 48699
Saved path: florist, pharmacy, party_store, salon, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, dentist, craft_shop, pizzeria, bank : 37769
Saved path: toy_store, clothing_store, grocery_store, cafe, pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, hardware_store : 37782
Saved path: barber_shop, jewelry_store, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, gym, bookstore, clothing_store, toy_store : 38647
Saved path: bike_shop, jewelry_store, party_store, gelateria, music_store, florist, craft_shop, gym, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, hardware_store, pet_store : 47153
Saved path: bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, bike_shop, salon, party_store, florist, pizzeria : 47229
Saved path: hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, music_store, bakery, pet_store, bike_shop, salon, jewelry_store : 46438
Saved path: tech_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, florist, gelateria, party_store, bakery, salon, hardware_store, gym, burger_joint : 35996
Saved path: cafe, bookstore, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, bakery, barber_shop, gelateria, florist, craft_shop, dentist : 41960
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, pizzeria, bank, florist, music_store, gelateria, bakery, bike_shop, hardware_store, gym : 40571
Saved path: music_store, florist, bank, craft_shop, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, bike_shop, pet_store, bakery, party_store : 42310
Saved path: burger_joint, cafe, dentist, bank, florist, gym, bakery, pet_store, salon, party_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house : 48214
Saved path: cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, bakery, pharmacy, gelateria, craft_shop, pizzeria : 36005
Saved path: bike_shop, party_store, gelateria, music_store, craft_shop, gym, bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store : 54548
Saved path: florist, bank, craft_shop, pizzeria, bookstore, cafe, burger_joint, tech_shop, toy_store, gym, bakery, salon, jewelry_store, pharmacy, music_store : 32930
Saved path: gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store, florist, bank, pizzeria, dentist, grocery_store, noodle_house, toy_store : 53463
Saved path: jewelry_store, barber_shop, toy_store, burger_joint, cafe, grocery_store, dentist, craft_shop, pizzeria, music_store, gelateria, pharmacy, party_store, salon, bakery : 38198
Saved path: bike_shop, party_store, pharmacy, gelateria, music_store, florist, dentist, cafe, tech_shop, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store : 49196
Saved path: salon, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop, bookstore, cafe, grocery_store, dentist, craft_shop, bank, gelateria, pharmacy : 44011
Saved path: dentist, cafe, burger_joint, party_store, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop, bookstore, pizzeria, bank : 43756
Saved path: tech_shop, toy_store, jewelry_store, salon, bike_shop, bakery, pharmacy, gelateria, florist, bank, pizzeria, craft_shop, dentist, bookstore, burger_joint : 36958
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, party_store, gelateria, music_store, craft_shop, gym, hardware_store, cafe, clothing_store : 47688
Saved path: craft_shop, gelateria, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria : 40278
Saved path: jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, craft_shop, florist, pharmacy, salon, bike_shop, bakery, barber_shop : 41568
Saved path: burger_joint, hardware_store, gym, craft_shop, bank, florist, music_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, bookstore : 47574
Saved path: burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, pet_store, bakery, gelateria, music_store, pharmacy, hardware_store, gym : 46746
Saved path: craft_shop, pizzeria, bank, music_store, pharmacy, party_store, jewelry_store, pet_store, bakery, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist : 45665
Saved path: toy_store, noodle_house, cafe, bookstore, pizzeria, craft_shop, bank, florist, gelateria, bakery, salon, jewelry_store, barber_shop, hardware_store, gym : 34332
Saved path: bank, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, gym, burger_joint, bookstore, cafe, dentist : 43520
Saved path: noodle_house, toy_store, gym, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store, florist, pizzeria, dentist, grocery_store, clothing_store, tech_shop : 48188
Saved path: grocery_store, dentist, craft_shop, pizzeria, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store : 38776
Saved path: salon, party_store, music_store, gelateria, bank, craft_shop, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 38760
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, florist, pharmacy, party_store, salon, bike_shop, pet_store : 46418
Saved path: dentist, bookstore, pizzeria, gelateria, pharmacy, party_store, bakery, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store : 38050
Saved path: cafe, dentist, pizzeria, bank, music_store, gelateria, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store : 39077
Saved path: party_store, music_store, gelateria, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, clothing_store, toy_store, barber_shop, bakery, pet_store : 48719
Saved path: noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, florist, party_store, bakery, pet_store, hardware_store, gym, burger_joint : 40304
Saved path: dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, pet_store, bakery, salon, jewelry_store, party_store, pharmacy, florist, bank : 46013
Saved path: bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, toy_store, gym, bakery, bike_shop, jewelry_store, pharmacy, music_store : 42562
Saved path: craft_shop, bank, pharmacy, party_store, salon, pet_store, bakery, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria : 42431
Saved path: bike_shop, pet_store, bakery, gym, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, music_store, pharmacy, party_store, jewelry_store : 51483
Saved path: hardware_store, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, bank, gelateria, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 49438
Saved path: party_store, gelateria, florist, bank, craft_shop, dentist, clothing_store, tech_shop, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon : 45060
Saved path: gym, hardware_store, bakery, salon, music_store, florist, bank, craft_shop, dentist, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint : 37731
Saved path: gym, craft_shop, florist, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore : 44595
Saved path: gelateria, bank, gym, toy_store, clothing_store, grocery_store, cafe, burger_joint, hardware_store, jewelry_store, salon, bakery, pet_store, party_store, pharmacy : 41707
Saved path: burger_joint, bookstore, pizzeria, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, jewelry_store, salon, bakery, pet_store : 42934
Saved path: toy_store, gym, jewelry_store, bike_shop, bakery, party_store, gelateria, music_store, florist, bank, craft_shop, dentist, cafe, bookstore, clothing_store : 41825
Saved path: barber_shop, jewelry_store, bakery, party_store, pharmacy, music_store, florist, gym, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store : 40008
Saved path: salon, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, bookstore, burger_joint, cafe, clothing_store, toy_store, bakery, pet_store : 40273
Saved path: bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, pet_store, bakery, salon, jewelry_store, party_store, pharmacy, music_store, craft_shop : 45390
Saved path: bookstore, cafe, clothing_store, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, gelateria, florist, craft_shop, pizzeria, gym, burger_joint : 45178
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, bank, gelateria, music_store, barber_shop, bakery, pet_store, bike_shop, salon : 51828
Saved path: bakery, gelateria, music_store, florist, bank, craft_shop, gym, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, salon, bike_shop : 36973
Saved path: tech_shop, burger_joint, pet_store, bakery, salon, party_store, gelateria, florist, bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store : 42466
Saved path: pizzeria, bank, florist, music_store, gelateria, pharmacy, barber_shop, bakery, bike_shop, salon, hardware_store, toy_store, grocery_store, dentist, bookstore : 42783
Saved path: bike_shop, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, cafe, dentist, bank, florist, pharmacy, party_store, barber_shop, bakery, pet_store : 47468
Saved path: burger_joint, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, party_store, bakery, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop : 33878
Saved path: dentist, craft_shop, florist, music_store, pharmacy, party_store, bakery, bike_shop, jewelry_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store : 39660
Saved path: toy_store, clothing_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, bank, gelateria, music_store, party_store, bakery, bike_shop, hardware_store : 38898
Saved path: toy_store, barber_shop, bakery, pet_store, party_store, music_store, gelateria, bank, craft_shop, gym, burger_joint, cafe, grocery_store, clothing_store, noodle_house : 45767
Saved path: cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, music_store, bank, craft_shop, gym, burger_joint : 47261
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, gym, pizzeria, florist, gelateria, bakery, pet_store, bike_shop, salon : 45079
Saved path: party_store, pharmacy, gelateria, florist, gym, burger_joint, bookstore, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, salon : 44562
Saved path: florist, bank, dentist, bookstore, burger_joint, tech_shop, toy_store, gym, pet_store, bakery, salon, jewelry_store, party_store, pharmacy, music_store : 48469
Saved path: gym, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, florist, pizzeria, craft_shop, dentist, bookstore, burger_joint : 41802
Saved path: grocery_store, bookstore, pizzeria, gym, craft_shop, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house : 48556
Saved path: burger_joint, gym, craft_shop, bank, florist, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore : 38616
Saved path: gelateria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy : 42071
Saved path: bike_shop, party_store, pharmacy, bank, bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, bakery, pet_store : 42047
Saved path: bakery, salon, jewelry_store, hardware_store, burger_joint, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, bank, florist, gelateria, party_store : 34930
Saved path: pet_store, salon, party_store, music_store, florist, craft_shop, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, barber_shop, bakery : 46675
Saved path: toy_store, clothing_store, grocery_store, cafe, burger_joint, craft_shop, bank, music_store, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop : 36460
Saved path: music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, gym, craft_shop, florist : 35106
Saved path: jewelry_store, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, craft_shop, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop : 44458
Saved path: hardware_store, bakery, bike_shop, salon, music_store, florist, bank, craft_shop, pizzeria, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym : 34768
Saved path: dentist, pizzeria, florist, music_store, gelateria, barber_shop, jewelry_store, salon, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint : 41924
Saved path: hardware_store, gym, florist, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, party_store : 48703
Saved path: bank, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop : 36596
Saved path: jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, craft_shop, dentist, grocery_store, bookstore, tech_shop, noodle_house, toy_store : 49410
Saved path: noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, party_store, pet_store, gym, burger_joint, tech_shop : 43226
Saved path: grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, music_store, gelateria, party_store, bakery, pet_store, hardware_store, toy_store, tech_shop : 45611
Saved path: cafe, bookstore, pizzeria, craft_shop, music_store, pharmacy, salon, bike_shop, pet_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist : 47353
Saved path: barber_shop, bakery, salon, party_store, pharmacy, music_store, florist, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, clothing_store, toy_store : 36226
Saved path: toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, florist, bank, bookstore, dentist, grocery_store, tech_shop, noodle_house : 47789
Saved path: music_store, gelateria, bank, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon : 40809
Saved path: pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, gym, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, gelateria : 46874
Saved path: pizzeria, bank, florist, music_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym : 45983
Saved path: gelateria, pharmacy, bakery, jewelry_store, hardware_store, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, bank, florist : 35427
Saved path: tech_shop, bookstore, cafe, dentist, craft_shop, gym, bank, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store : 42260
Saved path: craft_shop, pizzeria, gym, burger_joint, bookstore, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria, music_store : 39913
Saved path: barber_shop, bakery, pharmacy, gelateria, music_store, craft_shop, dentist, grocery_store, cafe, bookstore, noodle_house, toy_store, gym, hardware_store, jewelry_store : 43206
Saved path: grocery_store, cafe, dentist, gym, bank, florist, music_store, gelateria, party_store, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store : 50699
Saved path: salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store, pharmacy : 40627
Saved path: toy_store, clothing_store, dentist, craft_shop, pizzeria, bank, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, gym, burger_joint, tech_shop : 41290
Saved path: bookstore, pizzeria, gym, hardware_store, pet_store, bakery, pharmacy, party_store, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, cafe : 43725
Saved path: grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, jewelry_store, pharmacy, music_store, florist, bank, craft_shop, dentist : 47614
Saved path: cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, gelateria, music_store, florist, dentist, grocery_store : 49586
Saved path: grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, bookstore, cafe : 47045
Saved path: pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, hardware_store, gym, pizzeria, florist, gelateria : 36812
Saved path: bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, bike_shop, pet_store, bakery, party_store, music_store : 46042
Saved path: bike_shop, party_store, music_store, craft_shop, pizzeria, bookstore, dentist, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 52741
Saved path: dentist, florist, gelateria, party_store, jewelry_store, salon, bakery, pet_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe : 47139
Saved path: gym, jewelry_store, salon, bakery, pet_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, bank, pizzeria : 40562
Saved path: bookstore, cafe, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, gelateria, bank, craft_shop, gym, pizzeria : 45221
Saved path: salon, jewelry_store, hardware_store, toy_store, tech_shop, cafe, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, party_store, pet_store, bike_shop : 43290
Saved path: burger_joint, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, pet_store, bakery, party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore : 42792
Saved path: bank, gym, hardware_store, burger_joint, cafe, dentist, clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, pharmacy, music_store, florist : 50728
