Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, bank : 68278
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, hardware_store, bike_shop, bakery, music_store, gelateria, pet_store, pizzeria, dentist, cafe, bookstore : 55776
Saved path: bank, music_store, florist, pet_store, dentist, cafe, burger_joint, bookstore, clothing_store, salon, barber_shop, party_store, bakery, pharmacy, gelateria : 63006
Saved path: burger_joint, hardware_store, barber_shop, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house : 50563
Saved path: bookstore, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, gym, burger_joint : 53150
Saved path: dentist, pizzeria, gym, florist, bank, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 59005
Saved path: bookstore, burger_joint, hardware_store, jewelry_store, bike_shop, barber_shop, pharmacy, gelateria, bank, pet_store, craft_shop, dentist, clothing_store, tech_shop, cafe : 67253
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, bookstore, burger_joint, party_store, bike_shop, music_store, gelateria, florist, craft_shop, pizzeria, tech_shop : 55062
Saved path: party_store, jewelry_store, barber_shop, gelateria, pet_store, craft_shop, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 60052
Saved path: music_store, florist, craft_shop, pizzeria, dentist, cafe, bookstore, gym, hardware_store, salon, jewelry_store, bike_shop, pharmacy, gelateria, bank : 66802
Saved path: gym, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, hardware_store : 58236
Saved path: bookstore, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist, craft_shop : 62653
Saved path: hardware_store, toy_store, salon, noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, bank, pharmacy, party_store, jewelry_store : 62567
Saved path: bike_shop, bakery, gym, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, music_store, jewelry_store : 61189
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, music_store, bank, florist, pet_store, dentist, cafe, bookstore : 66816
Saved path: jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, tech_shop, dentist, pizzeria, pet_store, florist, gelateria, pharmacy, bakery, bike_shop : 57305
Saved path: barber_shop, salon, hardware_store, gym, toy_store, grocery_store, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, party_store, bike_shop : 69882
Saved path: gelateria, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy : 58581
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, pizzeria, pet_store, gelateria, florist, gym, bakery : 62778
Saved path: clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, florist, bank, pharmacy, bakery, bike_shop, barber_shop, toy_store : 61942
Saved path: gym, bike_shop, hardware_store, burger_joint, bookstore, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, florist : 58928
Saved path: pharmacy, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, pet_store, bank : 64289
Saved path: cafe, burger_joint, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, jewelry_store, music_store, bank, gelateria, pet_store, dentist : 64484
Saved path: noodle_house, toy_store, salon, barber_shop, party_store, bakery, pharmacy, gelateria, bank, florist, craft_shop, gym, hardware_store, cafe, grocery_store : 57458
Saved path: party_store, bike_shop, gym, salon, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 66231
Saved path: noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy, bike_shop, jewelry_store, party_store, burger_joint, cafe, bookstore : 53775
Saved path: tech_shop, pizzeria, dentist, bookstore, gym, craft_shop, gelateria, music_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store : 55677
Saved path: jewelry_store, party_store, bakery, bank, music_store, florist, craft_shop, gym, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store, barber_shop : 62195
Saved path: music_store, bank, pet_store, gym, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store : 70245
Saved path: craft_shop, pet_store, bank, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, pizzeria, dentist, bookstore, burger_joint, gym : 68787
Saved path: craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, bakery, bike_shop, jewelry_store, pharmacy, bank, gelateria, florist : 58752
Saved path: clothing_store, tech_shop, cafe, bookstore, dentist, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, bike_shop, bakery, toy_store : 59581
Saved path: jewelry_store, hardware_store, burger_joint, bookstore, cafe, clothing_store, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, barber_shop, bakery, bike_shop : 63284
Saved path: bank, music_store, pharmacy, jewelry_store, barber_shop, salon, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, florist, gelateria : 62874
Saved path: tech_shop, grocery_store, cafe, bookstore, burger_joint, noodle_house, salon, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, bank, pizzeria : 67022
Saved path: bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, craft_shop, florist, gelateria, pharmacy, bakery, party_store : 50520
Saved path: hardware_store, gym, burger_joint, toy_store, salon, clothing_store, cafe, pizzeria, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 69968
Saved path: gelateria, music_store, florist, pet_store, gym, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy : 61854
Saved path: dentist, tech_shop, clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, pet_store, gym, bookstore : 62474
Saved path: hardware_store, gym, pizzeria, pet_store, florist, music_store, bike_shop, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, burger_joint : 57992
Saved path: cafe, dentist, grocery_store, clothing_store, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, bank, pet_store, gym, burger_joint, bookstore : 67836
Saved path: burger_joint, bookstore, tech_shop, dentist, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, hardware_store, salon, noodle_house : 55074
Saved path: bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, pet_store, florist, pharmacy : 60644
Saved path: bookstore, cafe, tech_shop, grocery_store, salon, barber_shop, jewelry_store, bakery, hardware_store, craft_shop, pet_store, gelateria, bank, music_store, florist : 65744
Saved path: florist, music_store, bank, gelateria, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, craft_shop, pet_store : 64020
Saved path: music_store, gelateria, pet_store, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, bakery, party_store, pharmacy : 57744
Saved path: florist, music_store, bank, bakery, bike_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store : 57096
Saved path: hardware_store, bakery, bike_shop, barber_shop, music_store, bank, gelateria, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, cafe, burger_joint : 61190
Saved path: clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, bookstore : 56430
Saved path: florist, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, hardware_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, gym, craft_shop : 54738
Saved path: toy_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, music_store, pharmacy, bakery, jewelry_store, party_store, gym, hardware_store, salon : 59444
Saved path: salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store : 65636
Saved path: gelateria, bank, party_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop : 68792
Saved path: craft_shop, pet_store, florist, gelateria, pharmacy, jewelry_store, party_store, hardware_store, salon, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym : 53822
Saved path: florist, gelateria, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, burger_joint, cafe, grocery_store, tech_shop, dentist, craft_shop : 56825
