Saved path: party_store, gelateria, music_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store : 39847
Saved path: music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, barber_shop, bakery, bike_shop : 42246
Saved path: florist, bank, pizzeria, bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bakery, party_store, pharmacy, music_store : 34274
Saved path: clothing_store, grocery_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, gym, burger_joint, noodle_house : 39805
Saved path: tech_shop, clothing_store, cafe, bookstore, burger_joint, gym, craft_shop, bank, florist, music_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house : 36074
Saved path: gelateria, pizzeria, craft_shop, gym, burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, bakery : 45601
Saved path: bakery, jewelry_store, gym, toy_store, clothing_store, tech_shop, bookstore, dentist, craft_shop, bank, florist, pharmacy, party_store, salon, bike_shop : 38927
Saved path: noodle_house, tech_shop, burger_joint, hardware_store, bakery, bike_shop, music_store, gelateria, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store : 34060
Saved path: bike_shop, bakery, party_store, burger_joint, bookstore, bank, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store : 37605
Saved path: hardware_store, bakery, bike_shop, salon, party_store, gelateria, florist, bank, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, toy_store : 35572
Saved path: florist, bank, bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, bike_shop, jewelry_store, pharmacy, gelateria : 35412
Saved path: craft_shop, bank, florist, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, gym, burger_joint, toy_store, clothing_store, grocery_store, dentist : 38105
Saved path: toy_store, noodle_house, burger_joint, hardware_store, bike_shop, pet_store, bakery, barber_shop, pharmacy, music_store, florist, pizzeria, bookstore, grocery_store, clothing_store : 47437
Saved path: burger_joint, bookstore, cafe, dentist, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, gelateria, bank, craft_shop, gym : 51200
Saved path: gelateria, pharmacy, party_store, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, pizzeria, florist : 41214
Saved path: burger_joint, dentist, bookstore, pizzeria, gym, florist, music_store, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house : 40896
Saved path: clothing_store, toy_store, barber_shop, party_store, salon, bakery, pet_store, hardware_store, burger_joint, bookstore, pizzeria, florist, bank, dentist, cafe : 48309
Saved path: gym, burger_joint, bookstore, cafe, clothing_store, dentist, craft_shop, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, jewelry_store, hardware_store : 51211
Saved path: toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, pizzeria, bank, florist, pharmacy, party_store, pet_store, bakery, jewelry_store, hardware_store : 44621
Saved path: burger_joint, bookstore, pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, grocery_store, dentist, cafe : 38623
Saved path: bakery, party_store, pharmacy, hardware_store, gym, pizzeria, craft_shop, dentist, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop : 38767
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, hardware_store, party_store, salon, bike_shop, pet_store, bakery, barber_shop : 40843
Saved path: pizzeria, bookstore, burger_joint, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, florist : 48392
Saved path: barber_shop, jewelry_store, party_store, florist, bank, craft_shop, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, pet_store, bakery : 42786
Saved path: bookstore, noodle_house, toy_store, gym, hardware_store, jewelry_store, pet_store, bakery, party_store, pharmacy, bank, pizzeria, craft_shop, dentist, cafe : 46506
Saved path: music_store, gelateria, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, salon, bike_shop, bakery, party_store : 35891
Saved path: salon, jewelry_store, toy_store, clothing_store, tech_shop, cafe, bookstore, pizzeria, craft_shop, gym, hardware_store, party_store, pharmacy, bakery, pet_store : 42713
Saved path: toy_store, noodle_house, burger_joint, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, bank, craft_shop, dentist, grocery_store : 42155
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, gelateria, party_store, bakery, pet_store, jewelry_store : 43815
Saved path: clothing_store, cafe, burger_joint, jewelry_store, bakery, bike_shop, salon, pharmacy, music_store, florist, bank, gym, toy_store, noodle_house, tech_shop : 36071
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, tech_shop, gym, pizzeria, bank, florist, music_store : 41562
Saved path: cafe, bookstore, gym, bank, florist, music_store, party_store, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store : 35899
Saved path: tech_shop, toy_store, barber_shop, bakery, pet_store, pharmacy, gelateria, florist, bank, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store : 46852
Saved path: craft_shop, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, salon, pharmacy, music_store, florist, bank, pizzeria : 45455
Saved path: clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, barber_shop, party_store, pharmacy, florist, bank, pizzeria, bookstore, grocery_store : 32475
Saved path: burger_joint, cafe, dentist, craft_shop, bank, florist, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house : 43750
Saved path: bank, florist, pharmacy, salon, bike_shop, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop : 43901
Saved path: cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, bank, craft_shop, bookstore : 34886
Saved path: grocery_store, clothing_store, toy_store, gym, bakery, bike_shop, jewelry_store, party_store, music_store, bank, craft_shop, pizzeria, bookstore, cafe, dentist : 41374
Saved path: barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, hardware_store, gym, craft_shop, pizzeria, bookstore, cafe, burger_joint, tech_shop, toy_store : 44431
Saved path: gelateria, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, gym, bank : 40454
Saved path: barber_shop, toy_store, clothing_store, burger_joint, hardware_store, gym, pizzeria, bank, gelateria, music_store, pharmacy, party_store, bakery, salon, jewelry_store : 36428
Saved path: florist, bank, pizzeria, gym, burger_joint, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, party_store, pharmacy : 34898
Saved path: gym, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, pet_store, gelateria, florist, bank, craft_shop, pizzeria : 41497
Saved path: barber_shop, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, bank, florist, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 43817
Saved path: gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore, cafe, dentist, craft_shop, florist, gelateria, salon, bike_shop, pet_store, bakery : 46954
Saved path: bank, craft_shop, pizzeria, bookstore, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, hardware_store, gym, florist : 33461
Saved path: bike_shop, pharmacy, gelateria, florist, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery, pet_store : 45548
Saved path: salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, gym, bank, florist, pharmacy, party_store : 34442
Saved path: party_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, gym, music_store, gelateria, pharmacy : 37631
Saved path: craft_shop, dentist, bookstore, tech_shop, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, party_store, gelateria, music_store, florist, pizzeria : 46229
Saved path: grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, florist, bank, pizzeria, dentist : 44320
Saved path: pizzeria, craft_shop, dentist, cafe, burger_joint, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, party_store, pharmacy, music_store, bank : 45447
Saved path: hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, party_store, salon, pet_store, bakery, jewelry_store : 45315
Saved path: bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, bakery, salon, party_store, pharmacy, florist, bank, craft_shop : 38198
Saved path: barber_shop, bakery, bike_shop, salon, hardware_store, gym, burger_joint, bookstore, tech_shop, toy_store, clothing_store, dentist, craft_shop, florist, gelateria : 44255
Saved path: pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, pizzeria, craft_shop, bank, pharmacy, party_store, bakery : 39156
Saved path: gelateria, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bakery, pharmacy : 30292
Saved path: toy_store, noodle_house, tech_shop, bookstore, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, pharmacy, bank, dentist, clothing_store : 38205
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, pharmacy, music_store, bank, craft_shop, pizzeria, gym, hardware_store, noodle_house, grocery_store : 47316
Saved path: toy_store, barber_shop, jewelry_store, bakery, pet_store, hardware_store, gym, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house : 44850
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, gelateria, florist, bank, pizzeria, dentist, cafe, grocery_store, clothing_store : 36821
Saved path: salon, party_store, gelateria, music_store, florist, bookstore, cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 44190
Saved path: gym, bank, gelateria, music_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, dentist, craft_shop : 44097
Saved path: clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store, florist, bank, dentist, grocery_store : 39741
Saved path: grocery_store, dentist, craft_shop, bank, florist, music_store, gelateria, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, burger_joint : 49432
Saved path: florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, pharmacy, music_store : 31768
Saved path: bakery, salon, barber_shop, pharmacy, bank, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store : 47222
Saved path: hardware_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store, florist, dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store : 42035
Saved path: bakery, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, bank, pizzeria, bookstore, grocery_store, tech_shop, noodle_house, toy_store, gym : 36880
Saved path: salon, bike_shop, bakery, pharmacy, gelateria, craft_shop, gym, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store : 35559
Saved path: pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, party_store : 32429
Saved path: bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, party_store, music_store, gelateria, bank, craft_shop, gym : 39695
Saved path: gym, toy_store, clothing_store, tech_shop, burger_joint, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, salon, bike_shop, jewelry_store, hardware_store : 37917
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, music_store, bank, dentist, grocery_store, cafe, burger_joint : 37476
Saved path: clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store, pizzeria, dentist : 42329
Saved path: grocery_store, cafe, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, toy_store, noodle_house, tech_shop : 32150
Saved path: bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, burger_joint, cafe, dentist, florist, music_store, pharmacy, party_store : 42904
Saved path: cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, party_store, pharmacy, bank, gym, bookstore : 38608
Saved path: pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, gym : 40065
Saved path: bookstore, burger_joint, gym, craft_shop, florist, pharmacy, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe : 39147
Saved path: pet_store, bakery, jewelry_store, pharmacy, florist, bank, pizzeria, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym : 46776
Saved path: salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, bookstore, craft_shop, bank, party_store : 34293
Saved path: bakery, burger_joint, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, bank, gelateria, music_store, party_store, jewelry_store, salon, bike_shop : 40600
Saved path: bank, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, noodle_house, grocery_store, bookstore : 49180
Saved path: pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, bank, craft_shop, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 43835
Saved path: salon, pharmacy, gym, craft_shop, pizzeria, bookstore, dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 50029
Saved path: tech_shop, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, hardware_store, gym, toy_store, clothing_store : 31581
Saved path: craft_shop, pizzeria, burger_joint, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy, music_store, florist, bank : 32848
Saved path: florist, music_store, pharmacy, salon, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop : 35431
Saved path: noodle_house, toy_store, pet_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, bookstore, burger_joint, tech_shop : 48178
Saved path: barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, gym, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store : 37414
Saved path: party_store, gelateria, music_store, florist, bank, bookstore, cafe, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 45508
Saved path: hardware_store, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, music_store, pharmacy, party_store, bakery, pet_store, bike_shop : 44761
Saved path: bakery, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, florist, gelateria, pharmacy, pet_store : 45131
Saved path: gelateria, music_store, florist, bank, pizzeria, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store : 44106
Saved path: bank, pizzeria, craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, gelateria : 41381
Saved path: burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, gelateria, florist, craft_shop, cafe, grocery_store, toy_store, noodle_house : 43098
Saved path: grocery_store, cafe, dentist, pizzeria, bank, florist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, toy_store, noodle_house, tech_shop : 36228
Saved path: bookstore, cafe, grocery_store, tech_shop, toy_store, hardware_store, salon, bakery, pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria : 29822
Saved path: noodle_house, toy_store, gym, hardware_store, bakery, bike_shop, salon, party_store, gelateria, florist, bank, bookstore, cafe, dentist, clothing_store : 37927
Saved path: tech_shop, bookstore, burger_joint, gym, hardware_store, pet_store, bakery, gelateria, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store : 48516
Saved path: grocery_store, dentist, cafe, burger_joint, gym, florist, music_store, pharmacy, party_store, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop : 39734
Saved path: bike_shop, bakery, barber_shop, music_store, gelateria, bank, pizzeria, craft_shop, dentist, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, salon : 43252
Saved path: pizzeria, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, bakery, jewelry_store, pharmacy, gelateria, music_store, bank, craft_shop : 34040
Saved path: bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, pharmacy, gelateria, florist, pizzeria : 42605
Saved path: gelateria, pharmacy, party_store, pet_store, salon, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, florist, music_store : 43324
Saved path: pharmacy, gelateria, music_store, bank, craft_shop, gym, toy_store, noodle_house, tech_shop, cafe, burger_joint, hardware_store, jewelry_store, salon, bakery : 33549
Saved path: florist, bank, craft_shop, pizzeria, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy : 42425
Saved path: tech_shop, toy_store, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, gelateria, music_store, florist, pizzeria, bookstore, dentist, clothing_store : 52746
Saved path: jewelry_store, barber_shop, bakery, bike_shop, salon, music_store, gelateria, bank, dentist, cafe, burger_joint, noodle_house, toy_store, gym, hardware_store : 43487
Saved path: dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, gelateria, bank, pizzeria : 49158
Saved path: hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, party_store, bike_shop, pet_store : 49668
Saved path: jewelry_store, salon, bike_shop, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store : 35663
Saved path: hardware_store, gym, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint : 35497
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, pharmacy, florist, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store : 45510
Saved path: pet_store, bakery, salon, hardware_store, burger_joint, cafe, dentist, bank, florist, pizzeria, bookstore, tech_shop, clothing_store, toy_store, barber_shop : 45072
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, pharmacy, gelateria, florist, gym, bookstore, cafe, grocery_store : 44407
Saved path: bakery, salon, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, tech_shop, noodle_house, toy_store, barber_shop, pet_store : 41370
Saved path: cafe, dentist, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, pet_store, salon, party_store, music_store, florist, craft_shop, pizzeria, bookstore : 46565
Saved path: cafe, bookstore, bank, music_store, gelateria, pharmacy, party_store, pet_store, bakery, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store : 42631
Saved path: florist, craft_shop, pizzeria, gym, burger_joint, cafe, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store : 34432
Saved path: cafe, bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, barber_shop, bakery, salon, party_store, music_store, florist, craft_shop, dentist : 41548
Saved path: party_store, salon, bike_shop, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, bank, pharmacy : 37699
Saved path: bakery, barber_shop, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, florist, gelateria, pet_store : 51818
Saved path: bakery, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, dentist, cafe, grocery_store, tech_shop, toy_store : 35922
Saved path: noodle_house, tech_shop, burger_joint, bookstore, dentist, craft_shop, bank, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store : 38966
Saved path: tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria, florist, bank, bookstore, cafe, dentist, clothing_store : 35509
Saved path: toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, salon, pharmacy, gelateria, bank, pizzeria, craft_shop, dentist, clothing_store, noodle_house : 39460
Saved path: pizzeria, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, grocery_store, cafe, hardware_store, gym : 40111
