Saved path: cafe, dentist, craft_shop, gym, florist, music_store, party_store, salon, pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, bookstore : 50288
Saved path: pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, pizzeria, craft_shop, bank, pharmacy, party_store : 41012
Saved path: toy_store, clothing_store, cafe, bookstore, pizzeria, craft_shop, hardware_store, party_store, bakery, pet_store, bike_shop, jewelry_store, burger_joint, tech_shop, noodle_house : 40635
Saved path: burger_joint, cafe, dentist, pizzeria, bank, florist, music_store, gelateria, barber_shop, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop : 49519
Saved path: cafe, bookstore, burger_joint, toy_store, gym, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, music_store, florist, dentist : 38930
Saved path: gym, jewelry_store, bike_shop, salon, party_store, pharmacy, gelateria, florist, craft_shop, dentist, grocery_store, cafe, bookstore, noodle_house, toy_store : 40090
Saved path: bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, grocery_store, cafe, burger_joint, hardware_store, gym, florist, music_store, pharmacy, party_store : 37798
Saved path: dentist, craft_shop, bank, florist, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, cafe : 34579
Saved path: party_store, gelateria, florist, bank, pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon : 36820
Saved path: hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, salon, pet_store : 49031
Saved path: toy_store, barber_shop, bakery, party_store, gelateria, florist, bank, craft_shop, pizzeria, gym, burger_joint, bookstore, dentist, clothing_store, tech_shop : 40461
Saved path: gelateria, music_store, pharmacy, party_store, pet_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria : 45626
Saved path: cafe, burger_joint, bookstore, pizzeria, florist, music_store, pharmacy, salon, bike_shop, pet_store, hardware_store, gym, toy_store, clothing_store, grocery_store : 43843
Saved path: noodle_house, tech_shop, clothing_store, dentist, craft_shop, bank, pizzeria, gym, hardware_store, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store : 37700
Saved path: toy_store, noodle_house, burger_joint, cafe, bookstore, bank, florist, gelateria, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, hardware_store : 39295
Saved path: toy_store, jewelry_store, salon, bike_shop, pet_store, bakery, burger_joint, bookstore, pizzeria, bank, craft_shop, dentist, grocery_store, clothing_store, noodle_house : 41022
Saved path: bakery, salon, jewelry_store, barber_shop, pharmacy, gelateria, music_store, florist, bank, dentist, noodle_house, toy_store, gym, hardware_store, pet_store : 51007
Saved path: burger_joint, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, party_store, bakery, hardware_store, gym, toy_store, grocery_store, dentist, cafe : 37461
Saved path: bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, bookstore, bank, florist, music_store, gelateria, party_store, salon : 37227
Saved path: party_store, pharmacy, hardware_store, gym, burger_joint, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 37470
Saved path: burger_joint, gym, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist, bookstore : 44898
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, florist, music_store, gelateria, bakery, pet_store : 48021
Saved path: florist, bank, craft_shop, pizzeria, cafe, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, music_store : 43816
Saved path: dentist, craft_shop, pizzeria, gelateria, music_store, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, cafe : 39769
Saved path: grocery_store, cafe, bookstore, pizzeria, craft_shop, gelateria, pharmacy, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 42296
Saved path: bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, bank, pharmacy, party_store, salon : 41399
Saved path: dentist, grocery_store, toy_store, bakery, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, burger_joint, cafe : 37817
Saved path: hardware_store, gym, toy_store, tech_shop, grocery_store, dentist, bookstore, florist, gelateria, pharmacy, barber_shop, bakery, pet_store, bike_shop, salon : 52734
Saved path: pet_store, bike_shop, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, craft_shop, bank, pharmacy, bakery : 42228
Saved path: dentist, cafe, bookstore, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, pet_store, pharmacy, gelateria, florist, bank, craft_shop : 44230
Saved path: bank, craft_shop, dentist, cafe, bookstore, toy_store, barber_shop, bakery, bike_shop, salon, party_store, hardware_store, gym, pizzeria, florist : 40366
Saved path: dentist, pizzeria, bank, florist, music_store, gelateria, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, burger_joint, cafe : 38711
Saved path: noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store, florist, gym, burger_joint, dentist, clothing_store, tech_shop : 42964
Saved path: bank, gelateria, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop : 34738
Saved path: music_store, gelateria, bank, pizzeria, bookstore, cafe, burger_joint, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon : 37030
Saved path: pharmacy, music_store, florist, bank, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery : 35953
Saved path: bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, bakery, pet_store, bike_shop, salon, gym, florist, craft_shop, pizzeria : 42818
Saved path: bike_shop, bakery, party_store, florist, bank, dentist, cafe, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, salon : 39120
Saved path: jewelry_store, hardware_store, burger_joint, grocery_store, noodle_house, toy_store, gym, pizzeria, florist, music_store, gelateria, party_store, salon, bakery, pet_store : 46133
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, barber_shop, pet_store, bakery, salon, party_store, music_store, florist, bank, bookstore, grocery_store : 46417
Saved path: gelateria, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, gym, pizzeria, bank : 44005
Saved path: bank, pizzeria, craft_shop, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, music_store : 47295
Saved path: burger_joint, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, bike_shop, salon, hardware_store, gym, toy_store, clothing_store, dentist : 40652
Saved path: bakery, salon, pharmacy, music_store, florist, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store : 45843
Saved path: craft_shop, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, clothing_store, burger_joint, bookstore, cafe, dentist : 50879
Saved path: bakery, barber_shop, pharmacy, bank, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, gym, hardware_store, salon, bike_shop, pet_store : 49587
Saved path: bakery, pet_store, bike_shop, hardware_store, gym, toy_store, clothing_store, cafe, bookstore, bank, florist, music_store, gelateria, party_store, barber_shop : 49165
Saved path: party_store, bakery, bike_shop, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, music_store : 36946
Saved path: bank, florist, music_store, gelateria, pharmacy, party_store, bakery, hardware_store, gym, toy_store, noodle_house, bookstore, cafe, dentist, craft_shop : 35456
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, music_store, florist, craft_shop, gym, hardware_store, cafe, clothing_store : 39234
Saved path: bookstore, pizzeria, craft_shop, music_store, gelateria, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, burger_joint : 52543
Saved path: bookstore, cafe, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, music_store, bank, craft_shop : 38877
Saved path: party_store, pharmacy, music_store, florist, bank, gym, craft_shop, dentist, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 50378
Saved path: barber_shop, toy_store, clothing_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, party_store, bakery, pet_store : 49519
Saved path: pharmacy, party_store, salon, bakery, jewelry_store, hardware_store, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, bank, music_store : 37533
Saved path: bank, craft_shop, dentist, grocery_store, bookstore, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store : 49359
Saved path: noodle_house, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, gym, burger_joint, bookstore, cafe, dentist, clothing_store : 44212
Saved path: barber_shop, toy_store, tech_shop, burger_joint, cafe, dentist, craft_shop, gym, bank, florist, music_store, party_store, bakery, pet_store, jewelry_store : 49012
Saved path: florist, bank, craft_shop, dentist, cafe, grocery_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, music_store : 47836
Saved path: burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist, pharmacy, pet_store, bike_shop, salon, jewelry_store, hardware_store : 45984
Saved path: hardware_store, toy_store, noodle_house, tech_shop, cafe, burger_joint, gym, bank, florist, gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store : 42512
Saved path: bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, pharmacy, music_store, craft_shop, pizzeria : 43708
Saved path: tech_shop, noodle_house, toy_store, pet_store, bakery, salon, jewelry_store, pharmacy, music_store, craft_shop, pizzeria, gym, burger_joint, cafe, clothing_store : 45455
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore, bank, music_store, party_store, salon, bakery, pet_store : 51126
Saved path: pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, florist, music_store : 46476
Saved path: dentist, grocery_store, clothing_store, toy_store, hardware_store, barber_shop, bakery, pet_store, salon, party_store, gelateria, pizzeria, bookstore, burger_joint, cafe : 49236
Saved path: clothing_store, toy_store, gym, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, florist, craft_shop, dentist, bookstore, tech_shop : 46223
Saved path: gym, toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, bank, florist, pharmacy, salon, bakery, pet_store : 38500
Saved path: florist, bank, gym, burger_joint, bookstore, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, party_store, pharmacy, music_store : 45370
Saved path: party_store, pharmacy, gelateria, florist, pizzeria, gym, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store : 43473
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, bookstore, cafe, dentist, craft_shop, florist, party_store, salon, bike_shop : 40134
Saved path: pharmacy, gelateria, music_store, florist, bank, gym, pizzeria, bookstore, cafe, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 47109
Saved path: toy_store, noodle_house, tech_shop, bookstore, pizzeria, florist, bank, dentist, cafe, burger_joint, hardware_store, bakery, bike_shop, jewelry_store, barber_shop : 35598
Saved path: toy_store, gym, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, bank, bookstore, dentist, clothing_store, noodle_house : 39723
Saved path: burger_joint, tech_shop, grocery_store, clothing_store, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, pharmacy, music_store, bank, pizzeria, bookstore : 40741
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, cafe, burger_joint, gym, pizzeria, bank, florist, music_store, pharmacy : 38085
Saved path: florist, pizzeria, craft_shop, dentist, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, bike_shop, salon, pharmacy, gelateria : 46620
Saved path: bakery, bike_shop, salon, pharmacy, music_store, gelateria, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, toy_store, gym : 39482
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, music_store, pharmacy, party_store, bakery, hardware_store, gym, burger_joint, noodle_house, toy_store : 31630
Saved path: florist, music_store, pharmacy, party_store, salon, bike_shop, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, cafe, dentist : 41746
Saved path: hardware_store, toy_store, noodle_house, clothing_store, cafe, pizzeria, music_store, gelateria, party_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store : 47431
Saved path: noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, pizzeria, florist, music_store, salon, bike_shop, bakery, hardware_store, gym, toy_store : 39017
Saved path: bakery, jewelry_store, gym, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, gelateria, music_store, pharmacy, salon, bike_shop, pet_store : 47073
Saved path: dentist, clothing_store, toy_store, hardware_store, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, craft_shop, pizzeria, bookstore, burger_joint, cafe : 47313
Saved path: tech_shop, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, gelateria, party_store, barber_shop, bakery, pet_store, hardware_store, gym, burger_joint : 50622
Saved path: party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, gym, burger_joint, bookstore, cafe, dentist, bank, gelateria, music_store, pharmacy : 52819
Saved path: salon, bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, music_store, gelateria, party_store : 35908
Saved path: party_store, pharmacy, gelateria, music_store, florist, dentist, cafe, grocery_store, noodle_house, gym, hardware_store, bike_shop, pet_store, bakery, barber_shop : 53000
Saved path: gelateria, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, bank, florist, music_store : 42219
Saved path: hardware_store, gym, toy_store, tech_shop, burger_joint, cafe, dentist, bank, gelateria, pharmacy, barber_shop, bakery, pet_store, bike_shop, salon : 50312
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, florist, bank, craft_shop, gym, hardware_store : 28384
Saved path: music_store, gelateria, bakery, pet_store, bike_shop, salon, barber_shop, toy_store, noodle_house, grocery_store, dentist, gym, pizzeria, bank, florist : 52948
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, party_store, gelateria, pizzeria : 45179
Saved path: toy_store, barber_shop, bakery, pet_store, salon, party_store, gelateria, bank, bookstore, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house : 42402
Saved path: bakery, bike_shop, music_store, bank, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, hardware_store, jewelry_store, barber_shop : 43555
Saved path: grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, music_store, craft_shop, dentist, bookstore : 55311
Saved path: gelateria, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, tech_shop, burger_joint, pet_store, bakery, salon, pharmacy : 43829
Saved path: bank, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, toy_store, grocery_store, tech_shop, burger_joint, pizzeria : 35007
Saved path: pharmacy, gelateria, florist, bank, craft_shop, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store, bakery, bike_shop, salon, party_store : 34976
Saved path: noodle_house, toy_store, barber_shop, pet_store, bakery, salon, pharmacy, music_store, florist, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop : 48657
Saved path: noodle_house, clothing_store, dentist, cafe, bookstore, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store : 49140
Saved path: pizzeria, florist, music_store, pharmacy, salon, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, craft_shop : 46181
Saved path: bakery, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, gym, toy_store, clothing_store, tech_shop, noodle_house, hardware_store, jewelry_store, pet_store : 45402
Saved path: pizzeria, craft_shop, bank, florist, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store : 39722
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, florist, craft_shop, gym, burger_joint, cafe : 34843
Saved path: bakery, pet_store, bike_shop, hardware_store, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, party_store : 46878
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, craft_shop, bank, gelateria : 42224
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, cafe, burger_joint, hardware_store, gym, pizzeria, music_store, party_store, bakery : 47232
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, salon, bike_shop, jewelry_store, hardware_store : 35667
Saved path: toy_store, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, clothing_store : 32816
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, cafe, bookstore, gym, craft_shop, bank, florist, gelateria, pharmacy : 37174
Saved path: bank, florist, music_store, party_store, bike_shop, pet_store, bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, pizzeria, craft_shop : 41757
Saved path: bank, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria : 47254
