Saved path: gym, toy_store, clothing_store, tech_shop, bookstore, pizzeria, bank, florist, music_store, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store : 36563
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, hardware_store, bookstore, florist, craft_shop, dentist, clothing_store, tech_shop : 46005
Saved path: florist, bank, gym, burger_joint, dentist, bookstore, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, pharmacy, gelateria, music_store : 41099
Saved path: pizzeria, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, craft_shop : 44970
Saved path: tech_shop, burger_joint, jewelry_store, bike_shop, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house : 38863
Saved path: salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, dentist, pizzeria, florist, gelateria, pharmacy, party_store : 39582
Saved path: salon, bakery, pet_store, hardware_store, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, gym, pizzeria, craft_shop, bank, florist, party_store : 40337
Saved path: florist, bank, pizzeria, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, bike_shop, bakery, barber_shop, gelateria : 43450
Saved path: pizzeria, craft_shop, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, gym : 37732
Saved path: bookstore, cafe, burger_joint, tech_shop, noodle_house, toy_store, bakery, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, bank : 33555
Saved path: grocery_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, tech_shop : 50450
Saved path: pharmacy, gelateria, bank, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop : 43135
Saved path: bank, florist, music_store, gelateria, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, dentist : 35853
Saved path: music_store, florist, craft_shop, gym, pizzeria, bookstore, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon : 39467
Saved path: florist, bank, craft_shop, bookstore, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria : 33489
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, gelateria, music_store, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist : 42015
Saved path: barber_shop, bakery, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, craft_shop, bank, florist, music_store : 39469
Saved path: barber_shop, toy_store, grocery_store, tech_shop, burger_joint, gym, craft_shop, bank, florist, music_store, gelateria, pharmacy, salon, bakery, pet_store : 45831
Saved path: toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, florist, music_store, party_store, jewelry_store, salon, pet_store, bakery, gym : 43347
Saved path: jewelry_store, barber_shop, gelateria, pizzeria, bookstore, cafe, clothing_store, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon : 47427
Saved path: cafe, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, music_store, florist, bookstore, burger_joint : 46111
Saved path: hardware_store, toy_store, clothing_store, tech_shop, burger_joint, cafe, craft_shop, bank, gelateria, music_store, pharmacy, party_store, bakery, barber_shop, jewelry_store : 36129
Saved path: cafe, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, pizzeria, bookstore : 45113
Saved path: grocery_store, cafe, burger_joint, bookstore, craft_shop, bank, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store : 41869
Saved path: pizzeria, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, music_store, craft_shop : 37895
Saved path: noodle_house, tech_shop, burger_joint, bookstore, dentist, craft_shop, pizzeria, bank, gelateria, party_store, bakery, bike_shop, salon, hardware_store, toy_store : 35251
Saved path: pet_store, bakery, salon, jewelry_store, hardware_store, burger_joint, noodle_house, clothing_store, toy_store, gym, pizzeria, craft_shop, florist, music_store, party_store : 45314
Saved path: pet_store, bakery, salon, hardware_store, toy_store, noodle_house, grocery_store, dentist, craft_shop, pizzeria, bank, gelateria, music_store, party_store, barber_shop : 50188
Saved path: craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bakery, party_store, gelateria : 31313
Saved path: party_store, salon, bike_shop, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, pizzeria, craft_shop, florist, music_store, gelateria : 35949
Saved path: clothing_store, dentist, cafe, burger_joint, bookstore, pizzeria, bank, music_store, pharmacy, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store : 50008
Saved path: cafe, bookstore, craft_shop, bank, gelateria, music_store, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house : 49133
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, bakery, salon, jewelry_store, pharmacy, music_store, florist, bank, bookstore, dentist : 39625
Saved path: party_store, pharmacy, gelateria, bank, bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, bike_shop, pet_store, bakery : 39961
Saved path: toy_store, barber_shop, jewelry_store, bakery, bike_shop, party_store, pharmacy, gelateria, florist, gym, pizzeria, bookstore, dentist, clothing_store, noodle_house : 42417
Saved path: party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, pizzeria, florist, bank, gym, hardware_store : 36138
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, bank, gelateria, music_store, barber_shop, bakery, bike_shop, hardware_store, gym, toy_store : 44916
Saved path: craft_shop, pizzeria, bookstore, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, party_store, gelateria, music_store, florist : 40790
Saved path: pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, clothing_store, cafe, dentist, craft_shop, bank, gelateria, party_store, bakery : 47340
Saved path: dentist, grocery_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop, music_store, bank, pizzeria, bookstore, cafe : 51623
Saved path: pet_store, bakery, barber_shop, pharmacy, gelateria, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store : 51413
Saved path: barber_shop, toy_store, noodle_house, clothing_store, dentist, bookstore, pizzeria, gym, craft_shop, florist, music_store, pharmacy, party_store, salon, bakery : 41998
Saved path: bookstore, burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, hardware_store, gym, florist, pizzeria : 34097
Saved path: florist, bank, craft_shop, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint, bookstore : 41198
Saved path: pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, music_store, gelateria : 48802
Saved path: toy_store, grocery_store, cafe, burger_joint, bakery, pet_store, bike_shop, salon, pharmacy, music_store, florist, bank, craft_shop, pizzeria, gym : 42859
Saved path: barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, party_store, bakery, salon, jewelry_store : 39043
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, salon, bike_shop : 37995
Saved path: hardware_store, gym, toy_store, grocery_store, tech_shop, burger_joint, bookstore, bank, music_store, pharmacy, salon, bike_shop, pet_store, bakery, jewelry_store : 47037
Saved path: noodle_house, clothing_store, grocery_store, bookstore, craft_shop, bank, florist, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop : 42148
Saved path: bank, florist, gelateria, party_store, salon, bakery, pet_store, jewelry_store, hardware_store, toy_store, clothing_store, burger_joint, bookstore, pizzeria, craft_shop : 41045
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, music_store, party_store, bakery, pet_store, bike_shop : 49154
Saved path: toy_store, tech_shop, clothing_store, grocery_store, cafe, hardware_store, gym, pizzeria, bank, gelateria, music_store, party_store, salon, bakery, barber_shop : 37622
Saved path: gym, jewelry_store, bakery, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 35214
Saved path: barber_shop, jewelry_store, salon, bike_shop, bakery, pharmacy, music_store, bank, craft_shop, pizzeria, bookstore, cafe, clothing_store, noodle_house, toy_store : 35424
Saved path: florist, bank, pizzeria, craft_shop, dentist, grocery_store, cafe, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, music_store : 37114
Saved path: bank, music_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, pizzeria : 53507
Saved path: grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, party_store, gelateria, music_store, florist, bank, dentist : 46143
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, pizzeria, bank, hardware_store, party_store, salon, bike_shop, pet_store, bakery : 43673
Saved path: cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, salon, pharmacy, gelateria, music_store, florist, gym, pizzeria, bookstore : 36644
Saved path: pizzeria, craft_shop, florist, music_store, pharmacy, party_store, salon, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore : 35001
Saved path: party_store, pharmacy, bank, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bike_shop, bakery, barber_shop : 39686
Saved path: bookstore, burger_joint, gym, bank, florist, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, toy_store, clothing_store : 46210
Saved path: dentist, grocery_store, tech_shop, toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, music_store, florist, bank, pizzeria, craft_shop : 39567
Saved path: pharmacy, gelateria, bank, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, gym, hardware_store, bike_shop, pet_store, bakery : 46820
Saved path: dentist, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, pet_store, bakery, salon, pharmacy, music_store, florist, craft_shop : 49119
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, florist, craft_shop, bookstore, cafe : 42078
Saved path: toy_store, noodle_house, tech_shop, grocery_store, dentist, craft_shop, pizzeria, gym, florist, music_store, gelateria, bakery, salon, jewelry_store, barber_shop : 40789
Saved path: cafe, bookstore, pizzeria, gelateria, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, burger_joint, noodle_house, toy_store, grocery_store, dentist : 47255
Saved path: party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, cafe, dentist, craft_shop, bank, florist, music_store, gelateria : 40462
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, pizzeria, craft_shop, bank, music_store, party_store : 33707
Saved path: barber_shop, toy_store, clothing_store, dentist, burger_joint, hardware_store, gym, pizzeria, bank, gelateria, pharmacy, party_store, bike_shop, bakery, jewelry_store : 42388
Saved path: pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, bank, gelateria, pharmacy : 42896
Saved path: bike_shop, bakery, party_store, pharmacy, gelateria, florist, dentist, grocery_store, toy_store, tech_shop, bookstore, burger_joint, hardware_store, jewelry_store, salon : 38617
Saved path: jewelry_store, toy_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, pharmacy, party_store, bakery, salon : 31947
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, florist, music_store, party_store, jewelry_store, bakery, pet_store, hardware_store, gym, toy_store : 43488
Saved path: clothing_store, tech_shop, toy_store, gym, hardware_store, salon, bike_shop, party_store, music_store, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store : 40473
Saved path: craft_shop, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, florist, pizzeria : 43655
Saved path: burger_joint, cafe, dentist, pizzeria, florist, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, gym, toy_store, clothing_store, tech_shop : 39860
Saved path: barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, florist, craft_shop, gym, hardware_store, cafe, grocery_store, tech_shop, noodle_house, toy_store : 46598
Saved path: craft_shop, pizzeria, gym, toy_store, tech_shop, grocery_store, cafe, burger_joint, hardware_store, bakery, party_store, pharmacy, music_store, florist, bank : 31674
Saved path: gym, hardware_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist : 48644
Saved path: tech_shop, burger_joint, bookstore, cafe, dentist, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house : 40082
Saved path: dentist, cafe, clothing_store, toy_store, gym, hardware_store, barber_shop, bakery, salon, pharmacy, gelateria, music_store, florist, bank, pizzeria : 41750
Saved path: pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, gym, craft_shop, florist : 43189
Saved path: bakery, pet_store, bike_shop, gelateria, florist, bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, jewelry_store : 46444
Saved path: bakery, party_store, gelateria, music_store, florist, bank, gym, burger_joint, bookstore, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store : 46854
Saved path: salon, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, cafe, bookstore, pizzeria, bank, florist, music_store, barber_shop, jewelry_store : 46232
Saved path: craft_shop, bank, pharmacy, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym : 33875
Saved path: burger_joint, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, bike_shop, party_store, gelateria, florist, bank, gym : 36823
Saved path: toy_store, burger_joint, bookstore, cafe, dentist, craft_shop, bank, music_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 50696
Saved path: hardware_store, jewelry_store, salon, bakery, pharmacy, gelateria, bank, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint : 36315
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, burger_joint, bookstore, grocery_store, dentist, craft_shop, bank, florist, gym, bakery : 46059
Saved path: bank, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria : 44871
Saved path: bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, gym, pet_store, bike_shop, party_store, pharmacy, music_store, florist, craft_shop, pizzeria : 43550
Saved path: gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, cafe, hardware_store, gym, pizzeria, florist, music_store : 38868
Saved path: bike_shop, pet_store, bakery, barber_shop, pharmacy, gelateria, pizzeria, bookstore, burger_joint, dentist, grocery_store, clothing_store, toy_store, hardware_store, salon : 50627
Saved path: salon, party_store, music_store, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint, bakery, pet_store, bike_shop : 41555
Saved path: pizzeria, bank, florist, music_store, gelateria, pharmacy, salon, bakery, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, dentist, bookstore : 37828
Saved path: bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, dentist, cafe, grocery_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop : 53641
Saved path: jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, gym, pizzeria, bank, music_store, gelateria, party_store, pet_store, bakery : 45406
Saved path: salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, cafe, pizzeria, craft_shop, florist, music_store, gelateria, bakery, bike_shop : 36831
Saved path: bookstore, hardware_store, party_store, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, bank, pizzeria : 38479
Saved path: bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, cafe : 33766
Saved path: salon, bike_shop, bakery, barber_shop, gelateria, florist, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store : 40811
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, music_store, pharmacy : 40779
Saved path: music_store, gelateria, bank, craft_shop, gym, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 45099
Saved path: salon, bike_shop, bakery, party_store, gelateria, music_store, craft_shop, gym, hardware_store, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store : 39740
Saved path: bakery, salon, jewelry_store, party_store, pharmacy, burger_joint, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, gym, pet_store : 47550
Saved path: noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, florist, music_store, pharmacy, salon, bike_shop, pet_store, bakery, gym, toy_store : 46544
Saved path: toy_store, clothing_store, grocery_store, cafe, dentist, bank, florist, pharmacy, salon, bakery, pet_store, hardware_store, gym, burger_joint, noodle_house : 44103
Saved path: bookstore, bank, pharmacy, salon, pet_store, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe : 45956
Saved path: florist, craft_shop, gym, bookstore, cafe, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store : 39816
Saved path: party_store, gelateria, craft_shop, dentist, grocery_store, clothing_store, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 49605
Saved path: pet_store, salon, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, gym, tech_shop, grocery_store, toy_store, hardware_store, jewelry_store, bakery : 43162
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop, salon, pharmacy, bank, craft_shop, bookstore, burger_joint : 42822
Saved path: cafe, dentist, craft_shop, gym, pizzeria, bank, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop : 41801
Saved path: gelateria, florist, pizzeria, dentist, cafe, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store, pharmacy : 47564
Saved path: bakery, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, pet_store : 43015
Saved path: craft_shop, gym, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist : 39126
Saved path: salon, party_store, gelateria, bank, gym, burger_joint, bookstore, dentist, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop : 51675
Saved path: dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, pharmacy, music_store, florist, bank, pizzeria, bookstore : 49071
Saved path: florist, bank, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, toy_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria : 41551
Saved path: party_store, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, bakery, bike_shop : 32501
Saved path: craft_shop, dentist, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store, pet_store, bike_shop, jewelry_store, party_store, pharmacy, florist, pizzeria : 48792
Saved path: toy_store, noodle_house, tech_shop, cafe, dentist, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, jewelry_store, barber_shop : 47251
Saved path: burger_joint, hardware_store, jewelry_store, salon, party_store, gelateria, music_store, florist, pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop : 37517
Saved path: hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, craft_shop, pizzeria, gym, toy_store, tech_shop, cafe, burger_joint : 43031
Saved path: gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, bookstore, cafe, dentist, craft_shop, gym, florist : 48399
Saved path: tech_shop, toy_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, craft_shop, cafe, grocery_store, clothing_store : 41502
Saved path: music_store, pharmacy, salon, bike_shop, jewelry_store, hardware_store, burger_joint, bookstore, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, florist : 40690
Saved path: burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, pizzeria, craft_shop, florist, gelateria, party_store, salon, bike_shop, pet_store, bakery : 39665
Saved path: burger_joint, gym, bank, music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, cafe, bookstore : 37685
Saved path: gelateria, pharmacy, party_store, bike_shop, pet_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, music_store : 46420
Saved path: florist, pizzeria, bookstore, grocery_store, clothing_store, toy_store, gym, bakery, bike_shop, salon, jewelry_store, party_store, pharmacy, gelateria, music_store : 36019
Saved path: gelateria, party_store, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy : 35205
Saved path: salon, jewelry_store, burger_joint, noodle_house, toy_store, grocery_store, dentist, craft_shop, bank, florist, music_store, gelateria, bakery, pet_store, bike_shop : 47609
Saved path: grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, salon, jewelry_store, pharmacy, bank, pizzeria, dentist, cafe : 36541
Saved path: barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, bank, music_store, gelateria, pharmacy, pet_store, bakery : 44311
Saved path: toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, florist, music_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop : 44721
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, gym, bank, gelateria, music_store, salon, bike_shop : 39188
Saved path: burger_joint, hardware_store, gym, pizzeria, craft_shop, bank, music_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, bookstore : 38246
Saved path: bakery, pharmacy, music_store, florist, gym, burger_joint, bookstore, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store : 47639
Saved path: toy_store, tech_shop, cafe, bookstore, pizzeria, gym, craft_shop, bank, florist, music_store, party_store, bike_shop, bakery, jewelry_store, barber_shop : 37610
Saved path: hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, music_store, gelateria, bank, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store : 38983
Saved path: barber_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, gym, florist, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store : 51745
Saved path: toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, gelateria, party_store, bakery, bike_shop, jewelry_store, gym, burger_joint : 39582
Saved path: pet_store, bike_shop, jewelry_store, gym, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, music_store, party_store, bakery : 50218
Saved path: dentist, cafe, bookstore, pizzeria, craft_shop, gym, gelateria, party_store, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store : 40433
Saved path: florist, music_store, pharmacy, salon, bakery, barber_shop, toy_store, noodle_house, bookstore, cafe, dentist, craft_shop, gym, pizzeria, bank : 40647
