Saved path: bakery, barber_shop, party_store, music_store, craft_shop, dentist, cafe, grocery_store, tech_shop, toy_store, gym, hardware_store, salon, bike_shop, pet_store : 52888
Saved path: barber_shop, jewelry_store, pet_store, bakery, pharmacy, music_store, florist, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store : 48833
Saved path: bookstore, burger_joint, cafe, grocery_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, florist, craft_shop : 36325
Saved path: barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, bookstore, bank, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store : 46070
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, craft_shop, dentist, grocery_store, bookstore, burger_joint : 48112
Saved path: clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, florist, craft_shop, grocery_store : 43470
Saved path: noodle_house, toy_store, clothing_store, cafe, bookstore, craft_shop, florist, music_store, pharmacy, salon, bakery, hardware_store, gym, burger_joint, tech_shop : 33084
Saved path: florist, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, salon, bakery, party_store, gelateria : 32748
Saved path: party_store, pharmacy, gelateria, music_store, florist, bookstore, grocery_store, cafe, burger_joint, gym, hardware_store, pet_store, bakery, jewelry_store, barber_shop : 46590
Saved path: hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, florist, craft_shop, gym : 40431
Saved path: bookstore, pizzeria, bank, florist, gelateria, bakery, salon, jewelry_store, barber_shop, hardware_store, gym, toy_store, noodle_house, dentist, cafe : 39886
Saved path: party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, hardware_store, gym, bank, gelateria, music_store, pharmacy : 48094
Saved path: florist, music_store, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, tech_shop, burger_joint, hardware_store, gym, craft_shop, bank : 34357
Saved path: grocery_store, cafe, burger_joint, gym, pizzeria, craft_shop, music_store, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, tech_shop : 38313
Saved path: noodle_house, tech_shop, burger_joint, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, bank, dentist, cafe, clothing_store, toy_store : 43981
Saved path: toy_store, noodle_house, tech_shop, grocery_store, bookstore, burger_joint, hardware_store, pet_store, bakery, party_store, pharmacy, gelateria, bank, craft_shop, gym : 41334
Saved path: gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, florist : 38328
Saved path: barber_shop, jewelry_store, bakery, salon, party_store, pharmacy, music_store, craft_shop, gym, hardware_store, burger_joint, cafe, bookstore, tech_shop, toy_store : 36207
Saved path: salon, jewelry_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, craft_shop, florist, party_store, pet_store : 43118
Saved path: florist, gelateria, pharmacy, party_store, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, dentist, cafe, bookstore, pizzeria, gym : 49385
Saved path: bookstore, cafe, clothing_store, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, party_store, gelateria, florist, craft_shop, gym, pizzeria : 45321
Saved path: party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, dentist, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bike_shop : 39614
Saved path: pharmacy, gelateria, bank, gym, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, party_store : 49475
Saved path: gym, craft_shop, bank, gelateria, pharmacy, party_store, salon, bakery, pet_store, barber_shop, toy_store, clothing_store, cafe, bookstore, pizzeria : 44416
Saved path: bookstore, dentist, clothing_store, tech_shop, toy_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, music_store, florist, gym, hardware_store, burger_joint : 46638
Saved path: clothing_store, grocery_store, cafe, dentist, craft_shop, bank, florist, gelateria, barber_shop, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop : 47009
Saved path: gym, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop : 41903
Saved path: hardware_store, jewelry_store, salon, bike_shop, bakery, gelateria, music_store, bank, pizzeria, bookstore, cafe, dentist, noodle_house, toy_store, gym : 42387
Saved path: bank, florist, music_store, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, cafe, bookstore, pizzeria : 45903
Saved path: pharmacy, florist, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, jewelry_store, bakery, pet_store, bike_shop, party_store : 46670
Saved path: gelateria, bank, pizzeria, craft_shop, dentist, clothing_store, toy_store, burger_joint, gym, jewelry_store, salon, bike_shop, pet_store, bakery, party_store : 48327
Saved path: gym, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, music_store, florist, bookstore, dentist, grocery_store, clothing_store, toy_store : 50966
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, bank, music_store, gelateria, party_store, bakery : 38962
Saved path: gelateria, pharmacy, jewelry_store, salon, pet_store, bakery, toy_store, burger_joint, cafe, bookstore, pizzeria, craft_shop, bank, florist, music_store : 41441
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, pizzeria, bookstore : 44750
Saved path: toy_store, barber_shop, jewelry_store, salon, bakery, party_store, florist, bank, craft_shop, dentist, bookstore, grocery_store, clothing_store, tech_shop, noodle_house : 35687
Saved path: bookstore, grocery_store, toy_store, noodle_house, burger_joint, gym, pet_store, bakery, jewelry_store, pharmacy, music_store, florist, bank, craft_shop, pizzeria : 44857
Saved path: tech_shop, bookstore, burger_joint, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, dentist, clothing_store, toy_store, noodle_house : 47158
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, jewelry_store, party_store : 43385
Saved path: hardware_store, jewelry_store, salon, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, tech_shop, toy_store, gym : 33142
Saved path: pizzeria, bank, music_store, bike_shop, pet_store, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore : 44606
Saved path: craft_shop, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, jewelry_store, toy_store, clothing_store, grocery_store, burger_joint, bookstore : 44421
Saved path: jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, dentist, burger_joint, tech_shop, noodle_house, toy_store, gym : 49311
Saved path: pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, gelateria, party_store, bakery : 46009
Saved path: bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, bakery, pharmacy, music_store : 34815
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, music_store, florist, bank, craft_shop, dentist, cafe, grocery_store : 40791
Saved path: hardware_store, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, craft_shop, pizzeria, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym : 42548
Saved path: jewelry_store, barber_shop, bakery, salon, party_store, music_store, bank, craft_shop, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store, hardware_store : 33582
Saved path: pizzeria, bank, music_store, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe : 44495
Saved path: toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, salon, pet_store, pharmacy, gelateria, pizzeria, bookstore, cafe, grocery_store, clothing_store : 43795
Saved path: dentist, craft_shop, bank, gelateria, pharmacy, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, bookstore, cafe : 36990
Saved path: bookstore, dentist, grocery_store, tech_shop, toy_store, pet_store, bakery, jewelry_store, party_store, gelateria, music_store, florist, bank, craft_shop, pizzeria : 47521
Saved path: barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, music_store, florist, pizzeria, burger_joint, tech_shop, grocery_store, clothing_store, toy_store : 45643
Saved path: tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, pharmacy, party_store, pet_store, bakery, jewelry_store, hardware_store, toy_store : 45341
Saved path: bookstore, pizzeria, florist, gelateria, pharmacy, salon, bakery, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint : 35468
Saved path: gym, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store : 46624
Saved path: hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, bank, gelateria, music_store, pharmacy, bakery, barber_shop : 41601
Saved path: bookstore, craft_shop, bank, music_store, party_store, salon, bike_shop, pet_store, bakery, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe : 41555
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, florist, bank, gym, bookstore, dentist : 49739
Saved path: hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, barber_shop : 42856
Saved path: dentist, cafe, bookstore, pizzeria, craft_shop, gelateria, pet_store, bike_shop, salon, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store : 47901
Saved path: pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, toy_store, hardware_store, salon, bakery, barber_shop, gelateria, music_store, florist, bank : 41111
Saved path: cafe, bookstore, pizzeria, florist, gelateria, pharmacy, party_store, salon, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist : 32085
Saved path: hardware_store, gym, pizzeria, craft_shop, florist, music_store, pharmacy, salon, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, burger_joint : 47182
Saved path: toy_store, clothing_store, grocery_store, pizzeria, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, burger_joint, tech_shop, noodle_house : 42073
Saved path: dentist, craft_shop, pizzeria, bank, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, salon, hardware_store, gym, toy_store, tech_shop : 38067
Saved path: pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, toy_store, gym, bakery, pet_store, jewelry_store, pharmacy, music_store, florist, craft_shop : 49936
Saved path: hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, music_store, pharmacy, salon, pet_store, jewelry_store : 49040
Saved path: cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, gelateria, florist, bank, craft_shop, bookstore : 33578
Saved path: dentist, cafe, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, party_store, gelateria, florist, bank, pizzeria : 38575
Saved path: party_store, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, burger_joint, noodle_house, toy_store, jewelry_store, salon, bike_shop, pet_store, bakery : 42364
Saved path: cafe, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, pizzeria, bookstore : 49027
Saved path: florist, music_store, pharmacy, party_store, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 46316
Saved path: clothing_store, grocery_store, burger_joint, bookstore, pizzeria, craft_shop, florist, gym, hardware_store, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store : 45948
Saved path: burger_joint, hardware_store, gym, craft_shop, bank, music_store, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, grocery_store, cafe : 47649
Saved path: pet_store, bike_shop, party_store, gelateria, florist, bank, gym, craft_shop, dentist, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 49428
Saved path: toy_store, noodle_house, tech_shop, grocery_store, bookstore, pizzeria, craft_shop, bank, florist, gelateria, pharmacy, party_store, salon, bakery, hardware_store : 27382
Saved path: noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, pet_store, party_store, gelateria, florist, bank, craft_shop, pizzeria, cafe, tech_shop : 39459
Saved path: dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, craft_shop : 33640
Saved path: dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, pet_store, bakery, party_store, pharmacy, music_store, florist, pizzeria, bookstore, cafe : 44836
Saved path: bike_shop, pet_store, bakery, party_store, florist, bank, craft_shop, pizzeria, bookstore, clothing_store, noodle_house, toy_store, gym, hardware_store, salon : 41281
Saved path: salon, bakery, party_store, pharmacy, music_store, florist, bank, craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store : 34340
Saved path: toy_store, noodle_house, burger_joint, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, party_store, salon, bakery, pet_store, hardware_store, gym : 39729
Saved path: noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, music_store, florist, bookstore, dentist, clothing_store : 47230
Saved path: bookstore, pizzeria, gym, florist, music_store, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, dentist, cafe : 44152
Saved path: dentist, burger_joint, gym, pizzeria, bank, florist, gelateria, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store : 38607
Saved path: party_store, pharmacy, gym, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 47665
Saved path: bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, bookstore, burger_joint, gym, pizzeria, florist, gelateria : 46876
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, pizzeria, music_store, gelateria, pharmacy, bike_shop : 42831
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, party_store, gelateria, music_store, florist, bank, pizzeria, gym, hardware_store, noodle_house : 36749
Saved path: bakery, pharmacy, gelateria, music_store, florist, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, bike_shop, pet_store : 47529
Saved path: cafe, dentist, gym, bank, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, tech_shop : 50055
Saved path: cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, bike_shop, pet_store, bakery, pharmacy, bank, craft_shop, pizzeria, bookstore : 41870
Saved path: gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store, jewelry_store, salon, pet_store, bakery, music_store, bank, craft_shop : 45054
Saved path: grocery_store, dentist, bank, pizzeria, gym, hardware_store, party_store, bike_shop, bakery, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, cafe : 38988
Saved path: gelateria, florist, bank, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, bike_shop, salon, jewelry_store : 36964
Saved path: bakery, pharmacy, music_store, gelateria, bank, pizzeria, gym, hardware_store, burger_joint, grocery_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store : 48775
Saved path: toy_store, barber_shop, bakery, bike_shop, pharmacy, florist, bank, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house : 38107
Saved path: burger_joint, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, pet_store, bakery, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, gym : 44421
Saved path: pharmacy, music_store, florist, craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, pet_store, bike_shop, salon, party_store : 46404
Saved path: music_store, gelateria, party_store, salon, bike_shop, pet_store, toy_store, clothing_store, tech_shop, burger_joint, cafe, dentist, craft_shop, pizzeria, florist : 46407
Saved path: gym, bank, florist, gelateria, party_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint : 38985
Saved path: pet_store, bakery, salon, jewelry_store, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, bank, music_store, party_store : 42829
Saved path: florist, bank, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria : 46445
Saved path: bike_shop, bakery, hardware_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, craft_shop, bank, gelateria, pharmacy : 33960
Saved path: pet_store, bakery, party_store, pharmacy, gelateria, florist, bank, dentist, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store : 43889
Saved path: bookstore, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, gym, pizzeria, craft_shop, dentist, cafe : 37228
Saved path: bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop, burger_joint, bookstore, dentist, craft_shop, music_store, gelateria, pharmacy, party_store, jewelry_store : 48178
Saved path: bakery, barber_shop, jewelry_store, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, florist, music_store, pharmacy, salon : 38343
Saved path: toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, pizzeria, florist, music_store, gelateria, party_store, salon, bakery, hardware_store, gym : 36671
Saved path: bike_shop, bakery, barber_shop, pharmacy, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, salon : 42073
Saved path: jewelry_store, party_store, pharmacy, gelateria, music_store, florist, bank, bookstore, dentist, grocery_store, tech_shop, toy_store, hardware_store, pet_store, bakery : 47815
Saved path: clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, salon, bakery, barber_shop, toy_store, noodle_house : 33317
Saved path: hardware_store, jewelry_store, salon, pet_store, party_store, pharmacy, gelateria, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym : 48916
Saved path: florist, pizzeria, bookstore, burger_joint, bakery, salon, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, bank : 30460
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, salon, pharmacy, florist, bank, gym, burger_joint, dentist, cafe : 46966
Saved path: cafe, dentist, craft_shop, pizzeria, music_store, gelateria, pharmacy, salon, bike_shop, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store : 38912
Saved path: barber_shop, bakery, salon, party_store, gelateria, florist, bank, craft_shop, gym, pizzeria, bookstore, cafe, clothing_store, noodle_house, toy_store : 34554
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, gelateria, pharmacy, jewelry_store, salon, bakery, gym, toy_store : 32300
Saved path: bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, bank, music_store, pharmacy : 37411
Saved path: bakery, barber_shop, toy_store, noodle_house, burger_joint, cafe, grocery_store, clothing_store, dentist, craft_shop, gelateria, pharmacy, salon, bike_shop, pet_store : 47917
Saved path: hardware_store, gym, florist, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, party_store : 39137
Saved path: bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, music_store, gym : 54042
Saved path: noodle_house, burger_joint, bakery, pet_store, salon, music_store, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store : 45550
Saved path: toy_store, noodle_house, bookstore, burger_joint, hardware_store, barber_shop, bakery, salon, party_store, music_store, gelateria, bank, craft_shop, dentist, clothing_store : 41604
Saved path: cafe, bookstore, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist : 38536
Saved path: toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, pizzeria, craft_shop, music_store, pharmacy, barber_shop, bakery, bike_shop, hardware_store, gym : 41422
Saved path: jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, bank, florist, music_store, gelateria, party_store, salon, bakery : 33402
Saved path: pizzeria, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store, music_store, florist : 49179
Saved path: salon, bakery, barber_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, gym, bank, florist, music_store, gelateria, pharmacy, party_store : 41294
Saved path: toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, bank, dentist, cafe, bookstore, pizzeria, gym : 52979
Saved path: pet_store, bakery, salon, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, bookstore, pizzeria, craft_shop, bank, florist, gelateria : 40787
Saved path: clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, florist, music_store, gelateria, party_store, bakery, pet_store, burger_joint, tech_shop, toy_store : 40385
Saved path: burger_joint, cafe, dentist, bank, pizzeria, bookstore, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 42987
Saved path: music_store, gelateria, pharmacy, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, burger_joint, cafe, bookstore, pizzeria, craft_shop : 45288
Saved path: bike_shop, salon, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, bookstore, pizzeria, craft_shop, music_store, pharmacy, party_store, bakery : 40370
Saved path: noodle_house, tech_shop, burger_joint, cafe, bank, florist, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store : 44058
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, florist, pizzeria, gym, hardware_store, salon, bakery, pet_store : 40729
Saved path: gym, hardware_store, salon, bakery, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, grocery_store, tech_shop, toy_store : 37463
Saved path: noodle_house, tech_shop, clothing_store, bookstore, cafe, dentist, craft_shop, music_store, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store : 41001
Saved path: music_store, pharmacy, bakery, pet_store, bike_shop, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank : 44025
Saved path: tech_shop, toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, florist, bank, pizzeria, craft_shop, dentist, clothing_store : 38687
Saved path: pizzeria, bank, pharmacy, party_store, salon, bakery, pet_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore : 39607
Saved path: bike_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, music_store, pharmacy, party_store, barber_shop, bakery, pet_store : 50499
Saved path: pharmacy, party_store, salon, bakery, barber_shop, toy_store, tech_shop, grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, music_store : 37072
Saved path: tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, music_store, florist, bank, pizzeria, bookstore, burger_joint, cafe, grocery_store, clothing_store : 43759
Saved path: cafe, clothing_store, toy_store, gym, craft_shop, florist, music_store, gelateria, pharmacy, party_store, bike_shop, salon, hardware_store, burger_joint, bookstore : 35724
Saved path: pizzeria, bank, gelateria, pharmacy, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist : 50369
Saved path: clothing_store, dentist, bookstore, burger_joint, hardware_store, gym, bank, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store : 50122
Saved path: bank, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria : 32598
Saved path: craft_shop, pizzeria, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, dentist : 39637
Saved path: hardware_store, salon, bike_shop, bakery, barber_shop, party_store, gelateria, florist, pizzeria, dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store : 41069
Saved path: salon, party_store, gelateria, music_store, florist, bank, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, bakery : 33200
Saved path: pharmacy, bakery, pet_store, barber_shop, toy_store, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, florist, music_store, gelateria : 52985
