Saved path: tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, pharmacy, music_store, florist, bank, craft_shop, pizzeria, burger_joint : 44887
Saved path: jewelry_store, barber_shop, toy_store, cafe, burger_joint, hardware_store, gym, florist, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 46309
Saved path: dentist, clothing_store, tech_shop, toy_store, gym, hardware_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, florist, pizzeria, bookstore : 50960
Saved path: bank, florist, music_store, gelateria, jewelry_store, salon, bakery, pet_store, toy_store, noodle_house, tech_shop, burger_joint, cafe, dentist, pizzeria : 46205
Saved path: florist, bank, craft_shop, pizzeria, bookstore, grocery_store, tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, jewelry_store, party_store, gelateria : 41449
Saved path: hardware_store, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, florist, music_store, bakery, pet_store : 45059
Saved path: gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, music_store, gelateria, bike_shop, jewelry_store, hardware_store : 44437
Saved path: bank, florist, pharmacy, party_store, bakery, pet_store, salon, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, cafe, dentist : 44221
Saved path: hardware_store, gym, toy_store, clothing_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, florist, music_store, party_store, salon, bike_shop : 40763
Saved path: dentist, grocery_store, toy_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, music_store, bank, craft_shop, gym, burger_joint, bookstore : 41686
Saved path: hardware_store, jewelry_store, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, cafe, tech_shop, clothing_store, toy_store : 35761
Saved path: toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, gelateria, pharmacy, party_store, salon, pet_store, bakery, jewelry_store, hardware_store : 45906
Saved path: pharmacy, party_store, salon, bike_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, florist, music_store : 37834
Saved path: bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, dentist, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store : 47974
Saved path: hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, gelateria, craft_shop, pizzeria, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store : 45296
Saved path: pet_store, bike_shop, hardware_store, noodle_house, burger_joint, bookstore, cafe, dentist, bank, florist, music_store, pharmacy, party_store, barber_shop, bakery : 50054
Saved path: dentist, craft_shop, florist, music_store, gelateria, jewelry_store, bike_shop, pet_store, hardware_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store : 50558
Saved path: dentist, florist, pizzeria, gym, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store : 44875
Saved path: pizzeria, florist, music_store, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, gym : 43627
Saved path: burger_joint, bookstore, grocery_store, tech_shop, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria, florist, gym, hardware_store : 38070
Saved path: party_store, bike_shop, bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, bookstore, gym, craft_shop, bank, florist, music_store, pharmacy : 38739
Saved path: hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, bank, gym : 42213
Saved path: pizzeria, craft_shop, gelateria, pharmacy, party_store, bike_shop, pet_store, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, dentist, bookstore : 48707
Saved path: dentist, craft_shop, florist, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, cafe : 38182
Saved path: jewelry_store, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, grocery_store, cafe, dentist, pizzeria, music_store, gelateria, pharmacy : 52642
Saved path: music_store, gelateria, pharmacy, party_store, salon, pet_store, bakery, toy_store, burger_joint, cafe, dentist, craft_shop, pizzeria, bank, florist : 42876
Saved path: toy_store, hardware_store, jewelry_store, salon, bike_shop, bakery, gelateria, music_store, florist, bank, pizzeria, dentist, cafe, grocery_store, tech_shop : 39627
Saved path: music_store, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, gym, bank, florist : 45347
Saved path: pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, bookstore, cafe, burger_joint, hardware_store, gym, bank : 43778
Saved path: bakery, jewelry_store, hardware_store, burger_joint, bookstore, noodle_house, toy_store, clothing_store, dentist, craft_shop, music_store, gelateria, pharmacy, salon, bike_shop : 41462
Saved path: bakery, barber_shop, toy_store, clothing_store, grocery_store, bookstore, craft_shop, bank, florist, music_store, gelateria, pharmacy, salon, bike_shop, pet_store : 44569
Saved path: craft_shop, florist, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, clothing_store, grocery_store, noodle_house, hardware_store, gym, pizzeria : 45958
Saved path: gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, pharmacy, music_store, pizzeria, craft_shop, dentist, burger_joint, tech_shop, noodle_house, toy_store : 44031
Saved path: tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, music_store, florist, bank, gym, craft_shop, dentist, cafe, bookstore : 51679
Saved path: noodle_house, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bike_shop, salon, party_store, pharmacy, gelateria, florist, craft_shop, gym : 34998
Saved path: clothing_store, toy_store, gym, hardware_store, bakery, party_store, music_store, florist, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, tech_shop : 37714
Saved path: craft_shop, pizzeria, bank, florist, pharmacy, barber_shop, bakery, bike_shop, salon, hardware_store, toy_store, noodle_house, bookstore, cafe, dentist : 39493
Saved path: craft_shop, bank, gelateria, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, gym, burger_joint, cafe, dentist : 51315
Saved path: gym, burger_joint, bookstore, dentist, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, pizzeria : 42429
Saved path: pharmacy, party_store, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, clothing_store, cafe, pizzeria, florist, music_store, gelateria : 46164
Saved path: burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, pharmacy, florist, bank, pizzeria, gym, craft_shop, dentist, bookstore : 38764
Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, gym, craft_shop, florist, music_store, gelateria, pharmacy, salon, bakery : 42759
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, pizzeria, gym, bank : 49446
Saved path: noodle_house, gym, pizzeria, craft_shop, bank, music_store, pharmacy, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop : 46572
Saved path: bank, pizzeria, craft_shop, dentist, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, salon, bakery, party_store, pharmacy, gelateria : 34463
Saved path: pet_store, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, gym, hardware_store, burger_joint, cafe, grocery_store, toy_store, barber_shop, jewelry_store : 47403
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, pizzeria, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym : 38096
Saved path: burger_joint, gym, bakery, pet_store, bike_shop, pharmacy, gelateria, florist, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, noodle_house : 47137
Saved path: pet_store, bakery, gym, toy_store, clothing_store, noodle_house, burger_joint, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, salon, bike_shop : 43992
Saved path: party_store, gelateria, music_store, florist, pizzeria, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, salon : 43247
Saved path: salon, jewelry_store, gym, toy_store, clothing_store, dentist, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop : 50872
Saved path: cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, pet_store, bike_shop, jewelry_store, gelateria, music_store, florist, pizzeria, bookstore : 49464
Saved path: clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, pet_store, bakery, barber_shop, party_store, music_store, craft_shop, pizzeria, bookstore, dentist : 53545
Saved path: party_store, pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, tech_shop, toy_store, gym, jewelry_store, bike_shop, pet_store : 49274
Saved path: tech_shop, toy_store, barber_shop, bakery, party_store, gelateria, music_store, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store : 37873
Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, burger_joint, bookstore, pizzeria, bank, florist, music_store, salon, bike_shop, bakery : 41938
Saved path: burger_joint, gym, pizzeria, bank, florist, gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, bookstore : 37376
Saved path: noodle_house, toy_store, barber_shop, party_store, pharmacy, bike_shop, pet_store, bakery, gym, craft_shop, pizzeria, bookstore, burger_joint, grocery_store, clothing_store : 45709
Saved path: salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, pizzeria, craft_shop, bank, florist, party_store : 35453
Saved path: jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, craft_shop, bookstore, cafe, tech_shop, clothing_store, toy_store, hardware_store : 45417
Saved path: toy_store, noodle_house, clothing_store, cafe, bookstore, pizzeria, bank, gelateria, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym : 47427
Saved path: salon, bike_shop, bakery, gym, toy_store, noodle_house, cafe, bookstore, pizzeria, bank, florist, music_store, gelateria, party_store, jewelry_store : 35434
Saved path: clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, pharmacy, party_store, jewelry_store, pet_store, gym, burger_joint, tech_shop, toy_store : 48666
Saved path: toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist, craft_shop, pizzeria, bookstore, burger_joint, hardware_store, salon, bakery, jewelry_store, barber_shop : 29734
Saved path: pizzeria, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, pet_store, bakery, music_store, florist : 52308
Saved path: toy_store, clothing_store, tech_shop, cafe, burger_joint, hardware_store, jewelry_store, pet_store, bakery, party_store, gelateria, music_store, florist, craft_shop, gym : 45350
Saved path: gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, dentist, pizzeria, bank : 40439
Saved path: noodle_house, tech_shop, burger_joint, gym, bakery, salon, pharmacy, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store : 33785
Saved path: clothing_store, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, bakery, gelateria, music_store, florist, pizzeria, bookstore, cafe, dentist : 40569
Saved path: tech_shop, toy_store, hardware_store, pet_store, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, grocery_store : 45059
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, cafe, clothing_store : 43437
Saved path: gym, craft_shop, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, bakery : 44108
Saved path: bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, clothing_store, toy_store, barber_shop, bakery, gelateria, music_store, florist : 38139
Saved path: music_store, florist, bank, pizzeria, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, bike_shop : 38509
Saved path: pet_store, bike_shop, salon, jewelry_store, toy_store, tech_shop, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, music_store, party_store, bakery : 47327
Saved path: bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, burger_joint, cafe, dentist, craft_shop, bank, music_store, party_store, salon : 48754
Saved path: gelateria, music_store, party_store, bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, pizzeria, craft_shop, bank : 36010
Saved path: gelateria, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, cafe, dentist, florist, music_store : 48872
Saved path: gym, craft_shop, bank, music_store, salon, bike_shop, pet_store, bakery, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe : 46544
Saved path: hardware_store, burger_joint, bookstore, tech_shop, toy_store, grocery_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, salon, bike_shop, bakery : 38503
Saved path: bookstore, pizzeria, craft_shop, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, gym, burger_joint, tech_shop, toy_store, grocery_store, cafe : 35762
Saved path: barber_shop, toy_store, grocery_store, burger_joint, hardware_store, gym, pizzeria, florist, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 48020
Saved path: barber_shop, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, gym, florist, gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store : 48886
Saved path: burger_joint, noodle_house, toy_store, grocery_store, dentist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym : 41796
Saved path: cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store : 48422
Saved path: florist, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, pizzeria, craft_shop, bank : 42437
Saved path: pizzeria, bank, florist, music_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym : 41676
Saved path: burger_joint, cafe, grocery_store, toy_store, barber_shop, pet_store, bakery, salon, pharmacy, gelateria, bank, craft_shop, pizzeria, gym, hardware_store : 45292
Saved path: bike_shop, jewelry_store, party_store, music_store, florist, pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store : 51349
Saved path: noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, florist, music_store, party_store, bike_shop, pet_store, bakery, gym, toy_store : 47858
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, cafe, bookstore, burger_joint, gym, pizzeria, gelateria, music_store, bakery, salon : 43083
Saved path: gym, pizzeria, bank, florist, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint : 36074
Saved path: cafe, bookstore, burger_joint, hardware_store, gym, florist, pharmacy, party_store, bakery, pet_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store : 45062
Saved path: toy_store, barber_shop, jewelry_store, bakery, pet_store, music_store, gelateria, bank, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, tech_shop : 46841
Saved path: pharmacy, gelateria, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bike_shop, jewelry_store, party_store : 40948
Saved path: grocery_store, dentist, craft_shop, florist, gelateria, pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, toy_store, clothing_store : 38560
Saved path: pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, burger_joint, cafe, bookstore, pizzeria, florist, gelateria : 44401
Saved path: hardware_store, pet_store, bike_shop, salon, gelateria, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint : 46068
Saved path: bike_shop, party_store, pharmacy, gelateria, music_store, florist, dentist, clothing_store, toy_store, burger_joint, gym, hardware_store, jewelry_store, bakery, pet_store : 50893
Saved path: salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, tech_shop, cafe, dentist, gym, pizzeria, bank, florist, pharmacy, party_store : 40926
Saved path: music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, florist : 48514
Saved path: dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, pharmacy, gelateria, music_store, bank, bookstore, cafe : 53656
Saved path: hardware_store, salon, pharmacy, gelateria, music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store : 33114
Saved path: bank, florist, music_store, pharmacy, barber_shop, bakery, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria : 39867
Saved path: craft_shop, music_store, gelateria, pharmacy, party_store, jewelry_store, pet_store, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria : 45689
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, burger_joint, gym, craft_shop, florist, music_store, gelateria, pet_store : 46298
Saved path: toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, salon, bike_shop, bakery, hardware_store, burger_joint, noodle_house : 32934
Saved path: pizzeria, craft_shop, bank, florist, gelateria, music_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store : 45611
Saved path: hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, music_store, bank, craft_shop, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store : 40185
Saved path: pizzeria, craft_shop, dentist, cafe, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, florist : 46608
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, pizzeria, bookstore, cafe : 45936
Saved path: bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, craft_shop, bank, gelateria, music_store, party_store : 36010
Saved path: pharmacy, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, pet_store : 50070
Saved path: clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, music_store, party_store, jewelry_store, bike_shop, pet_store, toy_store, noodle_house, tech_shop : 47900
Saved path: gelateria, pizzeria, craft_shop, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store : 51943
Saved path: florist, pharmacy, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, bank : 34030
Saved path: barber_shop, toy_store, noodle_house, tech_shop, grocery_store, bookstore, burger_joint, gym, bank, florist, party_store, bakery, bike_shop, salon, jewelry_store : 35900
Saved path: florist, craft_shop, bookstore, cafe, tech_shop, noodle_house, toy_store, gym, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, music_store : 44531
Saved path: tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, pizzeria, bookstore, bakery, pet_store, bike_shop, party_store, hardware_store, toy_store : 43851
Saved path: gym, toy_store, clothing_store, grocery_store, burger_joint, bookstore, pizzeria, bank, music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store : 36456
Saved path: dentist, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, gelateria, florist, pizzeria, gym, burger_joint, cafe : 48643
Saved path: bank, florist, music_store, party_store, salon, pet_store, bakery, barber_shop, toy_store, clothing_store, cafe, burger_joint, gym, pizzeria, craft_shop : 45563
Saved path: cafe, dentist, craft_shop, music_store, gelateria, party_store, salon, bike_shop, pet_store, bakery, burger_joint, tech_shop, noodle_house, toy_store, grocery_store : 45777
Saved path: music_store, bank, craft_shop, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, gym, jewelry_store, salon, bike_shop, pet_store, bakery : 51275
Saved path: bank, craft_shop, pizzeria, bookstore, tech_shop, grocery_store, clothing_store, toy_store, gym, hardware_store, salon, bike_shop, bakery, party_store, music_store : 34776
Saved path: barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, gym, music_store, gelateria, pharmacy, salon, bike_shop, pet_store, bakery : 53135
Saved path: noodle_house, burger_joint, gym, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, florist, dentist, cafe, grocery_store, toy_store : 49005
Saved path: toy_store, noodle_house, tech_shop, grocery_store, bookstore, craft_shop, bank, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, gym : 43332
Saved path: craft_shop, pizzeria, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, noodle_house, cafe, dentist : 47568
Saved path: burger_joint, cafe, bookstore, craft_shop, florist, music_store, gelateria, party_store, bike_shop, bakery, hardware_store, gym, toy_store, clothing_store, tech_shop : 36403
Saved path: bakery, pet_store, bike_shop, party_store, music_store, florist, bank, craft_shop, gym, bookstore, dentist, grocery_store, tech_shop, toy_store, barber_shop : 53592
Saved path: gelateria, florist, bank, craft_shop, dentist, clothing_store, cafe, bookstore, gym, hardware_store, bike_shop, pet_store, bakery, barber_shop, pharmacy : 51414
Saved path: salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore, bank, music_store, gelateria, pharmacy, party_store : 41463
Saved path: craft_shop, florist, music_store, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, pizzeria : 39687
Saved path: music_store, gelateria, bike_shop, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, pizzeria, bank, florist : 43791
Saved path: pizzeria, gym, hardware_store, cafe, grocery_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, florist : 46215
Saved path: toy_store, clothing_store, cafe, pizzeria, craft_shop, florist, music_store, pharmacy, barber_shop, bakery, bike_shop, salon, hardware_store, burger_joint, noodle_house : 38690
Saved path: jewelry_store, hardware_store, gym, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, salon : 39388
Saved path: pizzeria, craft_shop, bank, florist, music_store, gelateria, party_store, bike_shop, bakery, barber_shop, toy_store, tech_shop, grocery_store, cafe, gym : 39044
Saved path: pharmacy, florist, bank, craft_shop, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store, hardware_store, bike_shop, bakery, barber_shop, party_store : 33799
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, craft_shop, pharmacy, party_store, bakery, bike_shop, salon : 35117
Saved path: jewelry_store, bakery, party_store, pharmacy, florist, bank, gym, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop : 33437
