Saved path: music_store, gelateria, party_store, pet_store, bakery, salon, jewelry_store, burger_joint, tech_shop, toy_store, grocery_store, cafe, dentist, pizzeria, bank : 47865
Saved path: bike_shop, bakery, party_store, pharmacy, music_store, bank, craft_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, salon : 34815
Saved path: toy_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, pharmacy, party_store, salon, bike_shop, pet_store, bakery, burger_joint, noodle_house : 44297
Saved path: burger_joint, bookstore, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, gelateria, bank, craft_shop, pizzeria, gym : 44646
Saved path: bike_shop, party_store, gelateria, music_store, craft_shop, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery : 44222
Saved path: burger_joint, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, florist, bank, pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house : 46536
Saved path: bank, pizzeria, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, jewelry_store, salon, bike_shop, pet_store, bakery, music_store : 50588
Saved path: bakery, gelateria, music_store, craft_shop, gym, burger_joint, cafe, bookstore, tech_shop, clothing_store, toy_store, barber_shop, salon, bike_shop, pet_store : 49269
Saved path: music_store, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, cafe, bookstore, craft_shop, florist : 47006
Saved path: gelateria, pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, dentist, pizzeria, bank, florist : 36111
Saved path: pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery, salon, party_store, pharmacy, music_store : 40661
Saved path: gelateria, party_store, salon, bike_shop, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist : 36107
Saved path: tech_shop, burger_joint, bookstore, craft_shop, bank, music_store, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, grocery_store : 45444
Saved path: pizzeria, bank, gelateria, music_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, burger_joint, gym : 44641
Saved path: gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, bike_shop, hardware_store, toy_store, noodle_house, bookstore, pizzeria, bank, florist, music_store : 45271
Saved path: music_store, gelateria, pharmacy, salon, bakery, pet_store, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, bookstore, pizzeria : 49405
Saved path: pizzeria, craft_shop, gelateria, pharmacy, salon, pet_store, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, bookstore : 49903
Saved path: bike_shop, jewelry_store, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, dentist, bank, music_store, pharmacy, bakery, pet_store : 50458
Saved path: toy_store, tech_shop, burger_joint, hardware_store, barber_shop, bakery, pet_store, salon, party_store, gelateria, music_store, florist, bank, cafe, grocery_store : 46968
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, party_store, gelateria, bank, gym, pizzeria, dentist, cafe : 48980
Saved path: bakery, burger_joint, tech_shop, toy_store, grocery_store, dentist, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy, salon, bike_shop : 38012
Saved path: clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria, florist, bank, dentist, cafe : 36412
Saved path: toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria, gym, craft_shop, bank, florist, music_store, party_store, salon, bakery, barber_shop : 41953
Saved path: gelateria, pharmacy, party_store, salon, bike_shop, bakery, gym, toy_store, noodle_house, tech_shop, cafe, dentist, bookstore, pizzeria, bank : 36142
Saved path: salon, party_store, gelateria, craft_shop, dentist, cafe, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop : 46954
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, burger_joint, noodle_house, grocery_store, cafe, dentist, craft_shop, bank : 47060
Saved path: pharmacy, music_store, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery : 46334
Saved path: grocery_store, clothing_store, toy_store, hardware_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, music_store, bank, craft_shop, dentist, cafe, bookstore : 43223
Saved path: bike_shop, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist, florist, music_store, pharmacy, party_store : 38972
Saved path: bakery, salon, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, cafe, dentist, bookstore, pizzeria, bank, pharmacy, party_store, pet_store : 44648
Saved path: bakery, salon, party_store, pharmacy, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store : 30187
Saved path: gym, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, salon, bike_shop, pet_store, burger_joint, grocery_store, clothing_store, noodle_house, toy_store : 44519
Saved path: music_store, florist, bank, craft_shop, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, party_store, gelateria : 48955
Saved path: hardware_store, toy_store, grocery_store, cafe, burger_joint, bookstore, bank, florist, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store : 40681
Saved path: gym, pizzeria, florist, gelateria, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, cafe, burger_joint, hardware_store : 40184
Saved path: bike_shop, party_store, gelateria, music_store, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store : 45598
Saved path: gelateria, pharmacy, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bank, florist : 35815
Saved path: barber_shop, bakery, bike_shop, pharmacy, music_store, florist, craft_shop, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store : 37932
Saved path: gym, craft_shop, dentist, bookstore, burger_joint, noodle_house, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, florist, bank : 49697
Saved path: bakery, gelateria, florist, bank, pizzeria, gym, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store : 42335
Saved path: grocery_store, cafe, dentist, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house : 38153
Saved path: bookstore, pizzeria, craft_shop, bank, florist, music_store, pharmacy, salon, bakery, jewelry_store, toy_store, noodle_house, clothing_store, grocery_store, dentist : 36781
Saved path: toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, florist, party_store, bike_shop, pet_store, bakery, hardware_store, gym : 42305
Saved path: toy_store, gym, hardware_store, bakery, barber_shop, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, bookstore, noodle_house : 42136
Saved path: bike_shop, pharmacy, music_store, florist, bank, pizzeria, gym, craft_shop, dentist, burger_joint, tech_shop, toy_store, barber_shop, bakery, pet_store : 51859
Saved path: barber_shop, bakery, pharmacy, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store : 41018
Saved path: gym, music_store, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store : 44627
Saved path: salon, party_store, gelateria, florist, bank, craft_shop, gym, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, bakery, pet_store : 39864
Saved path: hardware_store, bakery, barber_shop, party_store, pharmacy, gelateria, bank, pizzeria, craft_shop, dentist, bookstore, burger_joint, tech_shop, noodle_house, toy_store : 37616
Saved path: pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist, pharmacy, barber_shop, bakery : 48226
Saved path: party_store, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, bookstore, pizzeria, gelateria, music_store : 49691
Saved path: pharmacy, gelateria, music_store, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop : 50690
Saved path: bike_shop, pet_store, jewelry_store, gym, toy_store, noodle_house, burger_joint, bookstore, cafe, grocery_store, dentist, music_store, gelateria, pharmacy, party_store : 52439
Saved path: gelateria, music_store, pizzeria, craft_shop, dentist, cafe, grocery_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 52642
Saved path: craft_shop, gym, burger_joint, cafe, bookstore, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, party_store, pharmacy, music_store : 36358
Saved path: clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, gelateria, bank, pizzeria, bookstore, dentist, grocery_store : 40616
Saved path: gym, hardware_store, jewelry_store, salon, bike_shop, gelateria, music_store, florist, pizzeria, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint : 38679
Saved path: bike_shop, salon, jewelry_store, party_store, gelateria, music_store, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store : 47981
Saved path: grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house : 36742
Saved path: clothing_store, grocery_store, dentist, bookstore, bank, florist, gelateria, barber_shop, jewelry_store, bakery, bike_shop, salon, hardware_store, toy_store, noodle_house : 41046
Saved path: salon, hardware_store, toy_store, grocery_store, tech_shop, burger_joint, craft_shop, bank, gelateria, music_store, pharmacy, party_store, barber_shop, pet_store, bakery : 47315
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, party_store, pharmacy, music_store, craft_shop, bookstore, cafe, clothing_store : 35748
Saved path: bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, pizzeria, gym, bank, music_store, salon, bike_shop, pet_store : 53604
Saved path: pet_store, bakery, salon, jewelry_store, hardware_store, burger_joint, tech_shop, clothing_store, toy_store, gym, craft_shop, bank, florist, music_store, party_store : 44030
Saved path: pharmacy, gelateria, music_store, florist, bank, craft_shop, dentist, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon : 43372
Saved path: party_store, gelateria, florist, gym, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 48601
Saved path: bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, bakery, pet_store, hardware_store, gym, toy_store, clothing_store, dentist, burger_joint : 48781
Saved path: pet_store, bike_shop, pharmacy, music_store, florist, craft_shop, gym, pizzeria, bookstore, cafe, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 47111
Saved path: jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, music_store, pharmacy, party_store, pet_store, bakery : 44946
Saved path: party_store, pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, jewelry_store, bike_shop : 41856
Saved path: barber_shop, toy_store, tech_shop, grocery_store, dentist, bookstore, gym, bank, florist, music_store, pharmacy, party_store, salon, bakery, pet_store : 51649
Saved path: bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, music_store, salon, bike_shop, pet_store : 51789
Saved path: gelateria, bank, craft_shop, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store : 35850
Saved path: dentist, craft_shop, florist, pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe : 42856
Saved path: bookstore, pizzeria, gym, bakery, pet_store, bike_shop, pharmacy, party_store, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe : 44089
Saved path: hardware_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, florist, pizzeria, cafe, clothing_store, tech_shop, noodle_house, toy_store : 41999
Saved path: burger_joint, gym, florist, gelateria, pharmacy, salon, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist : 49223
Saved path: pharmacy, music_store, florist, bank, pizzeria, bookstore, burger_joint, noodle_house, toy_store, hardware_store, barber_shop, pet_store, bakery, salon, party_store : 43515
Saved path: hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, pharmacy, salon, pet_store, bakery, barber_shop : 43955
Saved path: florist, bank, dentist, bookstore, tech_shop, clothing_store, toy_store, jewelry_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria : 46341
Saved path: florist, bank, craft_shop, dentist, grocery_store, cafe, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store : 36938
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, craft_shop, dentist, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym, bakery, pet_store : 47723
Saved path: burger_joint, tech_shop, grocery_store, clothing_store, toy_store, pet_store, bakery, salon, party_store, pharmacy, florist, bank, craft_shop, pizzeria, bookstore : 37315
Saved path: bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore, florist, gelateria, party_store, salon, bike_shop, pet_store : 48159
Saved path: craft_shop, florist, gelateria, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist : 46263
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, hardware_store, toy_store : 32462
Saved path: party_store, music_store, florist, craft_shop, gym, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, hardware_store, jewelry_store, salon, bakery, pet_store : 45054
Saved path: dentist, craft_shop, gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, cafe : 32672
Saved path: florist, bank, gym, burger_joint, bookstore, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, pharmacy, gelateria : 43888
Saved path: grocery_store, cafe, dentist, craft_shop, bank, music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, toy_store, noodle_house, tech_shop : 37307
Saved path: bookstore, tech_shop, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, gelateria, florist, bank, craft_shop, dentist, grocery_store : 43955
Saved path: bakery, barber_shop, jewelry_store, hardware_store, burger_joint, bookstore, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, music_store, pharmacy, party_store : 40318
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, cafe, burger_joint, hardware_store, gym, pizzeria, bank, florist, gelateria, pharmacy, pet_store : 43953
Saved path: party_store, bakery, bike_shop, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, music_store : 38855
Saved path: craft_shop, music_store, pharmacy, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist : 41958
Saved path: pharmacy, gelateria, music_store, bank, bookstore, cafe, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, jewelry_store, party_store : 47242
Saved path: tech_shop, burger_joint, gym, pet_store, party_store, pharmacy, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, noodle_house : 44832
Saved path: hardware_store, bakery, bike_shop, party_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, clothing_store, noodle_house, toy_store, gym : 39759
Saved path: florist, craft_shop, pizzeria, gym, hardware_store, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, bakery, pet_store, pharmacy, gelateria : 45327
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, pizzeria, gelateria, pharmacy, party_store, salon, bike_shop, jewelry_store : 39625
Saved path: toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bike_shop, bakery, gym : 35045
