Saved path: pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, pizzeria, bookstore, dentist, cafe, burger_joint, noodle_house, toy_store, gym : 51228
Saved path: toy_store, tech_shop, burger_joint, cafe, dentist, pizzeria, bank, florist, music_store, pharmacy, salon, bakery, pet_store, hardware_store, gym : 45978
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, florist, pizzeria, craft_shop, dentist, cafe, burger_joint : 47224
Saved path: pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bakery, party_store, pharmacy, florist : 37465
Saved path: cafe, burger_joint, bookstore, pizzeria, florist, music_store, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store : 35811
Saved path: bakery, pet_store, bike_shop, music_store, florist, bank, craft_shop, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store : 44184
Saved path: bike_shop, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, barber_shop, bakery : 41553
Saved path: party_store, gelateria, bank, craft_shop, pizzeria, bookstore, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, salon, bike_shop, bakery, barber_shop : 36801
Saved path: bank, craft_shop, gym, bookstore, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy : 45394
Saved path: pet_store, bike_shop, salon, jewelry_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, bookstore, pizzeria, bank, pharmacy, bakery : 49308
Saved path: gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, pizzeria, bank, florist : 43892
Saved path: hardware_store, jewelry_store, bakery, gelateria, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym : 38973
Saved path: bike_shop, bakery, jewelry_store, party_store, gelateria, bank, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym : 35159
Saved path: pizzeria, bank, florist, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist : 47950
Saved path: salon, bike_shop, pet_store, bakery, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, craft_shop, bank, florist, gelateria, jewelry_store : 42329
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, gym, pizzeria, bank, gelateria, music_store, salon, bike_shop : 38694
Saved path: jewelry_store, hardware_store, gym, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, clothing_store, toy_store, party_store, pharmacy, bakery, pet_store, bike_shop : 44193
Saved path: hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, grocery_store, dentist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store : 43986
Saved path: pharmacy, music_store, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 44989
Saved path: bike_shop, pet_store, bakery, barber_shop, noodle_house, clothing_store, dentist, bookstore, burger_joint, hardware_store, gym, bank, gelateria, pharmacy, party_store : 52487
Saved path: toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, florist, music_store, pharmacy, party_store, salon, bike_shop, pet_store, gym : 48726
Saved path: music_store, gelateria, party_store, salon, bakery, pet_store, jewelry_store, gym, toy_store, clothing_store, grocery_store, cafe, pizzeria, craft_shop, florist : 44479
Saved path: barber_shop, toy_store, tech_shop, bookstore, burger_joint, hardware_store, gym, craft_shop, bank, gelateria, pharmacy, party_store, salon, bike_shop, bakery : 36506
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, gym, jewelry_store, salon, pet_store : 46220
Saved path: gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, gelateria, florist, pizzeria, craft_shop, dentist, grocery_store, noodle_house, toy_store : 50182
Saved path: grocery_store, dentist, cafe, bookstore, pizzeria, florist, music_store, party_store, salon, bakery, hardware_store, gym, burger_joint, noodle_house, toy_store : 37715
Saved path: party_store, gelateria, music_store, florist, craft_shop, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, pet_store : 44829
Saved path: gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, gelateria, pharmacy, party_store, salon, bike_shop : 37009
Saved path: burger_joint, toy_store, hardware_store, salon, bike_shop, bakery, barber_shop, party_store, music_store, florist, craft_shop, dentist, grocery_store, cafe, bookstore : 43392
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, gelateria, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 39082
Saved path: bank, florist, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop : 39577
Saved path: pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank : 39049
Saved path: jewelry_store, salon, bike_shop, bakery, party_store, pharmacy, gelateria, bank, pizzeria, bookstore, tech_shop, clothing_store, toy_store, gym, hardware_store : 34533
Saved path: cafe, burger_joint, hardware_store, gym, pizzeria, bank, music_store, pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop : 36844
Saved path: toy_store, clothing_store, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, pet_store, bakery, jewelry_store, hardware_store, gym : 44605
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, bookstore, pizzeria, craft_shop, florist, music_store, party_store : 47900
Saved path: bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, music_store, florist : 49069
Saved path: grocery_store, burger_joint, gym, pizzeria, craft_shop, bank, florist, music_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop : 47814
Saved path: bank, florist, music_store, gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist, bookstore : 42889
Saved path: music_store, florist, bank, craft_shop, pizzeria, gym, hardware_store, cafe, clothing_store, toy_store, barber_shop, jewelry_store, bakery, party_store, gelateria : 36614
Saved path: dentist, cafe, burger_joint, toy_store, gym, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, bank : 45980
Saved path: gym, toy_store, tech_shop, grocery_store, cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, hardware_store : 40951
Saved path: party_store, pharmacy, music_store, bank, craft_shop, dentist, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery : 42108
Saved path: toy_store, gym, hardware_store, jewelry_store, barber_shop, pet_store, bakery, salon, pharmacy, bank, pizzeria, bookstore, dentist, clothing_store, noodle_house : 50837
Saved path: salon, party_store, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store, toy_store, gym, bakery, pet_store : 42912
Saved path: pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, florist, bank, craft_shop : 38183
Saved path: grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, craft_shop, dentist, bookstore, tech_shop : 47745
Saved path: bike_shop, salon, party_store, pharmacy, florist, bank, craft_shop, gym, pizzeria, bookstore, grocery_store, toy_store, barber_shop, bakery, pet_store : 45052
Saved path: dentist, clothing_store, tech_shop, toy_store, gym, hardware_store, pet_store, bike_shop, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe : 50543
Saved path: gelateria, music_store, florist, bank, pizzeria, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, pet_store, bakery, salon, party_store : 44939
Saved path: dentist, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, party_store, gelateria, music_store, bank, pizzeria, bookstore, burger_joint : 40580
Saved path: craft_shop, bookstore, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, music_store, florist : 33583
Saved path: dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, gelateria, florist, bank, gym, pizzeria, bookstore, cafe : 49746
Saved path: cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, party_store, pharmacy, gelateria, florist, gym, pizzeria, craft_shop, dentist : 38335
Saved path: dentist, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, party_store, gelateria, music_store, florist, pizzeria, bookstore, burger_joint, cafe : 42367
Saved path: pizzeria, florist, music_store, pharmacy, salon, bike_shop, pet_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore : 43641
Saved path: noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria, bank, gelateria, pharmacy, party_store, bike_shop, bakery, hardware_store, gym, toy_store : 37928
Saved path: music_store, florist, bank, pizzeria, bookstore, cafe, dentist, burger_joint, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop : 48565
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, gym, florist, gelateria, pharmacy, party_store : 36870
Saved path: clothing_store, tech_shop, burger_joint, bookstore, pizzeria, bank, music_store, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, gym, toy_store : 46389
Saved path: clothing_store, cafe, dentist, bank, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house : 39444
Saved path: music_store, pharmacy, salon, bike_shop, bakery, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop, bank : 38659
Saved path: clothing_store, toy_store, hardware_store, pet_store, bakery, salon, party_store, gelateria, music_store, florist, pizzeria, dentist, cafe, burger_joint, tech_shop : 45862
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, pet_store, bakery, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, cafe : 39664
Saved path: gym, bakery, jewelry_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 39526
Saved path: bakery, jewelry_store, party_store, gelateria, florist, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, pet_store : 39896
Saved path: pet_store, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria, craft_shop, music_store, pharmacy, party_store : 50456
Saved path: hardware_store, bakery, salon, party_store, gelateria, music_store, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint : 35831
Saved path: bank, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, pet_store, bakery, jewelry_store, party_store, gelateria, music_store : 48120
Saved path: bank, craft_shop, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop, party_store, florist : 47698
Saved path: noodle_house, clothing_store, bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, salon, bakery, pet_store, hardware_store, gym, toy_store : 40644
Saved path: salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, cafe, dentist, pizzeria, gelateria, pharmacy, party_store : 39245
Saved path: music_store, florist, dentist, cafe, bookstore, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store : 51068
Saved path: tech_shop, bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store : 48060
Saved path: barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, florist, pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store : 38107
Saved path: burger_joint, cafe, bookstore, pizzeria, craft_shop, florist, gym, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house : 43715
Saved path: music_store, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, pet_store, bakery : 43739
Saved path: party_store, pharmacy, florist, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, salon, bike_shop, pet_store, bakery : 41039
Saved path: toy_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy, bank, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house : 43310
Saved path: bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, pharmacy, florist, bank, craft_shop : 46320
Saved path: grocery_store, cafe, bookstore, pizzeria, florist, music_store, pharmacy, party_store, salon, bakery, pet_store, jewelry_store, gym, toy_store, tech_shop : 43831
Saved path: tech_shop, toy_store, hardware_store, jewelry_store, bakery, pet_store, party_store, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store : 40170
Saved path: bank, music_store, gelateria, party_store, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, bookstore, cafe, dentist, craft_shop : 41401
Saved path: cafe, burger_joint, bookstore, pizzeria, craft_shop, gym, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, dentist : 42463
Saved path: pet_store, bike_shop, salon, pharmacy, gelateria, pizzeria, craft_shop, gym, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery : 46272
Saved path: pet_store, jewelry_store, hardware_store, burger_joint, bookstore, tech_shop, toy_store, grocery_store, dentist, craft_shop, bank, florist, gelateria, party_store, bakery : 45992
Saved path: bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, pet_store, bike_shop, salon, pharmacy, florist, pizzeria, craft_shop, dentist, cafe : 46061
Saved path: pizzeria, bookstore, burger_joint, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, florist, bank : 41697
Saved path: party_store, hardware_store, bookstore, pizzeria, bank, dentist, cafe, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon : 46332
Saved path: clothing_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, hardware_store, gym, toy_store : 36698
Saved path: bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, florist, music_store, gelateria, pet_store : 40587
Saved path: jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym, craft_shop, music_store, pharmacy, party_store, pet_store, bakery, salon : 45009
Saved path: jewelry_store, party_store, pharmacy, gelateria, florist, craft_shop, bookstore, cafe, tech_shop, toy_store, gym, bakery, pet_store, bike_shop, salon : 42439
Saved path: burger_joint, cafe, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, florist, craft_shop : 44870
Saved path: pharmacy, gelateria, music_store, bank, gym, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop : 52641
Saved path: pizzeria, craft_shop, bank, music_store, pharmacy, salon, bakery, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym : 36301
Saved path: toy_store, pet_store, bike_shop, salon, party_store, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house : 44617
Saved path: florist, music_store, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store, grocery_store, noodle_house, hardware_store, gym, pizzeria, craft_shop, bank : 36548
Saved path: dentist, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, florist, bank, pizzeria, gym, burger_joint, cafe : 40769
Saved path: bank, gym, hardware_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, bookstore, pizzeria, craft_shop : 38038
Saved path: gelateria, music_store, florist, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bike_shop, bakery, barber_shop : 41530
Saved path: toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, gelateria, florist, craft_shop, gym, pizzeria, bookstore, dentist, grocery_store, tech_shop : 50628
Saved path: bakery, salon, party_store, gelateria, florist, bank, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, pet_store : 43654
Saved path: gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 53461
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, florist, gelateria, pharmacy, salon, bakery : 35269
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, pet_store, bakery, pharmacy, florist, bank, craft_shop, bookstore, cafe : 39590
Saved path: party_store, pharmacy, pizzeria, craft_shop, dentist, clothing_store, grocery_store, cafe, burger_joint, noodle_house, toy_store, barber_shop, pet_store, bakery, salon : 46697
Saved path: hardware_store, burger_joint, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, pizzeria, craft_shop, gym : 46684
Saved path: toy_store, hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria, florist, bank, pizzeria, bookstore, dentist, grocery_store, tech_shop, noodle_house : 35140
Saved path: toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, pharmacy, gelateria, florist, bank, pizzeria, bookstore, dentist, grocery_store, clothing_store : 46931
Saved path: pizzeria, bookstore, burger_joint, noodle_house, clothing_store, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria : 47953
Saved path: florist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, gym, pizzeria, craft_shop : 35142
Saved path: bank, florist, music_store, pharmacy, party_store, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, burger_joint, cafe, bookstore : 36084
Saved path: salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, pizzeria, florist, pharmacy, party_store : 35495
Saved path: bakery, jewelry_store, toy_store, clothing_store, dentist, cafe, burger_joint, bookstore, bank, florist, music_store, pharmacy, party_store, salon, bike_shop : 39370
Saved path: cafe, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store, bank, craft_shop, dentist : 37461
Saved path: craft_shop, dentist, cafe, burger_joint, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, gelateria, music_store, florist, pizzeria, gym : 52611
Saved path: cafe, noodle_house, gym, hardware_store, pet_store, bakery, jewelry_store, barber_shop, pharmacy, gelateria, music_store, florist, bank, craft_shop, dentist : 49630
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, craft_shop, gym, gelateria, music_store, bakery, pet_store, salon : 51186
Saved path: cafe, bookstore, tech_shop, clothing_store, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, florist, craft_shop, dentist : 48224
Saved path: craft_shop, pizzeria, music_store, gelateria, pharmacy, party_store, pet_store, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, dentist : 47627
Saved path: gym, pizzeria, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, music_store, florist : 51725
Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, gym, pizzeria, bank, pharmacy, bakery, pet_store : 49596
Saved path: bakery, bike_shop, salon, party_store, music_store, bank, craft_shop, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store : 36168
Saved path: clothing_store, grocery_store, cafe, dentist, craft_shop, bank, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, noodle_house : 45415
Saved path: tech_shop, toy_store, gym, hardware_store, pet_store, bakery, jewelry_store, barber_shop, party_store, pharmacy, florist, bank, pizzeria, craft_shop, dentist : 47801
