Saved path: tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, music_store, pharmacy, party_store, salon, bike_shop, pet_store, gym, burger_joint : 47663
Saved path: toy_store, tech_shop, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, bank, gelateria, party_store, salon, bike_shop, pet_store, bakery : 42208
Saved path: clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, gelateria, florist, pizzeria, bookstore, burger_joint, cafe, dentist : 36987
Saved path: cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, salon, party_store, pharmacy, music_store, pizzeria, craft_shop, dentist : 41858
Saved path: dentist, cafe, grocery_store, tech_shop, toy_store, hardware_store, bike_shop, pet_store, bakery, gelateria, music_store, florist, bank, pizzeria, craft_shop : 46171
Saved path: florist, music_store, pharmacy, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, dentist, cafe, burger_joint, gym, pizzeria, bank : 39765
Saved path: gelateria, bank, dentist, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy : 46112
Saved path: tech_shop, bookstore, cafe, dentist, craft_shop, pizzeria, florist, music_store, party_store, bakery, pet_store, salon, jewelry_store, toy_store, noodle_house : 46196
Saved path: salon, party_store, pharmacy, gelateria, florist, pizzeria, dentist, grocery_store, cafe, burger_joint, tech_shop, toy_store, barber_shop, bakery, pet_store : 46693
Saved path: bakery, pet_store, bike_shop, pharmacy, music_store, florist, craft_shop, gym, bookstore, cafe, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store : 48361
Saved path: toy_store, noodle_house, cafe, bookstore, pizzeria, craft_shop, bank, florist, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, gym : 41889
Saved path: barber_shop, jewelry_store, salon, bakery, gelateria, music_store, bank, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 38759
Saved path: clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, bakery, party_store, pharmacy, bank, pizzeria, craft_shop, dentist, cafe : 44495
Saved path: noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, grocery_store, toy_store : 32870
Saved path: craft_shop, bank, music_store, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, toy_store, noodle_house, burger_joint, bookstore, dentist : 49730
Saved path: bakery, barber_shop, party_store, pharmacy, gelateria, bank, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, pet_store : 46685
Saved path: burger_joint, noodle_house, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, gelateria, music_store, pharmacy, party_store, bike_shop, jewelry_store, gym : 43220
Saved path: bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, bike_shop, bakery, pharmacy, gelateria, florist, pizzeria : 33503
Saved path: bakery, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, gym, pizzeria, bank, florist, gelateria, pharmacy, salon, bike_shop : 34702
Saved path: bakery, barber_shop, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, bank, florist, gelateria, pharmacy, salon, bike_shop, pet_store : 46500
Saved path: bookstore, pizzeria, craft_shop, bank, gelateria, music_store, pharmacy, bakery, pet_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist : 45941
Saved path: toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, florist, gelateria, party_store, salon, bike_shop, gym, burger_joint, tech_shop, noodle_house : 33189
Saved path: florist, craft_shop, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria : 45662
Saved path: bike_shop, bakery, gym, toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, bank, florist, gelateria, party_store, salon : 30794
Saved path: cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, florist, pizzeria, dentist : 33642
Saved path: toy_store, tech_shop, grocery_store, dentist, craft_shop, pizzeria, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym : 51370
Saved path: barber_shop, jewelry_store, party_store, pharmacy, bakery, pet_store, bike_shop, gym, pizzeria, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store : 44291
Saved path: pizzeria, florist, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, dentist, craft_shop : 44711
Saved path: party_store, pharmacy, gelateria, bank, craft_shop, pizzeria, cafe, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, salon, bike_shop, bakery : 31214
Saved path: bike_shop, bakery, music_store, florist, bank, pizzeria, craft_shop, dentist, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon : 38883
Saved path: noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, music_store, jewelry_store, salon, pet_store, hardware_store, gym, burger_joint, tech_shop : 46608
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, florist, bookstore, grocery_store : 47381
Saved path: bakery, salon, party_store, gelateria, music_store, florist, craft_shop, pizzeria, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store : 41594
Saved path: salon, jewelry_store, toy_store, clothing_store, tech_shop, cafe, burger_joint, gym, pizzeria, florist, music_store, gelateria, pharmacy, pet_store, bike_shop : 46798
Saved path: pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, bookstore, craft_shop, gym, pharmacy, salon, bike_shop : 46031
Saved path: bookstore, pizzeria, gelateria, pharmacy, party_store, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop, dentist : 48015
Saved path: clothing_store, cafe, burger_joint, gym, music_store, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 46970
Saved path: bakery, barber_shop, toy_store, tech_shop, grocery_store, cafe, dentist, craft_shop, gym, florist, gelateria, pharmacy, salon, bike_shop, pet_store : 49731
Saved path: barber_shop, jewelry_store, salon, bakery, pharmacy, music_store, bank, craft_shop, pizzeria, burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store : 33707
Saved path: cafe, clothing_store, toy_store, hardware_store, pet_store, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, gym, burger_joint, bookstore : 45854
Saved path: dentist, craft_shop, bank, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, bookstore : 48672
Saved path: pizzeria, craft_shop, bank, pharmacy, party_store, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore : 45425
Saved path: bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery, salon, music_store, craft_shop, pizzeria : 41024
Saved path: barber_shop, bakery, music_store, gelateria, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, tech_shop, toy_store : 42847
Saved path: jewelry_store, barber_shop, toy_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, party_store, bakery : 33068
Saved path: pizzeria, bank, music_store, gelateria, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore : 47423
Saved path: toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, craft_shop, bank, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery : 36771
Saved path: toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop, pizzeria, bank, florist, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store : 39030
Saved path: bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, bookstore, craft_shop, gym, hardware_store, pharmacy, party_store, bike_shop : 37474
Saved path: pizzeria, bookstore, cafe, dentist, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, party_store, hardware_store, gym, florist : 48564
Saved path: pet_store, bike_shop, salon, hardware_store, gym, toy_store, noodle_house, tech_shop, bookstore, dentist, craft_shop, music_store, party_store, barber_shop, bakery : 53149
Saved path: tech_shop, clothing_store, toy_store, gym, pet_store, bakery, party_store, pharmacy, music_store, florist, bank, craft_shop, pizzeria, bookstore, burger_joint : 41508
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, bank, music_store, bike_shop, bakery, barber_shop, jewelry_store : 43610
Saved path: salon, party_store, music_store, florist, bank, pizzeria, bookstore, grocery_store, toy_store, noodle_house, burger_joint, jewelry_store, bakery, pet_store, bike_shop : 43589
Saved path: bakery, pet_store, bike_shop, salon, jewelry_store, music_store, gelateria, bank, craft_shop, pizzeria, gym, burger_joint, grocery_store, noodle_house, toy_store : 47230
Saved path: party_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, tech_shop, burger_joint, pet_store, bakery, salon : 45108
Saved path: pet_store, bakery, salon, party_store, gelateria, music_store, florist, bank, pizzeria, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint : 44387
Saved path: salon, bakery, barber_shop, party_store, pharmacy, gelateria, florist, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 38186
Saved path: bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, bookstore, craft_shop, bank, gelateria, pharmacy, party_store : 34677
Saved path: toy_store, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, party_store, bakery, jewelry_store, barber_shop : 34574
Saved path: pizzeria, craft_shop, florist, pharmacy, salon, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, grocery_store, dentist, burger_joint, bookstore : 47307
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, bank, music_store, pharmacy, bakery, jewelry_store : 39128
Saved path: dentist, craft_shop, bank, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe : 46111
Saved path: jewelry_store, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, bank, gelateria, pharmacy, party_store : 42504
Saved path: gelateria, pharmacy, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, grocery_store, cafe, dentist, craft_shop, pizzeria, bank : 46370
Saved path: florist, craft_shop, pizzeria, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy : 43332
Saved path: music_store, gelateria, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, florist : 47600
Saved path: pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, pizzeria, gym, craft_shop, bank, pharmacy : 44528
Saved path: tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, pharmacy, gelateria, bank, pizzeria, craft_shop, dentist, cafe, grocery_store : 45587
Saved path: pizzeria, gym, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, clothing_store, grocery_store, dentist, craft_shop, bank : 43791
Saved path: dentist, craft_shop, pizzeria, gelateria, pharmacy, party_store, salon, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe : 45645
Saved path: tech_shop, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, music_store, gelateria, bank, dentist, grocery_store, clothing_store : 49068
Saved path: toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, bank, craft_shop, gym, burger_joint, bookstore, cafe, clothing_store, tech_shop, noodle_house : 46121
Saved path: gym, hardware_store, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, bank, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store : 32889
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, party_store, bike_shop, pet_store, hardware_store : 42228
Saved path: bike_shop, salon, jewelry_store, party_store, music_store, bank, craft_shop, pizzeria, bookstore, tech_shop, grocery_store, clothing_store, toy_store, bakery, pet_store : 43345
Saved path: music_store, gelateria, bank, pizzeria, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, bakery, barber_shop, party_store, pharmacy : 38893
Saved path: bookstore, burger_joint, grocery_store, toy_store, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, pizzeria : 44514
Saved path: music_store, pharmacy, bakery, barber_shop, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, bank, florist : 41259
Saved path: bookstore, cafe, tech_shop, clothing_store, toy_store, gym, jewelry_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, bank, craft_shop : 42818
Saved path: dentist, craft_shop, pizzeria, bank, florist, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, burger_joint : 47860
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, music_store, bank, pizzeria, gym, hardware_store, cafe, clothing_store : 40359
Saved path: pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, gelateria, music_store, craft_shop : 44203
Saved path: burger_joint, cafe, grocery_store, clothing_store, toy_store, jewelry_store, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, bank, pizzeria, gym : 36520
Saved path: craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, salon, bakery, pet_store, gelateria, music_store : 48395
Saved path: cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, music_store, bank, pizzeria, bookstore : 32766
Saved path: jewelry_store, pet_store, bike_shop, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store : 43100
Saved path: party_store, music_store, bank, dentist, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym, hardware_store, pet_store, bakery, salon : 48498
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, cafe, bookstore, bank, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon : 43820
Saved path: bakery, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy, pet_store : 42508
Saved path: gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, clothing_store, grocery_store, bookstore, burger_joint, gym, craft_shop, bank, music_store : 38306
Saved path: hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, craft_shop, bank, florist, pharmacy, party_store, jewelry_store, bakery, pet_store : 40422
Saved path: bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, pizzeria : 40966
Saved path: hardware_store, toy_store, noodle_house, bookstore, cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria, party_store, jewelry_store, bike_shop, pet_store : 49188
Saved path: bike_shop, bakery, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, craft_shop, bank, florist, music_store, pharmacy : 35215
Saved path: craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, gym, jewelry_store, bakery, pet_store, salon, party_store, pharmacy, gelateria : 47392
Saved path: dentist, craft_shop, gelateria, pharmacy, pet_store, salon, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe : 49314
Saved path: grocery_store, clothing_store, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, bank, craft_shop, bookstore, cafe : 43682
Saved path: clothing_store, cafe, bookstore, bank, music_store, pharmacy, party_store, bike_shop, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store : 35510
Saved path: pizzeria, bank, florist, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bike_shop, bakery, gym : 39723
Saved path: toy_store, noodle_house, clothing_store, bookstore, burger_joint, gym, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop : 49006
Saved path: music_store, pharmacy, salon, bike_shop, bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, bookstore, craft_shop, bank, florist : 32458
Saved path: cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon, party_store, gelateria, craft_shop, pizzeria, bookstore : 39868
Saved path: bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, dentist, craft_shop, bank, florist, music_store, salon, bike_shop, pet_store : 46765
Saved path: toy_store, tech_shop, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, party_store, salon, bakery, barber_shop, hardware_store, gym : 36100
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy, salon, bakery, pet_store : 50490
Saved path: hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, music_store, bank, dentist, grocery_store, clothing_store, toy_store, gym : 51679
Saved path: jewelry_store, barber_shop, bakery, party_store, pharmacy, gelateria, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store : 33410
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, florist, pharmacy, pet_store, bakery, jewelry_store, barber_shop, toy_store : 43760
Saved path: bakery, jewelry_store, barber_shop, toy_store, clothing_store, burger_joint, cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, party_store : 37741
Saved path: toy_store, tech_shop, burger_joint, gym, hardware_store, bakery, salon, party_store, gelateria, music_store, florist, bank, dentist, cafe, grocery_store : 36902
Saved path: bakery, jewelry_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, bank, music_store, gelateria, pharmacy, pet_store : 45430
Saved path: music_store, pharmacy, party_store, barber_shop, bakery, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, florist : 40471
Saved path: grocery_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe : 48125
Saved path: craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, pet_store, bike_shop, jewelry_store, party_store, music_store, florist, pizzeria : 50791
Saved path: burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria, gelateria, music_store, pharmacy, party_store, salon, jewelry_store : 36672
Saved path: craft_shop, pizzeria, cafe, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, gelateria, florist : 41877
Saved path: gelateria, music_store, craft_shop, pizzeria, gym, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, jewelry_store, salon, bakery, pet_store, pharmacy : 45546
Saved path: music_store, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, grocery_store, dentist, burger_joint, hardware_store, gym, pizzeria, florist : 41417
Saved path: jewelry_store, bakery, pet_store, party_store, pharmacy, music_store, bank, dentist, grocery_store, toy_store, tech_shop, bookstore, burger_joint, gym, hardware_store : 50520
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, music_store, gelateria, pharmacy, party_store, bakery, jewelry_store, hardware_store : 36890
Saved path: bakery, party_store, pharmacy, music_store, bank, craft_shop, gym, pizzeria, bookstore, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store : 36048
Saved path: bookstore, pizzeria, gelateria, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe : 41588
Saved path: bakery, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, party_store, bike_shop : 41123
Saved path: cafe, bookstore, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, florist, bank, craft_shop, dentist : 38206
Saved path: party_store, pharmacy, gelateria, craft_shop, bookstore, burger_joint, cafe, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 45625
Saved path: barber_shop, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, bank, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, jewelry_store : 39372
Saved path: cafe, dentist, pizzeria, bank, florist, music_store, gelateria, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, grocery_store : 39111
