Saved path: bank, florist, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, gym : 37859
Saved path: hardware_store, bakery, bike_shop, party_store, pharmacy, gelateria, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 33879
Saved path: music_store, bank, pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, jewelry_store, salon, bike_shop, bakery : 42044
Saved path: clothing_store, tech_shop, toy_store, gym, hardware_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, florist, pizzeria, bookstore, dentist : 39939
Saved path: pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, pharmacy, party_store : 45224
Saved path: bank, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, toy_store, tech_shop, burger_joint, gym, pizzeria, craft_shop : 43729
Saved path: craft_shop, pizzeria, bank, florist, music_store, gelateria, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, cafe, dentist : 48176
Saved path: bakery, barber_shop, party_store, pharmacy, music_store, florist, pizzeria, craft_shop, dentist, clothing_store, tech_shop, toy_store, gym, hardware_store, pet_store : 51706
Saved path: salon, party_store, pharmacy, gelateria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop : 46702
Saved path: gym, hardware_store, jewelry_store, bakery, pet_store, salon, party_store, gelateria, music_store, bank, dentist, bookstore, tech_shop, clothing_store, toy_store : 51078
Saved path: burger_joint, hardware_store, party_store, salon, pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, dentist, florist, bookstore : 48967
Saved path: party_store, music_store, gelateria, bank, pizzeria, dentist, cafe, burger_joint, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery : 41189
Saved path: dentist, florist, music_store, gelateria, party_store, salon, bike_shop, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, burger_joint, cafe : 46554
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, toy_store, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria : 46618
Saved path: bakery, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, pizzeria, music_store, gelateria, pharmacy, party_store : 36894
Saved path: bookstore, pizzeria, craft_shop, bank, florist, gym, hardware_store, bike_shop, pet_store, bakery, burger_joint, noodle_house, toy_store, clothing_store, grocery_store : 38111
Saved path: bike_shop, salon, music_store, gelateria, florist, bank, pizzeria, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, bakery, pet_store : 46338
Saved path: hardware_store, salon, bakery, barber_shop, gelateria, music_store, florist, bank, pizzeria, dentist, cafe, tech_shop, noodle_house, toy_store, gym : 41164
Saved path: bike_shop, party_store, pharmacy, gelateria, florist, gym, burger_joint, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store : 43837
Saved path: cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy, jewelry_store, salon, bakery, gym, toy_store, noodle_house, tech_shop, burger_joint : 33886
Saved path: florist, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store : 47864
Saved path: bike_shop, salon, jewelry_store, toy_store, noodle_house, tech_shop, cafe, burger_joint, gym, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store : 36467
Saved path: pharmacy, bike_shop, bakery, jewelry_store, gym, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, bank, florist, music_store, gelateria : 42231
Saved path: gelateria, music_store, bank, craft_shop, dentist, cafe, bookstore, grocery_store, toy_store, gym, hardware_store, bakery, bike_shop, salon, party_store : 40104
Saved path: barber_shop, jewelry_store, salon, bakery, hardware_store, gym, pizzeria, bank, craft_shop, dentist, grocery_store, clothing_store, burger_joint, noodle_house, toy_store : 32480
Saved path: gelateria, music_store, florist, pizzeria, bookstore, burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, party_store : 33907
Saved path: florist, music_store, gelateria, pet_store, bakery, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, bank : 47540
Saved path: florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, party_store, gelateria : 36554
Saved path: pizzeria, craft_shop, florist, pharmacy, salon, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore : 32594
Saved path: barber_shop, toy_store, noodle_house, tech_shop, grocery_store, bookstore, pizzeria, bank, gym, hardware_store, party_store, bike_shop, pet_store, bakery, jewelry_store : 42438
Saved path: bakery, salon, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, party_store, pet_store : 42445
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, music_store, pharmacy, bakery, salon : 38727
Saved path: cafe, grocery_store, clothing_store, noodle_house, toy_store, bakery, salon, party_store, pharmacy, gelateria, music_store, bank, pizzeria, gym, burger_joint : 31809
Saved path: gym, noodle_house, clothing_store, bookstore, dentist, craft_shop, bank, florist, pharmacy, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 49711
Saved path: dentist, grocery_store, clothing_store, toy_store, hardware_store, bike_shop, salon, party_store, gelateria, music_store, florist, pizzeria, gym, burger_joint, cafe : 40145
Saved path: cafe, bookstore, pizzeria, bank, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, dentist : 46543
Saved path: florist, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, gelateria, music_store : 40140
Saved path: bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint : 47591
Saved path: pharmacy, music_store, florist, craft_shop, pizzeria, gym, burger_joint, dentist, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 44116
Saved path: craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, bookstore, pizzeria : 32190
Saved path: music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, hardware_store, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop : 43240
Saved path: pharmacy, florist, bank, pizzeria, craft_shop, dentist, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, salon, bike_shop, bakery : 36737
Saved path: grocery_store, bookstore, craft_shop, florist, pharmacy, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop : 47179
Saved path: craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, bakery, party_store, pharmacy, gelateria, music_store : 36573
Saved path: craft_shop, pizzeria, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store, barber_shop, toy_store, tech_shop, burger_joint, bookstore, dentist : 48847
Saved path: grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria, bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store : 39371
Saved path: craft_shop, gym, cafe, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, pharmacy, gelateria, music_store, florist : 38444
Saved path: bakery, pet_store, party_store, pharmacy, music_store, florist, craft_shop, gym, pizzeria, bookstore, dentist, clothing_store, tech_shop, toy_store, barber_shop : 52355
Saved path: cafe, pizzeria, craft_shop, florist, music_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store : 47988
Saved path: jewelry_store, barber_shop, party_store, pharmacy, music_store, gelateria, bank, craft_shop, dentist, grocery_store, clothing_store, noodle_house, hardware_store, pet_store, bakery : 47931
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, dentist, pizzeria, bank, florist, pharmacy, party_store, bakery, pet_store : 44977
Saved path: pizzeria, dentist, cafe, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, bank : 36622
Saved path: hardware_store, gym, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, gelateria, pharmacy, barber_shop, bakery, pet_store, bike_shop, salon : 51265
Saved path: toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, music_store, gelateria, party_store, bike_shop, pet_store, bakery, jewelry_store, gym : 50062
Saved path: clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, pet_store, party_store, gelateria, florist, bank, pizzeria, bookstore : 40534
Saved path: pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, pizzeria, dentist, cafe, clothing_store, toy_store, barber_shop, bakery : 48760
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore, pizzeria, bank, florist, pharmacy, party_store, jewelry_store, bakery, pet_store : 40348
Saved path: bank, pizzeria, dentist, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, florist : 47287
Saved path: burger_joint, tech_shop, toy_store, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, gelateria, party_store, salon, jewelry_store, hardware_store, gym : 39401
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, hardware_store, gym, pizzeria, bank, dentist, grocery_store, clothing_store : 34840
Saved path: party_store, salon, bike_shop, bakery, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, bank, florist : 33649
Saved path: craft_shop, florist, bank, pizzeria, gym, hardware_store, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, bookstore, dentist : 40569
Saved path: music_store, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, burger_joint, tech_shop, grocery_store, toy_store, gym, pizzeria, florist : 46347
Saved path: craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store, toy_store, barber_shop, bakery, pet_store, party_store, pharmacy, gelateria, florist : 46264
Saved path: toy_store, noodle_house, tech_shop, burger_joint, bookstore, craft_shop, bank, florist, music_store, gelateria, party_store, jewelry_store, salon, bakery, pet_store : 41344
Saved path: craft_shop, bank, gelateria, music_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, cafe, burger_joint, gym : 38467
Saved path: craft_shop, bank, florist, music_store, pharmacy, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, clothing_store, cafe, bookstore, pizzeria : 42189
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, dentist, craft_shop, pizzeria, florist, music_store, pharmacy, party_store, salon, bike_shop : 40632
Saved path: bookstore, cafe, dentist, craft_shop, florist, pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, grocery_store : 42462
Saved path: party_store, pharmacy, gelateria, florist, craft_shop, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store, pet_store, bike_shop, salon : 44463
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, music_store, pizzeria, gym, hardware_store, cafe, grocery_store : 48656
Saved path: pet_store, bakery, salon, pharmacy, florist, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 41631
Saved path: salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, pizzeria, gym, hardware_store, party_store, pharmacy : 36703
Saved path: bike_shop, bakery, barber_shop, toy_store, tech_shop, burger_joint, cafe, dentist, pizzeria, florist, music_store, gelateria, pharmacy, party_store, salon : 39433
Saved path: hardware_store, gym, toy_store, tech_shop, bookstore, grocery_store, dentist, craft_shop, florist, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store : 51127
Saved path: dentist, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, bank, craft_shop, gym, pizzeria, bookstore : 51362
Saved path: gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, pet_store, bakery, music_store, craft_shop, pizzeria : 54366
Saved path: gelateria, florist, bank, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, burger_joint, jewelry_store, bakery, pet_store, bike_shop, party_store : 45892
Saved path: salon, bike_shop, pet_store, party_store, gelateria, craft_shop, pizzeria, bookstore, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, jewelry_store : 45056
Saved path: pet_store, bakery, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, cafe, dentist, music_store, gelateria, pharmacy, party_store : 49498
Saved path: clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, hardware_store, pet_store, bakery, jewelry_store, pharmacy, gelateria, florist, craft_shop, dentist : 46194
Saved path: bakery, barber_shop, toy_store, grocery_store, dentist, cafe, bookstore, gym, craft_shop, bank, florist, pharmacy, salon, bike_shop, pet_store : 50290
Saved path: pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, bookstore, pizzeria, music_store : 47437
Saved path: grocery_store, tech_shop, noodle_house, toy_store, gym, bike_shop, jewelry_store, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, dentist : 40325
Saved path: grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, party_store, pharmacy, gelateria, craft_shop, dentist : 38314
Saved path: clothing_store, grocery_store, dentist, bookstore, pizzeria, florist, music_store, gelateria, jewelry_store, bike_shop, bakery, gym, toy_store, noodle_house, tech_shop : 42804
Saved path: pet_store, salon, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, cafe, clothing_store, toy_store, gym, hardware_store : 43758
Saved path: tech_shop, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, pharmacy, jewelry_store, salon, bakery, pet_store, hardware_store, gym, toy_store : 42586
Saved path: bike_shop, salon, music_store, gelateria, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store : 47177
Saved path: pet_store, bike_shop, salon, pharmacy, music_store, bank, pizzeria, bookstore, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery : 46952
Saved path: jewelry_store, bike_shop, bakery, party_store, gelateria, florist, bank, craft_shop, gym, hardware_store, noodle_house, tech_shop, grocery_store, toy_store, barber_shop : 37127
Saved path: barber_shop, bakery, pet_store, bike_shop, burger_joint, bookstore, pizzeria, florist, bank, craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store : 45497
Saved path: pizzeria, bookstore, dentist, grocery_store, tech_shop, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, bank, craft_shop : 46749
Saved path: bakery, jewelry_store, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, pizzeria, bank, florist, pharmacy, party_store, salon, bike_shop : 34028
Saved path: salon, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, bank, pizzeria, burger_joint, cafe, grocery_store, toy_store, barber_shop, jewelry_store : 35908
Saved path: gelateria, music_store, florist, bank, craft_shop, bookstore, tech_shop, grocery_store, clothing_store, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop : 41285
Saved path: gelateria, music_store, florist, bank, bookstore, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, bakery, party_store : 43148
Saved path: salon, party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, cafe, dentist, burger_joint, toy_store, bakery, pet_store, bike_shop : 45630
Saved path: clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, pharmacy, gelateria, music_store, pizzeria, gym, burger_joint, cafe : 46462
Saved path: tech_shop, noodle_house, toy_store, hardware_store, salon, bike_shop, bakery, party_store, gelateria, music_store, pizzeria, craft_shop, dentist, grocery_store, clothing_store : 36893
Saved path: salon, jewelry_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, gelateria, bakery, pet_store, bike_shop : 43904
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, music_store, bank, craft_shop, pizzeria, bookstore, burger_joint : 36613
Saved path: pizzeria, bank, music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, cafe : 47757
Saved path: bakery, pharmacy, music_store, craft_shop, pizzeria, gym, hardware_store, cafe, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store : 47763
Saved path: craft_shop, bank, florist, music_store, gelateria, pharmacy, bike_shop, bakery, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, gym : 34515
Saved path: jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store : 44703
Saved path: bank, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, gym, pet_store, bakery, salon, jewelry_store, gelateria, music_store, florist : 45385
Saved path: party_store, bakery, bike_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, craft_shop, bank, gelateria, music_store : 34837
Saved path: toy_store, clothing_store, grocery_store, burger_joint, hardware_store, gym, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop : 47098
Saved path: pet_store, bike_shop, salon, pharmacy, florist, pizzeria, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery : 46593
Saved path: craft_shop, bank, florist, music_store, pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, clothing_store, grocery_store, dentist : 37460
Saved path: pharmacy, bank, craft_shop, dentist, cafe, bookstore, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store : 46426
Saved path: pizzeria, bookstore, cafe, grocery_store, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, salon, barber_shop, gelateria, music_store, florist : 48431
Saved path: dentist, grocery_store, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, bank, craft_shop, gym, burger_joint, bookstore, cafe : 49055
Saved path: barber_shop, bakery, bike_shop, salon, hardware_store, toy_store, grocery_store, bookstore, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, party_store : 43222
Saved path: cafe, dentist, craft_shop, florist, music_store, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, bookstore : 39092
Saved path: bakery, pet_store, salon, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, bank, florist, gelateria, barber_shop : 44157
Saved path: jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store : 37002
Saved path: salon, music_store, gelateria, pizzeria, bookstore, grocery_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 49821
Saved path: florist, gelateria, pharmacy, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, dentist, pizzeria, bank : 49817
Saved path: pharmacy, party_store, salon, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop : 41013
Saved path: bookstore, burger_joint, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop, music_store, florist, bank, craft_shop, dentist, grocery_store : 52328
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, bank, gelateria, music_store, party_store, bike_shop, bakery, jewelry_store, gym, toy_store : 38199
Saved path: hardware_store, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, gym, burger_joint, noodle_house, tech_shop, clothing_store, toy_store : 35093
Saved path: pharmacy, gelateria, music_store, florist, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, bike_shop, salon : 39217
Saved path: grocery_store, clothing_store, toy_store, gym, pet_store, jewelry_store, party_store, pharmacy, gelateria, florist, pizzeria, bookstore, burger_joint, cafe, dentist : 47496
Saved path: toy_store, grocery_store, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store, hardware_store, burger_joint, tech_shop : 49178
Saved path: toy_store, tech_shop, burger_joint, hardware_store, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, craft_shop, dentist, grocery_store, clothing_store : 45870
