Saved path: pharmacy, gelateria, bank, dentist, clothing_store, grocery_store, cafe, burger_joint, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store : 38618
Saved path: craft_shop, dentist, grocery_store, clothing_store, toy_store, burger_joint, pet_store, bakery, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, bank : 46018
Saved path: tech_shop, burger_joint, hardware_store, pet_store, bike_shop, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store : 48710
Saved path: grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, bike_shop, party_store, pharmacy, florist, bank, craft_shop, pizzeria : 30664
Saved path: hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria, bank, pharmacy, salon, bike_shop, pet_store, bakery : 41538
Saved path: pizzeria, florist, music_store, party_store, salon, bike_shop, bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore : 37460
Saved path: dentist, cafe, tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, salon, jewelry_store, gelateria, music_store, florist, bank, pizzeria : 40176
Saved path: gym, hardware_store, salon, bakery, party_store, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store : 35994
Saved path: pet_store, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, jewelry_store, bike_shop : 46982
Saved path: cafe, bookstore, pizzeria, craft_shop, florist, pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist : 45462
Saved path: tech_shop, noodle_house, toy_store, grocery_store, dentist, craft_shop, pizzeria, bank, florist, music_store, party_store, salon, bakery, pet_store, burger_joint : 44005
Saved path: burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, florist, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store, gym : 38197
Saved path: dentist, cafe, bookstore, bank, florist, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, gym, toy_store, clothing_store, grocery_store : 45473
Saved path: bike_shop, bakery, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, gym, craft_shop, bank, florist, music_store, gelateria, party_store, jewelry_store : 36586
Saved path: bakery, bike_shop, jewelry_store, pharmacy, gelateria, music_store, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, gym : 43140
Saved path: hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, music_store, florist, craft_shop, cafe, grocery_store, tech_shop, noodle_house, toy_store : 35638
Saved path: hardware_store, bike_shop, pet_store, bakery, party_store, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym : 47231
Saved path: dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store : 38935
Saved path: florist, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, hardware_store, bookstore, pizzeria : 34400
Saved path: barber_shop, bakery, bike_shop, party_store, pharmacy, bank, craft_shop, dentist, bookstore, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store : 40867
Saved path: florist, bank, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, party_store, gelateria : 44836
Saved path: bakery, toy_store, noodle_house, tech_shop, burger_joint, cafe, pizzeria, craft_shop, florist, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store : 40762
Saved path: hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, pharmacy, party_store, salon, bakery, pet_store : 37815
Saved path: salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, gym, florist, music_store, pharmacy : 38388
Saved path: grocery_store, cafe, dentist, craft_shop, pizzeria, florist, gelateria, pharmacy, jewelry_store, salon, bike_shop, pet_store, burger_joint, noodle_house, toy_store : 46444
Saved path: jewelry_store, barber_shop, toy_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, bike_shop, bakery : 42015
Saved path: cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, pharmacy, music_store, bank, craft_shop, dentist : 46079
Saved path: pharmacy, gelateria, bank, dentist, grocery_store, bookstore, burger_joint, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon : 41704
Saved path: music_store, florist, craft_shop, pizzeria, bookstore, dentist, clothing_store, tech_shop, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop : 52907
Saved path: salon, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, pizzeria, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, pet_store : 47313
Saved path: gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, music_store, pharmacy, party_store, bike_shop, hardware_store : 40558
Saved path: toy_store, gym, hardware_store, bakery, bike_shop, gelateria, music_store, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house : 40895
Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, pet_store, bakery : 44521
Saved path: salon, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, bookstore, craft_shop, florist, pharmacy, bakery, pet_store : 41325
Saved path: florist, music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, dentist, cafe, bookstore, pizzeria : 41996
Saved path: bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, salon, party_store, gelateria, florist, bank : 32593
Saved path: bank, craft_shop, pizzeria, gym, burger_joint, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, gelateria : 39158
Saved path: gym, hardware_store, bakery, bike_shop, party_store, music_store, florist, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store : 40141
Saved path: burger_joint, dentist, bank, pizzeria, gym, hardware_store, party_store, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, clothing_store, noodle_house : 47032
Saved path: bike_shop, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria : 36443
Saved path: pizzeria, craft_shop, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bakery, party_store, pharmacy, music_store, bank : 33833
Saved path: pharmacy, music_store, florist, bank, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, bike_shop, pet_store, bakery : 47291
Saved path: pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, cafe, burger_joint, tech_shop, toy_store, pet_store, bakery, salon, party_store : 39057
Saved path: clothing_store, tech_shop, cafe, dentist, craft_shop, pizzeria, bank, florist, music_store, gelateria, jewelry_store, bakery, pet_store, gym, toy_store : 49119
Saved path: salon, bakery, pet_store, hardware_store, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, bank, florist, gelateria, pharmacy, jewelry_store : 45047
Saved path: gelateria, pharmacy, party_store, pet_store, bakery, jewelry_store, gym, toy_store, tech_shop, bookstore, dentist, craft_shop, pizzeria, bank, florist : 46212
Saved path: pharmacy, music_store, florist, pizzeria, craft_shop, dentist, cafe, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store : 39614
Saved path: music_store, craft_shop, dentist, grocery_store, clothing_store, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, party_store, pharmacy, gelateria : 39557
Saved path: toy_store, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, bank, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house : 37615
Saved path: clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, party_store, pharmacy, florist, pizzeria, gym, burger_joint, cafe, dentist : 40920
Saved path: noodle_house, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, grocery_store, tech_shop : 46010
Saved path: party_store, salon, bike_shop, bakery, hardware_store, toy_store, clothing_store, tech_shop, cafe, burger_joint, gym, pizzeria, craft_shop, florist, gelateria : 33500
Saved path: bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, florist, music_store : 43849
Saved path: pharmacy, music_store, florist, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, gym, hardware_store, pet_store : 48481
Saved path: florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, pharmacy : 43592
Saved path: grocery_store, toy_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery, pet_store, bike_shop, music_store, gelateria, bank, pizzeria, craft_shop, dentist : 52382
Saved path: bookstore, pizzeria, florist, craft_shop, gym, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist, burger_joint : 45952
Saved path: clothing_store, grocery_store, cafe, dentist, bank, florist, music_store, gelateria, pharmacy, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop : 47143
Saved path: party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, florist : 38546
Saved path: pet_store, bike_shop, salon, music_store, gelateria, bank, gym, craft_shop, dentist, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery : 51891
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, bakery, bike_shop, party_store, pharmacy, music_store, florist, bank, craft_shop, pizzeria, bookstore : 32653
Saved path: florist, bank, pizzeria, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, bakery, pet_store, jewelry_store, pharmacy, music_store : 48665
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, cafe, bookstore, craft_shop, music_store, gelateria, pharmacy, party_store : 44958
Saved path: noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, salon, music_store, gelateria, florist, bank, dentist, cafe, bookstore, burger_joint : 39494
Saved path: craft_shop, florist, music_store, gelateria, party_store, barber_shop, pet_store, bakery, salon, hardware_store, toy_store, noodle_house, burger_joint, bookstore, pizzeria : 44820
Saved path: party_store, gelateria, music_store, florist, bank, bookstore, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery : 42421
Saved path: salon, bike_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe, dentist, pizzeria, florist, gelateria, pharmacy : 40688
Saved path: clothing_store, tech_shop, toy_store, gym, hardware_store, barber_shop, bakery, gelateria, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store : 43056
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, dentist, craft_shop, gym, pizzeria, bank, florist, music_store, pharmacy, bakery, bike_shop : 42392
Saved path: pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, florist : 29491
Saved path: pizzeria, bank, florist, music_store, party_store, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist : 51405
Saved path: pizzeria, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, hardware_store, gym, craft_shop : 44430
Saved path: grocery_store, toy_store, noodle_house, burger_joint, jewelry_store, bakery, party_store, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe : 29563
Saved path: burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, party_store, music_store, florist, bank, bookstore : 43759
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, florist, bank : 45646
Saved path: bike_shop, bakery, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, music_store, party_store, jewelry_store : 40286
Saved path: bakery, salon, pharmacy, gelateria, florist, bank, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, clothing_store, toy_store, barber_shop : 40109
Saved path: music_store, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, bank : 49295
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, florist, gelateria, bike_shop, pet_store, bakery : 50667
Saved path: bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bakery, party_store, pharmacy, gelateria, florist, bank, craft_shop, dentist : 35112
Saved path: jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, hardware_store : 37946
Saved path: cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, music_store, gelateria, party_store, salon, bakery, barber_shop, toy_store, clothing_store, grocery_store : 37168
Saved path: bakery, jewelry_store, party_store, pharmacy, gelateria, florist, bank, gym, burger_joint, bookstore, cafe, grocery_store, toy_store, hardware_store, pet_store : 42679
Saved path: gelateria, music_store, bank, craft_shop, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, jewelry_store, bakery, pet_store, bike_shop, party_store : 44462
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, music_store, gelateria, pharmacy, bike_shop, bakery, hardware_store, toy_store, noodle_house, tech_shop : 32703
Saved path: gym, pizzeria, craft_shop, dentist, cafe, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, music_store, florist, bank : 51100
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, gym, pizzeria, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store : 50698
Saved path: clothing_store, noodle_house, toy_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, dentist : 37751
Saved path: craft_shop, bank, music_store, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore : 33440
Saved path: craft_shop, gym, burger_joint, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store : 47222
Saved path: hardware_store, gym, bank, music_store, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, noodle_house : 46372
Saved path: craft_shop, bookstore, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, pet_store, bike_shop, salon, jewelry_store, pharmacy, gelateria, florist : 42624
Saved path: tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, gelateria, party_store, jewelry_store, bike_shop, bakery, gym, toy_store : 39148
Saved path: grocery_store, tech_shop, noodle_house, hardware_store, gym, pizzeria, florist, gelateria, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store : 46796
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, music_store, gelateria, pharmacy, party_store, bike_shop, jewelry_store, hardware_store, toy_store : 40994
Saved path: gelateria, music_store, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, gym, toy_store, clothing_store, dentist, cafe, bookstore, bank : 50872
Saved path: toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, hardware_store, salon, bike_shop, bakery, jewelry_store, barber_shop : 32290
Saved path: bakery, salon, party_store, gelateria, florist, bank, craft_shop, pizzeria, bookstore, tech_shop, grocery_store, clothing_store, toy_store, gym, hardware_store : 30027
Saved path: party_store, bike_shop, bakery, jewelry_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, florist, music_store : 37301
Saved path: noodle_house, toy_store, grocery_store, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy, party_store, bakery, hardware_store, gym, burger_joint, tech_shop : 32553
Saved path: noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, pizzeria, grocery_store : 47386
Saved path: tech_shop, grocery_store, clothing_store, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, gym : 41797
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, music_store : 40570
Saved path: grocery_store, cafe, dentist, craft_shop, gym, pizzeria, music_store, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house : 51357
Saved path: craft_shop, florist, music_store, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, burger_joint, pizzeria : 44367
Saved path: dentist, cafe, bookstore, gym, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store : 42222
Saved path: florist, pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, jewelry_store, salon, pet_store, party_store, pharmacy : 46938
Saved path: gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, gelateria, bank, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 51571
Saved path: tech_shop, noodle_house, toy_store, pet_store, pharmacy, party_store, jewelry_store, hardware_store, gym, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store : 47614
Saved path: pet_store, bakery, party_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist, bookstore, tech_shop, noodle_house, toy_store, hardware_store, bike_shop : 46432
Saved path: bank, florist, music_store, party_store, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop : 47380
Saved path: hardware_store, barber_shop, bakery, bike_shop, pharmacy, florist, pizzeria, craft_shop, dentist, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym : 42892
Saved path: craft_shop, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, pet_store, bakery, music_store, bank : 47392
Saved path: noodle_house, burger_joint, hardware_store, gym, pizzeria, florist, pharmacy, party_store, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop : 44577
Saved path: pet_store, bike_shop, party_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore, bank, gym, hardware_store, jewelry_store, bakery : 47025
Saved path: bank, craft_shop, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, gelateria, music_store : 47676
Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, gym, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, bakery, pet_store : 44439
Saved path: florist, music_store, gelateria, party_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, pizzeria, bank : 40297
Saved path: gelateria, music_store, pharmacy, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, dentist, craft_shop, gym : 51245
Saved path: gym, toy_store, tech_shop, bookstore, dentist, craft_shop, pizzeria, florist, music_store, gelateria, bakery, pet_store, bike_shop, jewelry_store, hardware_store : 51623
Saved path: pharmacy, party_store, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, music_store : 41458
Saved path: dentist, bookstore, pizzeria, craft_shop, bank, music_store, gelateria, bike_shop, bakery, barber_shop, hardware_store, burger_joint, noodle_house, toy_store, grocery_store : 45000
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, bakery, barber_shop, pharmacy, florist, bank, craft_shop, pizzeria, cafe : 36048
Saved path: barber_shop, bakery, party_store, pharmacy, music_store, florist, bank, craft_shop, gym, hardware_store, burger_joint, noodle_house, tech_shop, clothing_store, toy_store : 35526
Saved path: gelateria, pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore, craft_shop, florist : 42359
Saved path: party_store, pharmacy, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery : 40841
Saved path: tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, florist, bank, gym, dentist, clothing_store : 48361
Saved path: pharmacy, gelateria, music_store, florist, bank, pizzeria, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, jewelry_store, bakery, pet_store : 49249
Saved path: bookstore, pizzeria, florist, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, dentist : 47052
Saved path: bank, music_store, gelateria, bakery, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop : 41088
Saved path: party_store, pharmacy, music_store, florist, pizzeria, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, jewelry_store, salon, bakery, pet_store : 41724
Saved path: cafe, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, party_store, pharmacy, gelateria, florist, craft_shop, dentist : 38556
Saved path: party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, pizzeria, bank, dentist, cafe, grocery_store, clothing_store, toy_store, burger_joint : 37145
Saved path: grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, pharmacy, music_store, florist, craft_shop, gym, burger_joint, cafe, dentist : 40286
Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, party_store, bakery, pet_store : 45646
Saved path: florist, bank, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon, jewelry_store, gelateria, music_store : 47980
Saved path: salon, bakery, barber_shop, toy_store, grocery_store, dentist, bookstore, burger_joint, gym, pizzeria, craft_shop, bank, music_store, pharmacy, party_store : 41856
Saved path: toy_store, tech_shop, clothing_store, dentist, pizzeria, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym : 53630
Saved path: toy_store, noodle_house, tech_shop, burger_joint, bakery, bike_shop, salon, party_store, pharmacy, gelateria, craft_shop, pizzeria, bookstore, dentist, grocery_store : 36125
Saved path: salon, bakery, gym, toy_store, clothing_store, grocery_store, tech_shop, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, party_store : 31822
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, dentist, bank, music_store, pharmacy, party_store, salon, bike_shop : 40769
Saved path: bakery, salon, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, pizzeria, bank, florist, music_store, pharmacy : 36840
Saved path: bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, bookstore, dentist, bank, florist, music_store, salon : 41971
Saved path: bike_shop, pharmacy, gelateria, music_store, bank, craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, bakery, pet_store : 45450
Saved path: bike_shop, salon, party_store, gelateria, florist, bank, craft_shop, dentist, grocery_store, bookstore, burger_joint, toy_store, barber_shop, bakery, pet_store : 48292
Saved path: jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, burger_joint, clothing_store, toy_store, gym, bakery, pet_store, bike_shop : 46871
Saved path: pet_store, bike_shop, salon, party_store, pharmacy, music_store, florist, pizzeria, bookstore, cafe, burger_joint, noodle_house, toy_store, hardware_store, bakery : 39819
Saved path: bakery, gym, toy_store, noodle_house, cafe, bookstore, craft_shop, bank, music_store, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store : 44532
Saved path: pizzeria, gym, burger_joint, dentist, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria, music_store, florist : 44316
Saved path: bakery, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, florist, pharmacy, party_store, salon, bike_shop, pet_store : 37554
Saved path: party_store, pharmacy, gelateria, music_store, bank, craft_shop, bookstore, grocery_store, tech_shop, noodle_house, toy_store, jewelry_store, bakery, pet_store, bike_shop : 44092
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, craft_shop, bank, florist, music_store, gelateria, party_store, bakery, bike_shop, jewelry_store, barber_shop : 36502
Saved path: grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, bakery, pet_store, party_store, pharmacy, gelateria, music_store, florist, craft_shop, cafe : 43182
Saved path: salon, party_store, pharmacy, florist, bank, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, gym, bakery, pet_store, bike_shop : 44720
Saved path: gelateria, pharmacy, bike_shop, bakery, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria, florist, music_store : 39062
