Saved path: bike_shop, party_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym, craft_shop, pet_store, bank, music_store : 59786
Saved path: florist, gelateria, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, gym : 60630
Saved path: pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, party_store, bakery, barber_shop, music_store, gelateria, pet_store, craft_shop : 58290
Saved path: burger_joint, bookstore, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, gym, hardware_store : 69950
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, music_store, bakery, jewelry_store : 65881
Saved path: bookstore, cafe, tech_shop, pizzeria, craft_shop, music_store, bank, pharmacy, party_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house : 64841
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, bike_shop, bakery : 45183
Saved path: bakery, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, bookstore, hardware_store, gym, pet_store, florist, bank, gelateria, pharmacy : 54542
Saved path: noodle_house, grocery_store, tech_shop, dentist, craft_shop, pet_store, bank, music_store, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym, bookstore : 65101
Saved path: hardware_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, florist : 50243
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist, craft_shop, gym, toy_store, noodle_house, grocery_store, tech_shop, burger_joint : 57423
Saved path: noodle_house, clothing_store, tech_shop, pizzeria, dentist, bookstore, gym, florist, bank, gelateria, pharmacy, party_store, bike_shop, barber_shop, toy_store : 67086
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, bookstore, craft_shop, pet_store, gelateria : 64158
Saved path: salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, gym, burger_joint, cafe, tech_shop, grocery_store : 53817
Saved path: hardware_store, gym, pet_store, florist, music_store, pharmacy, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist, burger_joint : 56586
Saved path: cafe, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, salon, jewelry_store, bakery, music_store, bank, gelateria, florist, craft_shop, dentist : 60910
Saved path: dentist, pizzeria, pet_store, gelateria, music_store, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store, burger_joint, bookstore, cafe : 60050
Saved path: party_store, bakery, pharmacy, music_store, gelateria, pet_store, pizzeria, dentist, grocery_store, bookstore, burger_joint, gym, hardware_store, salon, jewelry_store : 63751
Saved path: bakery, pharmacy, music_store, bank, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store : 62284
Saved path: barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, florist, music_store, bank, pet_store, pizzeria, tech_shop, bookstore, burger_joint, toy_store : 72598
Saved path: pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, hardware_store, gym : 60554
Saved path: pet_store, pizzeria, tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, party_store, pharmacy, bank, gelateria, florist : 65541
Saved path: grocery_store, clothing_store, cafe, bookstore, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, craft_shop, pizzeria, dentist : 68777
Saved path: bank, bakery, party_store, jewelry_store, bike_shop, gym, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, dentist, craft_shop, florist, music_store : 61080
Saved path: pizzeria, dentist, bookstore, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, florist, pet_store : 67247
Saved path: florist, pet_store, craft_shop, pizzeria, bookstore, burger_joint, hardware_store, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank : 69373
Saved path: pizzeria, dentist, bookstore, burger_joint, toy_store, noodle_house, salon, jewelry_store, party_store, bakery, pharmacy, music_store, bank, florist, craft_shop : 64047
Saved path: pet_store, florist, bank, gelateria, pharmacy, jewelry_store, salon, toy_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, pizzeria, craft_shop : 68310
Saved path: clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, florist, music_store, bank, gelateria, hardware_store, bike_shop, barber_shop, noodle_house : 60648
Saved path: bakery, barber_shop, salon, hardware_store, toy_store, clothing_store, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store : 62636
Saved path: gym, hardware_store, bike_shop, party_store, bakery, barber_shop, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, florist, gelateria, music_store : 59551
Saved path: grocery_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, salon : 67502
Saved path: florist, pizzeria, dentist, tech_shop, grocery_store, clothing_store, bookstore, hardware_store, salon, barber_shop, jewelry_store, party_store, bakery, gelateria, bank : 69324
Saved path: cafe, gym, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop : 70134
Saved path: pizzeria, dentist, cafe, tech_shop, noodle_house, toy_store, burger_joint, gym, hardware_store, jewelry_store, party_store, pharmacy, bank, music_store, craft_shop : 64346
Saved path: cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop : 43958
Saved path: clothing_store, grocery_store, cafe, bookstore, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, barber_shop, salon, hardware_store, toy_store, noodle_house : 57701
Saved path: salon, noodle_house, clothing_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, music_store, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store : 65083
Saved path: tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, bike_shop, barber_shop, clothing_store : 55558
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, music_store, bike_shop, bakery, gym : 52992
Saved path: clothing_store, tech_shop, dentist, craft_shop, gym, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store : 66861
