Saved path: clothing_store, noodle_house, salon, barber_shop, party_store, bakery, pharmacy, pet_store, craft_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, toy_store : 56913
Saved path: bakery, party_store, jewelry_store, barber_shop, toy_store, burger_joint, cafe, tech_shop, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy : 66872
Saved path: dentist, bookstore, gym, pet_store, gelateria, bank, music_store, jewelry_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop : 69278
Saved path: dentist, bookstore, burger_joint, gym, florist, gelateria, bank, music_store, pharmacy, jewelry_store, barber_shop, salon, clothing_store, grocery_store, pizzeria : 67918
Saved path: bookstore, cafe, dentist, pizzeria, pet_store, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store : 59903
Saved path: party_store, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, dentist, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop : 64271
Saved path: grocery_store, tech_shop, cafe, gym, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store : 56170
Saved path: florist, pharmacy, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop : 57061
Saved path: florist, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, craft_shop : 56118
Saved path: barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, cafe, tech_shop, pizzeria, florist, gelateria, jewelry_store, bike_shop, bakery : 58619
Saved path: hardware_store, salon, toy_store, grocery_store, tech_shop, cafe, burger_joint, gym, craft_shop, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 54573
Saved path: dentist, pizzeria, tech_shop, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, florist, pet_store, gym, burger_joint, bookstore : 61700
Saved path: hardware_store, gym, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, cafe : 59441
Saved path: salon, jewelry_store, party_store, bike_shop, pharmacy, bank, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store : 69644
Saved path: cafe, dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop : 60486
Saved path: florist, gelateria, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, bookstore, cafe, dentist, craft_shop, gym : 59559
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, pharmacy, bank, music_store, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, clothing_store : 65976
Saved path: bookstore, cafe, pizzeria, craft_shop, florist, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, gym : 66643
Saved path: toy_store, burger_joint, cafe, dentist, pizzeria, pet_store, gelateria, bank, music_store, bakery, party_store, jewelry_store, salon, noodle_house, clothing_store : 66549
Saved path: dentist, grocery_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore : 58083
Saved path: florist, gelateria, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, burger_joint, bookstore, cafe, dentist, craft_shop : 59031
Saved path: pet_store, craft_shop, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, bike_shop, jewelry_store, pharmacy, music_store, bank : 60923
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, gym, bank, pharmacy : 70578
Saved path: salon, clothing_store, cafe, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym, hardware_store : 63175
Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, gym, bookstore : 56629
Saved path: jewelry_store, party_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, music_store, bank, pharmacy : 63823
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, pet_store, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, toy_store : 59932
Saved path: cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, bike_shop, gelateria, florist, gym, burger_joint, bookstore : 53904
Saved path: pizzeria, dentist, cafe, burger_joint, gym, pet_store, gelateria, bank, music_store, bike_shop, party_store, bakery, barber_shop, clothing_store, tech_shop : 66990
Saved path: dentist, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store, party_store, bakery, music_store, bank, gelateria, pet_store : 58511
Saved path: gelateria, bank, music_store, craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, bakery, jewelry_store : 63143
Saved path: tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, hardware_store, jewelry_store, bike_shop, bakery, bank, music_store, craft_shop, dentist : 64857
Saved path: craft_shop, music_store, pharmacy, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria : 56266
Saved path: bakery, party_store, bike_shop, gym, florist, music_store, bank, gelateria, pet_store, craft_shop, dentist, cafe, bookstore, toy_store, salon : 65702
Saved path: music_store, bakery, bike_shop, jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, gym, craft_shop, pet_store, florist, bank : 64545
Saved path: jewelry_store, party_store, music_store, bank, pet_store, craft_shop, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 65424
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, gelateria, florist, pizzeria, tech_shop, grocery_store, clothing_store, cafe, hardware_store : 67675
Saved path: gelateria, bank, florist, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, noodle_house, salon, barber_shop, bike_shop, party_store, bakery : 66735
