Saved path: party_store, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store : 53655
Saved path: party_store, jewelry_store, barber_shop, salon, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, craft_shop, florist, bank, bakery : 69533
Saved path: pet_store, gym, hardware_store, burger_joint, dentist, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, florist : 63662
Saved path: pet_store, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank : 62632
Saved path: bike_shop, bakery, pharmacy, gelateria, music_store, craft_shop, bookstore, burger_joint, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store : 53577
Saved path: toy_store, clothing_store, grocery_store, dentist, bookstore, gym, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 68040
Saved path: clothing_store, noodle_house, salon, hardware_store, bakery, jewelry_store, bike_shop, music_store, florist, pet_store, craft_shop, gym, burger_joint, tech_shop, grocery_store : 54496
Saved path: bank, pharmacy, bakery, party_store, barber_shop, salon, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, florist : 63609
Saved path: hardware_store, salon, toy_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, dentist, craft_shop, gelateria, music_store, pharmacy, party_store, jewelry_store : 56783
Saved path: cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, music_store, bike_shop, bakery, barber_shop, salon, clothing_store, dentist : 54245
Saved path: barber_shop, salon, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, party_store, jewelry_store : 58698
Saved path: cafe, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, music_store, florist, pet_store, craft_shop, pizzeria, dentist : 51744
Saved path: bookstore, cafe, dentist, pizzeria, pet_store, gelateria, bike_shop, party_store, bakery, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint : 58886
Saved path: pharmacy, music_store, bank, gelateria, pet_store, dentist, tech_shop, cafe, bookstore, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery : 63982
Saved path: dentist, pizzeria, craft_shop, pet_store, music_store, jewelry_store, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint : 62627
Saved path: jewelry_store, party_store, bakery, bank, gelateria, florist, pet_store, craft_shop, gym, hardware_store, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop : 66408
Saved path: dentist, cafe, burger_joint, gym, florist, music_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, salon, clothing_store, grocery_store, pizzeria : 51232
Saved path: tech_shop, cafe, bookstore, florist, music_store, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, grocery_store : 59287
Saved path: toy_store, clothing_store, grocery_store, pizzeria, craft_shop, bookstore, cafe, burger_joint, hardware_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon : 52614
Saved path: pet_store, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, party_store, bakery, bank : 62854
Saved path: bakery, barber_shop, salon, hardware_store, toy_store, grocery_store, tech_shop, dentist, craft_shop, florist, music_store, bank, gelateria, pharmacy, party_store : 60931
Saved path: toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon : 45515
Saved path: hardware_store, bike_shop, party_store, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, toy_store : 49472
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, cafe, bookstore, hardware_store, gym, pet_store, florist, bank, pharmacy : 66477
Saved path: cafe, tech_shop, toy_store, salon, hardware_store, party_store, bike_shop, music_store, bank, gelateria, florist, craft_shop, gym, burger_joint, bookstore : 59133
Saved path: bike_shop, bakery, pharmacy, bank, music_store, florist, craft_shop, pizzeria, dentist, grocery_store, bookstore, burger_joint, hardware_store, salon, barber_shop : 59454
Saved path: salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, hardware_store, gym, craft_shop, pizzeria, tech_shop, cafe, burger_joint, clothing_store, noodle_house : 51515
Saved path: clothing_store, cafe, hardware_store, craft_shop, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house : 54733
Saved path: jewelry_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 57620
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, cafe, bookstore, burger_joint, gym, toy_store, noodle_house, salon, barber_shop, party_store : 56887
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bike_shop, barber_shop, hardware_store : 60578
Saved path: grocery_store, clothing_store, toy_store, salon, barber_shop, party_store, pharmacy, florist, pet_store, craft_shop, gym, hardware_store, bookstore, pizzeria, tech_shop : 59043
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, gelateria, craft_shop, gym, hardware_store, cafe, dentist, grocery_store, clothing_store, noodle_house : 59520
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, pharmacy, bank, gelateria, florist, craft_shop, gym, burger_joint, bookstore : 48767
Saved path: salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, craft_shop, bookstore, burger_joint, cafe, grocery_store, toy_store : 59796
Saved path: bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, bank, florist, gym, hardware_store : 68289
Saved path: grocery_store, clothing_store, toy_store, hardware_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, florist, pizzeria, tech_shop, cafe, bookstore : 51519
Saved path: gym, florist, bank, music_store, bike_shop, party_store, bakery, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, toy_store : 60895
Saved path: tech_shop, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, florist, bank, music_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store : 67595
Saved path: pizzeria, craft_shop, florist, gelateria, bank, music_store, jewelry_store, bike_shop, bakery, hardware_store, burger_joint, bookstore, noodle_house, tech_shop, dentist : 62283
Saved path: tech_shop, cafe, bookstore, toy_store, noodle_house, salon, barber_shop, bakery, bike_shop, gym, pet_store, gelateria, music_store, florist, pizzeria : 57124
Saved path: music_store, florist, pet_store, craft_shop, dentist, grocery_store, noodle_house, salon, toy_store, burger_joint, hardware_store, party_store, jewelry_store, gelateria, bank : 66109
Saved path: clothing_store, toy_store, salon, hardware_store, party_store, bike_shop, gym, pet_store, gelateria, florist, pizzeria, dentist, cafe, tech_shop, grocery_store : 58948
Saved path: craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, music_store : 55158
Saved path: music_store, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym : 63283
Saved path: party_store, jewelry_store, bike_shop, gelateria, florist, craft_shop, pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, bakery : 52869
Saved path: craft_shop, pet_store, gelateria, party_store, jewelry_store, barber_shop, salon, toy_store, hardware_store, bookstore, cafe, grocery_store, tech_shop, dentist, pizzeria : 63139
Saved path: burger_joint, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, pet_store, gym, hardware_store, bakery, jewelry_store, salon, clothing_store, grocery_store : 59051
Saved path: craft_shop, pet_store, florist, music_store, bank, gelateria, bike_shop, jewelry_store, barber_shop, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria : 68564
Saved path: barber_shop, toy_store, grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, florist, bank, gelateria, jewelry_store, bike_shop, bakery : 69169
Saved path: grocery_store, tech_shop, pizzeria, cafe, burger_joint, gym, florist, music_store, bank, gelateria, jewelry_store, party_store, barber_shop, salon, toy_store : 67785
Saved path: hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, pet_store, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop : 67200
Saved path: bike_shop, party_store, music_store, bank, pet_store, craft_shop, gym, hardware_store, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, barber_shop : 65368
Saved path: barber_shop, salon, noodle_house, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, hardware_store, bakery, party_store, jewelry_store, bike_shop : 60846
Saved path: gym, pet_store, bank, music_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, pizzeria, dentist, bookstore, burger_joint, hardware_store : 73930
Saved path: toy_store, hardware_store, barber_shop, jewelry_store, bike_shop, bakery, gelateria, bank, pet_store, pizzeria, dentist, bookstore, tech_shop, grocery_store, noodle_house : 72009
Saved path: music_store, jewelry_store, bakery, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria : 62576
Saved path: party_store, jewelry_store, salon, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, cafe, dentist, pet_store, bank, music_store, pharmacy, bakery : 64111
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, craft_shop, dentist, cafe, burger_joint, grocery_store, clothing_store, toy_store, barber_shop : 63071
Saved path: bookstore, grocery_store, noodle_house, salon, barber_shop, hardware_store, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop, pizzeria, cafe : 60115
Saved path: barber_shop, bike_shop, jewelry_store, party_store, hardware_store, bookstore, florist, gelateria, bank, pet_store, craft_shop, dentist, grocery_store, clothing_store, salon : 70927
Saved path: pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, bike_shop, gelateria, bank, music_store, florist : 60886
