Saved path: noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, bank, florist, craft_shop, gym, hardware_store, burger_joint, dentist, pizzeria, grocery_store : 63091
Saved path: party_store, bike_shop, barber_shop, salon, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, bank, music_store, pharmacy : 65920
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop : 58439
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, hardware_store, bakery, bike_shop : 59753
Saved path: cafe, burger_joint, noodle_house, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, gelateria, pizzeria, dentist : 64060
Saved path: gym, craft_shop, pizzeria, tech_shop, cafe, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, pet_store : 57013
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, dentist, pizzeria, florist, gelateria, pet_store, bookstore, burger_joint, hardware_store, party_store, bike_shop : 61595
Saved path: bank, music_store, florist, pet_store, dentist, grocery_store, clothing_store, salon, toy_store, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery : 68050
Saved path: pizzeria, craft_shop, florist, gelateria, pet_store, gym, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, dentist : 58814
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, noodle_house, grocery_store, tech_shop, cafe, burger_joint, gym, pet_store, gelateria, bank : 59534
Saved path: barber_shop, hardware_store, gym, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery : 59970
Saved path: bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, gym, pet_store, gelateria, pharmacy : 57713
Saved path: clothing_store, grocery_store, pizzeria, dentist, cafe, burger_joint, gym, pet_store, bank, gelateria, pharmacy, party_store, bike_shop, hardware_store, salon : 65966
Saved path: pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, jewelry_store, bike_shop, hardware_store, burger_joint, cafe, bookstore, noodle_house, clothing_store, tech_shop : 62159
Saved path: bookstore, burger_joint, hardware_store, pet_store, florist, gelateria, pharmacy, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, cafe : 56749
Saved path: pet_store, pizzeria, dentist, tech_shop, clothing_store, noodle_house, salon, toy_store, burger_joint, party_store, bike_shop, pharmacy, bank, gelateria, florist : 66406
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, burger_joint, bookstore, cafe, tech_shop, dentist, pet_store, bank, gelateria : 66355
Saved path: gym, burger_joint, bookstore, dentist, tech_shop, clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, pharmacy, gelateria, pet_store, craft_shop : 58874
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, pet_store, pizzeria, cafe, clothing_store, toy_store, salon, hardware_store, gym : 71158
Saved path: cafe, burger_joint, bookstore, clothing_store, noodle_house, salon, hardware_store, gym, bakery, bike_shop, jewelry_store, music_store, florist, pet_store, pizzeria : 62782
Saved path: salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, craft_shop, dentist, tech_shop, clothing_store, bookstore, burger_joint, hardware_store, toy_store : 63493
Saved path: clothing_store, cafe, burger_joint, gym, hardware_store, jewelry_store, bike_shop, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist : 57675
Saved path: pharmacy, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, gym, pet_store, florist, bank : 68771
Saved path: burger_joint, hardware_store, gym, pizzeria, craft_shop, florist, pharmacy, party_store, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore : 57600
Saved path: jewelry_store, party_store, hardware_store, gym, florist, bank, pet_store, craft_shop, pizzeria, grocery_store, cafe, bookstore, burger_joint, salon, barber_shop : 72024
Saved path: gym, pet_store, bank, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, salon, jewelry_store, party_store, hardware_store : 70058
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, grocery_store, cafe, dentist, pizzeria, florist, gelateria, bank, music_store, gym, hardware_store : 68598
Saved path: noodle_house, grocery_store, pizzeria, craft_shop, gym, florist, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store : 66673
Saved path: florist, gelateria, bank, music_store, jewelry_store, bike_shop, bakery, barber_shop, salon, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym : 61374
Saved path: pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, music_store, jewelry_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, tech_shop : 63928
Saved path: bookstore, cafe, tech_shop, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store, hardware_store, salon, toy_store, clothing_store : 62788
Saved path: bookstore, cafe, dentist, pizzeria, pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store : 58201
Saved path: gelateria, pet_store, gym, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, jewelry_store, bike_shop : 55748
Saved path: tech_shop, cafe, burger_joint, craft_shop, florist, gelateria, bank, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store : 60422
Saved path: bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop, pizzeria, cafe, bookstore, toy_store, salon, barber_shop : 61043
Saved path: tech_shop, pizzeria, craft_shop, florist, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, burger_joint, toy_store, noodle_house, clothing_store : 59100
Saved path: bike_shop, jewelry_store, pharmacy, bank, gelateria, gym, hardware_store, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop : 68420
Saved path: dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bike_shop, gelateria, bank, florist, gym : 68355
