Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, florist, pharmacy, bakery, party_store, hardware_store, burger_joint, cafe : 49387
Saved path: hardware_store, jewelry_store, bike_shop, bakery, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, florist, bank : 68069
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, florist, bank, gym, hardware_store, bakery, bike_shop, jewelry_store : 69388
Saved path: toy_store, gym, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pizzeria, cafe, grocery_store : 62144
Saved path: dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bakery, party_store, jewelry_store, music_store, bank, gym, bookstore, cafe : 68188
Saved path: jewelry_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store : 59434
Saved path: pharmacy, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, gym, pet_store, florist, gelateria, bank, music_store : 53785
Saved path: bike_shop, bakery, pharmacy, music_store, florist, pizzeria, dentist, bookstore, clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, jewelry_store : 56159
Saved path: gelateria, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, gym, burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store : 60978
Saved path: cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, jewelry_store, party_store, bakery, bank, florist, pet_store, gym, burger_joint : 69973
Saved path: jewelry_store, party_store, bakery, bank, gelateria, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop : 65847
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, florist, pet_store, dentist, pizzeria, craft_shop, gym, hardware_store, salon, barber_shop, bike_shop : 72366
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, florist, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, barber_shop : 62955
Saved path: salon, grocery_store, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, bank, pet_store, gym, bike_shop, party_store, bakery, barber_shop : 66508
Saved path: salon, jewelry_store, bike_shop, hardware_store, gym, florist, music_store, gelateria, pet_store, pizzeria, burger_joint, bookstore, grocery_store, clothing_store, toy_store : 65231
Saved path: gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, noodle_house, salon, toy_store, gym, hardware_store, bakery, bike_shop : 53730
Saved path: toy_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, gym, gelateria, bank, music_store, bakery, party_store, jewelry_store, barber_shop : 67548
Saved path: clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop : 61998
Saved path: cafe, dentist, pizzeria, craft_shop, music_store, gelateria, jewelry_store, party_store, bike_shop, barber_shop, salon, toy_store, gym, burger_joint, bookstore : 63077
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, gym, hardware_store, bookstore, cafe, grocery_store, clothing_store, noodle_house, barber_shop : 63349
Saved path: clothing_store, salon, hardware_store, jewelry_store, party_store, pharmacy, music_store, florist, pet_store, gym, burger_joint, dentist, pizzeria, tech_shop, grocery_store : 62075
Saved path: hardware_store, barber_shop, bike_shop, bakery, pharmacy, bank, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, gym : 62126
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, pet_store, gym, hardware_store, bookstore, pizzeria, tech_shop, grocery_store, toy_store : 73553
Saved path: pizzeria, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, craft_shop : 59185
Saved path: pizzeria, dentist, bookstore, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, music_store : 59562
Saved path: grocery_store, clothing_store, bookstore, burger_joint, toy_store, barber_shop, bike_shop, jewelry_store, party_store, gym, florist, pet_store, craft_shop, pizzeria, tech_shop : 61131
Saved path: gelateria, music_store, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, pizzeria, pet_store : 61365
Saved path: cafe, bookstore, gym, pet_store, gelateria, music_store, pharmacy, party_store, barber_shop, salon, toy_store, noodle_house, tech_shop, pizzeria, dentist : 61826
Saved path: toy_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, music_store, bakery, party_store, barber_shop, salon : 54727
Saved path: bakery, pharmacy, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, gym, bike_shop, jewelry_store, party_store : 47372
Saved path: pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, grocery_store, bookstore, cafe, pizzeria, florist, music_store, bank : 62145
Saved path: toy_store, noodle_house, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, music_store, bank, gelateria, bakery, bike_shop, barber_shop : 53816
Saved path: hardware_store, gym, florist, music_store, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, burger_joint : 61635
Saved path: tech_shop, dentist, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, gym, burger_joint : 63565
Saved path: gym, florist, music_store, bank, gelateria, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, hardware_store : 61678
Saved path: noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, hardware_store, gym, toy_store, salon : 59245
Saved path: tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, bank, gym, hardware_store, bookstore, dentist, pizzeria : 63887
Saved path: cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank, bakery, party_store, bike_shop, barber_shop, noodle_house, toy_store, burger_joint, bookstore : 61989
Saved path: jewelry_store, party_store, hardware_store, burger_joint, tech_shop, grocery_store, bookstore, gym, craft_shop, pet_store, gelateria, bank, music_store, bakery, bike_shop : 60691
Saved path: gym, bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, cafe, salon, toy_store : 65155
Saved path: burger_joint, hardware_store, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, tech_shop, bookstore : 58377
Saved path: clothing_store, cafe, tech_shop, pizzeria, craft_shop, gelateria, bank, florist, gym, hardware_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house : 68240
Saved path: toy_store, noodle_house, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, florist, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop : 60749
Saved path: clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, burger_joint, toy_store, noodle_house : 55291
Saved path: burger_joint, bookstore, dentist, pet_store, florist, gelateria, bank, music_store, jewelry_store, bike_shop, hardware_store, toy_store, clothing_store, grocery_store, tech_shop : 64485
Saved path: dentist, tech_shop, cafe, bookstore, burger_joint, hardware_store, toy_store, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, gelateria, pizzeria : 60076
Saved path: noodle_house, clothing_store, burger_joint, cafe, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, bike_shop, hardware_store, salon : 60161
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, pet_store, craft_shop, gym, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 57655
Saved path: music_store, pharmacy, bakery, jewelry_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, gelateria, bank : 60944
Saved path: bike_shop, burger_joint, toy_store, salon, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, jewelry_store : 67236
Saved path: burger_joint, bookstore, cafe, tech_shop, pizzeria, florist, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, gym : 60231
Saved path: bookstore, cafe, dentist, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, gym, burger_joint : 57863
Saved path: pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house, toy_store, gym, burger_joint, cafe, dentist, pizzeria : 59569
Saved path: gym, burger_joint, cafe, dentist, tech_shop, grocery_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, gelateria : 63024
Saved path: bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, grocery_store, cafe, bookstore, gym, hardware_store, barber_shop : 64753
Saved path: cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, bakery, bike_shop, music_store, bank, gelateria, florist, gym, craft_shop, dentist : 58291
Saved path: bank, music_store, florist, pet_store, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, pharmacy, gelateria : 56298
