Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, hardware_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, bank, gelateria, florist : 68685
Saved path: clothing_store, grocery_store, tech_shop, bookstore, dentist, florist, bank, gelateria, pharmacy, party_store, bike_shop, hardware_store, gym, toy_store, noodle_house : 59308
Saved path: hardware_store, salon, toy_store, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, music_store, bank, gelateria, pharmacy, party_store, jewelry_store : 64537
Saved path: toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, gelateria, florist, gym, cafe, tech_shop, grocery_store, clothing_store : 54763
Saved path: toy_store, salon, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, bakery, bike_shop, music_store, bank, gelateria, florist, gym : 52592
Saved path: florist, music_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, grocery_store, dentist, bookstore, gym, craft_shop, pet_store : 61443
Saved path: grocery_store, tech_shop, cafe, burger_joint, bookstore, florist, music_store, gelateria, jewelry_store, bike_shop, bakery, hardware_store, toy_store, noodle_house, clothing_store : 48664
Saved path: party_store, jewelry_store, barber_shop, toy_store, clothing_store, cafe, bookstore, hardware_store, gym, pizzeria, pet_store, gelateria, bank, music_store, pharmacy : 72246
Saved path: tech_shop, dentist, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, bakery, party_store, barber_shop, toy_store, hardware_store, burger_joint, cafe : 62606
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, bike_shop, bakery, florist, craft_shop, pizzeria, dentist, cafe, bookstore : 47770
Saved path: bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, salon, hardware_store : 61415
Saved path: bike_shop, jewelry_store, party_store, bakery, burger_joint, cafe, tech_shop, noodle_house, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy : 61382
Saved path: bookstore, cafe, burger_joint, hardware_store, jewelry_store, bakery, barber_shop, music_store, gelateria, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house : 59079
Saved path: bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, party_store, bakery, pharmacy : 59593
Saved path: noodle_house, salon, barber_shop, hardware_store, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop, dentist : 69790
Saved path: hardware_store, salon, noodle_house, clothing_store, bookstore, burger_joint, dentist, pizzeria, pet_store, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym : 65426
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, hardware_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, florist, music_store, bank, gelateria : 69460
Saved path: bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, gym, hardware_store, pharmacy : 52679
Saved path: pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, florist, pet_store, craft_shop : 60824
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, cafe, burger_joint, bookstore, craft_shop, florist, bank, pharmacy, bakery : 58072
Saved path: toy_store, gym, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, florist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon : 63713
Saved path: bookstore, cafe, clothing_store, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, gym, burger_joint : 68382
Saved path: gelateria, bank, music_store, craft_shop, gym, hardware_store, burger_joint, cafe, bookstore, toy_store, barber_shop, bakery, party_store, jewelry_store, bike_shop : 63096
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, gym, toy_store, noodle_house, salon, barber_shop, bakery, pharmacy, gelateria, pet_store : 51266
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, bike_shop, jewelry_store, bakery, gelateria, pet_store, dentist, burger_joint, bookstore : 61594
Saved path: salon, noodle_house, grocery_store, tech_shop, dentist, cafe, hardware_store, gym, craft_shop, florist, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 57027
Saved path: noodle_house, salon, toy_store, burger_joint, bakery, party_store, music_store, bank, gelateria, pet_store, pizzeria, tech_shop, cafe, grocery_store, clothing_store : 62252
Saved path: pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe : 67094
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, pharmacy, music_store, gelateria, craft_shop, gym, burger_joint, bookstore, dentist : 55233
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, cafe, hardware_store, pet_store, florist, bank, music_store, pharmacy, bakery : 67065
Saved path: burger_joint, cafe, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, party_store, hardware_store, barber_shop, noodle_house, clothing_store, grocery_store, bookstore : 53471
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, gym, pet_store, gelateria, bank, music_store, jewelry_store, bike_shop : 62534
Saved path: bank, pharmacy, party_store, jewelry_store, barber_shop, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, craft_shop, pet_store : 71606
Saved path: party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, pizzeria, dentist, bookstore, toy_store, salon, hardware_store : 69753
Saved path: burger_joint, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, florist, gym, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon : 64231
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, hardware_store, gym, pet_store, florist, bank, gelateria, pharmacy, jewelry_store : 69661
Saved path: pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, gym : 56548
Saved path: bookstore, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, florist, craft_shop : 51705
Saved path: bank, gelateria, craft_shop, gym, hardware_store, bookstore, cafe, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 63233
Saved path: grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, bank, florist, pet_store, gym, burger_joint, tech_shop : 65494
Saved path: florist, bank, music_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop : 65995
Saved path: tech_shop, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, bank, gelateria, bike_shop, party_store, bakery, barber_shop, noodle_house, grocery_store : 60606
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bakery, bike_shop, jewelry_store : 54779
Saved path: party_store, bike_shop, gym, toy_store, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, dentist, craft_shop, florist, gelateria, bank : 64303
Saved path: party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym, pet_store, florist, gelateria, jewelry_store : 63956
Saved path: dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, gym, hardware_store, bike_shop, party_store, bakery, music_store, florist, pet_store, craft_shop : 53164
Saved path: gym, craft_shop, pizzeria, dentist, bookstore, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, gelateria, hardware_store : 60598
Saved path: cafe, burger_joint, noodle_house, salon, jewelry_store, bike_shop, pharmacy, music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, tech_shop : 68388
Saved path: bakery, bike_shop, jewelry_store, music_store, bank, gelateria, florist, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, hardware_store, salon, barber_shop : 67055
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, clothing_store, grocery_store, tech_shop, dentist, florist, gelateria, bank, music_store, barber_shop : 65903
Saved path: bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, music_store, gym, hardware_store : 61426
Saved path: tech_shop, grocery_store, noodle_house, salon, toy_store, gym, hardware_store, party_store, jewelry_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe : 60046
Saved path: hardware_store, burger_joint, bookstore, cafe, clothing_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, craft_shop : 62013
Saved path: gelateria, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, grocery_store, bookstore, burger_joint, cafe, dentist, pet_store, florist : 67282
Saved path: salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, pizzeria, florist, music_store, bank, bakery, bike_shop, party_store, hardware_store : 63040
Saved path: cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, gym, hardware_store, salon, clothing_store, grocery_store : 52577
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, cafe, grocery_store, clothing_store, noodle_house : 66217
