Saved path: craft_shop, dentist, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, pet_store : 63375
Saved path: gym, craft_shop, pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pharmacy, gelateria, bank, music_store : 67914
Saved path: grocery_store, tech_shop, pizzeria, florist, gym, hardware_store, party_store, jewelry_store, barber_shop, salon, toy_store, burger_joint, bookstore, cafe, clothing_store : 57055
Saved path: florist, gelateria, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, bookstore, cafe, pizzeria, pet_store : 58898
Saved path: pet_store, craft_shop, pizzeria, cafe, burger_joint, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop, hardware_store, florist, bank : 67907
Saved path: bike_shop, jewelry_store, party_store, bank, florist, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop : 71078
Saved path: tech_shop, cafe, burger_joint, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, pizzeria : 66855
Saved path: music_store, florist, pet_store, craft_shop, dentist, cafe, tech_shop, noodle_house, salon, toy_store, gym, bakery, jewelry_store, gelateria, bank : 66565
Saved path: hardware_store, burger_joint, cafe, tech_shop, dentist, florist, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house : 59461
Saved path: music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, tech_shop, cafe, burger_joint, gym, pet_store, gelateria, bank : 62374
Saved path: jewelry_store, bike_shop, bakery, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, toy_store, salon, hardware_store : 61457
Saved path: burger_joint, toy_store, hardware_store, party_store, bike_shop, music_store, bank, florist, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, cafe, bookstore : 62736
Saved path: noodle_house, grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, florist, bank, gelateria, pharmacy, bike_shop, jewelry_store, salon, toy_store : 64263
Saved path: bakery, hardware_store, pet_store, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, jewelry_store, party_store, bike_shop : 56428
Saved path: hardware_store, gym, craft_shop, florist, music_store, pharmacy, party_store, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, bookstore, burger_joint : 60810
Saved path: noodle_house, salon, barber_shop, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, craft_shop, dentist, bookstore, cafe, tech_shop, clothing_store : 67393
Saved path: salon, barber_shop, bike_shop, jewelry_store, hardware_store, gym, gelateria, florist, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, toy_store : 61587
Saved path: music_store, florist, pet_store, craft_shop, bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, bank : 63289
Saved path: florist, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, pizzeria : 56900
Saved path: toy_store, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store, gym, florist, gelateria, music_store, pharmacy, barber_shop : 47956
Saved path: music_store, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, dentist, pizzeria, craft_shop, pet_store, florist : 65014
Saved path: pharmacy, gelateria, music_store, florist, pet_store, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, salon, jewelry_store, party_store, bike_shop : 61843
Saved path: gelateria, florist, gym, bakery, barber_shop, noodle_house, toy_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank : 59107
Saved path: tech_shop, cafe, burger_joint, bookstore, craft_shop, hardware_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store : 48283
Saved path: pet_store, florist, music_store, bank, bakery, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, hardware_store, craft_shop : 63318
Saved path: pet_store, florist, music_store, bike_shop, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop : 55720
Saved path: pizzeria, dentist, cafe, burger_joint, gym, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, pharmacy, bank, florist, pet_store, craft_shop : 64055
Saved path: hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, bookstore, tech_shop, grocery_store, clothing_store, noodle_house : 55187
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, hardware_store, gym, bookstore, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, gelateria : 64277
Saved path: music_store, florist, hardware_store, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, pet_store, gelateria, bank : 66780
Saved path: noodle_house, tech_shop, cafe, burger_joint, hardware_store, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon : 57953
Saved path: toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, craft_shop, pet_store, bank, gelateria, pharmacy, party_store, bike_shop, barber_shop, hardware_store : 61905
Saved path: craft_shop, pet_store, bank, music_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, gym : 61615
Saved path: music_store, bank, pet_store, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy : 62233
Saved path: gym, craft_shop, pet_store, florist, music_store, gelateria, bike_shop, party_store, bakery, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe : 54411
Saved path: cafe, bookstore, burger_joint, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, florist, craft_shop, dentist, tech_shop : 56555
Saved path: pet_store, craft_shop, gym, burger_joint, bookstore, cafe, pizzeria, tech_shop, clothing_store, salon, barber_shop, bakery, party_store, pharmacy, florist : 56739
Saved path: gym, bakery, jewelry_store, salon, noodle_house, toy_store, burger_joint, cafe, tech_shop, dentist, pizzeria, florist, gelateria, bank, pet_store : 69191
Saved path: party_store, jewelry_store, barber_shop, toy_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, pet_store, bank, gelateria, pharmacy : 66841
Saved path: bakery, gym, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, florist, bank, gelateria, jewelry_store : 64676
Saved path: pet_store, craft_shop, dentist, cafe, burger_joint, gym, hardware_store, toy_store, noodle_house, barber_shop, jewelry_store, pharmacy, gelateria, bank, florist : 68371
Saved path: gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym, toy_store, noodle_house, clothing_store, bookstore, burger_joint, cafe, dentist, pizzeria : 58479
Saved path: hardware_store, party_store, pharmacy, gelateria, bank, florist, pet_store, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, bookstore, burger_joint : 60822
Saved path: hardware_store, gym, craft_shop, pet_store, florist, pharmacy, party_store, jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop, pizzeria, dentist : 62345
Saved path: bakery, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, bank : 70495
Saved path: hardware_store, toy_store, salon, barber_shop, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, cafe, bookstore, burger_joint : 49909
Saved path: burger_joint, bookstore, cafe, clothing_store, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, jewelry_store, barber_shop, hardware_store : 69731
Saved path: bookstore, burger_joint, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house : 63077
Saved path: jewelry_store, party_store, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, pet_store, gelateria, bank, music_store, barber_shop : 70261
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, gym, burger_joint, dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon : 60187
Saved path: bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, craft_shop, music_store, pharmacy, bakery, jewelry_store : 55833
Saved path: jewelry_store, party_store, bakery, bank, gelateria, craft_shop, gym, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop : 61662
Saved path: grocery_store, bookstore, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, pharmacy, bike_shop, hardware_store, gym, toy_store, salon, noodle_house : 59382
Saved path: bike_shop, barber_shop, toy_store, hardware_store, burger_joint, cafe, grocery_store, tech_shop, pizzeria, craft_shop, gelateria, pharmacy, bakery, party_store, jewelry_store : 57497
Saved path: bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, florist, craft_shop, gym, hardware_store, jewelry_store, party_store : 51568
Saved path: hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, pizzeria, gelateria, bank, music_store, jewelry_store, party_store, bakery, barber_shop, salon : 67532
Saved path: gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, burger_joint, cafe, grocery_store, dentist, craft_shop, pet_store, bank : 63991
Saved path: music_store, florist, pet_store, gym, burger_joint, bookstore, cafe, grocery_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy : 55875
Saved path: dentist, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, pharmacy, music_store, bank, florist, pet_store, gym, burger_joint, bookstore : 58468
Saved path: party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, pizzeria, craft_shop, music_store, gelateria, pharmacy : 56742
