Saved path: burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, gym, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store : 48139
Saved path: music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, burger_joint, gym, pet_store : 61047
Saved path: clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, florist, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store : 67777
Saved path: hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, bike_shop : 55642
Saved path: dentist, florist, music_store, bank, gelateria, pet_store, bookstore, hardware_store, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop : 68890
Saved path: barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint, dentist, pizzeria, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop : 52508
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, gym, pizzeria, dentist, grocery_store, clothing_store, toy_store : 58779
Saved path: burger_joint, bookstore, pet_store, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery : 56360
Saved path: salon, barber_shop, bakery, bike_shop, music_store, bank, gelateria, pet_store, gym, hardware_store, burger_joint, dentist, pizzeria, clothing_store, noodle_house : 63792
Saved path: gelateria, music_store, gym, hardware_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store : 62271
Saved path: bank, music_store, pharmacy, bakery, barber_shop, toy_store, clothing_store, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, florist, gelateria : 57396
Saved path: burger_joint, tech_shop, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, dentist : 58290
Saved path: toy_store, burger_joint, bakery, party_store, bike_shop, music_store, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, salon : 53505
Saved path: tech_shop, grocery_store, toy_store, salon, hardware_store, bike_shop, music_store, bank, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist : 58710
Saved path: florist, gelateria, bank, music_store, pharmacy, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, hardware_store : 50990
Saved path: gelateria, music_store, florist, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop : 50644
Saved path: bookstore, hardware_store, gym, florist, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, cafe : 51066
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, florist, pharmacy : 52708
Saved path: toy_store, clothing_store, noodle_house, salon, barber_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop, dentist, burger_joint : 58547
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy : 57888
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, florist, gelateria, pharmacy : 54736
Saved path: gym, craft_shop, gelateria, music_store, pharmacy, bike_shop, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint : 54509
Saved path: bike_shop, jewelry_store, barber_shop, salon, toy_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, gelateria, music_store : 61951
Saved path: grocery_store, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store : 56471
Saved path: burger_joint, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, gym : 68125
Saved path: toy_store, barber_shop, bakery, party_store, bike_shop, music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, bookstore, burger_joint, hardware_store : 60891
Saved path: pharmacy, gelateria, music_store, florist, pet_store, craft_shop, bookstore, cafe, burger_joint, noodle_house, salon, hardware_store, party_store, bike_shop, bakery : 52070
Saved path: dentist, tech_shop, grocery_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, gym, hardware_store, burger_joint, bookstore : 69439
Saved path: bookstore, burger_joint, gym, hardware_store, jewelry_store, pharmacy, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, salon, toy_store : 56832
Saved path: cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, clothing_store : 55678
Saved path: gelateria, music_store, florist, pet_store, craft_shop, dentist, bookstore, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, jewelry_store, pharmacy : 61969
Saved path: grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, party_store, pharmacy, music_store, gelateria, florist, craft_shop, dentist, cafe, tech_shop : 48568
Saved path: toy_store, gym, burger_joint, bookstore, cafe, grocery_store, dentist, pizzeria, craft_shop, music_store, bank, pharmacy, bakery, bike_shop, barber_shop : 60989
Saved path: toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist, pizzeria, tech_shop, bookstore, gym : 69804
Saved path: bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, pet_store, florist, music_store, gelateria, pharmacy : 51805
Saved path: music_store, bank, gelateria, gym, hardware_store, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pharmacy : 62109
Saved path: bike_shop, jewelry_store, pharmacy, music_store, bank, pet_store, pizzeria, tech_shop, clothing_store, noodle_house, salon, toy_store, burger_joint, bookstore, gym : 69696
Saved path: salon, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, pet_store, florist, music_store, bike_shop, party_store, barber_shop : 62553
Saved path: music_store, gelateria, pet_store, gym, hardware_store, bakery, party_store, jewelry_store, barber_shop, toy_store, bookstore, cafe, tech_shop, pizzeria, florist : 64040
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, toy_store, hardware_store, craft_shop, pet_store, bank, music_store, bakery, party_store, jewelry_store : 65007
Saved path: pharmacy, bike_shop, hardware_store, gym, toy_store, noodle_house, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store : 57039
Saved path: burger_joint, gym, craft_shop, florist, bank, gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, cafe, bookstore : 60882
Saved path: pharmacy, bank, florist, pet_store, craft_shop, dentist, burger_joint, bookstore, clothing_store, noodle_house, salon, barber_shop, hardware_store, jewelry_store, bakery : 69618
Saved path: burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, party_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, gym : 61188
Saved path: noodle_house, salon, barber_shop, bakery, jewelry_store, hardware_store, burger_joint, bookstore, pet_store, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store : 60437
Saved path: clothing_store, grocery_store, dentist, pizzeria, craft_shop, gelateria, pharmacy, bakery, party_store, barber_shop, toy_store, hardware_store, burger_joint, bookstore, cafe : 54775
Saved path: bike_shop, jewelry_store, party_store, bakery, bank, music_store, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store : 69436
Saved path: noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, florist, pizzeria, tech_shop, cafe, burger_joint, hardware_store, toy_store, clothing_store : 58930
Saved path: salon, jewelry_store, bike_shop, pharmacy, music_store, florist, craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 50723
Saved path: burger_joint, gym, pet_store, gelateria, music_store, pharmacy, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, grocery_store, dentist, bookstore : 62303
