Saved path: bakery, jewelry_store, bike_shop, barber_shop, noodle_house, tech_shop, dentist, bookstore, gym, craft_shop, pet_store, florist, bank, music_store, pharmacy : 70495
Saved path: dentist, cafe, burger_joint, gym, craft_shop, florist, gelateria, bank, music_store, bakery, jewelry_store, barber_shop, noodle_house, tech_shop, pizzeria : 65805
Saved path: gym, florist, gelateria, bank, pet_store, craft_shop, dentist, bookstore, cafe, tech_shop, clothing_store, toy_store, bakery, party_store, jewelry_store : 63904
Saved path: clothing_store, salon, barber_shop, jewelry_store, party_store, hardware_store, gym, florist, music_store, bank, pet_store, craft_shop, dentist, bookstore, tech_shop : 70650
Saved path: salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, bank, gelateria, gym, hardware_store, bookstore, cafe, grocery_store, clothing_store, toy_store : 62146
Saved path: salon, jewelry_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist, grocery_store, noodle_house : 56564
Saved path: music_store, florist, pet_store, gym, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, hardware_store, party_store, bike_shop, bakery, gelateria, bank : 57589
Saved path: music_store, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, gym, cafe, tech_shop, dentist, florist : 68239
Saved path: party_store, jewelry_store, bike_shop, gym, burger_joint, salon, clothing_store, grocery_store, tech_shop, pizzeria, florist, gelateria, music_store, pharmacy, bakery : 59143
Saved path: tech_shop, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, hardware_store, florist, bank, pet_store, pizzeria, dentist, cafe, burger_joint : 72830
Saved path: bike_shop, bakery, music_store, gelateria, florist, pet_store, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, jewelry_store : 60073
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, gym, hardware_store, bookstore, cafe, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 65620
Saved path: tech_shop, burger_joint, dentist, florist, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, clothing_store, grocery_store : 62570
Saved path: pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, craft_shop, pet_store, florist, bank : 68905
Saved path: hardware_store, bookstore, cafe, grocery_store, clothing_store, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop : 63444
Saved path: florist, gelateria, music_store, jewelry_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, gym : 60095
Saved path: bank, gelateria, pharmacy, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, gym, craft_shop, florist : 55321
Saved path: party_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, music_store, bakery : 58243
Saved path: barber_shop, salon, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bike_shop, party_store, jewelry_store : 57950
Saved path: bank, music_store, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, bakery : 64134
Saved path: gym, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, hardware_store : 55110
Saved path: florist, gelateria, bank, music_store, pharmacy, bike_shop, hardware_store, salon, toy_store, clothing_store, tech_shop, cafe, bookstore, burger_joint, gym : 52605
Saved path: clothing_store, toy_store, gym, bakery, jewelry_store, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore : 57150
Saved path: pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, bike_shop, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, cafe, tech_shop : 53074
Saved path: toy_store, hardware_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, gelateria, pet_store, dentist, tech_shop, grocery_store, noodle_house : 63424
Saved path: barber_shop, jewelry_store, hardware_store, gym, music_store, bank, gelateria, pet_store, pizzeria, tech_shop, cafe, clothing_store, noodle_house, toy_store, salon : 71114
Saved path: pet_store, gym, bakery, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, music_store, bank : 66582
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, bookstore, florist, bank, pharmacy : 62918
Saved path: bookstore, burger_joint, toy_store, gym, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, florist, pet_store, pizzeria, tech_shop, grocery_store : 56808
Saved path: pharmacy, party_store, jewelry_store, bike_shop, hardware_store, burger_joint, cafe, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, gelateria : 62215
Saved path: barber_shop, clothing_store, grocery_store, pizzeria, dentist, cafe, bookstore, hardware_store, gym, pet_store, bank, gelateria, pharmacy, bakery, bike_shop : 62561
Saved path: noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, barber_shop, salon, toy_store : 57944
Saved path: grocery_store, tech_shop, pizzeria, florist, music_store, bank, gelateria, party_store, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe : 61562
Saved path: clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, gym, burger_joint, dentist, pizzeria, grocery_store : 68471
Saved path: florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, grocery_store, cafe, pizzeria, craft_shop, gym, pet_store : 70763
Saved path: noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, tech_shop, dentist, craft_shop, pet_store, music_store, bakery, jewelry_store, barber_shop, salon : 62716
Saved path: dentist, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, bakery, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist : 51248
Saved path: noodle_house, clothing_store, grocery_store, dentist, craft_shop, pet_store, gelateria, bank, music_store, bakery, bike_shop, party_store, hardware_store, toy_store, salon : 60467
Saved path: pharmacy, bank, pet_store, craft_shop, gym, hardware_store, burger_joint, dentist, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 68519
