Saved path: noodle_house, clothing_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop : 67185
Saved path: gelateria, bank, pet_store, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery : 64668
Saved path: florist, bookstore, burger_joint, cafe, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store : 58196
Saved path: music_store, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store, gym, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store : 60422
Saved path: tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, florist, pet_store, pizzeria, dentist : 58482
Saved path: hardware_store, jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, burger_joint, dentist, craft_shop, gelateria, bank : 67077
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, bookstore, burger_joint, hardware_store, gym, pizzeria, florist, bank, gelateria, bakery : 70337
Saved path: gym, hardware_store, party_store, bike_shop, music_store, bank, gelateria, florist, pet_store, craft_shop, dentist, bookstore, tech_shop, clothing_store, toy_store : 63067
Saved path: jewelry_store, party_store, pharmacy, music_store, bank, florist, gym, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, salon, hardware_store, bike_shop : 62199
Saved path: bookstore, cafe, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, music_store, bank, gelateria, pet_store, gym : 67123
Saved path: burger_joint, gym, craft_shop, pet_store, florist, gelateria, pharmacy, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore : 55781
Saved path: salon, noodle_house, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, music_store, bank, pharmacy, bakery, party_store, bike_shop, hardware_store : 61987
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, gym, florist, craft_shop, pizzeria, dentist, burger_joint, tech_shop : 57391
Saved path: gym, pet_store, gelateria, bank, music_store, bakery, party_store, bike_shop, barber_shop, salon, grocery_store, bookstore, dentist, pizzeria, craft_shop : 69031
Saved path: hardware_store, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist, pizzeria, craft_shop, pet_store, bank, music_store, florist : 70246
Saved path: toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, craft_shop, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, clothing_store : 71425
Saved path: burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, party_store, gelateria, florist, craft_shop, gym, hardware_store : 50360
Saved path: clothing_store, tech_shop, pizzeria, florist, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, burger_joint, toy_store, noodle_house : 66367
Saved path: dentist, pizzeria, pet_store, florist, music_store, barber_shop, jewelry_store, party_store, bakery, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store : 62820
Saved path: bike_shop, barber_shop, toy_store, noodle_house, grocery_store, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, florist, pharmacy, jewelry_store : 59011
Saved path: tech_shop, grocery_store, clothing_store, salon, hardware_store, gym, party_store, jewelry_store, bike_shop, music_store, bank, gelateria, pet_store, dentist, cafe : 68374
Saved path: pharmacy, bakery, bike_shop, gym, toy_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, pet_store, florist, music_store, bank : 59108
Saved path: florist, pet_store, craft_shop, hardware_store, burger_joint, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria : 55052
Saved path: bike_shop, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist : 52417
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pet_store, florist, gelateria, bank, music_store : 65872
Saved path: toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, bank, florist, pet_store, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint : 72009
Saved path: gelateria, music_store, florist, pet_store, craft_shop, bookstore, burger_joint, cafe, tech_shop, noodle_house, salon, barber_shop, bike_shop, party_store, jewelry_store : 58878
Saved path: bike_shop, jewelry_store, bakery, pharmacy, hardware_store, gym, craft_shop, pizzeria, dentist, bookstore, tech_shop, clothing_store, noodle_house, toy_store, barber_shop : 54464
Saved path: bike_shop, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, bookstore, burger_joint, gym, hardware_store, bakery, party_store, jewelry_store : 57198
Saved path: noodle_house, salon, barber_shop, bike_shop, pharmacy, music_store, gelateria, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, gym, hardware_store, toy_store : 56118
Saved path: dentist, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, grocery_store, tech_shop, burger_joint, bookstore : 67286
Saved path: pet_store, bank, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria, gym : 70943
Saved path: gym, hardware_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, dentist, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint : 55111
Saved path: noodle_house, grocery_store, tech_shop, dentist, cafe, bookstore, gym, pet_store, florist, gelateria, bank, pharmacy, bakery, barber_shop, toy_store : 59098
Saved path: gym, bookstore, cafe, dentist, clothing_store, toy_store, salon, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store : 66851
Saved path: bike_shop, jewelry_store, party_store, bakery, bank, gelateria, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop : 67341
Saved path: grocery_store, clothing_store, toy_store, salon, jewelry_store, bike_shop, bakery, bank, music_store, florist, pet_store, gym, burger_joint, bookstore, cafe : 63394
Saved path: cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist, gym, hardware_store : 60926
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, gelateria, bank, party_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe : 65306
Saved path: jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, gelateria : 63629
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, bakery, bike_shop, gym, burger_joint, toy_store, noodle_house, clothing_store, tech_shop : 56620
Saved path: bank, music_store, florist, craft_shop, pizzeria, grocery_store, noodle_house, toy_store, burger_joint, bookstore, gym, hardware_store, party_store, pharmacy, gelateria : 59466
Saved path: gym, craft_shop, pet_store, bank, gelateria, florist, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store : 65066
Saved path: barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, bookstore, cafe, tech_shop, clothing_store, noodle_house : 55253
Saved path: gelateria, bank, bakery, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint, gym, craft_shop, florist : 61678
Saved path: burger_joint, bookstore, cafe, tech_shop, clothing_store, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, jewelry_store, party_store, hardware_store : 51041
Saved path: bank, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store : 68215
Saved path: hardware_store, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, florist, gelateria, bank, pet_store, gym : 65933
Saved path: toy_store, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, music_store, bank, gelateria, pharmacy, bakery, barber_shop, salon : 55016
Saved path: bank, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store : 69719
Saved path: gelateria, florist, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, clothing_store, barber_shop, bakery, party_store, pharmacy, bank : 65136
