Saved path: burger_joint, bookstore, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, toy_store : 67469
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, hardware_store, gym, florist, gelateria, music_store : 56576
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, music_store, bank, pharmacy, party_store, jewelry_store : 63198
Saved path: bookstore, burger_joint, gym, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, pizzeria, dentist, tech_shop, clothing_store, noodle_house : 58997
Saved path: gelateria, pharmacy, bakery, jewelry_store, gym, bookstore, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, bank : 60178
Saved path: hardware_store, party_store, bike_shop, bakery, pharmacy, bank, florist, craft_shop, pizzeria, dentist, clothing_store, tech_shop, cafe, burger_joint, gym : 58781
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, craft_shop, gym, hardware_store, bookstore, grocery_store : 65062
Saved path: florist, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, gym : 55843
Saved path: bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, party_store, bakery, barber_shop, noodle_house, toy_store, burger_joint : 63082
Saved path: music_store, florist, craft_shop, dentist, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, jewelry_store, bike_shop, pharmacy, gelateria, bank : 62875
Saved path: dentist, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, pet_store : 68468
Saved path: jewelry_store, party_store, hardware_store, salon, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store : 69755
Saved path: bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, salon, hardware_store, gym, jewelry_store : 59037
Saved path: barber_shop, salon, clothing_store, burger_joint, bookstore, tech_shop, pizzeria, craft_shop, florist, music_store, bank, pharmacy, bakery, party_store, bike_shop : 63178
Saved path: cafe, bookstore, burger_joint, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, pet_store, craft_shop, pizzeria, grocery_store, clothing_store : 54899
Saved path: pizzeria, tech_shop, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop : 60045
Saved path: salon, barber_shop, jewelry_store, bike_shop, bakery, gelateria, craft_shop, gym, hardware_store, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house : 53234
Saved path: tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, party_store, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore : 60109
Saved path: gelateria, music_store, florist, pizzeria, cafe, bookstore, burger_joint, gym, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, bakery, pharmacy : 53032
Saved path: bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint, hardware_store, craft_shop, pet_store, florist, music_store, gelateria, pharmacy : 46601
Saved path: pet_store, craft_shop, dentist, tech_shop, noodle_house, burger_joint, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, florist, gelateria, bank : 65428
Saved path: hardware_store, gym, music_store, gelateria, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint : 61463
Saved path: gym, hardware_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint : 60913
Saved path: party_store, jewelry_store, salon, noodle_house, toy_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, bank, florist, gym, hardware_store, bike_shop : 72510
Saved path: pharmacy, bakery, party_store, jewelry_store, gym, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, bank, music_store : 59844
Saved path: cafe, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop : 56374
Saved path: toy_store, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank, barber_shop, jewelry_store, party_store, hardware_store, burger_joint : 71065
Saved path: pizzeria, tech_shop, grocery_store, cafe, bookstore, toy_store, salon, barber_shop, party_store, gym, florist, music_store, bank, gelateria, pet_store : 68463
Saved path: craft_shop, pet_store, bank, music_store, jewelry_store, bakery, gym, hardware_store, salon, noodle_house, grocery_store, bookstore, cafe, tech_shop, pizzeria : 67365
Saved path: pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, craft_shop, florist, music_store, bank : 58194
Saved path: pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, salon, burger_joint, gym, hardware_store, party_store, bike_shop, gelateria, florist : 58464
Saved path: clothing_store, toy_store, salon, barber_shop, party_store, bike_shop, music_store, bank, pet_store, gym, hardware_store, burger_joint, cafe, dentist, tech_shop : 66628
Saved path: salon, toy_store, grocery_store, tech_shop, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store : 60818
Saved path: salon, toy_store, noodle_house, grocery_store, cafe, tech_shop, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store, barber_shop : 62508
Saved path: hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, florist, pet_store, pizzeria, tech_shop, grocery_store, noodle_house, bookstore, cafe, burger_joint : 54328
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, music_store, craft_shop, gym, hardware_store, burger_joint, bookstore : 59446
