Saved path: cafe, burger_joint, salon, toy_store, gym, bakery, party_store, pharmacy, bank, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop : 64685
Saved path: cafe, bookstore, grocery_store, clothing_store, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, pet_store, dentist : 62058
Saved path: grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, jewelry_store, barber_shop, salon, toy_store, noodle_house : 65726
Saved path: noodle_house, toy_store, salon, barber_shop, pharmacy, music_store, bank, pet_store, craft_shop, gym, hardware_store, bookstore, dentist, pizzeria, tech_shop : 61570
Saved path: bookstore, cafe, dentist, pizzeria, craft_shop, music_store, bank, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, hardware_store, gym : 70110
Saved path: clothing_store, noodle_house, burger_joint, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, florist, pet_store, craft_shop, bookstore, cafe, grocery_store : 58861
Saved path: gym, hardware_store, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, craft_shop : 61285
Saved path: hardware_store, burger_joint, bookstore, cafe, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, florist, craft_shop : 50861
Saved path: music_store, pharmacy, bakery, bike_shop, barber_shop, salon, hardware_store, gym, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, florist : 51200
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bookstore, cafe, burger_joint, hardware_store, bakery, party_store, jewelry_store, barber_shop, noodle_house : 58227
Saved path: grocery_store, salon, hardware_store, bike_shop, bakery, music_store, bank, gelateria, florist, gym, burger_joint, bookstore, cafe, dentist, tech_shop : 57319
Saved path: hardware_store, gym, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bakery, bike_shop, jewelry_store, party_store : 55952
Saved path: florist, pet_store, craft_shop, gym, hardware_store, burger_joint, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank : 63972
Saved path: bank, music_store, florist, pizzeria, cafe, burger_joint, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy : 61954
Saved path: gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, hardware_store, gym, bookstore, cafe, dentist, florist, music_store, bank : 68026
Saved path: barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, florist, bank, gelateria, bike_shop, jewelry_store : 68231
Saved path: bike_shop, barber_shop, salon, hardware_store, gym, burger_joint, bookstore, tech_shop, dentist, pizzeria, gelateria, music_store, pharmacy, bakery, jewelry_store : 63533
Saved path: craft_shop, gym, burger_joint, cafe, grocery_store, clothing_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, pet_store : 63220
Saved path: bakery, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop, gym, florist, music_store, gelateria : 56210
Saved path: burger_joint, hardware_store, party_store, bike_shop, bakery, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, bookstore : 60657
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, cafe, gym, pet_store, florist, music_store, pharmacy : 52531
Saved path: craft_shop, gym, hardware_store, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, pharmacy, gelateria, music_store : 46303
Saved path: hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, pet_store, gelateria, music_store, bike_shop, jewelry_store, party_store : 57333
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, pharmacy, gelateria, bank, pet_store, craft_shop, hardware_store, burger_joint, bookstore : 63629
Saved path: hardware_store, bike_shop, party_store, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, noodle_house, salon, barber_shop : 57906
Saved path: pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank : 64449
Saved path: salon, barber_shop, jewelry_store, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, hardware_store, noodle_house : 66177
Saved path: tech_shop, grocery_store, cafe, burger_joint, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, florist, pet_store, craft_shop, pizzeria : 60417
Saved path: cafe, bookstore, burger_joint, hardware_store, gym, florist, music_store, gelateria, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, tech_shop : 53967
Saved path: gelateria, music_store, florist, pizzeria, dentist, bookstore, burger_joint, toy_store, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, pet_store : 66444
Saved path: salon, barber_shop, pharmacy, music_store, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, toy_store : 46747
Saved path: toy_store, gym, hardware_store, party_store, jewelry_store, bakery, pharmacy, florist, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, salon : 55402
Saved path: florist, gelateria, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, bookstore, cafe, pizzeria, gym, pet_store : 64807
Saved path: florist, gelateria, music_store, pharmacy, bakery, jewelry_store, bike_shop, gym, toy_store, noodle_house, clothing_store, bookstore, cafe, pizzeria, pet_store : 58976
Saved path: grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, florist, pet_store, gym, hardware_store, dentist, pizzeria, tech_shop : 63413
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, gym, pizzeria, cafe, bookstore, grocery_store, toy_store : 64599
Saved path: bank, gelateria, jewelry_store, bakery, barber_shop, salon, noodle_house, clothing_store, toy_store, gym, burger_joint, cafe, dentist, pizzeria, pet_store : 69405
Saved path: gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gym, hardware_store : 60143
Saved path: bike_shop, pharmacy, bank, florist, pet_store, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store : 63116
Saved path: party_store, jewelry_store, bike_shop, gym, toy_store, salon, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, florist, bank, gelateria : 66794
Saved path: bakery, gym, toy_store, salon, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bike_shop, party_store : 59053
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pet_store, florist, music_store, pharmacy, bakery, jewelry_store, hardware_store, burger_joint, toy_store : 52089
Saved path: barber_shop, salon, hardware_store, toy_store, clothing_store, tech_shop, bookstore, dentist, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery : 59082
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bakery, party_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, cafe : 63818
Saved path: party_store, jewelry_store, bakery, pharmacy, music_store, gelateria, florist, craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store : 49614
Saved path: salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, gym, craft_shop, pet_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, toy_store : 45183
