Saved path: tech_shop, grocery_store, noodle_house, barber_shop, bakery, party_store, jewelry_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint : 58386
Saved path: toy_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, florist, bank, gelateria, pharmacy, bakery, party_store, barber_shop : 56426
Saved path: barber_shop, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, gym, bank, gelateria, pharmacy, bakery, party_store, bike_shop : 63822
Saved path: burger_joint, toy_store, salon, hardware_store, bakery, party_store, jewelry_store, music_store, bank, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store : 67121
Saved path: bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, bank, music_store : 67345
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, burger_joint, cafe, dentist, pet_store, bank, gelateria, pharmacy, bakery : 61387
Saved path: salon, toy_store, clothing_store, dentist, cafe, hardware_store, gym, craft_shop, pet_store, florist, music_store, pharmacy, party_store, bike_shop, barber_shop : 59220
Saved path: pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, jewelry_store, party_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, cafe : 67956
Saved path: party_store, bakery, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, clothing_store, tech_shop, dentist, craft_shop, florist, music_store, bike_shop : 56648
Saved path: pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, bookstore, jewelry_store, bakery, pharmacy, bank, music_store, florist, pet_store, craft_shop : 63058
Saved path: bookstore, burger_joint, dentist, pizzeria, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store : 61986
Saved path: gym, craft_shop, florist, music_store, bakery, jewelry_store, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint : 57830
Saved path: tech_shop, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist : 54789
Saved path: grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, pet_store, bank, pharmacy, party_store, barber_shop, salon, noodle_house, clothing_store : 66842
Saved path: burger_joint, gym, craft_shop, pet_store, gelateria, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, cafe : 54455
Saved path: clothing_store, tech_shop, dentist, cafe, burger_joint, gym, pet_store, florist, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store : 68282
Saved path: toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, hardware_store, gym : 51590
Saved path: craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, clothing_store, toy_store, bakery, bike_shop, party_store, pharmacy, bank, florist, pet_store : 63267
Saved path: bookstore, cafe, pizzeria, florist, gelateria, pet_store, gym, bike_shop, party_store, bakery, barber_shop, salon, noodle_house, toy_store, burger_joint : 59864
Saved path: barber_shop, toy_store, hardware_store, burger_joint, cafe, tech_shop, dentist, pizzeria, craft_shop, florist, bank, gelateria, bakery, party_store, jewelry_store : 66695
Saved path: gelateria, bank, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, burger_joint, hardware_store, bakery, party_store, jewelry_store : 65991
Saved path: burger_joint, bookstore, cafe, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, music_store, bank, pet_store, gym, hardware_store : 68932
Saved path: burger_joint, bookstore, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, salon, toy_store, clothing_store, cafe : 58161
Saved path: bookstore, cafe, dentist, pizzeria, pet_store, bank, gelateria, jewelry_store, party_store, barber_shop, salon, clothing_store, toy_store, hardware_store, burger_joint : 71479
Saved path: bakery, bike_shop, party_store, hardware_store, salon, toy_store, burger_joint, bookstore, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, pharmacy : 56100
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, burger_joint, cafe, dentist, craft_shop, gym, hardware_store, pharmacy : 51087
Saved path: hardware_store, bike_shop, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, bookstore, cafe, pizzeria, pet_store, bank, music_store, florist : 69214
Saved path: salon, noodle_house, grocery_store, burger_joint, cafe, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store : 65885
Saved path: gym, burger_joint, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, craft_shop, music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store : 53691
