Saved path: cafe, burger_joint, bookstore, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop : 52398
Saved path: florist, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank : 59798
Saved path: florist, gelateria, pharmacy, bakery, party_store, bike_shop, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, pizzeria, pet_store : 54954
Saved path: clothing_store, tech_shop, bookstore, burger_joint, dentist, craft_shop, florist, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house : 51615
Saved path: music_store, gelateria, florist, gym, hardware_store, bookstore, cafe, dentist, clothing_store, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy : 58616
Saved path: cafe, grocery_store, tech_shop, pizzeria, pet_store, florist, music_store, gelateria, bakery, bike_shop, barber_shop, salon, hardware_store, burger_joint, bookstore : 55027
Saved path: burger_joint, hardware_store, gym, gelateria, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, pizzeria, bookstore : 67553
Saved path: music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, dentist, burger_joint, hardware_store, gym, craft_shop, gelateria : 52077
Saved path: salon, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, florist, music_store, pharmacy, bakery, bike_shop, hardware_store : 50601
Saved path: gelateria, music_store, florist, pet_store, craft_shop, bookstore, tech_shop, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 60781
Saved path: bank, music_store, florist, pet_store, craft_shop, dentist, cafe, clothing_store, noodle_house, salon, hardware_store, gym, bike_shop, party_store, pharmacy : 64418
Saved path: gelateria, pharmacy, bakery, party_store, jewelry_store, gym, burger_joint, cafe, noodle_house, grocery_store, tech_shop, pizzeria, florist, music_store, bank : 60481
Saved path: florist, pet_store, hardware_store, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, music_store, gelateria : 58550
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, gym, pet_store, florist, music_store, bank, gelateria, bike_shop, party_store, bakery : 60244
Saved path: dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, music_store, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, pizzeria : 65353
Saved path: bank, pet_store, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, barber_shop, bakery, party_store, jewelry_store, bike_shop, gym, florist, gelateria : 70904
Saved path: bank, music_store, gym, hardware_store, bookstore, cafe, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery : 66236
Saved path: pizzeria, cafe, bookstore, noodle_house, salon, toy_store, hardware_store, bike_shop, bakery, gym, florist, gelateria, bank, pet_store, craft_shop : 61614
Saved path: burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, florist, bank, gelateria, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store : 70007
Saved path: bakery, hardware_store, gym, burger_joint, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, jewelry_store : 55495
Saved path: jewelry_store, bike_shop, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, bookstore, burger_joint, hardware_store : 47994
Saved path: burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store, gym, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist : 50632
Saved path: florist, pizzeria, cafe, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store : 64816
Saved path: pet_store, gelateria, music_store, party_store, jewelry_store, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym : 64962
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, party_store, jewelry_store, music_store, bank : 70068
Saved path: music_store, florist, pet_store, gym, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, bank : 66439
Saved path: pizzeria, cafe, grocery_store, noodle_house, burger_joint, hardware_store, party_store, jewelry_store, barber_shop, pharmacy, music_store, bank, florist, pet_store, craft_shop : 70870
Saved path: craft_shop, music_store, bank, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, gym, cafe, tech_shop, pizzeria : 66768
Saved path: gelateria, florist, pet_store, craft_shop, gym, hardware_store, toy_store, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery : 55703
Saved path: jewelry_store, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, gym, hardware_store, salon, barber_shop : 71228
Saved path: burger_joint, bookstore, cafe, grocery_store, dentist, florist, music_store, bank, gelateria, pharmacy, jewelry_store, barber_shop, noodle_house, toy_store, hardware_store : 65271
Saved path: salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, pet_store, pizzeria, dentist, tech_shop, bookstore, burger_joint, hardware_store, toy_store, noodle_house : 63540
Saved path: dentist, burger_joint, cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, gym, pet_store, bank, music_store, florist, craft_shop : 59907
Saved path: toy_store, noodle_house, clothing_store, tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, jewelry_store, bakery : 62788
Saved path: music_store, gelateria, florist, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, jewelry_store : 55551
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, music_store, pharmacy, barber_shop, toy_store : 57063
Saved path: jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pizzeria, cafe, clothing_store, noodle_house, burger_joint, gym, hardware_store : 61543
Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store : 54883
Saved path: cafe, bookstore, burger_joint, gym, craft_shop, pet_store, bank, music_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist : 67153
Saved path: bookstore, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop : 52794
Saved path: jewelry_store, bike_shop, music_store, gelateria, florist, pet_store, craft_shop, gym, burger_joint, dentist, tech_shop, noodle_house, barber_shop, bakery, party_store : 63223
Saved path: music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, toy_store, burger_joint, dentist, pet_store, florist : 66526
Saved path: florist, gelateria, bank, music_store, jewelry_store, bike_shop, gym, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria : 64566
