Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, bank, craft_shop, gym, hardware_store, bookstore, cafe, tech_shop : 55956
Saved path: hardware_store, gym, craft_shop, pet_store, bank, gelateria, jewelry_store, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, dentist, burger_joint : 69888
Saved path: cafe, bookstore, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, party_store, bakery, barber_shop, salon, noodle_house, toy_store, burger_joint : 59621
Saved path: noodle_house, salon, barber_shop, jewelry_store, bakery, gym, pet_store, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, clothing_store : 63401
Saved path: dentist, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, music_store, gelateria, craft_shop, gym, burger_joint, bookstore, cafe : 49493
Saved path: bank, florist, pet_store, pizzeria, dentist, grocery_store, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria : 72346
Saved path: bank, gelateria, pharmacy, bike_shop, party_store, jewelry_store, salon, noodle_house, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, music_store : 67084
Saved path: salon, toy_store, burger_joint, cafe, tech_shop, dentist, craft_shop, pet_store, florist, pharmacy, bakery, jewelry_store, party_store, gym, hardware_store : 57340
Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, clothing_store, noodle_house, barber_shop, bakery, party_store, bike_shop, hardware_store, music_store, bank, pet_store : 68214
Saved path: party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, pet_store, gelateria, music_store, pharmacy : 63740
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist, cafe, hardware_store, gym, gelateria, bank, bakery : 68079
Saved path: tech_shop, grocery_store, burger_joint, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, bank, music_store, florist, craft_shop, dentist : 59816
Saved path: bookstore, cafe, tech_shop, pizzeria, florist, gym, hardware_store, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store : 57084
Saved path: gelateria, pharmacy, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, bank : 52777
Saved path: noodle_house, salon, barber_shop, bakery, party_store, jewelry_store, hardware_store, gym, craft_shop, florist, bank, pet_store, bookstore, burger_joint, clothing_store : 65750
Saved path: bakery, pharmacy, gelateria, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, toy_store, barber_shop, bike_shop : 49494
Saved path: jewelry_store, party_store, bakery, music_store, bank, gelateria, pet_store, gym, hardware_store, bookstore, grocery_store, clothing_store, salon, barber_shop, bike_shop : 65930
Saved path: noodle_house, hardware_store, gym, bookstore, dentist, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop : 60186
Saved path: hardware_store, gym, pet_store, gelateria, music_store, craft_shop, pizzeria, dentist, cafe, clothing_store, noodle_house, salon, barber_shop, bakery, jewelry_store : 62128
Saved path: craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, gelateria : 58819
Saved path: jewelry_store, party_store, bakery, gelateria, bank, music_store, florist, craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store, barber_shop, bike_shop : 60851
Saved path: barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, party_store, bakery : 60197
Saved path: bike_shop, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store : 48905
Saved path: gym, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, hardware_store : 51009
Saved path: cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, music_store, florist, pet_store, gym, burger_joint, bookstore : 59060
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, hardware_store, salon, grocery_store, tech_shop, dentist, burger_joint, gym, pet_store, gelateria : 61401
Saved path: party_store, bike_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy : 61091
Saved path: bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore, hardware_store, barber_shop : 63277
Saved path: bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, gelateria, florist, craft_shop, dentist : 47618
Saved path: salon, barber_shop, bike_shop, pharmacy, bank, florist, pet_store, gym, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint : 64389
Saved path: tech_shop, cafe, dentist, pizzeria, gym, florist, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store : 67532
Saved path: florist, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, dentist, craft_shop, pet_store : 58814
Saved path: hardware_store, pet_store, bank, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, cafe, burger_joint : 64002
Saved path: noodle_house, barber_shop, bakery, party_store, gelateria, music_store, florist, craft_shop, gym, hardware_store, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store : 55986
Saved path: bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, cafe, burger_joint, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy : 63155
Saved path: gym, florist, bank, pet_store, craft_shop, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bike_shop : 66069
Saved path: cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, bank, pet_store, pizzeria, dentist : 72824
Saved path: pharmacy, bank, gelateria, craft_shop, pizzeria, gym, hardware_store, bookstore, cafe, grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store : 69884
Saved path: pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, gym, burger_joint, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery : 66932
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, pet_store, bank, music_store, jewelry_store, bike_shop, barber_shop : 71930
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, florist, music_store, bike_shop, barber_shop, salon : 49959
Saved path: cafe, hardware_store, gym, pet_store, bank, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, tech_shop, dentist : 70416
Saved path: dentist, pizzeria, florist, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store, gym, bookstore, noodle_house, clothing_store, tech_shop, cafe : 64595
Saved path: grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bike_shop, barber_shop, salon, clothing_store : 62724
Saved path: party_store, jewelry_store, music_store, gelateria, florist, craft_shop, dentist, cafe, bookstore, tech_shop, grocery_store, toy_store, gym, hardware_store, bakery : 53740
