Saved path: tech_shop, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, clothing_store, cafe : 63327
Saved path: party_store, bakery, pharmacy, music_store, gelateria, florist, pet_store, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, salon, hardware_store : 55261
Saved path: bike_shop, pharmacy, gelateria, bank, music_store, florist, pet_store, gym, hardware_store, bookstore, tech_shop, grocery_store, noodle_house, barber_shop, jewelry_store : 66008
Saved path: pet_store, gelateria, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, grocery_store, dentist, cafe, bookstore, gym, craft_shop : 62156
Saved path: bank, gelateria, florist, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store : 71752
Saved path: salon, noodle_house, toy_store, hardware_store, bookstore, tech_shop, dentist, pizzeria, florist, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop : 70469
Saved path: pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank, florist, craft_shop : 64078
Saved path: jewelry_store, bike_shop, bakery, bank, music_store, florist, craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store : 59658
Saved path: bookstore, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, tech_shop, clothing_store, cafe : 57900
Saved path: hardware_store, burger_joint, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, florist, music_store, bank, pharmacy, jewelry_store, barber_shop, salon : 70051
Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store, gym, jewelry_store, pharmacy, bank, gelateria, florist : 64677
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, burger_joint, salon, hardware_store, jewelry_store, party_store, bakery, pharmacy : 59277
Saved path: dentist, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank, gym, burger_joint, cafe : 66042
Saved path: bookstore, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bakery, jewelry_store, hardware_store, pharmacy, gelateria, bank, music_store, florist, dentist : 64660
Saved path: gym, burger_joint, cafe, tech_shop, grocery_store, toy_store, salon, jewelry_store, party_store, bike_shop, pharmacy, music_store, bank, florist, pet_store : 64640
Saved path: gelateria, music_store, florist, pet_store, dentist, cafe, tech_shop, clothing_store, toy_store, burger_joint, hardware_store, bakery, bike_shop, jewelry_store, barber_shop : 63059
Saved path: bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, music_store, bank, florist, gym, burger_joint : 66767
Saved path: hardware_store, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, pharmacy, bank, gelateria, gym : 67862
Saved path: dentist, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, toy_store, grocery_store : 65785
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, jewelry_store, bakery, pharmacy, pet_store, craft_shop, dentist, cafe, tech_shop : 56369
Saved path: pet_store, gym, hardware_store, burger_joint, cafe, pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, music_store, bank : 71369
Saved path: clothing_store, toy_store, barber_shop, party_store, pharmacy, bank, music_store, craft_shop, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop : 66744
Saved path: gym, burger_joint, bookstore, grocery_store, clothing_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store : 60512
