Saved path: dentist, cafe, gym, hardware_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria : 65156
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, bakery, party_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, bookstore : 68477
Saved path: bank, florist, gym, bakery, party_store, bike_shop, barber_shop, salon, toy_store, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store : 68982
Saved path: clothing_store, toy_store, barber_shop, party_store, bike_shop, gelateria, bank, music_store, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria, grocery_store : 67223
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, hardware_store, toy_store, noodle_house : 43024
Saved path: barber_shop, bike_shop, bakery, pharmacy, gelateria, craft_shop, gym, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, toy_store, salon : 50104
Saved path: dentist, cafe, bookstore, burger_joint, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, barber_shop, salon, toy_store, grocery_store, tech_shop : 51955
Saved path: pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, gym, hardware_store, salon, barber_shop, jewelry_store, party_store, bakery : 62966
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store : 61120
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, pharmacy, party_store, hardware_store, gym, burger_joint, bookstore, cafe, tech_shop : 60691
Saved path: gelateria, bank, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym : 69136
Saved path: florist, music_store, gelateria, pharmacy, bakery, bike_shop, barber_shop, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, cafe, pizzeria, craft_shop : 50533
Saved path: bike_shop, gelateria, pet_store, pizzeria, tech_shop, grocery_store, cafe, bookstore, hardware_store, toy_store, noodle_house, barber_shop, bakery, party_store, jewelry_store : 62777
Saved path: dentist, pizzeria, craft_shop, florist, music_store, gelateria, pet_store, bookstore, burger_joint, hardware_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop : 52568
Saved path: grocery_store, tech_shop, pizzeria, cafe, bookstore, hardware_store, gym, florist, music_store, bank, gelateria, bakery, barber_shop, toy_store, noodle_house : 58632
Saved path: bank, music_store, florist, bookstore, burger_joint, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, gelateria : 52868
Saved path: grocery_store, clothing_store, noodle_house, hardware_store, party_store, bike_shop, bakery, pharmacy, music_store, gelateria, florist, craft_shop, gym, bookstore, tech_shop : 47647
Saved path: gym, hardware_store, burger_joint, bookstore, tech_shop, clothing_store, toy_store, salon, barber_shop, bakery, party_store, music_store, gelateria, pet_store, craft_shop : 54728
Saved path: jewelry_store, party_store, bakery, barber_shop, salon, toy_store, clothing_store, tech_shop, bookstore, dentist, pet_store, florist, music_store, bank, gelateria : 68467
Saved path: party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 60660
Saved path: jewelry_store, bakery, gym, florist, gelateria, bank, pet_store, dentist, tech_shop, bookstore, burger_joint, noodle_house, salon, barber_shop, bike_shop : 70819
Saved path: dentist, pizzeria, pet_store, florist, bank, music_store, pharmacy, bakery, bike_shop, hardware_store, gym, noodle_house, clothing_store, bookstore, cafe : 59545
Saved path: pet_store, florist, craft_shop, dentist, cafe, burger_joint, bookstore, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, gym : 57415
Saved path: salon, toy_store, noodle_house, grocery_store, cafe, dentist, gym, florist, music_store, bank, pharmacy, bakery, party_store, bike_shop, barber_shop : 63104
Saved path: barber_shop, salon, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, gym, gelateria, music_store, pharmacy, bakery, bike_shop, jewelry_store : 55480
Saved path: grocery_store, noodle_house, barber_shop, jewelry_store, party_store, hardware_store, pharmacy, gelateria, music_store, florist, pet_store, pizzeria, dentist, cafe, bookstore : 64770
Saved path: florist, pet_store, bookstore, cafe, tech_shop, clothing_store, toy_store, hardware_store, salon, barber_shop, bakery, party_store, pharmacy, music_store, bank : 63069
Saved path: dentist, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, salon, toy_store, burger_joint, bookstore, cafe : 63135
Saved path: tech_shop, pizzeria, florist, music_store, bank, pet_store, gym, hardware_store, bakery, bike_shop, jewelry_store, salon, clothing_store, grocery_store, cafe : 68238
Saved path: salon, noodle_house, toy_store, burger_joint, cafe, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, bike_shop, barber_shop : 52607
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, pet_store, gym, burger_joint, bookstore, dentist, tech_shop, clothing_store, noodle_house, toy_store, bike_shop : 65173
Saved path: pharmacy, gelateria, music_store, florist, pet_store, craft_shop, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store : 50127
Saved path: hardware_store, burger_joint, toy_store, clothing_store, grocery_store, dentist, pizzeria, craft_shop, florist, music_store, bank, bakery, jewelry_store, barber_shop, salon : 66967
Saved path: bookstore, cafe, pizzeria, gym, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store : 70417
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, gelateria, bank, bakery : 59536
Saved path: noodle_house, grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, pharmacy, bakery, bike_shop, hardware_store, barber_shop, salon : 49332
Saved path: dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery, jewelry_store, bike_shop, gym, toy_store, clothing_store, grocery_store, tech_shop, bookstore : 58462
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, gym, hardware_store, burger_joint, grocery_store, tech_shop, pizzeria, craft_shop, music_store, bakery : 61960
Saved path: clothing_store, noodle_house, bookstore, cafe, burger_joint, gym, hardware_store, bike_shop, party_store, pharmacy, bank, gelateria, florist, pizzeria, grocery_store : 59946
Saved path: toy_store, salon, noodle_house, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, music_store, pharmacy, jewelry_store, bike_shop, hardware_store, gym : 62176
Saved path: bakery, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, gym, craft_shop, gelateria, bank, music_store : 58897
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, bookstore, burger_joint, tech_shop, clothing_store, salon, barber_shop, bike_shop : 61508
Saved path: florist, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop : 56977
Saved path: craft_shop, pet_store, florist, bank, music_store, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, burger_joint, bookstore, cafe, pizzeria : 69221
Saved path: bike_shop, gym, florist, bank, pet_store, craft_shop, pizzeria, grocery_store, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, hardware_store : 63662
Saved path: salon, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, dentist, bookstore, grocery_store, noodle_house : 55886
Saved path: music_store, gelateria, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery : 58246
Saved path: bookstore, cafe, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, jewelry_store, salon, toy_store, burger_joint : 56447
Saved path: party_store, jewelry_store, gelateria, music_store, florist, pet_store, gym, hardware_store, burger_joint, cafe, dentist, tech_shop, grocery_store, barber_shop, bakery : 62347
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, music_store, gelateria, bakery : 47106
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store, bookstore, grocery_store, tech_shop, gym, craft_shop, pet_store, florist, gelateria, bank : 60392
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, craft_shop, pizzeria, tech_shop, bookstore, gym, hardware_store, toy_store, noodle_house : 71480
Saved path: bookstore, tech_shop, noodle_house, salon, toy_store, gym, hardware_store, jewelry_store, bakery, pharmacy, music_store, pet_store, pizzeria, dentist, cafe : 62962
Saved path: party_store, jewelry_store, bike_shop, music_store, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, noodle_house, salon, hardware_store, bakery : 62205
Saved path: bank, music_store, jewelry_store, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, florist, gelateria : 62775
Saved path: grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 63282
Saved path: bank, music_store, florist, pizzeria, tech_shop, bookstore, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, pharmacy : 65314
Saved path: tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, craft_shop, bank, party_store, jewelry_store, barber_shop, salon, clothing_store, grocery_store : 71153
Saved path: pizzeria, dentist, tech_shop, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store, gym : 72485
Saved path: pharmacy, gelateria, music_store, florist, gym, hardware_store, bookstore, dentist, pizzeria, tech_shop, noodle_house, salon, barber_shop, jewelry_store, party_store : 63458
Saved path: barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, florist, pet_store, gym, hardware_store, burger_joint, pizzeria, tech_shop, clothing_store, salon : 63091
