Saved path: florist, bank, pharmacy, party_store, jewelry_store, barber_shop, hardware_store, burger_joint, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store : 71556
Saved path: barber_shop, salon, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop : 61600
Saved path: florist, gelateria, pet_store, craft_shop, pizzeria, dentist, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym : 61303
Saved path: grocery_store, tech_shop, dentist, craft_shop, florist, bank, pharmacy, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, noodle_house, clothing_store : 66836
Saved path: bank, music_store, florist, craft_shop, pizzeria, gym, hardware_store, bookstore, cafe, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy : 69686
Saved path: grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, florist, gelateria, music_store, bakery, jewelry_store, salon, noodle_house : 60370
Saved path: gelateria, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, clothing_store, bookstore, burger_joint, pizzeria, craft_shop : 57330
Saved path: florist, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store : 53292
Saved path: music_store, florist, craft_shop, pizzeria, cafe, burger_joint, hardware_store, gym, toy_store, noodle_house, salon, barber_shop, bakery, gelateria, bank : 57068
Saved path: pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, cafe, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, bakery : 59793
Saved path: pet_store, gym, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, clothing_store, bookstore, tech_shop, pizzeria, florist, music_store, gelateria : 65345
Saved path: salon, toy_store, cafe, tech_shop, pizzeria, florist, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, hardware_store : 67155
Saved path: party_store, bike_shop, music_store, bank, florist, pet_store, craft_shop, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bakery : 59582
Saved path: noodle_house, toy_store, gym, bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, cafe, clothing_store : 59968
Saved path: jewelry_store, bike_shop, music_store, pet_store, craft_shop, dentist, tech_shop, grocery_store, cafe, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, bakery : 61707
Saved path: salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, pet_store, bookstore, burger_joint, hardware_store, barber_shop : 53102
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, tech_shop, clothing_store, salon, jewelry_store, bike_shop, pharmacy, gelateria, bank, music_store : 68544
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 62258
Saved path: craft_shop, pizzeria, clothing_store, cafe, bookstore, burger_joint, bakery, party_store, jewelry_store, hardware_store, gym, florist, music_store, bank, pet_store : 64630
Saved path: hardware_store, salon, noodle_house, clothing_store, burger_joint, cafe, pizzeria, florist, gelateria, bank, music_store, pharmacy, jewelry_store, party_store, gym : 66088
Saved path: dentist, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, pet_store, gym, craft_shop : 62016
Saved path: bike_shop, jewelry_store, bakery, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, toy_store, gym, gelateria, bank, music_store : 62339
Saved path: dentist, pizzeria, tech_shop, noodle_house, barber_shop, bike_shop, jewelry_store, gelateria, music_store, florist, pet_store, gym, hardware_store, burger_joint, cafe : 65629
Saved path: salon, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, gym, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 60658
Saved path: noodle_house, tech_shop, dentist, cafe, burger_joint, gym, craft_shop, pet_store, bank, music_store, pharmacy, party_store, bakery, barber_shop, toy_store : 63401
Saved path: gym, bank, music_store, pharmacy, bakery, party_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, hardware_store : 62575
Saved path: party_store, gym, hardware_store, salon, toy_store, burger_joint, tech_shop, dentist, pizzeria, pet_store, florist, bank, pharmacy, bakery, jewelry_store : 71973
Saved path: cafe, pizzeria, craft_shop, florist, gelateria, bank, gym, hardware_store, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store : 65244
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, bookstore, cafe, burger_joint, hardware_store, bike_shop, barber_shop, music_store, bank, gelateria, pet_store, pizzeria : 62353
Saved path: barber_shop, salon, hardware_store, toy_store, clothing_store, bookstore, cafe, dentist, pizzeria, pet_store, florist, gelateria, bank, music_store, bakery : 62060
Saved path: florist, music_store, bank, gelateria, bike_shop, party_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, gym, craft_shop, pet_store : 61320
Saved path: craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, toy_store, salon, noodle_house, clothing_store, burger_joint, bookstore, dentist, pizzeria : 54161
Saved path: craft_shop, gym, hardware_store, burger_joint, cafe, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store : 62383
Saved path: jewelry_store, party_store, gym, florist, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, noodle_house, toy_store, salon : 69365
Saved path: barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, noodle_house, salon : 64138
Saved path: gelateria, pharmacy, bakery, jewelry_store, barber_shop, hardware_store, bookstore, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, bank : 70550
Saved path: tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, music_store, pharmacy, bakery, barber_shop, toy_store, grocery_store : 52671
Saved path: hardware_store, gym, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, dentist, cafe, bookstore : 68129
Saved path: bank, gelateria, florist, gym, jewelry_store, barber_shop, salon, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store : 70711
Saved path: party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint, dentist, pet_store, bank, gelateria, pharmacy, bakery : 61709
Saved path: tech_shop, grocery_store, noodle_house, toy_store, bakery, party_store, bike_shop, gelateria, bank, florist, pet_store, craft_shop, gym, burger_joint, bookstore : 58429
Saved path: jewelry_store, party_store, bakery, hardware_store, burger_joint, cafe, grocery_store, clothing_store, dentist, pet_store, florist, music_store, bank, barber_shop, bike_shop : 69259
Saved path: burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, bank, pharmacy, bakery, hardware_store, salon, noodle_house, toy_store : 53060
Saved path: pharmacy, gelateria, pet_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, toy_store, noodle_house, salon, barber_shop, jewelry_store, bakery : 62452
Saved path: noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, bakery, gelateria, bank, pet_store, gym, craft_shop, pizzeria, cafe, clothing_store : 69029
Saved path: toy_store, clothing_store, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, salon : 68697
Saved path: bakery, party_store, bike_shop, bookstore, burger_joint, toy_store, salon, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, pharmacy : 52419
Saved path: grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria : 52933
Saved path: grocery_store, noodle_house, toy_store, barber_shop, bakery, party_store, music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, burger_joint, tech_shop : 66342
Saved path: cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, gym, hardware_store : 61584
Saved path: bakery, bike_shop, jewelry_store, hardware_store, gym, bookstore, cafe, tech_shop, clothing_store, dentist, pizzeria, pet_store, bank, music_store, pharmacy : 64983
Saved path: bank, gelateria, florist, pizzeria, cafe, bookstore, grocery_store, noodle_house, toy_store, barber_shop, bakery, jewelry_store, hardware_store, gym, pet_store : 69962
Saved path: barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house : 68048
Saved path: grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 62939
Saved path: bike_shop, bakery, pharmacy, music_store, pet_store, craft_shop, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store : 58280
