Saved path: burger_joint, bookstore, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, party_store, pharmacy, bank, florist, craft_shop, pizzeria, dentist : 62525
Saved path: tech_shop, bookstore, dentist, pizzeria, pet_store, florist, gelateria, bank, pharmacy, party_store, toy_store, salon, noodle_house, clothing_store, grocery_store : 65730
Saved path: dentist, cafe, bookstore, grocery_store, toy_store, barber_shop, bike_shop, bakery, hardware_store, gym, florist, music_store, bank, gelateria, pet_store : 61725
Saved path: salon, noodle_house, toy_store, burger_joint, bookstore, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, bakery, jewelry_store : 61377
Saved path: gym, pizzeria, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, hardware_store : 69479
Saved path: clothing_store, salon, cafe, bookstore, burger_joint, gym, bakery, party_store, bike_shop, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop : 60223
Saved path: party_store, bakery, pharmacy, bank, florist, craft_shop, gym, burger_joint, dentist, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store : 65873
Saved path: burger_joint, toy_store, salon, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store : 62559
Saved path: noodle_house, clothing_store, grocery_store, bookstore, dentist, pizzeria, gym, florist, gelateria, bank, music_store, bakery, bike_shop, barber_shop, toy_store : 61010
Saved path: clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, music_store, bank, pharmacy, bakery, party_store, bike_shop, barber_shop : 67292
Saved path: tech_shop, dentist, hardware_store, gym, pet_store, florist, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, grocery_store : 71410
Saved path: music_store, bank, gelateria, pet_store, craft_shop, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store, barber_shop, jewelry_store, pharmacy : 68470
Saved path: pet_store, craft_shop, pizzeria, grocery_store, cafe, gym, hardware_store, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria : 66448
Saved path: craft_shop, pet_store, florist, gelateria, bank, music_store, bike_shop, party_store, hardware_store, gym, bookstore, cafe, grocery_store, clothing_store, pizzeria : 62422
Saved path: pet_store, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store, music_store, bank : 69666
Saved path: music_store, pharmacy, party_store, jewelry_store, hardware_store, salon, toy_store, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop : 57712
Saved path: cafe, burger_joint, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, pet_store, pizzeria, dentist : 51987
Saved path: hardware_store, salon, barber_shop, party_store, pharmacy, bank, music_store, florist, craft_shop, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store : 60233
Saved path: bookstore, cafe, dentist, pizzeria, tech_shop, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, gym, burger_joint : 68815
Saved path: dentist, pizzeria, florist, music_store, pharmacy, jewelry_store, bike_shop, hardware_store, gym, toy_store, noodle_house, grocery_store, bookstore, burger_joint, cafe : 55948
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, hardware_store, cafe, tech_shop, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 67194
Saved path: dentist, pizzeria, bank, pharmacy, bakery, jewelry_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore : 65115
Saved path: bookstore, burger_joint, gym, craft_shop, pet_store, bank, pharmacy, party_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, dentist : 67466
Saved path: toy_store, gym, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, craft_shop, dentist, cafe, tech_shop, grocery_store, salon : 65764
Saved path: party_store, bakery, pharmacy, gelateria, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, noodle_house, salon, barber_shop, hardware_store : 58164
Saved path: bakery, jewelry_store, bike_shop, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, gelateria, music_store, pharmacy : 55583
Saved path: craft_shop, pizzeria, dentist, grocery_store, noodle_house, toy_store, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist : 59768
Saved path: tech_shop, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, pharmacy, bank, gelateria, florist, pet_store, craft_shop, pizzeria : 57223
Saved path: bookstore, cafe, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, party_store, bike_shop, salon, noodle_house, toy_store, burger_joint : 58194
Saved path: florist, music_store, pharmacy, bakery, jewelry_store, bike_shop, gym, toy_store, noodle_house, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop : 54044
Saved path: barber_shop, noodle_house, grocery_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, party_store, jewelry_store : 69295
Saved path: salon, hardware_store, gym, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, pet_store, pizzeria, grocery_store, cafe, burger_joint, toy_store : 63440
Saved path: burger_joint, hardware_store, salon, barber_shop, jewelry_store, party_store, bakery, music_store, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 63088
Saved path: hardware_store, party_store, jewelry_store, bike_shop, music_store, pet_store, pizzeria, tech_shop, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon : 61897
Saved path: salon, barber_shop, jewelry_store, hardware_store, gym, florist, music_store, gelateria, pet_store, dentist, cafe, burger_joint, toy_store, clothing_store, noodle_house : 62306
Saved path: pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, craft_shop, pet_store, florist, music_store, bank : 65422
Saved path: hardware_store, salon, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, party_store, bike_shop, gym : 58803
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, bank, florist, pet_store : 65887
Saved path: salon, noodle_house, clothing_store, tech_shop, pizzeria, cafe, hardware_store, gym, craft_shop, pet_store, florist, music_store, pharmacy, bakery, barber_shop : 52029
Saved path: craft_shop, pet_store, bank, pharmacy, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, clothing_store, bookstore, cafe, tech_shop, pizzeria : 70337
Saved path: bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, hardware_store, gym, pet_store, bank, music_store, pharmacy : 61260
Saved path: bakery, jewelry_store, bike_shop, gym, hardware_store, salon, noodle_house, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, florist, pharmacy : 59887
Saved path: salon, toy_store, clothing_store, grocery_store, bookstore, dentist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store : 64151
Saved path: grocery_store, tech_shop, cafe, burger_joint, hardware_store, craft_shop, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store : 50299
Saved path: bookstore, burger_joint, hardware_store, gym, pet_store, gelateria, music_store, jewelry_store, party_store, barber_shop, salon, toy_store, grocery_store, pizzeria, dentist : 67117
Saved path: tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, bakery, bike_shop, party_store, hardware_store, salon, clothing_store, grocery_store, cafe : 56057
Saved path: bakery, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store : 64731
Saved path: salon, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store : 66168
Saved path: gelateria, bank, pet_store, gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, toy_store, salon, barber_shop, bike_shop, party_store : 66144
Saved path: cafe, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, florist, craft_shop, hardware_store, burger_joint : 59778
Saved path: bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, toy_store, barber_shop, jewelry_store, bakery, gym, pet_store, gelateria : 69636
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, music_store, gym, hardware_store, party_store, bike_shop, barber_shop, salon, noodle_house : 63155
Saved path: cafe, dentist, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, party_store, bike_shop, gym, burger_joint, bookstore, noodle_house, grocery_store : 52881
Saved path: party_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, clothing_store, bookstore, burger_joint, hardware_store, salon, barber_shop, jewelry_store : 62592
Saved path: florist, pizzeria, dentist, cafe, tech_shop, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank : 65930
Saved path: craft_shop, pet_store, bank, gelateria, pharmacy, party_store, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym : 66598
Saved path: hardware_store, burger_joint, tech_shop, grocery_store, salon, barber_shop, bakery, party_store, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop : 66017
Saved path: grocery_store, clothing_store, noodle_house, salon, bakery, party_store, bike_shop, gelateria, music_store, gym, burger_joint, bookstore, cafe, dentist, tech_shop : 55460
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, dentist, florist, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house : 63954
Saved path: bakery, party_store, bike_shop, barber_shop, salon, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria : 60051
Saved path: pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store : 65189
Saved path: pet_store, florist, music_store, bank, gelateria, jewelry_store, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, cafe, pizzeria, craft_shop : 69313
