Saved path: bank, gelateria, party_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store : 63470
Saved path: jewelry_store, party_store, hardware_store, barber_shop, noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria, pet_store, gelateria, music_store, bike_shop : 66210
Saved path: tech_shop, dentist, cafe, bookstore, gym, craft_shop, music_store, gelateria, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 60081
Saved path: barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, bank, pharmacy, jewelry_store : 67813
Saved path: craft_shop, pizzeria, tech_shop, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, pharmacy, music_store, bank, gelateria, pet_store : 69747
Saved path: grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, pet_store, pizzeria, gym, hardware_store, bookstore, cafe : 73136
Saved path: pizzeria, craft_shop, pet_store, bank, florist, hardware_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist : 72338
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, pet_store, florist, bank, bike_shop, jewelry_store, hardware_store : 65342
Saved path: party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, dentist, pizzeria, pet_store, florist, bank, pharmacy : 71336
Saved path: pizzeria, dentist, cafe, grocery_store, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, florist, craft_shop : 56182
Saved path: florist, music_store, bank, party_store, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store : 65161
Saved path: pet_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, burger_joint, cafe, grocery_store, tech_shop, dentist, pizzeria, craft_shop : 55191
Saved path: grocery_store, dentist, pizzeria, craft_shop, florist, gelateria, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, hardware_store, burger_joint, clothing_store : 60022
Saved path: jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop : 59274
Saved path: toy_store, clothing_store, tech_shop, cafe, bookstore, hardware_store, gym, pet_store, bank, gelateria, pharmacy, bakery, party_store, barber_shop, salon : 60112
Saved path: pizzeria, cafe, burger_joint, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, gym, pet_store, craft_shop : 56027
Saved path: noodle_house, salon, barber_shop, bike_shop, party_store, bank, gelateria, florist, pizzeria, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store : 65552
Saved path: grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, party_store, gym, burger_joint, toy_store, noodle_house : 62449
Saved path: florist, pet_store, craft_shop, dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store : 58135
Saved path: tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, toy_store, burger_joint, bookstore, cafe, clothing_store : 62043
Saved path: pizzeria, dentist, tech_shop, grocery_store, cafe, burger_joint, hardware_store, party_store, bakery, gym, florist, gelateria, bank, pet_store, craft_shop : 59779
Saved path: gelateria, music_store, pharmacy, party_store, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store : 55594
Saved path: gym, burger_joint, cafe, bookstore, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, pet_store, florist, bank, pharmacy, bike_shop, hardware_store : 60062
Saved path: tech_shop, pizzeria, craft_shop, florist, gelateria, bank, music_store, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore : 64695
Saved path: florist, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, bakery, pharmacy, gelateria, bank, music_store : 44473
Saved path: party_store, bakery, pharmacy, music_store, bank, gelateria, craft_shop, gym, burger_joint, cafe, dentist, grocery_store, noodle_house, salon, jewelry_store : 62474
Saved path: bike_shop, barber_shop, salon, hardware_store, bookstore, cafe, grocery_store, dentist, craft_shop, florist, bank, music_store, bakery, party_store, jewelry_store : 66868
Saved path: grocery_store, clothing_store, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, jewelry_store, bakery, gym, burger_joint, bookstore, cafe, tech_shop : 55888
Saved path: pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, toy_store, salon, barber_shop, party_store : 58483
Saved path: pet_store, gelateria, music_store, bike_shop, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop : 57535
Saved path: gelateria, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, jewelry_store, bakery : 62444
Saved path: toy_store, salon, barber_shop, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, tech_shop, clothing_store, noodle_house : 52603
Saved path: dentist, pizzeria, gelateria, bank, pet_store, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, bookstore, cafe : 73040
Saved path: craft_shop, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, clothing_store, salon, barber_shop, party_store, gelateria, bank, pet_store : 68465
Saved path: tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, gym, hardware_store, salon, noodle_house : 67021
Saved path: pet_store, florist, gelateria, pharmacy, party_store, bike_shop, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, cafe, dentist, pizzeria, craft_shop : 52977
Saved path: pharmacy, bank, gelateria, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, toy_store, barber_shop, bike_shop, party_store, bakery : 64988
Saved path: burger_joint, hardware_store, gym, gelateria, bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore : 54361
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, music_store, party_store, bike_shop : 58588
Saved path: gelateria, music_store, florist, gym, bike_shop, party_store, bakery, salon, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, pet_store : 58576
Saved path: pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, dentist, cafe, bookstore, gym, craft_shop, pet_store, bank, gelateria : 68997
Saved path: craft_shop, gym, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, dentist : 68109
Saved path: bookstore, cafe, pizzeria, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, noodle_house, burger_joint : 68258
Saved path: gym, craft_shop, pet_store, florist, bank, pharmacy, bakery, barber_shop, salon, clothing_store, tech_shop, dentist, cafe, bookstore, hardware_store : 60649
Saved path: bakery, pharmacy, bank, florist, pet_store, pizzeria, dentist, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, barber_shop, bike_shop, party_store : 70199
Saved path: gelateria, bank, pet_store, pizzeria, dentist, clothing_store, grocery_store, cafe, bookstore, hardware_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy : 68803
Saved path: bike_shop, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, cafe, clothing_store, noodle_house, salon, toy_store, burger_joint, gym : 54258
Saved path: salon, party_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, noodle_house : 54253
Saved path: gelateria, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, gym, florist : 61346
Saved path: jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, hardware_store, gym, pet_store, gelateria, music_store, pharmacy, bakery : 57240
Saved path: salon, noodle_house, grocery_store, tech_shop, burger_joint, gym, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop : 56687
Saved path: clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery, music_store, gelateria, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store : 59684
Saved path: bank, music_store, jewelry_store, party_store, bike_shop, barber_shop, salon, hardware_store, gym, burger_joint, cafe, dentist, craft_shop, pet_store, gelateria : 68828
Saved path: bookstore, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, gelateria, bank, music_store, craft_shop, hardware_store, burger_joint : 64384
Saved path: hardware_store, burger_joint, bookstore, cafe, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop : 56867
Saved path: florist, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, dentist, pizzeria, craft_shop, pet_store : 61060
Saved path: pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, grocery_store, bookstore, burger_joint, gym, hardware_store, salon, jewelry_store, bike_shop, bakery : 61879
Saved path: pet_store, gelateria, music_store, jewelry_store, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, hardware_store, gym : 61821
Saved path: dentist, pizzeria, bank, gelateria, jewelry_store, party_store, bakery, hardware_store, toy_store, noodle_house, grocery_store, tech_shop, cafe, burger_joint, bookstore : 63241
Saved path: bike_shop, party_store, hardware_store, gym, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop : 66915
Saved path: dentist, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, party_store, bike_shop, gym, salon, clothing_store, tech_shop, cafe, bookstore : 67538
Saved path: pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, hardware_store : 65075
Saved path: florist, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, hardware_store, gym, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, pet_store : 63867
