Saved path: jewelry_store, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, pet_store, music_store : 63561
Saved path: toy_store, noodle_house, grocery_store, tech_shop, cafe, burger_joint, bookstore, craft_shop, pet_store, florist, bank, gelateria, jewelry_store, party_store, bakery : 59489
Saved path: dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, jewelry_store, pharmacy, music_store, gelateria, florist, craft_shop : 56620
Saved path: tech_shop, dentist, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, clothing_store, grocery_store : 59625
Saved path: bakery, party_store, gym, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, bank, music_store, pharmacy : 61908
Saved path: bike_shop, barber_shop, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, gym, bakery, jewelry_store : 70757
Saved path: toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, dentist, burger_joint, hardware_store : 66119
Saved path: bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, bike_shop, bakery, music_store, florist, craft_shop, dentist : 52200
Saved path: noodle_house, toy_store, salon, barber_shop, bakery, party_store, bike_shop, gelateria, bank, florist, hardware_store, burger_joint, bookstore, tech_shop, clothing_store : 61535
Saved path: bookstore, cafe, grocery_store, dentist, pizzeria, craft_shop, florist, pharmacy, party_store, jewelry_store, barber_shop, toy_store, hardware_store, gym, burger_joint : 58966
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, dentist, tech_shop, clothing_store, barber_shop : 68128
Saved path: noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, bank, florist, gym, hardware_store, cafe, dentist, pizzeria, tech_shop, clothing_store : 67333
Saved path: clothing_store, noodle_house, salon, barber_shop, bakery, pharmacy, music_store, bank, florist, gym, craft_shop, pizzeria, dentist, cafe, tech_shop : 55965
Saved path: bank, music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, noodle_house, salon, hardware_store, party_store, jewelry_store, bakery, pharmacy : 62258
Saved path: gym, pizzeria, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, hardware_store : 72311
Saved path: bakery, party_store, bike_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, florist, gelateria, pharmacy : 50727
Saved path: bakery, barber_shop, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, music_store, pharmacy : 58072
Saved path: pizzeria, dentist, burger_joint, hardware_store, gym, pet_store, florist, bank, gelateria, pharmacy, jewelry_store, barber_shop, noodle_house, grocery_store, tech_shop : 70831
Saved path: clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, bakery, barber_shop, salon, toy_store, noodle_house : 57286
Saved path: cafe, bookstore, florist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, hardware_store, burger_joint : 52380
Saved path: tech_shop, grocery_store, noodle_house, toy_store, gym, pet_store, florist, bank, music_store, jewelry_store, party_store, bakery, hardware_store, burger_joint, cafe : 60104
Saved path: florist, pet_store, craft_shop, dentist, burger_joint, cafe, tech_shop, grocery_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, gelateria : 60580
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, jewelry_store, party_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, burger_joint : 67855
Saved path: toy_store, clothing_store, tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gym, florist, bank, music_store, party_store, bike_shop, barber_shop, salon : 68393
Saved path: burger_joint, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, jewelry_store, bakery, hardware_store, salon, noodle_house : 60157
Saved path: pet_store, florist, music_store, pharmacy, bakery, bike_shop, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria : 51536
Saved path: bookstore, tech_shop, pizzeria, craft_shop, pet_store, music_store, bike_shop, party_store, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint : 62248
Saved path: party_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank : 66446
Saved path: craft_shop, pet_store, florist, music_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria : 61193
Saved path: dentist, craft_shop, florist, pet_store, gym, hardware_store, jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, burger_joint, cafe, tech_shop : 58118
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, jewelry_store, party_store, barber_shop, salon, toy_store : 53198
Saved path: tech_shop, cafe, dentist, craft_shop, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, toy_store, noodle_house, grocery_store : 57818
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, party_store, bike_shop, bakery, pharmacy, bank, music_store, florist : 60272
Saved path: music_store, florist, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, barber_shop, bakery, party_store, hardware_store, gym, pet_store, bank : 64560
Saved path: burger_joint, gym, florist, pharmacy, party_store, jewelry_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe : 55941
Saved path: bank, music_store, pharmacy, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, florist : 53303
Saved path: clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, gym, burger_joint, bookstore, cafe : 52484
Saved path: gym, hardware_store, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, jewelry_store : 66509
Saved path: gym, hardware_store, bike_shop, party_store, bakery, barber_shop, salon, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, bank, gelateria : 66741
Saved path: grocery_store, cafe, burger_joint, toy_store, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, pet_store, pizzeria, dentist : 61276
Saved path: noodle_house, salon, hardware_store, gym, jewelry_store, party_store, bakery, pharmacy, bank, florist, pizzeria, dentist, cafe, burger_joint, clothing_store : 66773
Saved path: craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, bank, florist, pet_store : 64053
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, pet_store, gelateria, pharmacy, bakery : 57023
Saved path: party_store, jewelry_store, salon, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, pet_store, florist, gelateria, bakery, bike_shop : 60704
Saved path: bookstore, burger_joint, dentist, craft_shop, pet_store, music_store, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop : 60118
Saved path: bank, gelateria, jewelry_store, bike_shop, bakery, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, pet_store : 64268
Saved path: bank, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, salon, jewelry_store, party_store, bike_shop, pharmacy : 67363
Saved path: pet_store, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bike_shop, jewelry_store, gelateria, bank, music_store, florist : 64263
Saved path: bike_shop, party_store, pharmacy, music_store, bank, gelateria, gym, hardware_store, burger_joint, cafe, pizzeria, tech_shop, clothing_store, noodle_house, barber_shop : 64887
Saved path: burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, pharmacy, music_store, florist, pet_store, pizzeria, cafe : 55029
Saved path: gym, hardware_store, bakery, bike_shop, jewelry_store, salon, grocery_store, burger_joint, dentist, pizzeria, florist, music_store, bank, gelateria, pet_store : 71456
Saved path: party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, pet_store, florist, gelateria, pharmacy : 57488
Saved path: pizzeria, dentist, grocery_store, noodle_house, toy_store, burger_joint, gym, bike_shop, jewelry_store, party_store, bakery, bank, gelateria, florist, craft_shop : 63357
Saved path: party_store, bike_shop, bakery, music_store, bank, pet_store, gym, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, salon, jewelry_store : 67667
Saved path: bank, music_store, florist, pet_store, bookstore, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria : 67403
Saved path: music_store, florist, gym, bike_shop, bakery, salon, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, bank : 61412
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, hardware_store, gym, music_store, gelateria, pet_store, craft_shop, pizzeria, cafe, bookstore, grocery_store : 53269
Saved path: toy_store, clothing_store, tech_shop, cafe, burger_joint, bookstore, craft_shop, gym, hardware_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon : 48239
Saved path: gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, gym, pet_store, florist, music_store, bank : 64222
Saved path: tech_shop, dentist, cafe, bookstore, hardware_store, gym, pet_store, florist, music_store, bank, gelateria, pharmacy, bike_shop, barber_shop, noodle_house : 62717
Saved path: craft_shop, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria : 63332
Saved path: dentist, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, bike_shop, gym, burger_joint, cafe, clothing_store, grocery_store, tech_shop : 57933
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, dentist : 61389
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, toy_store, clothing_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank, pharmacy : 61786
Saved path: craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, music_store, bank, gelateria, pet_store, gym : 64918
Saved path: salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, toy_store : 66437
