Saved path: florist, music_store, pharmacy, bakery, bike_shop, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, pet_store : 48589
Saved path: burger_joint, gym, pet_store, bank, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, salon, toy_store, grocery_store, tech_shop, dentist, cafe : 66743
Saved path: pet_store, gelateria, bank, music_store, bakery, party_store, jewelry_store, salon, hardware_store, gym, burger_joint, bookstore, cafe, pizzeria, craft_shop : 68214
Saved path: cafe, grocery_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, gym, hardware_store, bookstore : 62165
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, pet_store, bank, pharmacy, party_store, jewelry_store, barber_shop : 64505
Saved path: burger_joint, cafe, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, bank, florist, craft_shop, gym, hardware_store : 60254
Saved path: jewelry_store, bike_shop, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, hardware_store, gelateria, music_store : 61967
Saved path: barber_shop, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, pet_store, bank, gelateria, pharmacy : 69923
Saved path: burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, gelateria, craft_shop, gym, hardware_store : 54133
Saved path: gelateria, florist, pet_store, gym, pizzeria, dentist, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy : 54777
Saved path: pharmacy, gelateria, florist, gym, hardware_store, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store : 49652
Saved path: florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, hardware_store, salon, tech_shop, dentist, cafe, bookstore, gym, pet_store : 61771
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, bookstore, hardware_store, gym, craft_shop, pet_store, florist, music_store, pharmacy, bakery : 54848
Saved path: toy_store, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym : 62002
Saved path: noodle_house, grocery_store, dentist, pizzeria, pet_store, florist, gelateria, bank, music_store, pharmacy, jewelry_store, bike_shop, hardware_store, toy_store, salon : 67868
Saved path: bookstore, burger_joint, dentist, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, gym, toy_store, clothing_store, grocery_store, tech_shop : 49691
Saved path: dentist, tech_shop, grocery_store, noodle_house, salon, hardware_store, bike_shop, party_store, bakery, pharmacy, bank, florist, gym, bookstore, cafe : 62770
Saved path: clothing_store, noodle_house, bookstore, burger_joint, party_store, bike_shop, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store : 50151
Saved path: barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, party_store : 63149
Saved path: salon, jewelry_store, party_store, pharmacy, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store : 61449
Saved path: dentist, craft_shop, florist, music_store, bank, gelateria, bakery, party_store, jewelry_store, bike_shop, gym, noodle_house, clothing_store, grocery_store, cafe : 59950
Saved path: bookstore, cafe, dentist, noodle_house, salon, hardware_store, bike_shop, jewelry_store, pharmacy, bank, gelateria, florist, pet_store, gym, burger_joint : 68963
Saved path: pizzeria, dentist, cafe, gym, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, party_store, bakery, music_store, bank, pet_store, craft_shop : 67941
Saved path: bank, music_store, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, party_store, bakery : 59050
Saved path: tech_shop, pizzeria, bookstore, gym, florist, music_store, bank, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store : 70075
Saved path: bike_shop, music_store, gelateria, pet_store, pizzeria, cafe, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bakery, party_store, jewelry_store : 59223
Saved path: pharmacy, party_store, bike_shop, barber_shop, salon, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, pizzeria, craft_shop, florist, bank : 66455
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bike_shop, bakery, barber_shop, noodle_house : 50684
Saved path: craft_shop, pet_store, pharmacy, party_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym : 59093
Saved path: toy_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, pharmacy, music_store, pet_store, pizzeria, tech_shop, cafe, bookstore, burger_joint : 61861
Saved path: music_store, gelateria, pharmacy, jewelry_store, party_store, gym, hardware_store, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop : 59079
Saved path: toy_store, salon, barber_shop, bike_shop, party_store, bakery, bank, gelateria, florist, craft_shop, pizzeria, dentist, cafe, bookstore, gym : 65607
Saved path: burger_joint, hardware_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, clothing_store, noodle_house : 69802
Saved path: party_store, jewelry_store, bike_shop, gym, toy_store, clothing_store, burger_joint, bookstore, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery : 66661
Saved path: salon, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, bike_shop, hardware_store, gym, burger_joint, bookstore, noodle_house : 52072
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, dentist, craft_shop, gelateria, bank : 65302
Saved path: barber_shop, noodle_house, toy_store, burger_joint, bookstore, cafe, grocery_store, pizzeria, craft_shop, pet_store, bank, bakery, party_store, jewelry_store, bike_shop : 68809
Saved path: tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, music_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store : 48048
Saved path: craft_shop, florist, gelateria, bank, music_store, bike_shop, bakery, gym, hardware_store, salon, toy_store, bookstore, cafe, tech_shop, pizzeria : 58461
Saved path: jewelry_store, bakery, pharmacy, bank, music_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, party_store : 60444
Saved path: craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, bakery, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, cafe, dentist : 63232
Saved path: toy_store, hardware_store, burger_joint, dentist, pizzeria, gelateria, bank, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store : 68712
Saved path: dentist, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, bakery, barber_shop, salon, toy_store, noodle_house, tech_shop, cafe, bookstore : 53331
Saved path: florist, pet_store, craft_shop, pizzeria, grocery_store, noodle_house, toy_store, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, gelateria, bank : 72638
Saved path: salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, bookstore, hardware_store, gym, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop : 69820
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, cafe, burger_joint, hardware_store, party_store, jewelry_store, bakery, pharmacy, bank : 59822
Saved path: barber_shop, salon, toy_store, cafe, tech_shop, pizzeria, craft_shop, florist, pet_store, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop : 59818
Saved path: grocery_store, tech_shop, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, music_store, bakery, party_store, barber_shop, salon, toy_store, noodle_house : 51024
Saved path: tech_shop, noodle_house, salon, hardware_store, gym, party_store, pharmacy, bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe : 66137
Saved path: tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank, music_store, florist, gym, pizzeria : 64173
Saved path: noodle_house, grocery_store, dentist, cafe, burger_joint, gym, pet_store, florist, bank, music_store, pharmacy, bakery, bike_shop, hardware_store, salon : 58982
Saved path: noodle_house, barber_shop, party_store, hardware_store, gym, pet_store, bank, music_store, florist, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint : 67579
Saved path: burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, craft_shop, hardware_store : 58029
Saved path: craft_shop, pizzeria, dentist, bookstore, burger_joint, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, bakery, bank, music_store, florist : 57647
Saved path: bookstore, burger_joint, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, dentist, tech_shop : 66268
Saved path: gym, pet_store, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, cafe, hardware_store : 57570
Saved path: bakery, jewelry_store, bike_shop, gym, toy_store, noodle_house, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy : 64131
Saved path: noodle_house, salon, jewelry_store, party_store, gym, florist, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint : 71345
Saved path: clothing_store, tech_shop, pizzeria, bookstore, burger_joint, gym, craft_shop, gelateria, bank, bakery, party_store, bike_shop, barber_shop, salon, toy_store : 66957
Saved path: bookstore, cafe, dentist, craft_shop, gelateria, bank, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, hardware_store, toy_store, clothing_store : 66749
Saved path: cafe, bookstore, burger_joint, noodle_house, salon, hardware_store, party_store, bike_shop, bakery, gelateria, music_store, florist, pet_store, craft_shop, dentist : 55767
Saved path: toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, bank, party_store, jewelry_store, bike_shop, hardware_store, burger_joint : 63280
Saved path: gelateria, bank, florist, pet_store, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, clothing_store, salon, barber_shop, party_store, pharmacy : 69122
Saved path: jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, florist, pharmacy : 55409
