Saved path: clothing_store, noodle_house, salon, burger_joint, gym, hardware_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria : 57068
Saved path: jewelry_store, party_store, pharmacy, bank, florist, pet_store, craft_shop, gym, bookstore, cafe, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop : 66159
Saved path: salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, bank, music_store, bakery, bike_shop, jewelry_store, barber_shop : 62213
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bakery, party_store, hardware_store, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, tech_shop, cafe : 63678
Saved path: pizzeria, dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store, salon, hardware_store, bakery, music_store, bank, gelateria, florist, craft_shop : 54021
Saved path: pharmacy, music_store, florist, pet_store, pizzeria, dentist, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store : 61427
Saved path: tech_shop, pizzeria, florist, music_store, bank, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, grocery_store : 64267
Saved path: party_store, jewelry_store, bike_shop, gym, toy_store, salon, noodle_house, burger_joint, dentist, pizzeria, florist, bank, music_store, pharmacy, bakery : 68235
Saved path: cafe, bookstore, burger_joint, gym, pet_store, gelateria, bank, music_store, pharmacy, bike_shop, barber_shop, toy_store, clothing_store, pizzeria, dentist : 63358
Saved path: florist, pet_store, craft_shop, pizzeria, cafe, burger_joint, clothing_store, noodle_house, salon, hardware_store, bakery, party_store, bike_shop, gelateria, bank : 64121
Saved path: salon, toy_store, gym, hardware_store, party_store, bike_shop, music_store, bank, gelateria, florist, pizzeria, tech_shop, cafe, burger_joint, noodle_house : 64318
Saved path: clothing_store, grocery_store, dentist, cafe, burger_joint, gym, pet_store, gelateria, bank, music_store, jewelry_store, barber_shop, salon, toy_store, noodle_house : 66766
Saved path: pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, gym, hardware_store, bakery, bike_shop, jewelry_store, gelateria, music_store : 57961
Saved path: bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, bookstore, noodle_house, clothing_store, tech_shop, dentist, craft_shop, florist, gelateria : 60002
Saved path: music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym : 60794
Saved path: party_store, jewelry_store, bike_shop, barber_shop, pharmacy, bank, florist, pizzeria, dentist, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, hardware_store : 71490
Saved path: hardware_store, party_store, jewelry_store, gelateria, bank, music_store, florist, pet_store, dentist, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint : 66108
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, florist, craft_shop, pizzeria, dentist, tech_shop, toy_store, gym, hardware_store, barber_shop : 69379
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, pet_store, florist, gelateria, bank, pharmacy, jewelry_store, bike_shop, hardware_store : 62439
Saved path: hardware_store, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, bank, gelateria, florist, craft_shop, gym : 62016
Saved path: barber_shop, toy_store, noodle_house, grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, bike_shop, jewelry_store : 63541
Saved path: bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, noodle_house, burger_joint : 65136
Saved path: bookstore, cafe, tech_shop, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, gelateria, florist, craft_shop, gym, hardware_store : 57467
Saved path: toy_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, gelateria, bank, music_store, florist, pet_store, craft_shop, dentist, bookstore, burger_joint : 60346
Saved path: bakery, party_store, bike_shop, barber_shop, salon, noodle_house, bookstore, cafe, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store : 63063
Saved path: pizzeria, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, pet_store : 60535
Saved path: gelateria, bank, florist, craft_shop, pizzeria, gym, burger_joint, cafe, grocery_store, noodle_house, salon, jewelry_store, bike_shop, bakery, pharmacy : 64928
Saved path: clothing_store, salon, barber_shop, jewelry_store, party_store, bank, gelateria, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist : 67216
Saved path: craft_shop, pet_store, florist, gelateria, pharmacy, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, gym : 53969
Saved path: cafe, dentist, pet_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym, toy_store, noodle_house, grocery_store, tech_shop : 63204
Saved path: bank, gelateria, pharmacy, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, craft_shop, pet_store, florist : 53264
Saved path: barber_shop, salon, clothing_store, tech_shop, bookstore, cafe, dentist, pet_store, gelateria, bank, music_store, florist, gym, hardware_store, jewelry_store : 70112
Saved path: barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, pet_store, bank, pharmacy, bakery, party_store, bike_shop : 59749
Saved path: gelateria, pharmacy, party_store, jewelry_store, salon, noodle_house, clothing_store, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, florist, bank : 70220
Saved path: dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, bakery, gym, hardware_store, salon, noodle_house, grocery_store, tech_shop, cafe : 54731
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, pharmacy, bike_shop, party_store, hardware_store : 50758
