Saved path: bank, music_store, jewelry_store, party_store, bakery, barber_shop, salon, hardware_store, burger_joint, toy_store, clothing_store, tech_shop, dentist, pizzeria, pet_store : 71332
Saved path: gelateria, florist, pet_store, pizzeria, dentist, cafe, bookstore, tech_shop, clothing_store, salon, jewelry_store, party_store, pharmacy, music_store, bank : 68507
Saved path: jewelry_store, party_store, bakery, music_store, pet_store, craft_shop, gym, hardware_store, bookstore, cafe, tech_shop, grocery_store, salon, barber_shop, bike_shop : 59816
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, pharmacy, bank, gelateria, florist, pizzeria : 56501
Saved path: tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, pharmacy, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist : 54993
Saved path: dentist, pizzeria, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, gelateria, florist, craft_shop, gym, burger_joint, bookstore : 60684
Saved path: pizzeria, tech_shop, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, hardware_store, gym, gelateria, bank, pet_store, craft_shop : 68753
Saved path: noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, barber_shop : 49721
Saved path: noodle_house, clothing_store, tech_shop, pizzeria, burger_joint, hardware_store, gym, florist, music_store, gelateria, pharmacy, bakery, party_store, barber_shop, salon : 56594
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, gym, hardware_store, party_store, bakery, barber_shop, toy_store : 50663
Saved path: bike_shop, party_store, pharmacy, gelateria, bank, music_store, florist, craft_shop, gym, burger_joint, dentist, tech_shop, clothing_store, toy_store, barber_shop : 62789
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, florist, pet_store, dentist, tech_shop, grocery_store, bookstore, burger_joint, toy_store, barber_shop, bike_shop : 69800
Saved path: cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, gym, pet_store, bank, music_store, florist, dentist : 63787
Saved path: noodle_house, grocery_store, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, bank, music_store, bakery, jewelry_store, salon : 69148
Saved path: gelateria, pet_store, craft_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store, music_store, bank : 66546
Saved path: gelateria, music_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store : 62303
Saved path: barber_shop, grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store, bank, gelateria, florist, gym, hardware_store, party_store, jewelry_store, bike_shop : 71062
Saved path: bakery, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, gelateria, music_store, bike_shop, jewelry_store, party_store : 54533
Saved path: cafe, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, gelateria, music_store, craft_shop, pizzeria, dentist : 57916
Saved path: florist, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria : 52996
Saved path: jewelry_store, bike_shop, bakery, pharmacy, florist, pet_store, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, noodle_house, barber_shop : 61442
