Saved path: bike_shop, party_store, jewelry_store, salon, toy_store, clothing_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, florist, gym : 59372
Saved path: toy_store, noodle_house, grocery_store, bookstore, dentist, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, party_store, bakery, hardware_store, gym : 61181
Saved path: pharmacy, bakery, bike_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, bank, gelateria : 59209
Saved path: burger_joint, hardware_store, party_store, bike_shop, music_store, bank, florist, pet_store, pizzeria, grocery_store, clothing_store, noodle_house, salon, toy_store, bookstore : 67751
Saved path: toy_store, noodle_house, grocery_store, tech_shop, cafe, burger_joint, bookstore, dentist, pet_store, florist, music_store, gelateria, pharmacy, bakery, hardware_store : 45657
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, pet_store, dentist, tech_shop, cafe, burger_joint, hardware_store, toy_store, salon, barber_shop, bike_shop : 62135
Saved path: toy_store, grocery_store, tech_shop, cafe, bookstore, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, barber_shop, salon, hardware_store : 59292
Saved path: gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, cafe, pizzeria, pet_store, bank : 67836
Saved path: noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, craft_shop, dentist, burger_joint, bookstore, tech_shop, grocery_store : 53594
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, party_store, pharmacy, gelateria, music_store : 54067
Saved path: bank, pet_store, craft_shop, dentist, cafe, bookstore, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery : 67092
Saved path: pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, clothing_store, grocery_store, dentist, pizzeria, craft_shop : 61699
Saved path: music_store, bank, gelateria, hardware_store, burger_joint, bookstore, cafe, dentist, clothing_store, toy_store, salon, barber_shop, bakery, party_store, bike_shop : 63729
Saved path: hardware_store, party_store, bakery, gelateria, music_store, florist, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store, gym : 51119
Saved path: salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, bank, music_store, pharmacy, party_store, bike_shop, hardware_store : 58580
Saved path: cafe, grocery_store, tech_shop, pizzeria, pet_store, gelateria, bank, music_store, bakery, bike_shop, party_store, jewelry_store, salon, burger_joint, bookstore : 67662
Saved path: florist, bank, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria : 66649
Saved path: florist, pet_store, pizzeria, dentist, tech_shop, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, party_store, music_store, bank, gelateria : 68319
Saved path: noodle_house, toy_store, burger_joint, bookstore, gym, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, grocery_store : 63429
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, pet_store, gelateria, pharmacy, party_store, jewelry_store : 61567
Saved path: tech_shop, cafe, bookstore, gym, florist, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store : 61117
Saved path: pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, gelateria, bank, florist : 64020
Saved path: pet_store, florist, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, burger_joint, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop : 68380
Saved path: dentist, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, party_store, jewelry_store, music_store, florist, gym, burger_joint, bookstore, cafe : 60795
Saved path: pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, bike_shop, gym, toy_store, salon, noodle_house, bookstore, dentist : 61344
Saved path: dentist, bookstore, tech_shop, grocery_store, noodle_house, salon, toy_store, gym, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist : 66000
Saved path: craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, salon, hardware_store, gym, bike_shop, pharmacy, music_store, bank, gelateria, pet_store : 59092
Saved path: grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe : 53701
Saved path: bakery, bike_shop, jewelry_store, barber_shop, hardware_store, bookstore, cafe, tech_shop, clothing_store, dentist, florist, gelateria, bank, music_store, pharmacy : 65853
Saved path: gym, burger_joint, bookstore, cafe, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank : 62051
Saved path: clothing_store, toy_store, hardware_store, burger_joint, cafe, bookstore, craft_shop, pet_store, florist, music_store, gelateria, bike_shop, bakery, barber_shop, noodle_house : 50834
Saved path: toy_store, clothing_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store : 65441
Saved path: noodle_house, toy_store, burger_joint, bike_shop, pharmacy, bank, gelateria, florist, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store : 53462
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, bakery, pharmacy, florist, pet_store, craft_shop, gym, burger_joint : 44955
Saved path: craft_shop, gym, hardware_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria : 54271
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria : 49491
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, grocery_store, bookstore, gym, hardware_store, salon : 63320
Saved path: hardware_store, gym, pizzeria, craft_shop, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, cafe, burger_joint : 57897
Saved path: tech_shop, bookstore, florist, gelateria, bank, pet_store, craft_shop, gym, bike_shop, party_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 63171
Saved path: craft_shop, pizzeria, tech_shop, cafe, bookstore, noodle_house, salon, barber_shop, jewelry_store, party_store, hardware_store, pharmacy, bank, music_store, florist : 67920
Saved path: party_store, bakery, bank, gelateria, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, bike_shop, jewelry_store : 64180
Saved path: bike_shop, party_store, pharmacy, gelateria, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop : 49359
Saved path: bakery, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, dentist, bookstore, burger_joint, gym, pet_store, bank, music_store, pharmacy : 64351
Saved path: bakery, gelateria, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop : 47999
Saved path: barber_shop, noodle_house, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, jewelry_store, bike_shop : 63834
