Saved path: florist, gelateria, music_store, pharmacy, bakery, party_store, gym, burger_joint, toy_store, noodle_house, grocery_store, cafe, tech_shop, pizzeria, pet_store : 54390
Saved path: bank, music_store, bike_shop, party_store, bakery, hardware_store, gym, burger_joint, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria : 60597
Saved path: dentist, pizzeria, craft_shop, pet_store, pharmacy, jewelry_store, party_store, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 56407
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, bakery, music_store, bank, pet_store, hardware_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house : 64530
Saved path: music_store, bank, gelateria, craft_shop, pizzeria, tech_shop, bookstore, clothing_store, noodle_house, salon, toy_store, gym, bakery, party_store, jewelry_store : 67207
Saved path: barber_shop, salon, clothing_store, grocery_store, cafe, dentist, pet_store, bank, music_store, florist, bookstore, burger_joint, hardware_store, bakery, bike_shop : 61569
Saved path: hardware_store, bike_shop, party_store, bakery, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, salon : 65092
Saved path: pet_store, florist, gelateria, music_store, pharmacy, party_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop : 57982
Saved path: bookstore, burger_joint, hardware_store, party_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist, pet_store, gelateria, bank, music_store, florist : 67264
Saved path: bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, pizzeria, craft_shop, pet_store, florist, gelateria : 62191
Saved path: burger_joint, gym, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon, grocery_store, tech_shop, cafe, bookstore : 47254
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, hardware_store, gym, craft_shop, florist, gelateria, pharmacy, bakery, bike_shop, barber_shop : 48031
Saved path: gym, hardware_store, barber_shop, jewelry_store, bike_shop, bakery, bank, music_store, florist, craft_shop, pizzeria, tech_shop, clothing_store, bookstore, burger_joint : 68917
Saved path: toy_store, burger_joint, bakery, party_store, jewelry_store, bike_shop, gym, pet_store, bank, gelateria, florist, dentist, clothing_store, noodle_house, salon : 69008
Saved path: florist, gelateria, music_store, pharmacy, party_store, gym, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store : 57525
Saved path: party_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, cafe, hardware_store, gym, florist, gelateria, bank, music_store, pharmacy : 58278
Saved path: florist, bookstore, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, hardware_store, gym, craft_shop, pet_store, gelateria, bank, music_store : 66174
Saved path: cafe, bookstore, gym, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, toy_store, tech_shop : 65428
Saved path: cafe, burger_joint, gym, hardware_store, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, florist, pet_store, dentist, tech_shop, clothing_store : 62760
Saved path: gym, hardware_store, jewelry_store, party_store, bakery, gelateria, pet_store, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 56100
Saved path: hardware_store, gym, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store : 59544
Saved path: bookstore, tech_shop, clothing_store, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist : 55932
Saved path: dentist, pizzeria, craft_shop, gym, florist, music_store, bank, gelateria, jewelry_store, barber_shop, salon, noodle_house, grocery_store, bookstore, cafe : 67293
Saved path: grocery_store, noodle_house, barber_shop, bakery, jewelry_store, hardware_store, gym, pet_store, bank, music_store, craft_shop, pizzeria, dentist, cafe, bookstore : 69604
Saved path: burger_joint, bookstore, dentist, tech_shop, noodle_house, toy_store, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, florist, gym, hardware_store : 60323
Saved path: party_store, jewelry_store, bike_shop, bakery, bank, gelateria, florist, pizzeria, tech_shop, cafe, burger_joint, clothing_store, noodle_house, salon, hardware_store : 64998
Saved path: clothing_store, toy_store, salon, hardware_store, bike_shop, pharmacy, gelateria, bank, florist, gym, bookstore, cafe, dentist, pizzeria, tech_shop : 60564
Saved path: cafe, bookstore, grocery_store, clothing_store, barber_shop, bike_shop, party_store, bakery, gelateria, music_store, florist, gym, craft_shop, pizzeria, tech_shop : 57386
Saved path: dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, salon, toy_store, clothing_store, tech_shop, cafe, bookstore : 62923
Saved path: salon, toy_store, clothing_store, dentist, pizzeria, craft_shop, gym, pet_store, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop : 62184
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, bookstore, burger_joint, hardware_store, gym, pizzeria, pet_store : 71136
Saved path: jewelry_store, party_store, bike_shop, gelateria, florist, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon : 60292
Saved path: gym, burger_joint, bookstore, dentist, pizzeria, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 63604
Saved path: bank, music_store, florist, pizzeria, dentist, grocery_store, cafe, burger_joint, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy : 65260
Saved path: hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, pharmacy, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint : 61439
Saved path: bakery, party_store, jewelry_store, barber_shop, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, florist, gelateria, music_store : 59328
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, bank, music_store : 63879
Saved path: bike_shop, jewelry_store, party_store, barber_shop, salon, hardware_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, gelateria, bank, music_store : 67023
Saved path: bookstore, hardware_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe : 57792
Saved path: party_store, jewelry_store, bike_shop, music_store, bank, florist, pet_store, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, hardware_store : 65111
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, pizzeria, gym, hardware_store, burger_joint : 61229
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, grocery_store, tech_shop, bookstore, gym, craft_shop, florist, bank, gelateria, pharmacy : 62226
