Saved path: bakery, barber_shop, salon, hardware_store, gym, toy_store, noodle_house, tech_shop, dentist, craft_shop, pet_store, florist, bank, gelateria, pharmacy : 61026
Saved path: party_store, bakery, gym, salon, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy : 62134
Saved path: jewelry_store, party_store, bike_shop, bakery, pharmacy, bank, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon : 64719
Saved path: clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, bank, music_store, florist, pet_store, gym, burger_joint, dentist, pizzeria, tech_shop : 68494
Saved path: pizzeria, dentist, bookstore, hardware_store, gym, craft_shop, pet_store, gelateria, music_store, bakery, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop : 64766
Saved path: toy_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, florist, music_store, gelateria, pet_store, gym, hardware_store, barber_shop, noodle_house, clothing_store : 53452
Saved path: bookstore, burger_joint, cafe, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, jewelry_store, party_store, hardware_store, barber_shop, noodle_house, grocery_store : 58594
Saved path: pharmacy, music_store, gelateria, pet_store, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, bookstore, burger_joint, hardware_store, party_store, bike_shop, bakery : 53922
Saved path: pizzeria, craft_shop, music_store, bank, gelateria, bike_shop, jewelry_store, barber_shop, salon, hardware_store, bookstore, cafe, clothing_store, tech_shop, dentist : 70234
Saved path: pharmacy, music_store, gelateria, pet_store, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store : 59644
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, pet_store, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, hardware_store, toy_store : 63273
Saved path: barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, florist, music_store, pharmacy, bike_shop, jewelry_store : 65318
Saved path: pet_store, florist, pharmacy, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria : 59223
Saved path: bookstore, burger_joint, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, clothing_store, grocery_store, cafe : 63180
Saved path: noodle_house, toy_store, burger_joint, gym, bike_shop, jewelry_store, party_store, bank, music_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store : 65440
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, gym, pet_store, gelateria, pharmacy : 55472
