Saved path: pet_store, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bakery, music_store : 55651
Saved path: toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, music_store, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, noodle_house : 63632
Saved path: craft_shop, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, bike_shop, jewelry_store, bakery, bank, music_store : 70410
Saved path: toy_store, noodle_house, grocery_store, cafe, dentist, florist, music_store, bank, pet_store, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery : 64664
Saved path: noodle_house, clothing_store, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, barber_shop, bike_shop, jewelry_store, hardware_store, toy_store : 71202
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, gym, craft_shop, florist, music_store, bike_shop, barber_shop, salon : 51293
Saved path: grocery_store, noodle_house, salon, barber_shop, jewelry_store, hardware_store, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore : 62677
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, music_store, bank, gelateria, jewelry_store, bike_shop, bakery, toy_store : 60764
Saved path: salon, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy, bike_shop, party_store, hardware_store, burger_joint, toy_store : 53372
Saved path: noodle_house, grocery_store, cafe, bookstore, gym, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 62282
Saved path: burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, hardware_store : 64430
Saved path: florist, gelateria, music_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, grocery_store, dentist, bookstore, gym, pet_store : 62870
Saved path: pharmacy, bakery, bike_shop, barber_shop, noodle_house, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, florist, music_store : 55253
Saved path: tech_shop, grocery_store, clothing_store, salon, barber_shop, bakery, jewelry_store, bike_shop, hardware_store, florist, music_store, bank, pet_store, craft_shop, pizzeria : 68733
Saved path: dentist, burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, bakery, pharmacy, gelateria, bank, florist, pizzeria : 62273
Saved path: clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, craft_shop, pet_store, gelateria, bank, music_store, party_store, barber_shop, salon, noodle_house : 59895
Saved path: barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, pet_store, florist, gelateria, bank, music_store, bakery : 53562
Saved path: bank, music_store, pharmacy, jewelry_store, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, craft_shop, florist, gelateria : 62467
Saved path: burger_joint, bookstore, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, music_store, gelateria, pet_store, gym : 63603
Saved path: toy_store, hardware_store, salon, barber_shop, bike_shop, party_store, bakery, bank, music_store, florist, pizzeria, dentist, cafe, clothing_store, noodle_house : 66071
Saved path: clothing_store, bookstore, burger_joint, gym, hardware_store, jewelry_store, bike_shop, barber_shop, pharmacy, gelateria, music_store, florist, pizzeria, dentist, grocery_store : 62651
Saved path: bike_shop, bakery, hardware_store, toy_store, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, jewelry_store : 65942
Saved path: pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, clothing_store, toy_store, salon, hardware_store, bike_shop, bakery : 57074
Saved path: pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, hardware_store, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, florist, craft_shop : 54425
Saved path: cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, bank, gelateria, bakery, bike_shop, hardware_store, salon, clothing_store, grocery_store : 58811
Saved path: noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, florist, music_store, gelateria, pet_store, craft_shop, bookstore, cafe, grocery_store : 59012
Saved path: tech_shop, pizzeria, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, barber_shop, noodle_house, clothing_store, grocery_store, cafe : 59645
Saved path: noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, music_store, gelateria, pharmacy, bike_shop, barber_shop : 52892
Saved path: pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, salon, barber_shop, bakery, bike_shop, music_store, bank : 55152
Saved path: bakery, hardware_store, salon, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, florist, music_store, bank, gelateria : 54139
Saved path: florist, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, gym : 57312
Saved path: salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, pharmacy, bakery, bike_shop, jewelry_store, barber_shop : 53986
Saved path: gym, craft_shop, music_store, bank, gelateria, bike_shop, party_store, barber_shop, salon, toy_store, grocery_store, tech_shop, dentist, bookstore, burger_joint : 65452
Saved path: hardware_store, jewelry_store, bakery, bank, florist, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym : 64823
Saved path: bike_shop, music_store, gelateria, pet_store, pizzeria, dentist, burger_joint, tech_shop, grocery_store, noodle_house, salon, hardware_store, bakery, party_store, jewelry_store : 62179
Saved path: pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, bike_shop, gym, burger_joint, cafe, noodle_house, clothing_store, grocery_store, tech_shop : 52137
Saved path: gelateria, florist, pet_store, pizzeria, dentist, tech_shop, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, party_store, pharmacy, music_store : 61849
Saved path: party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, hardware_store, gym, bank, music_store, pharmacy, bakery : 63990
