Saved path: burger_joint, bookstore, cafe, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, bakery, party_store, gym, hardware_store, salon, noodle_house : 61859
Saved path: craft_shop, florist, bank, music_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, clothing_store, bookstore, cafe, pizzeria : 64551
Saved path: bank, pet_store, gym, burger_joint, bookstore, cafe, dentist, clothing_store, toy_store, salon, hardware_store, bike_shop, bakery, pharmacy, gelateria : 58241
Saved path: bookstore, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, party_store, gelateria, bank, music_store, florist, pet_store, dentist, cafe : 68580
Saved path: cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, party_store, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store : 52928
Saved path: party_store, jewelry_store, bike_shop, music_store, florist, pet_store, craft_shop, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 53155
Saved path: party_store, jewelry_store, salon, clothing_store, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, music_store, pharmacy, bike_shop : 64696
Saved path: clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, toy_store, noodle_house : 64389
Saved path: cafe, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, bookstore, burger_joint : 59947
Saved path: dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, music_store, bakery, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria : 53946
Saved path: jewelry_store, party_store, bank, music_store, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, gym, hardware_store, bike_shop : 65650
Saved path: barber_shop, salon, toy_store, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, florist, music_store, pharmacy, party_store, bike_shop : 55864
Saved path: toy_store, clothing_store, tech_shop, dentist, pizzeria, pet_store, florist, gelateria, bank, pharmacy, jewelry_store, bike_shop, gym, hardware_store, salon : 71235
Saved path: florist, gym, hardware_store, burger_joint, bookstore, pizzeria, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, party_store, bakery, gelateria, music_store : 62236
Saved path: noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, burger_joint, toy_store : 52352
Saved path: party_store, jewelry_store, bike_shop, barber_shop, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, bookstore, burger_joint, hardware_store, bakery : 69726
Saved path: burger_joint, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, florist, craft_shop, gym : 56607
Saved path: bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, florist, bank : 61032
Saved path: cafe, burger_joint, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, gym, pet_store, bank, florist, craft_shop, dentist : 61245
Saved path: clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon : 60480
Saved path: florist, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store : 56837
Saved path: dentist, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bank, pet_store, craft_shop, gym, burger_joint, bookstore : 69995
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, florist, dentist, cafe, tech_shop : 55137
Saved path: tech_shop, pizzeria, pet_store, gelateria, bakery, party_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe : 55581
Saved path: dentist, cafe, hardware_store, gym, craft_shop, florist, pharmacy, bakery, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop : 51467
Saved path: bike_shop, jewelry_store, party_store, bakery, burger_joint, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, florist, music_store, pharmacy : 53311
Saved path: craft_shop, florist, music_store, pharmacy, bakery, hardware_store, salon, noodle_house, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym : 46843
Saved path: clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, florist, music_store, bank, barber_shop, salon, toy_store, noodle_house : 55561
Saved path: salon, toy_store, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, jewelry_store, bakery, gym, hardware_store : 61240
Saved path: pharmacy, party_store, hardware_store, salon, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank : 67740
Saved path: hardware_store, jewelry_store, bike_shop, bakery, gelateria, bank, music_store, florist, gym, burger_joint, cafe, dentist, grocery_store, noodle_house, toy_store : 60521
Saved path: hardware_store, gym, pet_store, bank, music_store, pharmacy, party_store, bakery, barber_shop, salon, clothing_store, grocery_store, tech_shop, dentist, burger_joint : 63846
Saved path: salon, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, gelateria, pharmacy, hardware_store : 51422
Saved path: tech_shop, dentist, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, burger_joint, bookstore, cafe : 66973
Saved path: jewelry_store, hardware_store, gym, florist, music_store, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, bakery : 58498
Saved path: bike_shop, jewelry_store, bakery, bank, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, toy_store, barber_shop : 67248
Saved path: bookstore, burger_joint, dentist, pizzeria, pet_store, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store : 58511
Saved path: grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, music_store, bank, gelateria, pharmacy, bike_shop, toy_store, salon, noodle_house : 53145
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, gym, burger_joint, bookstore : 63254
Saved path: toy_store, burger_joint, hardware_store, barber_shop, pharmacy, bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, noodle_house : 59757
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, bookstore, craft_shop, pet_store, florist, music_store, gelateria, bakery, party_store, bike_shop : 53850
Saved path: music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, cafe, burger_joint, gym : 59785
Saved path: salon, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, pet_store, florist, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop : 62644
Saved path: barber_shop, bakery, pharmacy, gelateria, florist, pet_store, pizzeria, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store : 51442
Saved path: tech_shop, cafe, dentist, pizzeria, pet_store, florist, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, toy_store, clothing_store, grocery_store : 59488
Saved path: craft_shop, florist, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, pizzeria, dentist, bookstore, burger_joint, gym : 57115
Saved path: pharmacy, music_store, bank, gelateria, florist, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, toy_store, barber_shop, party_store : 64728
Saved path: florist, pet_store, pizzeria, dentist, cafe, clothing_store, toy_store, gym, hardware_store, salon, barber_shop, bakery, pharmacy, gelateria, bank : 62342
Saved path: dentist, pizzeria, craft_shop, florist, music_store, gelateria, pet_store, gym, bakery, bike_shop, party_store, hardware_store, salon, toy_store, grocery_store : 59877
