Saved path: cafe, bookstore, burger_joint, gym, pet_store, music_store, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 55651
Saved path: grocery_store, tech_shop, pizzeria, cafe, bookstore, hardware_store, gym, pet_store, florist, bank, pharmacy, jewelry_store, barber_shop, salon, toy_store : 73124
Saved path: craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, barber_shop, salon, noodle_house, burger_joint, cafe, grocery_store, tech_shop, pizzeria : 65417
Saved path: clothing_store, noodle_house, toy_store, burger_joint, gym, bike_shop, party_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, cafe : 53917
Saved path: burger_joint, bookstore, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bike_shop, jewelry_store, hardware_store, salon, noodle_house, clothing_store, grocery_store : 55363
Saved path: cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pharmacy, bank, florist, craft_shop, pizzeria, dentist : 64852
Saved path: pizzeria, cafe, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank : 67904
Saved path: pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store, bakery, barber_shop, toy_store, hardware_store, cafe, tech_shop, dentist : 65250
Saved path: pizzeria, pet_store, florist, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, burger_joint : 68152
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, gym, burger_joint : 57269
Saved path: pharmacy, bakery, party_store, gym, burger_joint, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank : 61879
Saved path: cafe, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store : 58726
Saved path: toy_store, salon, barber_shop, jewelry_store, bank, gelateria, craft_shop, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house : 68376
Saved path: salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, hardware_store : 57433
Saved path: cafe, bookstore, gym, florist, gelateria, bank, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, tech_shop, pizzeria, dentist : 66465
Saved path: bike_shop, barber_shop, toy_store, noodle_house, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, music_store, bank, pharmacy, bakery, party_store : 63632
Saved path: gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, bike_shop, jewelry_store, bakery, bank, music_store, craft_shop : 70410
Saved path: gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, toy_store, noodle_house, grocery_store, cafe, dentist, florist, music_store, bank, pet_store : 64664
Saved path: bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, bike_shop, jewelry_store, pharmacy : 71202
Saved path: gym, burger_joint, cafe, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, music_store, florist, craft_shop : 51293
Saved path: cafe, bookstore, grocery_store, noodle_house, salon, barber_shop, jewelry_store, hardware_store, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist : 62677
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, music_store, bank, gelateria, jewelry_store, bike_shop, bakery, toy_store : 60764
Saved path: craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, hardware_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist : 53372
Saved path: gym, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, cafe, bookstore : 62282
Saved path: bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, hardware_store, burger_joint : 64430
Saved path: bike_shop, party_store, jewelry_store, salon, toy_store, grocery_store, dentist, bookstore, gym, pet_store, florist, music_store, gelateria, pharmacy, bakery : 62870
Saved path: burger_joint, bookstore, cafe, pizzeria, tech_shop, noodle_house, barber_shop, bike_shop, bakery, pharmacy, music_store, florist, pet_store, gym, hardware_store : 55253
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, florist, music_store, bank, pet_store, craft_shop : 68733
Saved path: party_store, bakery, pharmacy, bank, gelateria, florist, pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store, hardware_store : 62273
Saved path: gelateria, pet_store, craft_shop, hardware_store, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, music_store, bank : 59895
Saved path: gelateria, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, pet_store, florist, music_store, bank : 53562
Saved path: salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, craft_shop, florist, gelateria, bank, music_store, pharmacy, jewelry_store, gym, hardware_store : 62467
Saved path: gym, burger_joint, bookstore, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, party_store, jewelry_store, music_store, gelateria, pet_store : 63603
Saved path: hardware_store, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, florist, bank, music_store, bakery, party_store, bike_shop, barber_shop, salon : 66071
Saved path: music_store, gelateria, florist, pizzeria, dentist, grocery_store, clothing_store, bookstore, burger_joint, gym, hardware_store, barber_shop, jewelry_store, bike_shop, pharmacy : 62651
Saved path: toy_store, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, jewelry_store, bike_shop, bakery, hardware_store : 65942
Saved path: clothing_store, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop, hardware_store, salon, toy_store : 57074
Saved path: grocery_store, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, cafe : 54425
Saved path: pizzeria, craft_shop, florist, bank, gelateria, bike_shop, bakery, hardware_store, salon, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym : 58811
Saved path: gelateria, music_store, florist, hardware_store, bike_shop, jewelry_store, bakery, barber_shop, salon, noodle_house, grocery_store, cafe, bookstore, craft_shop, pet_store : 59012
Saved path: pet_store, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, barber_shop, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, florist : 59645
Saved path: dentist, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, pharmacy, music_store, gelateria, craft_shop, gym, burger_joint, bookstore, cafe : 52892
Saved path: barber_shop, salon, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, music_store, bakery, bike_shop : 55152
Saved path: salon, hardware_store, bakery, gelateria, bank, music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist, grocery_store, toy_store : 54139
Saved path: gym, florist, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop : 57312
Saved path: florist, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop : 53986
Saved path: tech_shop, grocery_store, toy_store, salon, barber_shop, party_store, bike_shop, music_store, bank, gelateria, craft_shop, gym, burger_joint, bookstore, dentist : 65452
Saved path: grocery_store, cafe, pizzeria, craft_shop, florist, bank, bakery, jewelry_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store : 64823
Saved path: dentist, pizzeria, pet_store, gelateria, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, grocery_store, tech_shop, burger_joint : 62179
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, bike_shop, gym, burger_joint, cafe, noodle_house : 52137
Saved path: salon, noodle_house, toy_store, hardware_store, burger_joint, tech_shop, dentist, pizzeria, pet_store, florist, gelateria, music_store, pharmacy, party_store, barber_shop : 61849
Saved path: dentist, hardware_store, gym, music_store, bank, pharmacy, bakery, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 63990
