Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, noodle_house, clothing_store, grocery_store, dentist, pet_store, florist, gelateria, pharmacy : 54941
Saved path: toy_store, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop : 48028
Saved path: party_store, barber_shop, salon, noodle_house, toy_store, gym, hardware_store, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, jewelry_store : 71272
Saved path: hardware_store, toy_store, salon, noodle_house, tech_shop, cafe, bookstore, burger_joint, gym, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 53718
Saved path: barber_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, florist, pharmacy, bakery, jewelry_store : 55523
Saved path: gelateria, bank, pharmacy, bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist : 64410
Saved path: music_store, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, hardware_store, bakery, pharmacy, bank : 57107
Saved path: barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store : 62380
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store, gym, hardware_store, party_store, bakery : 54374
Saved path: gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, cafe, burger_joint, hardware_store, gym, pet_store, florist, music_store, bank : 64336
Saved path: pet_store, florist, gelateria, music_store, bakery, jewelry_store, salon, noodle_house, clothing_store, toy_store, burger_joint, cafe, dentist, pizzeria, craft_shop : 59112
Saved path: salon, noodle_house, grocery_store, cafe, burger_joint, gym, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store : 67686
Saved path: barber_shop, party_store, pharmacy, bank, music_store, florist, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon : 62017
Saved path: gelateria, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, salon, noodle_house, cafe, bookstore, gym, pet_store, florist : 63408
Saved path: grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, jewelry_store, gelateria, bank, pet_store, gym, burger_joint, bookstore, cafe, tech_shop : 62694
Saved path: bakery, party_store, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store : 50817
Saved path: florist, gelateria, bank, barber_shop, jewelry_store, party_store, bakery, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, dentist, pizzeria : 67964
Saved path: cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, gelateria, bike_shop, party_store, toy_store, noodle_house, clothing_store, bookstore, burger_joint : 62549
Saved path: party_store, bakery, pharmacy, music_store, gelateria, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, bookstore, cafe, burger_joint, gym, hardware_store : 50859
Saved path: bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, pizzeria, pet_store, bookstore, burger_joint, hardware_store : 58704
Saved path: florist, gelateria, bank, pet_store, craft_shop, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, bakery, gym : 66475
Saved path: hardware_store, gym, bike_shop, jewelry_store, bakery, pharmacy, bank, music_store, florist, pizzeria, dentist, grocery_store, clothing_store, noodle_house, salon : 65272
Saved path: grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, bank, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store : 66671
Saved path: burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, noodle_house, salon, hardware_store, jewelry_store, bakery, bank, pet_store, craft_shop, gym : 66020
Saved path: burger_joint, dentist, pizzeria, craft_shop, gelateria, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, grocery_store : 53893
Saved path: cafe, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, gym, burger_joint : 65036
Saved path: craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank, pet_store : 64312
Saved path: salon, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, florist, gelateria, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop : 55551
Saved path: cafe, burger_joint, gym, pet_store, florist, gelateria, bank, music_store, pharmacy, barber_shop, salon, clothing_store, grocery_store, pizzeria, dentist : 58984
Saved path: toy_store, burger_joint, gym, hardware_store, party_store, jewelry_store, bike_shop, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, noodle_house, salon : 62154
Saved path: clothing_store, dentist, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, gelateria, pharmacy, party_store, bike_shop, barber_shop, toy_store, noodle_house : 58044
Saved path: noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store, hardware_store, cafe, tech_shop, grocery_store : 65913
Saved path: toy_store, burger_joint, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym : 57062
Saved path: party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, pizzeria, clothing_store, grocery_store, cafe, burger_joint, hardware_store : 62523
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, bank, florist, pet_store, gym, burger_joint, bookstore, cafe, dentist, tech_shop : 62664
Saved path: salon, noodle_house, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, bank, gelateria, pharmacy, party_store, barber_shop : 66846
Saved path: bank, gelateria, bike_shop, bakery, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, pet_store, florist : 55649
Saved path: barber_shop, toy_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, pet_store, florist, music_store, pharmacy, bike_shop, jewelry_store : 64490
Saved path: noodle_house, toy_store, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist, cafe, burger_joint : 56983
Saved path: salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store : 60421
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, florist, pizzeria, dentist, cafe : 63720
Saved path: pizzeria, tech_shop, grocery_store, salon, barber_shop, jewelry_store, gelateria, florist, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist : 62642
Saved path: bank, music_store, pharmacy, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, pet_store, gelateria : 67888
Saved path: noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, gym, toy_store : 63635
Saved path: tech_shop, cafe, bookstore, burger_joint, gym, pet_store, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store : 56832
Saved path: pizzeria, florist, music_store, pharmacy, bike_shop, party_store, bakery, burger_joint, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, dentist : 53506
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, bank, gym, pizzeria, dentist, cafe : 68471
Saved path: hardware_store, toy_store, salon, noodle_house, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, party_store, bike_shop : 63026
Saved path: clothing_store, toy_store, party_store, bike_shop, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist, burger_joint, bookstore, cafe, tech_shop : 56441
Saved path: florist, craft_shop, cafe, tech_shop, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store : 60947
Saved path: pharmacy, music_store, bank, pet_store, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop, party_store : 64818
