Saved path: burger_joint, bookstore, grocery_store, clothing_store, barber_shop, party_store, jewelry_store, music_store, bank, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe : 69052
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, pharmacy : 59138
Saved path: jewelry_store, party_store, bakery, barber_shop, salon, hardware_store, toy_store, clothing_store, cafe, pizzeria, craft_shop, florist, gelateria, bank, music_store : 66591
Saved path: craft_shop, pizzeria, dentist, tech_shop, noodle_house, toy_store, barber_shop, bike_shop, party_store, pharmacy, music_store, gelateria, florist, pet_store, gym : 62239
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, bookstore, cafe, clothing_store, grocery_store, tech_shop, pizzeria, florist, gelateria, music_store : 55038
Saved path: noodle_house, toy_store, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, party_store, barber_shop, salon : 66797
Saved path: tech_shop, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, bookstore, dentist : 68554
Saved path: tech_shop, pizzeria, craft_shop, florist, gelateria, music_store, bakery, party_store, bike_shop, barber_shop, salon, hardware_store, gym, burger_joint, clothing_store : 58546
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store, gym, burger_joint, cafe, bookstore, toy_store, noodle_house, salon, barber_shop : 61407
Saved path: craft_shop, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, gym, hardware_store, salon, noodle_house, bookstore, dentist, pizzeria : 70723
Saved path: dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, craft_shop : 63255
Saved path: burger_joint, salon, jewelry_store, party_store, bike_shop, bakery, hardware_store, gym, pet_store, gelateria, bank, music_store, florist, craft_shop, pizzeria : 70092
Saved path: music_store, florist, pet_store, gym, hardware_store, burger_joint, cafe, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, jewelry_store, party_store, pharmacy : 62241
Saved path: noodle_house, salon, party_store, bike_shop, music_store, bank, gelateria, florist, gym, burger_joint, bookstore, cafe, pizzeria, tech_shop, grocery_store : 64848
Saved path: barber_shop, noodle_house, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, bakery, jewelry_store : 62385
Saved path: hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, florist, craft_shop, pizzeria, tech_shop, grocery_store, burger_joint, gym : 60286
Saved path: florist, bank, party_store, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym : 62464
Saved path: cafe, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, salon, toy_store, clothing_store, grocery_store : 63364
Saved path: cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, music_store, bank, florist, pet_store, dentist : 70707
Saved path: craft_shop, florist, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, burger_joint, bookstore, cafe, dentist : 64171
Saved path: pet_store, florist, gelateria, music_store, bike_shop, party_store, bakery, salon, noodle_house, clothing_store, bookstore, burger_joint, cafe, pizzeria, craft_shop : 58160
Saved path: pizzeria, dentist, bookstore, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, bike_shop, party_store, pharmacy, gelateria, florist, craft_shop : 57739
Saved path: cafe, tech_shop, pizzeria, pet_store, music_store, pharmacy, bakery, jewelry_store, hardware_store, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore : 59553
Saved path: pet_store, gelateria, music_store, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, dentist, pizzeria, craft_shop : 65945
Saved path: noodle_house, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, hardware_store, gym, toy_store, salon : 65694
Saved path: clothing_store, cafe, dentist, craft_shop, pet_store, florist, bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house : 66771
Saved path: craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, music_store, bank, florist, pet_store : 67353
Saved path: tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store, music_store, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore : 64724
Saved path: pharmacy, music_store, bank, florist, pet_store, gym, bookstore, cafe, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop, jewelry_store, bakery : 69874
Saved path: bike_shop, party_store, bakery, bank, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, noodle_house, salon, barber_shop : 63115
Saved path: bank, pharmacy, bakery, party_store, jewelry_store, salon, noodle_house, burger_joint, bookstore, tech_shop, dentist, pizzeria, pet_store, florist, music_store : 69539
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, craft_shop, pizzeria, gym, hardware_store, bookstore, clothing_store, noodle_house, toy_store, salon : 61999
Saved path: clothing_store, tech_shop, cafe, bookstore, gym, craft_shop, florist, gelateria, music_store, pharmacy, bakery, party_store, barber_shop, toy_store, noodle_house : 50069
Saved path: gym, craft_shop, pizzeria, dentist, cafe, burger_joint, toy_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, hardware_store : 45501
Saved path: pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, bakery, bank, music_store, craft_shop : 65511
Saved path: craft_shop, florist, bank, music_store, pharmacy, bakery, barber_shop, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist : 54699
Saved path: dentist, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, bakery, bike_shop, gym, hardware_store, salon, noodle_house, bookstore, cafe : 57899
Saved path: gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, burger_joint, bakery, party_store, bike_shop, gelateria, bank, florist, pet_store : 62269
Saved path: pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, gelateria, bank, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop : 71595
