Saved path: bank, music_store, party_store, barber_shop, salon, hardware_store, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria : 66796
Saved path: dentist, bookstore, burger_joint, gym, craft_shop, florist, bank, gelateria, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store : 62921
Saved path: florist, music_store, pharmacy, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store : 53192
Saved path: music_store, florist, pet_store, craft_shop, burger_joint, tech_shop, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank : 66180
Saved path: bookstore, cafe, burger_joint, gym, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bike_shop, party_store, hardware_store, salon, toy_store : 60081
Saved path: hardware_store, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, music_store, bike_shop, jewelry_store, party_store : 62334
Saved path: tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, pet_store, gym, burger_joint, cafe, dentist : 63631
Saved path: gelateria, pharmacy, bakery, bike_shop, hardware_store, salon, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, florist, music_store, bank : 54041
Saved path: gelateria, bike_shop, party_store, bakery, hardware_store, noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, music_store, bank : 61828
Saved path: hardware_store, bakery, gym, florist, gelateria, bank, pet_store, craft_shop, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store : 54073
Saved path: pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bike_shop, jewelry_store, salon, noodle_house, toy_store, burger_joint, bookstore, grocery_store : 61966
Saved path: toy_store, salon, barber_shop, bakery, party_store, hardware_store, gym, bank, music_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store : 66107
Saved path: bank, pharmacy, party_store, bakery, barber_shop, salon, noodle_house, toy_store, hardware_store, bookstore, tech_shop, dentist, pizzeria, pet_store, florist : 70341
Saved path: bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gym, hardware_store, gelateria, bank, music_store, pharmacy : 56882
Saved path: gym, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, bakery, pharmacy, gelateria, music_store, craft_shop : 51387
Saved path: pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, tech_shop : 60093
Saved path: pharmacy, bank, gelateria, florist, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery : 49369
Saved path: grocery_store, clothing_store, noodle_house, gym, craft_shop, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, tech_shop : 49616
Saved path: jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, florist, gelateria, music_store, bike_shop : 58359
Saved path: tech_shop, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, bookstore : 60984
Saved path: bookstore, burger_joint, dentist, craft_shop, florist, bank, pet_store, gym, bike_shop, bakery, hardware_store, toy_store, salon, noodle_house, grocery_store : 61877
Saved path: dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery, hardware_store, burger_joint, toy_store, salon, noodle_house, grocery_store, cafe : 55961
Saved path: bakery, hardware_store, music_store, bank, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store : 71083
Saved path: bakery, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, gym, florist, music_store, bank, gelateria, pharmacy : 58346
Saved path: cafe, bookstore, florist, music_store, bank, pet_store, craft_shop, gym, bakery, bike_shop, jewelry_store, salon, toy_store, noodle_house, tech_shop : 65581
Saved path: craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, cafe, bookstore, hardware_store, salon, barber_shop, bike_shop, bakery, music_store, florist : 51897
Saved path: bookstore, burger_joint, gym, hardware_store, bakery, music_store, bank, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house : 53217
Saved path: jewelry_store, party_store, bike_shop, bakery, bank, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon : 70705
Saved path: tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, music_store, craft_shop, pizzeria, dentist : 63403
Saved path: florist, craft_shop, gym, toy_store, noodle_house, grocery_store, bookstore, burger_joint, hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria, bank : 56300
Saved path: jewelry_store, bike_shop, pharmacy, bank, florist, pet_store, craft_shop, hardware_store, burger_joint, bookstore, tech_shop, clothing_store, toy_store, salon, barber_shop : 68345
Saved path: gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, salon, jewelry_store, bakery, pharmacy, bank, music_store : 65928
Saved path: gelateria, party_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore, dentist, pizzeria, pet_store, florist, music_store, bank : 69547
Saved path: dentist, pizzeria, craft_shop, music_store, bank, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, bookstore, cafe : 64400
Saved path: gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, florist : 69114
Saved path: salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, gym, craft_shop, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store : 58269
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist : 62356
Saved path: grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, music_store, pet_store, craft_shop, pizzeria, gym, burger_joint, bookstore : 62538
Saved path: tech_shop, cafe, dentist, pizzeria, florist, gelateria, music_store, bike_shop, jewelry_store, bakery, burger_joint, toy_store, salon, noodle_house, clothing_store : 58354
Saved path: dentist, craft_shop, pet_store, bank, gelateria, pharmacy, jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 60800
Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, florist, hardware_store, burger_joint, bookstore, cafe, dentist, clothing_store, noodle_house, barber_shop, bike_shop : 67443
Saved path: party_store, gym, burger_joint, salon, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store, bakery : 64127
