Saved path: pizzeria, tech_shop, grocery_store, toy_store, salon, bakery, music_store, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist : 59521
Saved path: jewelry_store, barber_shop, clothing_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy : 63269
Saved path: hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, pet_store, gelateria, music_store, party_store : 56506
Saved path: pharmacy, music_store, bank, gelateria, pet_store, craft_shop, gym, cafe, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store : 64333
Saved path: craft_shop, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, bakery, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, pet_store : 56982
Saved path: gym, florist, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint : 57674
Saved path: burger_joint, toy_store, clothing_store, grocery_store, dentist, pizzeria, pet_store, florist, music_store, gelateria, bike_shop, party_store, bakery, hardware_store, gym : 55993
Saved path: bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, gym, pet_store, bank : 65767
Saved path: pharmacy, hardware_store, jewelry_store, bakery, barber_shop, salon, noodle_house, clothing_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria : 59978
Saved path: bookstore, grocery_store, clothing_store, salon, hardware_store, gym, bike_shop, jewelry_store, party_store, gelateria, bank, music_store, florist, pizzeria, tech_shop : 69283
Saved path: bakery, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, cafe, burger_joint, pizzeria, craft_shop, pet_store, bank, gelateria, florist, hardware_store : 61801
Saved path: noodle_house, salon, barber_shop, jewelry_store, party_store, bank, music_store, florist, craft_shop, dentist, grocery_store, cafe, bookstore, hardware_store, toy_store : 67866
Saved path: toy_store, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, bank, gelateria, barber_shop, jewelry_store, party_store, hardware_store, burger_joint : 69296
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, burger_joint, gym, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store : 69007
Saved path: bike_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store, gym, pizzeria, dentist, cafe, grocery_store, toy_store, salon, barber_shop : 61718
Saved path: pizzeria, dentist, cafe, grocery_store, clothing_store, barber_shop, jewelry_store, party_store, bakery, hardware_store, music_store, bank, gelateria, pet_store, craft_shop : 68444
Saved path: gym, bookstore, cafe, dentist, grocery_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop : 62135
Saved path: bookstore, clothing_store, toy_store, salon, barber_shop, jewelry_store, hardware_store, gym, florist, bank, pet_store, craft_shop, pizzeria, tech_shop, cafe : 70739
Saved path: bookstore, cafe, grocery_store, toy_store, salon, barber_shop, jewelry_store, pharmacy, bank, music_store, florist, pet_store, gym, hardware_store, burger_joint : 65058
Saved path: party_store, jewelry_store, bakery, bank, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, bookstore, gym, hardware_store : 63554
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, party_store, hardware_store, gym, burger_joint, bookstore : 49895
Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, noodle_house, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, bank, gelateria, pet_store : 67435
Saved path: jewelry_store, party_store, bakery, hardware_store, gym, florist, gelateria, bank, pet_store, dentist, bookstore, burger_joint, tech_shop, grocery_store, barber_shop : 70309
Saved path: florist, gelateria, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria : 55299
Saved path: gym, craft_shop, pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, bookstore : 53740
Saved path: noodle_house, barber_shop, jewelry_store, bike_shop, bakery, music_store, bank, florist, pizzeria, dentist, grocery_store, bookstore, burger_joint, hardware_store, toy_store : 70079
Saved path: barber_shop, salon, hardware_store, bookstore, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, bike_shop, jewelry_store : 73637
Saved path: bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, salon, bike_shop, party_store, bakery, pharmacy : 63793
Saved path: hardware_store, party_store, jewelry_store, bike_shop, bakery, gelateria, bank, florist, pet_store, craft_shop, bookstore, cafe, grocery_store, clothing_store, toy_store : 58987
Saved path: burger_joint, gym, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, salon, toy_store, grocery_store, cafe, bookstore : 61179
Saved path: bookstore, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery, jewelry_store, barber_shop, hardware_store, burger_joint : 63166
Saved path: noodle_house, grocery_store, tech_shop, burger_joint, cafe, dentist, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, barber_shop, salon, toy_store : 65838
Saved path: bank, music_store, jewelry_store, party_store, bakery, hardware_store, toy_store, salon, noodle_house, bookstore, pizzeria, craft_shop, pet_store, florist, gelateria : 68301
Saved path: florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bank : 66699
Saved path: craft_shop, pet_store, music_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym : 63550
Saved path: bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, craft_shop, gelateria, bank : 60924
Saved path: noodle_house, grocery_store, pizzeria, florist, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, toy_store : 63227
Saved path: music_store, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gym : 64177
Saved path: hardware_store, party_store, bakery, gym, florist, gelateria, bank, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, toy_store, salon : 62874
Saved path: party_store, bakery, pharmacy, gelateria, gym, hardware_store, burger_joint, cafe, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store : 52920
Saved path: dentist, cafe, burger_joint, gym, pet_store, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, clothing_store, grocery_store, pizzeria : 62427
Saved path: bakery, party_store, bike_shop, gym, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, music_store, pharmacy : 50551
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, jewelry_store, gym, hardware_store, salon, toy_store, burger_joint, tech_shop, pizzeria, craft_shop : 68347
Saved path: burger_joint, toy_store, salon, noodle_house, clothing_store, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, jewelry_store, party_store, gym : 69798
Saved path: gym, hardware_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, pet_store, craft_shop, pizzeria, dentist, clothing_store, cafe, burger_joint : 63683
Saved path: dentist, craft_shop, florist, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop : 69027
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, jewelry_store, party_store, pharmacy, gelateria, bank, florist, pet_store, gym, toy_store : 60237
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, grocery_store, bookstore, pizzeria, craft_shop, gym : 68480
Saved path: jewelry_store, bakery, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, florist, music_store, bank, gelateria, bike_shop : 64867
Saved path: gelateria, music_store, florist, pet_store, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery, party_store, bike_shop : 53955
Saved path: pharmacy, bakery, bike_shop, gym, burger_joint, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, florist, gelateria, bank : 60181
Saved path: grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon : 61076
Saved path: toy_store, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, grocery_store, noodle_house, salon : 60363
