Saved path: salon, noodle_house, clothing_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, party_store, gym, hardware_store : 65799
Saved path: clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, music_store, pharmacy, bakery, hardware_store, gym, toy_store, noodle_house : 43690
Saved path: gym, hardware_store, burger_joint, cafe, pizzeria, tech_shop, noodle_house, salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, pet_store, craft_shop : 61979
Saved path: dentist, pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, bank, gym, hardware_store, burger_joint : 70442
Saved path: bike_shop, bakery, pharmacy, gelateria, pet_store, pizzeria, grocery_store, noodle_house, toy_store, bookstore, burger_joint, gym, hardware_store, party_store, jewelry_store : 58375
Saved path: florist, gelateria, bank, music_store, jewelry_store, gym, hardware_store, salon, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop : 65062
Saved path: bike_shop, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, florist, music_store, pharmacy, jewelry_store : 53343
Saved path: gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, noodle_house, barber_shop, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank : 69406
Saved path: jewelry_store, party_store, hardware_store, noodle_house, tech_shop, cafe, dentist, pizzeria, pet_store, florist, gelateria, music_store, pharmacy, bakery, bike_shop : 59005
Saved path: pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store, hardware_store, party_store, bike_shop, bakery, music_store, florist, craft_shop : 49499
Saved path: tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bakery, bank, gelateria, craft_shop, gym, hardware_store, bookstore, dentist, pizzeria : 69564
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, pet_store, craft_shop, dentist, cafe : 64273
Saved path: gym, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, music_store, bank, pet_store : 63845
Saved path: bike_shop, party_store, bakery, pharmacy, bank, music_store, craft_shop, dentist, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, salon, hardware_store : 61205
Saved path: burger_joint, pizzeria, craft_shop, florist, music_store, gelateria, pet_store, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house : 64209
Saved path: music_store, gelateria, pet_store, dentist, cafe, bookstore, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, party_store, bakery : 58131
Saved path: clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, hardware_store, salon : 67153
Saved path: toy_store, burger_joint, bookstore, gym, hardware_store, bike_shop, bakery, bank, florist, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, salon : 59714
Saved path: craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, tech_shop, hardware_store : 64319
Saved path: hardware_store, toy_store, salon, noodle_house, clothing_store, tech_shop, burger_joint, bookstore, craft_shop, pet_store, florist, bank, bakery, bike_shop, jewelry_store : 65342
Saved path: grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, gym, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, salon : 68138
Saved path: gelateria, pharmacy, barber_shop, salon, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, florist, bank : 55252
Saved path: grocery_store, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, gym, hardware_store, salon, toy_store, burger_joint, bookstore : 63003
Saved path: craft_shop, pet_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, bookstore, hardware_store, gym : 64602
Saved path: party_store, jewelry_store, music_store, gelateria, florist, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store, gym, bakery : 56255
Saved path: jewelry_store, party_store, bike_shop, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, gym, hardware_store, salon : 64132
Saved path: bookstore, cafe, tech_shop, dentist, pet_store, florist, bank, pharmacy, bakery, bike_shop, party_store, hardware_store, gym, toy_store, burger_joint : 62563
Saved path: party_store, bakery, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop : 66865
Saved path: jewelry_store, party_store, pharmacy, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, toy_store, salon, hardware_store : 68393
Saved path: pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, salon, grocery_store, tech_shop, burger_joint, dentist : 68190
Saved path: hardware_store, gym, pet_store, bank, gelateria, florist, dentist, burger_joint, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store : 71394
Saved path: bank, gelateria, craft_shop, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery : 59306
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, burger_joint, dentist, pizzeria, florist, pharmacy, party_store, jewelry_store, bike_shop : 56494
Saved path: pizzeria, dentist, cafe, tech_shop, toy_store, salon, hardware_store, gym, bike_shop, jewelry_store, party_store, bakery, gelateria, bank, pet_store : 70660
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym, music_store, pharmacy, bakery : 53765
Saved path: bookstore, cafe, dentist, pet_store, florist, bank, music_store, bike_shop, party_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint : 65138
Saved path: barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, hardware_store, gym, florist, music_store, bank, pharmacy, party_store, jewelry_store : 69598
Saved path: music_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, burger_joint, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop : 45702
Saved path: hardware_store, gym, music_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store : 57556
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, bank, craft_shop, gym, burger_joint, cafe : 64612
Saved path: noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, bank, party_store, barber_shop, salon : 66254
Saved path: bookstore, cafe, tech_shop, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, pet_store, pizzeria, dentist : 68586
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, craft_shop, dentist, cafe, bookstore : 54636
Saved path: bakery, pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, tech_shop, clothing_store, salon, toy_store, burger_joint, gym, bike_shop : 63436
Saved path: bakery, bike_shop, gym, pet_store, gelateria, florist, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop : 54677
Saved path: bike_shop, party_store, bakery, pharmacy, music_store, gelateria, florist, pet_store, gym, pizzeria, cafe, bookstore, clothing_store, toy_store, barber_shop : 61618
Saved path: clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, florist, gelateria, music_store, bike_shop, party_store, bakery, barber_shop, salon, toy_store : 53451
Saved path: dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, tech_shop : 59450
Saved path: dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, bank, gelateria, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop : 56470
Saved path: bank, music_store, pharmacy, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store : 69495
Saved path: party_store, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pizzeria, tech_shop, noodle_house, bookstore, burger_joint, gym, hardware_store : 62161
Saved path: clothing_store, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, hardware_store, burger_joint, bookstore : 54188
Saved path: gym, bike_shop, jewelry_store, bakery, gelateria, bank, music_store, florist, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 61699
Saved path: tech_shop, burger_joint, bookstore, dentist, pizzeria, pet_store, florist, gelateria, bike_shop, party_store, bakery, salon, toy_store, clothing_store, grocery_store : 58764
Saved path: party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, hardware_store, gym, gelateria, bank, pharmacy : 70165
Saved path: pharmacy, bakery, barber_shop, salon, grocery_store, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, florist, gelateria, bank, music_store : 54302
Saved path: bookstore, clothing_store, grocery_store, dentist, pet_store, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint : 69374
Saved path: dentist, bookstore, burger_joint, gym, craft_shop, pet_store, florist, gelateria, party_store, bakery, barber_shop, salon, noodle_house, tech_shop, pizzeria : 59775
Saved path: salon, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, jewelry_store, barber_shop : 72042
Saved path: florist, gym, hardware_store, cafe, dentist, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, pharmacy, bank : 63621
Saved path: pet_store, craft_shop, pizzeria, grocery_store, cafe, burger_joint, hardware_store, toy_store, barber_shop, bakery, jewelry_store, gelateria, bank, music_store, florist : 68454
Saved path: cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, gelateria, bank, pet_store, hardware_store, burger_joint : 69704
Saved path: gelateria, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank : 69485
