Saved path: tech_shop, pizzeria, craft_shop, florist, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, clothing_store, bookstore : 66918
Saved path: pizzeria, cafe, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store : 68338
Saved path: music_store, florist, craft_shop, pizzeria, dentist, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 59544
Saved path: pharmacy, party_store, gym, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank : 62820
Saved path: barber_shop, hardware_store, burger_joint, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, party_store, bike_shop : 56729
Saved path: bank, gelateria, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store : 66590
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, gym, pet_store, florist, music_store, pharmacy, party_store, bike_shop : 58420
Saved path: clothing_store, toy_store, salon, barber_shop, bike_shop, hardware_store, gym, music_store, bank, gelateria, pet_store, pizzeria, tech_shop, cafe, grocery_store : 63270
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, tech_shop, dentist, cafe, burger_joint, gym, craft_shop, bank : 67817
Saved path: salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, florist, music_store, bank, gelateria, pet_store, gym, burger_joint : 57384
Saved path: pharmacy, gelateria, bank, florist, pet_store, craft_shop, gym, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bakery : 58394
Saved path: noodle_house, tech_shop, pizzeria, dentist, bookstore, hardware_store, gym, craft_shop, pet_store, bank, gelateria, pharmacy, jewelry_store, barber_shop, toy_store : 71800
Saved path: gelateria, pharmacy, hardware_store, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, pet_store, florist, music_store, bank : 50247
Saved path: bakery, bike_shop, party_store, hardware_store, toy_store, clothing_store, tech_shop, cafe, bookstore, craft_shop, florist, gelateria, bank, music_store, barber_shop : 59720
Saved path: pet_store, bank, music_store, florist, gym, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, burger_joint, cafe, dentist, pizzeria : 69204
Saved path: hardware_store, salon, toy_store, grocery_store, tech_shop, dentist, cafe, burger_joint, gym, florist, bank, music_store, bakery, party_store, jewelry_store : 65146
Saved path: bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, tech_shop, cafe, bookstore, gym, craft_shop, florist : 63183
Saved path: jewelry_store, party_store, pharmacy, music_store, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, toy_store, noodle_house, salon : 55779
Saved path: gym, burger_joint, cafe, dentist, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, gelateria, florist, craft_shop : 59371
Saved path: craft_shop, pizzeria, cafe, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist : 64334
Saved path: pizzeria, tech_shop, cafe, gym, hardware_store, toy_store, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store, music_store, pet_store, craft_shop : 64887
Saved path: gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, tech_shop, bookstore, burger_joint, gym, craft_shop, pet_store : 56025
Saved path: bookstore, burger_joint, hardware_store, toy_store, clothing_store, barber_shop, bike_shop, party_store, bakery, music_store, bank, pet_store, craft_shop, dentist, cafe : 65304
Saved path: jewelry_store, bike_shop, bakery, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria : 54225
Saved path: salon, jewelry_store, bakery, bank, music_store, florist, craft_shop, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house : 64977
Saved path: bakery, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint, gym, music_store, gelateria, pharmacy : 53100
Saved path: barber_shop, hardware_store, burger_joint, bookstore, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, bike_shop, jewelry_store : 71515
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, gym, hardware_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore : 63440
Saved path: dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, florist, gym, hardware_store, burger_joint, bookstore, cafe : 53929
Saved path: pet_store, florist, gelateria, bank, music_store, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, hardware_store : 62973
Saved path: hardware_store, jewelry_store, party_store, bakery, barber_shop, noodle_house, grocery_store, cafe, dentist, craft_shop, pet_store, gelateria, florist, bookstore, burger_joint : 59797
Saved path: bike_shop, bakery, gym, pet_store, gelateria, music_store, florist, craft_shop, pizzeria, dentist, bookstore, grocery_store, toy_store, salon, jewelry_store : 64250
Saved path: hardware_store, jewelry_store, bakery, barber_shop, salon, burger_joint, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym : 69301
Saved path: toy_store, noodle_house, salon, barber_shop, jewelry_store, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym : 60833
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, burger_joint, bookstore : 52362
Saved path: bookstore, grocery_store, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, music_store, gelateria, pet_store, craft_shop, gym, burger_joint : 57581
Saved path: craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, barber_shop, noodle_house, grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria : 59816
Saved path: bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, burger_joint, cafe, grocery_store, clothing_store, pizzeria, florist, gelateria : 59613
Saved path: jewelry_store, gym, bookstore, cafe, burger_joint, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy : 63404
Saved path: barber_shop, salon, toy_store, noodle_house, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym, bakery, party_store, jewelry_store, bike_shop : 71255
Saved path: party_store, music_store, gelateria, florist, gym, hardware_store, burger_joint, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop, bike_shop : 57625
Saved path: dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, gelateria, florist, gym, hardware_store, burger_joint : 59817
Saved path: gelateria, pet_store, gym, pizzeria, dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank : 69981
Saved path: dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, gym, party_store, bakery, pharmacy, music_store, craft_shop : 51992
Saved path: dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, burger_joint, bookstore, tech_shop : 64809
Saved path: tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, jewelry_store, party_store, hardware_store, salon, toy_store, burger_joint, cafe, grocery_store : 60067
