Saved path: hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, pet_store, gelateria, bank, music_store, bike_shop : 56501
Saved path: jewelry_store, party_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, gym, bike_shop : 56138
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore : 69747
Saved path: florist, music_store, bank, gelateria, bakery, party_store, jewelry_store, salon, hardware_store, gym, burger_joint, cafe, grocery_store, tech_shop, pizzeria : 65849
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, bike_shop, hardware_store, salon, toy_store, burger_joint, cafe : 60364
Saved path: bank, music_store, bakery, party_store, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house, bookstore, tech_shop, pizzeria, pet_store, gelateria : 70024
Saved path: jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, pizzeria, pet_store, florist, music_store, gelateria : 64655
Saved path: burger_joint, hardware_store, gym, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore : 60213
Saved path: clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house : 58760
Saved path: bike_shop, jewelry_store, barber_shop, salon, hardware_store, toy_store, grocery_store, cafe, bookstore, craft_shop, pet_store, florist, bank, gelateria, pharmacy : 66901
Saved path: tech_shop, bookstore, cafe, dentist, florist, music_store, gelateria, pharmacy, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, toy_store, grocery_store : 61031
Saved path: cafe, dentist, pizzeria, florist, gelateria, bank, bakery, bike_shop, jewelry_store, barber_shop, salon, clothing_store, tech_shop, burger_joint, bookstore : 67337
Saved path: salon, barber_shop, party_store, bike_shop, music_store, florist, pet_store, craft_shop, gym, hardware_store, bookstore, dentist, tech_shop, noodle_house, toy_store : 62696
Saved path: gelateria, music_store, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, toy_store, hardware_store, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store : 61889
Saved path: bakery, pharmacy, music_store, gelateria, florist, pet_store, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store : 49998
Saved path: pet_store, florist, music_store, jewelry_store, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, hardware_store, gym : 61716
Saved path: jewelry_store, party_store, hardware_store, salon, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy : 63225
Saved path: florist, craft_shop, hardware_store, burger_joint, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, gelateria, bank, music_store : 54976
Saved path: salon, toy_store, clothing_store, grocery_store, cafe, burger_joint, gym, pet_store, florist, bank, music_store, bike_shop, jewelry_store, party_store, hardware_store : 64701
Saved path: bakery, party_store, jewelry_store, gelateria, bank, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, cafe, burger_joint : 63305
Saved path: gelateria, music_store, florist, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, cafe, gym, bike_shop, jewelry_store, bakery, pharmacy : 57967
Saved path: craft_shop, gym, hardware_store, burger_joint, cafe, dentist, tech_shop, grocery_store, noodle_house, barber_shop, bakery, pharmacy, music_store, gelateria, pet_store : 49331
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym : 55339
Saved path: toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, bank, gelateria, craft_shop, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store : 66671
Saved path: hardware_store, gym, pet_store, gelateria, music_store, craft_shop, pizzeria, dentist, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store : 63591
Saved path: grocery_store, cafe, burger_joint, hardware_store, gym, pet_store, florist, music_store, gelateria, jewelry_store, party_store, bakery, barber_shop, salon, toy_store : 57630
Saved path: barber_shop, salon, hardware_store, toy_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, party_store, jewelry_store, bike_shop : 65034
Saved path: bakery, pharmacy, bank, pet_store, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, clothing_store, salon, barber_shop, jewelry_store, party_store : 66868
Saved path: bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 52643
Saved path: noodle_house, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, toy_store : 67503
Saved path: burger_joint, cafe, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, gelateria, bank, music_store, florist, craft_shop, gym : 54150
Saved path: bank, music_store, gym, hardware_store, burger_joint, bookstore, dentist, clothing_store, toy_store, barber_shop, bakery, party_store, jewelry_store, bike_shop, gelateria : 68654
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store : 60337
Saved path: pet_store, bank, music_store, pharmacy, bike_shop, barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, bookstore, cafe, pizzeria, craft_shop : 62436
Saved path: gelateria, pharmacy, bike_shop, jewelry_store, hardware_store, burger_joint, toy_store, salon, noodle_house, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist : 60335
Saved path: pharmacy, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, pet_store, florist, gelateria : 63584
Saved path: pizzeria, dentist, cafe, tech_shop, noodle_house, gym, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store : 65903
Saved path: bike_shop, pharmacy, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, jewelry_store, party_store : 68575
Saved path: barber_shop, salon, toy_store, clothing_store, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery : 60047
Saved path: music_store, pharmacy, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, pet_store, gelateria, bank : 49574
